"zip","city","state","name","address","postalCode","lat","lon"
"85003","Phoenix","AZ","Yaun Ah Gim Groceries​","1002 S. 4th Ave","85003",33.43800837707023,-112.07978081298623
"85003","Phoenix","AZ","VegCo","1300 N Central Ave","85004",33.4628,-112.07415900000001
"85004","Phoenix","AZ","Fry's Food and Drug","100 E Jefferson St","85004",33.4472987,-112.0723818
"85004","Phoenix","AZ","Safeway","340 E McDowell Rd","85004",33.4660937,-112.0671474
"85004","Phoenix","AZ","Phoenix Public Market","721 N. Central Ave.","85004",33.45574620631791,-112.07323753068445
"85006","Phoenix","AZ","Los Altos Ranch Markets","1602 E Roosevelt St","85006",33.45968015386531,-112.0463514370255
"85006","Phoenix","AZ","Sunshine Market","2302 N 12th St","85006",33.473245404297536,-112.05675646777664
"85006","Phoenix","AZ","Foodway Market","1188-1198 E Moreland St","85006",33.461037,-112.05658899999999
"85006","Phoenix","AZ","Food City #12","2124 E McDowell Rd","85006",33.46619415283203,-112.03544616699219
"85006","Phoenix","AZ","American Way Market","928 E Pierce St","85006",33.456044,-112.06085300000001
"85006","Phoenix","AZ","Food City","not_available","not_available",33.46674297789049,-112.03630528735034
"85007","Phoenix","AZ","Busters Market","15th Ave","85007",33.455239,-112.091094
"85007","Phoenix","AZ","Bati Bazaar","1510 W McDowell Rd","85007",33.466253739546005,-112.09193852068614
"85008","Phoenix","AZ","Fry's Food Store","4505 E Thomas Rd","85018",33.479322,-111.9845016
"85008","Phoenix","AZ","Walmart Supercenter","3721 E Thomas Rd","85018",33.47893514259096,-112.00085855622378
"85008","Phoenix","AZ","Halal Ranch Market","3401 E McDowell Rd","85008",33.465309000000005,-112.00766999999999
"85008","Phoenix","AZ","Haat Bazaar","4107 E McDowell Rd","85008",33.465340999999995,-111.992602
"85008","Phoenix","AZ","Sultan Market","2722 E McDowell Rd","85008",33.466195464134216,-112.02283501625061
"85008","Phoenix","AZ","Food City","4430 E McDowell Rd","85008",33.46621750600224,-111.98556739114753
"85008","Phoenix","AZ","Frys Stores Thomas Rd","44th Street","85018",33.479042,-111.98402
"85008","Phoenix","AZ","Zest Market","not_available","85008",33.47878767305142,-112.01823588956496
"85008","Phoenix","AZ","Discount Food Box","5536 E Thomas Rd","85018",33.480262756347656,-111.9618911743164
"85008","Phoenix","AZ","Fry's Food & Drug","6080 E Thomas Rd","85251",33.4804685,-111.9500875
"85009","Phoenix","AZ","Fry's Mercado","4230 W McDowell Rd","85009",33.467861,-112.1511227
"85009","Phoenix","AZ","Food City","4239 W McDowell Rd","85009",33.465076,-112.15018899999998
"85009","Phoenix","AZ","Smart & Final Extra!","1450 N. 43rd Ave.","85009",33.46402859990997,-112.15256784809829
"85009","Phoenix","AZ","Food City","3442 W Van Buren St","85009",33.45234833315254,-112.13360509342122
"85009","Phoenix","AZ","Yerberia y Envios Tamayo","3324 W Van Buren St","85009",33.45176315307617,-112.13262176513672
"85009","Phoenix","AZ","Pba Produce Brokers of Az., Inc.","625 S 27th Ave","85009",33.44153594970703,-112.11636352539062
"85009","Phoenix","AZ","Value Marketplace","3003 W Thomas Rd","85017",33.47989273071289,-112.12416076660156
"85009","Phoenix","AZ","Food City","2715 W Van Buren St","85009",33.45058295346861,-112.11791953188447
"85009","Phoenix","AZ","Fry's Fuel Center","4260 W. McDowell Road","85009",33.466356,-112.150565
"85013","Phoenix","AZ","Safeway","520 W Osborn Rd","85013",33.4885441,-112.0816908
"85013","Phoenix","AZ","Sprouts Farmers Market","3320 N 7th Ave","85013",33.4869813,-112.0842076
"85013","Phoenix","AZ","Fry's Food Store","744 W Camelback Rd","85013",33.51138822979975,-112.08547265860034
"85013","Phoenix","AZ","Natural Grocers","655 W Indian School Rd","85013",33.49457113145034,-112.08281142654168
"85014","Phoenix","AZ","Bashas'","5555 N 7th St","85014",33.517670091831704,-112.06350456242026
"85014","Phoenix","AZ","Healthy Habit Health Foods","6029 N 7th St","85014",33.525115,-112.0644594
"85015","Phoenix","AZ","Food City #95","1940 W Indian School Rd","85015",33.49684081732564,-112.10157768590784
"85015","Phoenix","AZ","Walmart Supercenter","1607 W Bethany Home Rd","85015",33.52238182,-112.0930272
"85015","Phoenix","AZ","Fry's Marketplace","1815 W Glendale Ave","85021",33.5373336,-112.0980908
"85015","Phoenix","AZ","Phoenix Farms","3353 N 19th Ave","85015",33.48627251843541,-112.09911084752518
"85015","Phoenix","AZ","Minh Water & Ice","N 17th Ave, Phoenix, AZ","85015",33.50952132673464,-112.09900037198486
"85015","Phoenix","AZ","Aziz Food Store","4424 N 19th Ave","85015",33.501428961753845,-112.10014700889587
"85015","Phoenix","AZ","El Super","2211 W Camelback Rd","85015",33.5085943882761,-112.10725690429916
"85015","Phoenix","AZ","Namaste Market","4801 N 19th Ave","85015",33.508161,-112.099223
"85015","Phoenix","AZ","Loi Phat Oriental Market","1702 W Camelback Rd","85015",33.51337989301477,-112.09492792051842
