"zip","city","state","name","address","postalCode","lat","lon"
"80002","Arvada","CO","Target","5071 Kipling St","80033",39.787996461986324,-105.1124536426519
"80002","Arvada","CO","Walmart Supercenter","9400 Ralston Road","80002",39.800576052330214,-105.10297492332629
"80002","Arvada","CO","King Soopers","9731 W 58th Ave","80002",39.8032306,-105.1065549
"80002","Arvada","CO","Natural Grocers","4900 Kipling St","80033",39.78601535003701,-105.10928319350181
"80002","Arvada","CO","Overseas European Grocery and Bakery","10372 Ralston Ed","not_available",39.802194,-105.104849
"80002","Arvada","CO","The Friday Store, Inc.","5636 Newland Way","80002",39.799438,-105.06986299999998
"80003","Arvada","CO","King Soopers Marketplace","8031 Wadsworth Blvd","80003",39.8433098,-105.083773
"80003","Arvada","CO","King Soopers","8055 Sheridan Blvd","80003",39.8436164,-105.0565523
"80003","Arvada","CO","Walmart Supercenter","7155 Sheridan Blvd","80003",39.82536813915031,-105.05610329728444
"80003","Arvada","CO","Safeway","7561 W 80th Ave","80003",39.8435016,-105.0807886
"80003","Arvada","CO","King Soopers","6350 Sheridan Blvd","80003",39.8109834,-105.0516517
"80003","Arvada","CO","Sprouts Farmers Market","7725 Wadsworth Blvd","80003",39.83659,-105.083777
"80003","Arvada","CO","Natural Grocers","7745 N Wadsworth Blvd","80003",39.83803234079172,-105.0829012041067
"80004","Arvada","CO","King Soopers","12350 W 64th Ave","80004",39.81122280424314,-105.13659060001379
"80004","Arvada","CO","Sprouts Farmers Market","15050 W 64th Ave","80007",39.81199337480881,-105.16790002584452
"80004","Arvada","CO","Ukraine Market","not_available","80004",39.811529,-105.114111
"80004","Arvada","CO","Safeway","12680 W 64th Ave","80004",39.8117632829319,-105.14124287826553
"80005","Arvada","CO","King Soopers","9983 Wadsworth Pkwy","80021",39.8766802,-105.0978099
"80007","Arvada","CO","King Soopers","14967 Candelas Pkwy","80007",39.8614302,-105.1674927
"80007","Arvada","CO","King Soopers","15200 W 64th Ave","80007",39.8106208,-105.1718689
"80010","Aurora","CO","King Soopers","10406 E. Martin Luther King Junior Blvd.","80238",39.759553360680435,-104.86636757847009
"80010","Aurora","CO","Walmart Neighborhood Market","10400 E Colfax Avenue","80010",39.739364,-104.867543
"80010","Aurora","CO","King Soopers","655 Peoria St","80011",39.7265071,-104.8496105
