"zip","city","state","name","address","postalCode","lat","lon"
"06001","Avon","CT","ShopRite of Canton","110 Albany Turnpike","06019",41.82318381587047,-72.88429725001704
"06001","Avon","CT","Walmart","255 W Main St","06001",41.81080123374654,-72.85368445411562
"06001","Avon","CT","Big Y World Class Market","255 W Main St","06001-4352",41.810825360909426,-72.85159981060804
"06001","Avon","CT","The Fresh Market","315 W Main St","06001",41.81406046978064,-72.85872167297798
"06001","Avon","CT","Garden of Light Natural Foods","not_available","not_available",41.815512867782644,-72.8659394659347
"06001","Avon","CT","Valley Indian Market","not_available","06019",41.822296,-72.875706
"06001","Avon","CT","ALDI","101 Albany Turnpike","06019",41.8249054,-72.8846367
"06002","Bloomfield","CT","Geissler's Supermarkets","40 Tunxis Ave","06002",41.83644840350056,-72.73762944416839
"06002","Bloomfield","CT","Kane's Market","1240-1394 Hopmeadow St","06070",41.90160100991565,-72.78610060736362
"06002","Bloomfield","CT","Fresh Farms Market","699 Park Ave","06002",41.8271484375,-72.73124694824219
"06002","Bloomfield","CT","World Class Distribution","210 Phoenix Crossing","06002",41.86851119995117,-72.7088851928711
"06002","Bloomfield","CT","SAV-MOR","1053-1071 Blue Hills Ave","06002",41.823823748824026,-72.69694923333525
"06002","Bloomfield","CT","Carla's Supermarket","660 Blue Hills Ave","06112",41.805102000000005,-72.695111
"06002","Bloomfield","CT","Village Market","200 Bloomfield Ave","06117",41.800500294043616,-72.7129490551857
"06002","Bloomfield","CT","Big Y World Class Market","1313 Hopmeadow St","06070",41.902049476643775,-72.78686598226251
"06010","Bristol","CT","ShopRite","1200 Farmington Ave","06010",41.696029821213365,-72.90290215295701
"06010","Bristol","CT","Walmart","1400 Farmington Ave","06010",41.698056895470785,-72.8970640944402
"06010","Bristol","CT","Price Chopper","121 Farmington Ave.,","06010",41.685677,-72.94039
"06010","Bristol","CT","Discount Food Outlet","100 N Main St","06010",41.67230987548828,-72.94477844238281
"06010","Bristol","CT","Sam's Food Store","140 Park St","06010",41.67260067071483,-72.95562711470853
"06010","Bristol","CT","ShopRite of Bristol","1200 Farmington Avenue &,Route 6","06010",41.695804595947266,-72.90290069580078
"06010","Bristol","CT","Jay's Market","king street","06010",41.675284999999995,-72.919928
"06010","Bristol","CT","ShopRite of Bristol","1200 Farmington Ave. & Rt. 6","06010",41.6957942,-72.9026831
"06010","Bristol","CT","Pricechopper","not_available","06790",41.7111237739142,-72.98232096865087
"06010","Bristol","CT","Associated Marketplace","15 Memorial Blvd","06010",41.670767,-72.942401
"06010","Bristol","CT","Aldi","110 Middle St","06010",41.666068,-72.922683
"06010","Bristol","CT","Walmart Neighborhood Market","325 Oakland St","06010",41.687037433316036,-72.93776661806736
"06010","Bristol","CT","Guadalupana Grocery","Divinity Street","06010",41.671597999999996,-72.949601
