"zip","city","state","name","address","postalCode","lat","lon"
"96701","Aiea","HI","Times Supermarket","98-1264 Kaahumanu St","96782",21.389787318089024,-157.95386492813634
"96701","Aiea","HI","Times Supermarket","99-115 Aiea Heights Dr","96701",21.378838734644955,-157.93007798010296
"96701","Aiea","HI","Down To Earth Organic & Natural","98-211 Pali Momi St #950","96701",21.382305,-157.937702
"96701","Aiea","HI","Sack N Save","4561 Salt Lake Blvd","96818",21.36545438491541,-157.92985845310608
"96701","Aiea","HI","Safeway","98-1277 Kaahumanu St","96701",21.39031115959129,-157.95163303613663
"96701","Aiea","HI","Palama Market","98-020 Kamehameha Hwy","96701",21.385608571521775,-157.95048869916758
"96701","Aiea","HI","Sullivan Family Kitchen","not_available","not_available",21.365793228149414,-157.92909240722656
"96703","Anahola","HI","Healthy Hut","4480 Hookui Rd","not_available",22.203126122668834,-159.407746438418
"96704","Captain Cook","HI","KTA Express","not_available","96750",19.51452,-155.920192
"96704","Captain Cook","HI","Ocean View Market","92-8676 Lotus Blossom Ln","96737",19.084505807382527,-155.77379373689968
"96704","Captain Cook","HI","Malama Market","92-8701 Hawaii Belt Road","not_available",19.084386183093322,-155.77699316507685
"96704","Captain Cook","HI","Choicemart","not_available","96704",19.48768863832594,-155.90652220415916
"96705","Eleele","HI","Big Save Market","4416 Waialo Rd","96705",21.904930774369507,-159.58532854647976
"96705","Eleele","HI","Salt Pond Country Store","1-3443 Kaumaulii Hwy","96716",21.908075929612988,-159.5954931748295
"96706","Ewa Beach","HI","Seafood City Supermarket","94-050 Farrington Hwy","96797",21.37828616854204,-158.02617731093673
"96706","Ewa Beach","HI","Foodland","91-1401 Fort Weaver Rd","96706",21.33455740023642,-158.02464954187212
"96706","Ewa Beach","HI","Safeway","91-1119 Keaunui Dr","96706",21.3271601,-158.019825
"96706","Ewa Beach","HI","Don Quijote","94-144 Farrington Hwy","96797",21.379128679619154,-158.0223525108197
"96706","Ewa Beach","HI","Pacific Super Market","94-300 Farrington Hwy","96797",21.38151374958112,-158.0194018479788
"96706","Ewa Beach","HI","Foodland Farms","not_available","96707",21.336199,-158.054481
"96706","Ewa Beach","HI","D.A.S.H","94-265 Leowahine St","96797",21.382813,-158.020414
"96707","Kapolei","HI","Walmart","91-600 Farrington Hwy","96707",21.34213697980068,-158.07497858082354
"96707","Kapolei","HI","Down to Earth Organic & Natural","4460 Kapolei Pkwy Ste 320","96707",21.329598315235405,-158.09056554186355
"96707","Kapolei","HI","Safeway","590 Farrington Hwy Unit 400","96707",21.3390519,-158.0793691
"96707","Kapolei","HI","Walmart","94-595 Kupuohi St","96797",21.391023585996695,-158.03451059744287
"96707","Kapolei","HI","Foodland","4850 Kapolei Pkwy #A","96707",21.329834187723115,-158.078511800282
"96707","Kapolei","HI","Island Country Markets","92-1049 Olani St. #4-101","96707",21.341951528716017,-158.12330124970202
"96707","Kapolei","HI","Times Supermarket","94-615 Kupuohi St","96797",21.389701432236556,-158.0340964999466
"96707","Kapolei","HI","Malama Market","92-585 Makakilo Dr #A","96707",21.34773247949198,-158.08125059114656
"96707","Kapolei","HI","NEX Mini Mart","1928 Saratoga Ave.","96707",21.321125409644857,-158.06878572012064
"96707","Kapolei","HI","Palama Holdings LLC","2029 Lauwiliwili St","96707",21.32384490966797,-158.09109497070312
"96707","Kapolei","HI","Tamura's Market","91-1051 Enterprise Ave","96707",21.314449073753945,-158.0693291678311
"96708","Haiku","HI","Haiku Grocery Store","810 Haiku Rd #143","96708",20.913610260541862,-156.3224638515912
"96708","Haiku","HI","Foodland","55 Pukalani St","96768",20.83779108791676,-156.3424182134986
"96708","Haiku","HI","Pukalani Superette","15 Makawao Ave","96768",20.83422,-156.33343
"96708","Haiku","HI","Hanzawa's Variety Store","1833 Kaupakalua Rd","96708",20.887241956919034,-156.29544169727455
"96708","Haiku","HI","Pauwela Store","375 W Kuiaha Rd","96708",20.920098,-156.307975
"96708","Haiku","HI","Morihara Store","4581 Lower Kula Rd","96790",20.75961854953278,-156.32726026355434
"96708","Haiku","HI","Foodland","not_available","96768",20.826494,-156.353924
"96708","Haiku","HI","Rodeo General Store","3661 Baldwin Ave","96768",20.854508754204055,-156.31075446837235
"96712","Haleiwa","HI","Foodland","59-720 Kamehameha Hwy.","96712",21.64835159856104,-158.0617886011117
"96712","Haleiwa","HI","Matsumoto General Store","66-087 Kamehameha Hwy.","not_available",21.591018212452465,-158.1028903944798
"96712","Haleiwa","HI","Paalaa Kai Mini-Mart","66-945 Kaukonahua Rd","96791",21.568581351106477,-158.10956133277855
"96712","Haleiwa","HI","Malama Market","66-190 Kamehameha Hwy","96712",21.588349026883243,-158.1026888697156
"96712","Haleiwa","HI","Celestial Natural Foods","66-443 Kamehameha Hwy","96712-1424",21.581527422465683,-158.10507026584625
"96712","Haleiwa","HI","Waialua Fresh grocery store","67-071 Nauahi Street","96791",21.573505,-158.121645
"96712","Haleiwa","HI","Malama's","not_available","96712",21.648123,-158.062504
"96713","Hana","HI","Hasegawa General Store","Hana Hwy","not_available",20.750402362987412,-155.98666628226047
"96714","Hanalei","HI","Foodland","5-4280 Kuhio Hwy","96722",22.213642190284737,-159.47487615501328
"96714","Hanalei","HI","Harvest Market Cafe & Deli Hanalei","5-5161 Kuhio Hwy. #F","96714",22.20295831316886,-159.49649710180114
