"zip","city","state","name","address","postalCode","lat","lon"
"50003","Adel","IA","Fareway","804 Nile Kinnick Dr S","50003",41.610048623289636,-94.0174147438064
"50003","Adel","IA","Shugars Super Valu","Nile Kinnick","50003",41.61000717039371,-94.0172309246598
"50006","Alden","IA","hhometown Foods","not_available","50122",42.44248963388937,-93.39370902365364
"50009","Altoona","IA","Hy-Vee","108 8th St SW","50009",41.64293477639166,-93.46628440757195
"50009","Altoona","IA","Walmart Supercenter","3501 8th St Sw","50009",41.646573414592446,-93.50496246991922
"50009","Altoona","IA","BRICK STREET MARKET","not_available","not_available",41.68967128530428,-93.46209234862302
"50009","Altoona","IA","Pepper Palace","739 Bass Pro Dr #550","50009",41.65746307373047,-93.51563262939453
"50009","Altoona","IA","Fareway Grocery Store","620 8th St SE","50009",41.643590506042386,-93.45843560290176
"50009","Altoona","IA","Fareway","5500 E University Ave","50327",41.599806,-93.505401
"50010","Ames","IA","Hy-Vee","640 Lincoln Way","50010",42.02004,-93.619606
"50010","Ames","IA","Walmart Supercenter","534 S Duff Ave","50010",42.01620535461208,-93.60745276289234
"50010","Ames","IA","Walmart Supercenter","3105 Grand Ave","50010",42.0531034301746,-93.6219612370692
"50010","Ames","IA","Fareway","3619 Stange Rd","50010",42.057060867286374,-93.64627379156266
"50010","Ames","IA","Fareway","619 Burnett Ave","50010",42.02750952765469,-93.61612695981906
"50010","Ames","IA","Wheatsfield Cooperative","413 Northwestern Ave","50010",42.02534218186326,-93.62157026947537
"50010","Ames","IA","ALDI","108 S 5th St","50010",42.0170354,-93.6122219
"50010","Ames","IA","John's Natural Foods","328 Main St","50010",42.024819,-93.614977
"50010","Ames","IA","Fresh Thyme Farmers Market","215 SE 5th St","50010",42.018349634251706,-93.60822021961212
"50010","Ames","IA","Ames Asian Market","823 Wheeler St","50010",42.05461502075195,-93.62259674072266
"50014","Ames","IA","Hy-Vee","3800 Lincoln Way","50014",42.02160461799642,-93.66978010162711
"50014","Ames","IA","Uni Mart","not_available","50014",42.02313995361328,-93.6644515991211
"50014","Ames","IA","Pammel Grocery","113 Colorado Ave","50014",42.023451778612085,-93.6633617520354
"50021","Ankeny","IA","Walmart Supercenter","1002 Se National Dr","50021",41.70527195,-93.5844183
"50021","Ankeny","IA","Target","2135 SE Delaware Ave","50021",41.7094302534344,-93.57870625352164
"50021","Ankeny","IA","Fareway","109 SE Oralabor Rd","50021",41.701938296452894,-93.59948532782468
"50021","Ankeny","IA","ALDI","2075 N Ankeny Blvd","50023",41.749043,-93.599479
"50021","Ankeny","IA","Fareway","3205 N Ankeny Blvd","50023",41.75744603758451,-93.59955299393035
