"zip","city","state","name","address","postalCode","lat","lon"
"60002","Antioch","IL","Walmart Supercenter","475 East Route 173","60002",42.4683331893134,-88.0648927087581
"60002","Antioch","IL","ALDI","1390 Deep Lake Rd","60002",42.465481804949505,-88.06313731157445
"60002","Antioch","IL","Piggly Wiggly","460 Orchard St","60002",42.4784303565464,-88.09978325668588
"60002","Antioch","IL","Butera Market","1500 E Grand Ave","60046",42.41615487229989,-88.04648144964037
"60002","Antioch","IL","Polson's Natural Foods","960 Main St","60002",42.476726,-88.095938
"60002","Antioch","IL","Foods Unlimitrd","480 North Ave","60002",42.487923194639585,-88.09489343135417
"60004","Arlington Heights","IL","Walmart Supercenter","1455 E Lake Cook Rd","60090",42.15247522510855,-87.9519721646519
"60004","Arlington Heights","IL","Mariano's Fresh Market","802 E Northwest Hwy","60004",42.080410962826846,-87.97299068194718
"60004","Arlington Heights","IL","Trader Joe's","17 W Rand Rd","60004",42.11316683689189,-87.98254264350744
"60004","Arlington Heights","IL","Convenience Food and Liquor","not_available","not_available",42.13094,-88.00579300000001
"60004","Arlington Heights","IL","ALDI","1432 E Rand Rd","60004",42.10163379920416,-87.96669221904267
"60004","Arlington Heights","IL","Garden Fresh Market","1786 W Hintz Rd","60090",42.12533532465189,-87.96045154369052
"60004","Arlington Heights","IL","Mo's Grocery Store","112 W Brittany Dr","60004",42.127123,-87.98467600000001
"60004","Arlington Heights","IL","Supermercado Guzman","1611 N Baldwin Rd","60074",42.140279,-88.01371400000001
"60004","Arlington Heights","IL","Seoul Market","1204 W Dundee Rd","60089",42.13979128201452,-87.98629500620325
"60004","Arlington Heights","IL","Jewel 440 Rand Rd.","440 E Rand Rd","60004",42.11177062988281,-87.9766845703125
"60004","Arlington Heights","IL","Garden Fresh Market","600 E Rand Rd","60004",42.10920730882005,-87.97250747680664
"60004","Arlington Heights","IL","Aldi","1202 W Dundee Rd","60089",42.14016203358826,-87.98614603718306
"60004","Arlington Heights","IL","Harvest Fresh","100 E Rand Rd","60004",42.11418921768748,-87.98170883178376
"60004","Arlington Heights","IL","Daniel’s Caviar","400 W Dundee Rd # 16-17","60089",42.139412,-87.968188
"60005","Arlington Heights","IL","Mitsuwa Marketplace","100 E Algonquin Rd","60005",42.04485989128007,-87.98095700795908
"60005","Arlington Heights","IL","Meijer","1301 Meijer Drive","60008",42.04795418541519,-87.99629330635071
"60005","Arlington Heights","IL","Walmart","1460 Golf Rd","60008",42.05357142823788,-87.99965098391614
"60005","Arlington Heights","IL","Tensuke Market & Sushi Cafe","3 Arlington Heights Rd","60007",42.027125823651026,-87.98583300702914
"60005","Arlington Heights","IL","Valli Produce","400 E Golf Rd","60005",42.05155519794304,-87.97712087631226
"60005","Arlington Heights","IL","ALDI","550 E Golf Rd","60005",42.0520458,-87.9758306
"60005","Arlington Heights","IL","Farmer's Pride Market","1414 W Algonquin Rd","60005",42.05695793743088,-88.00132503853071
"60005","Arlington Heights","IL","Montrose Market","not_available","60056",42.048044,-87.961859
"60005","Arlington Heights","IL","Carnicería La Rosita","1805 W Algonquin Rd","60005",42.03716,-87.966124
"60005","Arlington Heights","IL","Murli Grocers","612 E Golf Rd","60005",42.05169,-87.97448
"60005","Arlington Heights","IL","Wally's Market","1731 W Golf Rd","60056",42.04797926295514,-87.96206263892172
"60005","Arlington Heights","IL","La Rosita Market","1805 W Algonquin Rd","60056",42.03716,-87.966124
"60007","Elk Grove Village","IL","Walmart Supercenter","801 Meacham Rd","60007",42.00147971284814,-88.04397904243899
"60007","Elk Grove Village","IL","Fresh International Market","not_available","60173",42.037872,-88.0492
"60007","Elk Grove Village","IL","Aldi","905 Meacham Rd","60007",42.000357,-88.043837
"60007","Elk Grove Village","IL","Fiesta Market","1902 S Elmhurst Rd","60056",42.027507905425615,-87.94184843918767
"60007","Elk Grove Village","IL","Istanbul Market","2324 S Elmhurst Rd","60056",42.02399386475138,-87.94169661548435
"60007","Elk Grove Village","IL","Patel Brothers","873 E Schaumburg Rd","60194",42.027653774872846,-88.05961083390191
"60007","Elk Grove Village","IL","Bikol Express","656 W Algonquin Rd","60016",42.030484,-87.93741700000001
"60007","Elk Grove Village","IL","Tulsi Groceries","not_available","60194",42.027302,-88.05944699999999
"60007","Elk Grove Village","IL","Norman Distribution Inc.","940 Greenleaf Ave","60007",42.004378,-87.973189
"60007","Elk Grove Village","IL","Market Day Store","1250 N Mittel Blvd","60191",41.98699951171875,-87.98768615722656
"60008","Rolling Meadows","IL","Aldi","1412 E Algonquin Rd","60173",42.069342233948014,-88.04270009805805
"60008","Rolling Meadows","IL","Gordon Food Service Store","1005 E Golf Rd","60173",42.04938172063487,-88.0548008476612
"60008","Rolling Meadows","IL","Trader Joe's","1426 E Golf Rd","60173",42.05067825317383,-88.04424285888672
"60010","Barrington","IL","Walmart Supercenter","820 S Rand Rd","60047",42.1856416773395,-88.08777907441026
"60010","Barrington","IL","Mariano's Lake Zurich","1350 E Il Route 22","60047",42.1985218,-88.060459
