"zip","city","state","name","address","postalCode","lat","lon"
"66002","Atchison","KS","Van Dykes Grocery","not_available","not_available",39.56471530137369,-95.11770256879083
"66002","Atchison","KS","Alps","404 Commercial St","66002",39.56198230341068,-95.11798749779042
"66002","Atchison","KS","Walmart Supercenter","1920 Highway 73","66002",39.540336955011206,-95.12944443400241
"66002","Atchison","KS","Country Mart","2016 Highway 59","66002",39.554802839285834,-95.14880374832642
"66006","Baldwin City","KS","Baldwin City Market","112 8th St","66006",38.78276607823606,-95.1883125254412
"66007","Basehor","KS","krogers","us 24","46804",39.115362,-94.99265
"66012","Bonner Springs","KS","Walmart Supercenter","5701 Silverheel Street","66226",39.025083747269015,-94.8500599336955
"66012","Bonner Springs","KS","Cosentino's Price Chopper","22210 W 66th St","66226",39.009866987336615,-94.84376576630258
"66012","Bonner Springs","KS","Walmart Supercenter","12801 Kansas Ave","66012",39.08581217280864,-94.87787408574113
"66012","Bonner Springs","KS","Price Chopper","501 Commercial Dr","66012",39.08867299992975,-94.88273536495952
"66012","Bonner Springs","KS","Thriftway","112 Oak St","66012",39.055445140868486,-94.8822907512029
"66012","Bonner Springs","KS","CBD American Shaman Monticello","22354 W 66th St","66226",39.00902,-94.843573
"66018","De Soto","KS","Harp's Foods","34040 Commerce Dr","66018",38.963253038439674,-94.97977491303307
"66018","De Soto","KS","Price chopper","1960","66061",38.97097615923263,-94.98280808283295
"66021","Edgerton","KS","Berts Travel Plaza","1021 Poplar St","66092",38.708158,-95.074148
"66025","Eudora","KS","Gene's Heartland Foods","1402 Church St","66025",38.93545639652837,-95.09530680813822
"66027","Fort Leavenworth","KS","Fort Leavenworth Commissary","310 Kansas Ave Bldg 691","66027",39.339726041982075,-94.92262978725672
"66030","Gardner","KS","Walmart Supercenter","1725 E Santa Fe St","66030",38.80920162010072,-94.89244530412847
"66030","Gardner","KS","Price Chopper","830 E Main St","66030",38.81252435552471,-94.91019996021497
"66032","Garnett","KS","Country Mart","425 N Maple St","66032",38.28769327405557,-95.2500503396184
"66035","Highland","KS","Fresh Connect KC LLC","1713 Eminence Rd","66035",39.86112976074219,-95.2097396850586
"66035","Highland","KS","prices grocery","not_available","66035",39.84395980834961,-95.25732421875
"66040","La Cygne","KS","Sam's Club","not_available","66040",38.275866,-94.799465
"66043","Lansing","KS","Walmart Supercenter","5000 10th Ave","66048",39.26895875993403,-94.93007531534003
"66043","Lansing","KS","Dillons","720 Eisenhower Rd","66048",39.2679287,-94.9200724
"66043","Lansing","KS","ALDI","1217 N Main St","66043",39.26817217996306,-94.90085977805853
"66044","Lawrence","KS","Dillons","1740 Massachusetts St","66044",38.95185272699355,-95.23529872300975
"66044","Lawrence","KS","Dillons","3000 W 6th St","66049",38.972621410012685,-95.27170479297638
"66044","Lawrence","KS","The Merc Co-op","901 Iowa St","66044",38.967569592471264,-95.26083380718234
"66044","Lawrence","KS","Au Marché","931 Massachusetts St","66044",38.96640367850683,-95.23598126205475
"66044","Lawrence","KS","F MART","530 Colorado St","66044",38.973901,-95.255497
"66044","Lawrence","KS","9 Mile Farm","17638 246th Street","66086",39.09603203,-95.1537564
"66046","Lawrence","KS","Dillons","1015 W 23rd St","66046",38.942058,-95.2485529
"66046","Lawrence","KS","Walmart Supercenter","3300 Iowa St","66046",38.92370553213163,-95.25719737542691
"66046","Lawrence","KS","Hy-Vee","3504 Clinton Pkwy","66047",38.944397,-95.280626
"66046","Lawrence","KS","Checkers","2300 Louisiana St","66046",38.94217302253192,-95.24105026302676
"66046","Lawrence","KS","Aldi","3025 Iowa St","66046",38.92902727388575,-95.26117696174285
"66046","Lawrence","KS","Natural Grocers","1301 W 23rd St","66046",38.94230893172257,-95.25072187034704
"66046","Lawrence","KS","La Estrella Latina","2449 Iowa St Ste D","66046",38.93944142856376,-95.26104960506458
"66046","Lawrence","KS","Oriental Market","711 W 23rd St","66046",38.9409,-95.243335
"66048","Leavenworth","KS","Price Chopper","2107 S 4th St","66048",39.2956331095129,-94.90773297649669
"66049","Lawrence","KS","Dillons","4701 W 6th St","66049",38.9704677,-95.3041532
"66049","Lawrence","KS","Sprouts Farmers Market","4740 Bauer Farm Dr","66049",38.97345399439346,-95.30449721223704
"66049","Lawrence","KS","Walmart Supercenter","550 Congressional Dr","66049",38.97316618334512,-95.30970948257085
"66053","Louisburg","KS","Price Chopper","1400 W Amity St","66053",38.62179234310931,-94.6910984744797
"66054","Mc Louth","KS","McLouth Apple Market","not_available","66054",39.195335,-95.208732
"66061","Olathe","KS","Hy-Vee","18101 W 119th St","66061",38.911035,-94.795148
"66061","Olathe","KS","Walmart Supercenter","395 N K 7 Hwy","66061",38.88662352,-94.83690262
"66061","Olathe","KS","Walmart Neighborhood Market","18555 W. 151st St","66062",38.85316692004015,-94.79965699811012
"66061","Olathe","KS","Target","20255 W 154th St","66062",38.84877344724273,-94.81942686499573
"66061","Olathe","KS","ALDI","20250 W 154th St","66062",38.8504127,-94.8195042
"66061","Olathe","KS","Price Chopper","19601 W 101st St","66220",38.943657008895904,-94.8135045079446
"66061","Olathe","KS","Price Chopper","175 S Parker St","66061",38.8825067129626,-94.8357708286424
"66061","Olathe","KS","Price Chopper","15970 S Mur Len Rd","66062",38.83921869580561,-94.781424187101
"66061","Olathe","KS","ALDI","600 N Millridge St","66061",38.8889148,-94.8363632
"66061","Olathe","KS","Pricechopper","not_available","66083",38.8175040262183,-94.82993614871063
