"zip","city","state","name","address","postalCode","lat","lon"
"40004","Bardstown","KY","Walmart Supercenter","3795 E John Rowan Blvd","40004",37.79998467630002,-85.43578147888184
"40004","Bardstown","KY","Kroger","102 W John Rowan Blvd","40004",37.82870361541479,-85.46457251830668
"40004","Bardstown","KY","Save-A-Lot","1500 E John Rowan Blvd","40004",37.82221603393555,-85.44493865966797
"40011","Campbellsburg","KY","Campbellsburg Supermarket","8174 Main St","40011",38.52394104003906,-85.20231628417969
"40013","Coxs Creek","KY","High Grove Store","12780 Louisville Rd","40013",37.983136323683524,-85.48555325524448
"40014","Crestwood","KY","Walmart Supercenter","3706 Diann Marie Rd","40241",38.30002920574412,-85.54549565407332
"40014","Crestwood","KY","Kroger","12450 La Grange Rd","40245",38.29067763385197,-85.50839960575104
"40014","Crestwood","KY","Meijer","4100 Towne Center Dr","40241",38.299177,-85.5542566
"40014","Crestwood","KY","Kroger","2034 S Highway 53","40031",38.39468496268067,-85.36728932106143
"40014","Crestwood","KY","Walmart Supercenter","6501 Veterans Memorial Parkway","40014",38.337695022838034,-85.4723054025717
"40014","Crestwood","KY","Walmart Supercenter","1015 New Moody Ln","40031",38.39518882,-85.37325382
"40014","Crestwood","KY","ALDI","10620 Westport Rd","40241",38.29531104149086,-85.55407494306564
"40014","Crestwood","KY","Crestwood Supermarket","not_available","40014",38.325238,-85.472605
"40014","Crestwood","KY","Wally World","not_available","40031",38.394624,-85.373116
"40019","Eminence","KY","Norm's","not_available","not_available",38.36995780353858,-85.16926912823918
"40019","Eminence","KY","Save-A-Lot","704 Elm St","40019",38.370269775390625,-85.169189453125
"40026","Goshen","KY","Skylight Country Store","not_available","40026",38.428218841552734,-85.53126525878906
"40026","Goshen","KY","Goshen Store","US 42","40026",38.40263328227025,-85.5898008409855
"40031","La Grange","KY","Save-A-Lot","305 S 1st St","40031",38.4048409293118,-85.37719573186592
"40033","Lebanon","KY","Walmart Supercenter","2136 Campbellsville Rd","40033",37.55402188,-85.28400567
"40033","Lebanon","KY","Kroger","705 E Main St","40033",37.57678300786654,-85.23409008979797
"40033","Lebanon","KY","Save-A-Lot","Lebanon Trade Center","40033",37.56538391113281,-85.26329803466797
"40045","Milton","KY","Ruler Foods","120 E 2nd St","47250",38.73481246129145,-85.37927163558197
"40047","Mount Washington","KY","Kroger","234 Eastbrooke Pkwy","40047",38.05667604550784,-85.53696423790825
"40047","Mount Washington","KY","Lee's Foodstore","6360 Highway 44 E","40047",38.02634811401367,-85.61341094970703
"40047","Mount Washington","KY","Kroger","not_available","40165",38.03218091124364,-85.56647409003007
"40047","Mount Washington","KY","ValuMarket","205 Oakbrooke Dr","40047",38.052758663344044,-85.5396284544868
"40051","New Haven","KY","IGA","132 S Main St","40051",37.6557731628418,-85.59300231933594
"40057","Pleasureville","KY","The Farmstead Market","10712 Castle Hwy","40057",38.350948333740234,-85.0448226928711
"40059","Prospect","KY","Kroger","5929 Timber Ridge Dr","40059",38.3401715,-85.6214021
"40059","Prospect","KY","Crossroads IGA","13124 W Highway 42 # 40059","40059",38.365257,-85.600294
"40059","Prospect","KY","IGA","13124 W Highway 42","40059",38.365246,-85.600342
"40065","Shelbyville","KY","Kroger Marketplace","311 Boone Station Rd","40065",38.2156572,-85.2058637
"40065","Shelbyville","KY","Walmart Supercenter","500 Taylorsville Rd","40065",38.21005656906332,-85.26471087986015
"40065","Shelbyville","KY","Save A Lot","22 Village Plz","40065",38.1960869,-85.2220809
