"zip","city","state","name","address","postalCode","lat","lon"
"01001","Agawam","MA","Pajers","400 Cooper St","01001",42.078713,-72.6303
"01001","Agawam","MA","Big Y World Class Market","503 Memorial Ave","01089-4026",42.09466065881667,-72.60459573229849
"01001","Agawam","MA","Geissler's Supermarket","830 Suffield St","01001",42.06073732496384,-72.63306189126273
"01001","Agawam","MA","Price Rite of W. Springfield","1106 Union Street","01089",42.095101393947175,-72.60719638828829
"01001","Agawam","MA","O-Mi Oriental Grocery","1096 Main St","01103",42.099886,-72.585882
"01001","Agawam","MA","Milano's","988 Main St","01103",42.098785,-72.58434100000001
"01002","Amherst","MA","Atkins Farms Country Market","1150 West St","01002",42.319061,-72.529275
"01002","Amherst","MA","Big Y World Class Market","175 University Dr","01002-2298",42.368406416390044,-72.53485593541461
"01002","Amherst","MA","Atkins Farm Market","113 Cowls Rd","01002",42.414497,-72.52935
"01005","Barre","MA","Barre Foods, Inc.","596 Summer St","01005",42.40904035,-72.09831231666666
"01007","Belchertown","MA","Checkers Marketplace","33 State St","01007",42.27234997583831,-72.41037356330263
"01013","Chicopee","MA","medina's supermarket","2705 Main St","01107",42.115415000000006,-72.605962
"01013","Chicopee","MA","Save-A-Lot","655 Liberty","01104",42.121331,-72.583223
"01013","Chicopee","MA","Cedar's Food Mart and Grill","405 Armory St","01104",42.120608000000004,-72.585624
"01013","Chicopee","MA","CTown Supermarkets","13 Cabot St","01040",42.19801114927317,-72.60404124855995
"01013","Chicopee","MA","Union Mart Convinence Store Smoke Shop","457 Granby Rd","01013",42.1580617,-72.5985403
"01013","Chicopee","MA","Hanks Variety","100 granby rd","01013",42.155021047502316,-72.60696105164135
"01013","Chicopee","MA","Aldi","903 Riverdale St","01089",42.12855181377486,-72.62463668801924
"01013","Chicopee","MA","Tedeschi Food Shops","201 Exchange St","01013",42.148552,-72.609523
"01013","Chicopee","MA","Shop Smart","not_available","not_available",42.172979999999995,-72.599148
"01013","Chicopee","MA","Save-A-Lot","235 South St","01040",42.1958007538742,-72.62130926270186
"01020","Chicopee","MA","Walmart Supercenter","591 Memorial Dr","01020",42.17279061,-72.57420096
"01020","Chicopee","MA","Price Rite of Chicopee","1600 Memorial Drive","01020",42.200492261281134,-72.57375932601059
"01020","Chicopee","MA","Big Y World Class Market","650 Memorial Dr","01020-5053",42.174336408469905,-72.57978044179998
"01020","Chicopee","MA","Aldi","505 Memorial Dr","01020",42.171009749501465,-72.57555351422525
"01020","Chicopee","MA","Big Y Support Center","2145 Roosevelt Ave","01104-1650",42.14009089887078,-72.54714665153068
"01020","Chicopee","MA","Mykonos GR.","687 James St","01020",42.20003730000001,-72.5674807
"01020","Chicopee","MA","1st Oriental Grocery","147 Broadway St","01020",42.154081,-72.580104
"01020","Chicopee","MA","Hellmart","not_available","01020",42.17294106193709,-72.5741663071149
"01026","Cummington","MA","The Old Creamery","not_available","01026",42.46422868291404,-72.90530783363678
"01027","Easthampton","MA","Big Y World Class Market","136 North King Street Route 5","01060",42.340694342040415,-72.64223764968153
"01027","Easthampton","MA","Walmart","180 N King St","01060",42.34147319695259,-72.64344738620974
"01027","Easthampton","MA","Big Y World Class Market","10 College Highway RT 10","01073",42.25326231947967,-72.69900487336832
"01027","Easthampton","MA","Cornucopia Foods","150 Main St","01060",42.31815425341718,-72.63069242600999
"01027","Easthampton","MA","Big E's Supermarket","11 Union St","01027",42.27011519931702,-72.67184726897956
"01027","Easthampton","MA","River Valley Market","330 N King St","01060",42.34762291927308,-72.64324238514288
"01027","Easthampton","MA","Cooper's Corner","31 Main St","01062",42.33504729337457,-72.66819566581918
"01027","Easthampton","MA","State Street Fruit Store","51 State St","01060",42.319426906716906,-72.63419839474963
"01028","East Longmeadow","MA","Big Y World Class Market","441 N Main St","01028-1804",42.07979766365191,-72.52804879537928
"01028","East Longmeadow","MA","Armatas","not_available","01028",42.075013,-72.521345
"01030","Feeding Hills","MA","Cebu Store","not_available","01030",42.066698,-72.675722
"01035","Hadley","MA","Walmart","337 Russell St","01035",42.35467143201697,-72.55283081805538
"01035","Hadley","MA","Maple Farm Foods","10 S Maple St","01035",42.35382196191737,-72.5507102538028
"01035","Hadley","MA","Trader Joe's","375 Russell St","01035",42.357875328897585,-72.5495029819647
"01035","Hadley","MA","ALDI Food Market","354 Russell St","01035",42.35971889177679,-72.55363018650814
"01035","Hadley","MA","Whole Foods Market","327 Russell St","01035",42.35332709912066,-72.55566534054576
"01035","Hadley","MA","Kim’s Oriental Market","111 Russell St","01035",42.341814,-72.593958
"01035","Hadley","MA","International Food Market","Russell Street","not_available",42.344672,-72.578287
"01035","Hadley","MA","Tran's World Food Market","50 Russell st","not_available",42.34033135431625,-72.60484689546907
"01036","Hampden","MA","Village Food Mart","43 Somers Rd","01036",42.05598492090705,-72.43923470721758
"01040","Holyoke","MA","King Mart","westfield road","not_available",42.186716,-72.650024
"01054","Leverett","MA","Village co-op","not_available","01054",42.49426104679519,-72.46955597323993
"01056","Ludlow","MA","Randall's Farm & Greenhouse","631 Center St","01056",42.18019515336712,-72.47197537942613
"01056","Ludlow","MA","Save-A-Lot","459 Main St","01151",42.155892,-72.490061
"01056","Ludlow","MA","Big Y World Class Market","433 Center St","01056-2863",42.16857670068698,-72.4832912621302
"01056","Ludlow","MA","M&A Produce","2 White St.","01056",42.16656809466163,-72.48150495688031
"01057","Monson","MA","Adams Hometown Market","115 Main St,","01057",42.09911401007672,-72.31587409973145
"01069","Palmer","MA","Big Y World Class Market","1180 Thorndike Street Rt 32","01069",42.17400125688143,-72.32425085291129
"01069","Palmer","MA","Walmart Supercenter","352 Palmer Rd","01082",42.237904799392616,-72.27951630248552
"01069","Palmer","MA","Village Market and Deli","2240 Main St","01092",42.2123515,-72.2399713
"01071","Russell","MA","Four Mile Country Store","Russell Rd/ Rt 20","not_available",42.147940000000006,-72.81360600000001
"01073","Southampton","MA","Heron Bay MarketPlace","Middle Road","not_available",42.200505,-72.705728
"01075","South Hadley","MA","Big Y World Class Market","44 Willimansett St","01075-3062",42.22260590404536,-72.57081498412788
"01077","Southwick","MA","Big Y World Class Market","195 College Hwy","01077-9438",42.02513677954094,-72.78796148937636
"01082","Ware","MA","Big Y World Class Market","148 West St","01082-1448",42.25450998946339,-72.25206534443976
"01083","Warren","MA","Alltown","1300 Main St","01083",42.21519714256547,-72.20551801387296
"01085","Westfield","MA","Walmart Supercenter","141 Springfield Rd","01085",42.10801668690514,-72.70799561614209
"01085","Westfield","MA","Big Y World Class Market","1 E Silver St","01085-4407",42.11261990867745,-72.74660851350706
"01085","Westfield","MA","Big Y World Class Market","475 E Main St","01085-3312",42.1119491625366,-72.72311101939368
"01085","Westfield","MA","FRESHco Food Market","1029 North Rd","01085",42.17732238769531,-72.69096374511719
"01085","Westfield","MA","Price Rite of Westfield","303 E. Main Street","01085",42.11309657367732,-72.72669256620294
"01085","Westfield","MA","Polish Shop","not_available","01085",42.12055657355189,-72.74393204018654
"01089","West Springfield","MA","The Head Shop","524 Main St","01089",42.101953,-72.609551
"01089","West Springfield","MA","Madni Food Mart","470 Main St","01089",42.102373,-72.61035799999999
"01095","Wilbraham","MA","Big Y World Class Market","2035 Boston Rd","01095-1103",42.14865717919203,-72.4714691016705
"01104","Springfield","MA","Tedeschi Food Shops","376 Boston Rd","01109",42.129589107138216,-72.52894444053709
"01104","Springfield","MA","Big Y World Class Market","1090 Saint James Ave","01104-1459",42.13733308903397,-72.5714225437377
"01104","Springfield","MA","Mason Food Mart","89 Wilbraham Rd, Springfield, MA 01109","01109",42.111407,-72.560897
"01104","Springfield","MA","NSA Supermarket","790 State St","01109",42.1116943359375,-72.56527709960938
"01104","Springfield","MA","Imperial Super Grocery","1072 State St","01109",42.11444854736328,-72.55551147460938
"01104","Springfield","MA","Save A Lot","1060 Wilbraham Rd","01109",42.1165399,-72.5252892
"01105","Springfield","MA","Food Zone","355 Belmont Ave","01108",42.088145926627384,-72.56417085274956
"01105","Springfield","MA","Saigon Market","306 Belmont Ave","01108",42.087583,-72.566343
"01105","Springfield","MA","Tedeschi Food Shops","266 Belmont Ave","01108",42.087809,-72.56809200000001
"01106","Longmeadow","MA","Armata's","901 Shaker Rd","01106",42.03357548046729,-72.55395305222571
"01106","Longmeadow","MA","Big Y World Class Market","802 Williams St","01106-2054",42.056033096755264,-72.55542672181048
"01108","Springfield","MA","Inter Produce","679 White St","01108",42.083531,-72.543132
"01108","Springfield","MA","Friendly Mart","154-158 Island Pond Rd","01118",42.09762,-72.55103000000001
"01109","Springfield","MA","Price Rite of Springfield","633 Boston Rd.","01119",42.133497,-72.522269
"01118","Springfield","MA","Big Y World Class Market","300 Cooley St","01128-1801",42.095677741867135,-72.50021716686473
"01119","Springfield","MA","Walmart Supercenter","1105 Boston Rd","01119",42.13663287460958,-72.50728435905322
"01119","Springfield","MA","Fresh Acres Market","1941 Wilbraham Rd","01129-1822",42.11386617861814,-72.49716815210775
"01119","Springfield","MA","5 Star Supermarket","780 Boston Rd","01119",42.136932,-72.51859
"01119","Springfield","MA","Aldi","1284 Boston Rd","01119",42.1411818,-72.5010474
"01201","Pittsfield","MA","market 32","555 Hubbard Ave","01201",42.466586224171266,-73.19621359899193
"01201","Pittsfield","MA","Price Chopper","495 Pittsfield Rd","01240",42.405859,-73.266212
"01201","Pittsfield","MA","Walmart","555 Hubbard Ave Ste 12","01201",42.46529473022836,-73.1985951442288
"01201","Pittsfield","MA","Stop & Shop","1 Dan Fox Dr","01201",42.4092907,-73.2646631
"01201","Pittsfield","MA","Big Y World Class Market","200 West St","01201-5862",42.4484002290237,-73.25907680446284
"01201","Pittsfield","MA","ALDI","898 Crane Ave","01201",42.4677926,-73.2063127
"01201","Pittsfield","MA","Whorle's","East Street","01201",42.455050365635955,-73.20736959705127
"01201","Pittsfield","MA","Berkshire Organics","813 Dalton Division Rd","01226",42.43002010495659,-73.196758057818
"01201","Pittsfield","MA","Asian Int'l Market","375","01201",42.453860136811805,-73.25247487524659
"01201","Pittsfield","MA","Harry's Supermarket","37 Elm St","01201",42.44634246826172,-73.2421875
"01201","Pittsfield","MA","Price Rite of Pittsfield","457 Dalton","01201",42.4500845,-73.2453824
"01201","Pittsfield","MA","Harrys Supetmarket","not_available","1201",42.4671112507191,-73.25146267868666
"01220","Adams","MA","Big Y World Class Market","1 Myrtle St","01220",42.62031648037031,-73.11897695837425
"01223","Becket","MA","Becket Country Store","389-743 Main St","01223",42.27854888228095,-73.059638600373
"01226","Dalton","MA","Dalton General Store","not_available","01226",42.4869929515946,-73.15209477115317
"01226","Dalton","MA","Price Rite Marketplace","457 Dalton Ave","01201",42.473697662353516,-73.16621398925781
"01230","Great Barrington","MA","Big Y World Class Market","700 Main St Rt 7","01230",42.18066792531849,-73.36568483185204
"01230","Great Barrington","MA","Price Chopper","300 Stockbridge Rd","01230",42.210159,-73.344071
"01230","Great Barrington","MA","Berkshire Food Co-op","34 Bridge Street","01230",42.1928555,-73.36119769999999
"01237","Lanesborough","MA","Jiminy Peak Country Store","37 Corey Rd","01237",42.55654492285968,-73.29212581207835
"01238","Lee","MA","Big Y World Class Market","10 Pleasant St","01238-1317",42.2958792674485,-73.24031549544742
