"zip","city","state","name","address","postalCode","lat","lon"
"20601","Waldorf","MD","Giant Food","3297 Crain Highway","20603",38.62322017945176,-76.91708564758301
"20601","Waldorf","MD","Target","3300 Western Pkwy","20603",38.6211937854933,-76.92271525051495
"20601","Waldorf","MD","Walmart","11930 Acton Ln","20601",38.63862134263577,-76.89519579014073
"20601","Waldorf","MD","Walmart","40 Drury Dr","20646",38.550760581725825,-76.98292538121403
"20601","Waldorf","MD","MOM's Organic Market","3301 Plaza Way","20603",38.62206889477994,-76.91758070818278
"20601","Waldorf","MD","Safeway","15916 Crain Hwy","20613",38.6746159,-76.8728064
"20601","Waldorf","MD","Nick's of Clinton","3953 Saint Charles Pkwy","20602",38.61342454458905,-76.88185784167199
"20601","Waldorf","MD","Giant Food","200 Rosewick Rd","20646",38.5575394,-76.9852999
"20601","Waldorf","MD","Safeway","10 King St","20602",38.6023898,-76.9019441
"20601","Waldorf","MD","Safeway","3051 Waldorf Market Pl","20603",38.62699652183416,-76.91712687123982
"20601","Waldorf","MD","Shoppers By McKay’s","1170 Smallwood Dr W","20603",38.609639,-76.929559
"20601","Waldorf","MD","Aldi","7500 Albert Rd","20613",38.6704967,-76.8778839
"20601","Waldorf","MD","ALDI","3286 Crain Hwy","20603",38.6209696,-76.91382340000001
"20601","Waldorf","MD","Weis Markets","100 Drury Dr","20646",38.547624758061495,-76.9829919068166
"20601","Waldorf","MD","Lidl","3461 Promenade Place","20603",38.629337310791016,-76.9675064086914
"20601","Waldorf","MD","Los Compadres Latin Market","2419 Crain Hwy","20601",38.6449089050293,-76.8924789428711
"20601","Waldorf","MD","Giant Pharmacy","not_available","20603",38.622967,-76.916923
"20601","Waldorf","MD","Masagana Market","11850 Park Waldorf Ln","20601",38.6337776184082,-76.90005493164062
"20601","Waldorf","MD","Gateway Vape And Tobacco","3969 SAINT CHARLES PKWY","20602",38.613731384277344,-76.8815689086914
"20601","Waldorf","MD","Baden Grocery","16757-16799 Brandywine Rd","20613",38.660187,-76.778582
"20601","Waldorf","MD","Utz","not_available","20602",38.608594711178085,-76.91970958817205
"20601","Waldorf","MD","Tobacco King of Vape, CBD, Kratom","3615 LEONARDTOWN RD","20601",38.6174078,-76.8929671
"20601","Waldorf","MD","Country Nutrition","3725 Leonardtown Rd","20601",38.616513,-76.890047
"20603","Waldorf","MD","Berry Country Market","7485 Bensville Rd","20603",38.615303838555015,-77.01038647263445
"20606","Abell","MD","Murphy's Town & Country","21270 Oakley Road","20609",38.26221087955962,-76.76362586583055
