"zip","city","state","name","address","postalCode","lat","lon"
"55006","Braham","MN","Mike's Discount Foods","146 Main St S","55006",45.724131,-93.171145
"55006","Braham","MN","Mike's Discount.  146 Main St. South.  Braham, Minnesota","146 Main St. South","55006",45.72389221191406,-93.17131805419922
"55008","Cambridge","MN","Walmart Supercenter","2101 2nd Ave Se","55008",45.57174252407178,-93.20179376007218
"55008","Cambridge","MN","Cub Foods","100 Opportunity Blvd N","55008",45.57414515971208,-93.20264875888824
"55008","Cambridge","MN","City Center Market","122 Buchanan St N","55008",45.57357924835204,-93.22096172424476
"55008","Cambridge","MN","Coborn's","209 6th Ave NE","55040",45.4914211,-93.236064
"55008","Cambridge","MN","ALDI","160 Balsam St N","55008",45.5737693,-93.1980814
"55008","Cambridge","MN","Cub Food Cambridge","not_available","not_available",45.56154560225884,-93.20278249351749
"55008","Cambridge","MN","Riverside Market","400 E Dual Blvd","55040",45.49339073259463,-93.24126213404888
"55009","Cannon Falls","MN","Econofoods","425 Main St W","55009",44.50651046832307,-92.90723512922384
"55009","Cannon Falls","MN","Family Fare Supermarket","425 Main Street West","55009",44.50618362426758,-92.90705871582031
"55013","Chisago City","MN","Natural Foods","not_available","55013",45.37272,-92.89336
"55013","Chisago City","MN","Lindstrom Foods","30703 Lincoln Rd","55045",45.39237594604492,-92.85602569580078
"55014","Circle Pines","MN","Walmart Supercenter","4369 Ball Road Ne","55014",45.15978957079675,-93.16000730741763
"55014","Circle Pines","MN","Cub Foods","4205 Pheasant Ridge Dr NE","55449",45.16309,-93.162149
"55014","Circle Pines","MN","ALDI","10216 Lexington Ave NE","55014",45.15415919046762,-93.16410541534424
"55014","Circle Pines","MN","Festival Foods","9101 S Highway Dr","55014",45.13716619102657,-93.16882960392222
"55014","Circle Pines","MN","Walmart Grocery Pickup","4369 Ball Rd Ne","55014",45.1566735597268,-93.1593009718441
"55016","Cottage Grove","MN","Hy-Vee","7280 E Point Douglas Rd S","55016",44.83080175765723,-92.95812973521643
"55016","Cottage Grove","MN","Walmart Supercenter","9300 East Point Douglas Rd S","55016",44.810390670267616,-92.91863174767512
"55016","Cottage Grove","MN","Cub Foods","8690 E Point Douglas Rd S","55016",44.81832727349667,-92.92983055114746
"55016","Cottage Grove","MN","ALDI","9010 Jamaica Ave S","55016",44.81873076643666,-92.9321946821824
"55016","Cottage Grove","MN","Ashland Ave Grocery","1210 Laurel Ave","55071",44.836119000000004,-92.985203
"55016","Cottage Grove","MN","El Sol","7155 80th St S","55016",44.83259201049805,-92.9616470336914
"55019","Dundas","MN","Cub Foods","2423 Highway 3 S","55057",44.4323783,-93.1872236
"55019","Dundas","MN","ALDI","611 Stafford Rd N","55019",44.42988408080725,-93.19195479154581
"55021","Faribault","MN","Hy-Vee","1920 Grant St NW","55021",44.295304,-93.297027
"55021","Faribault","MN","Walmart Supercenter","150 Western Ave Nw","55021",44.289608294093384,-93.3058160236501
"55021","Faribault","MN","Family Fare Supermarket","601 Division Street South","55057",44.453712463378906,-93.15922546386719
"55021","Faribault","MN","fareway","430 2nd Ave NW","55021",44.295501,-93.272391
"55021","Faribault","MN","ALDI","300 Park Ave NW","55021",44.29365489920864,-93.29380766318536
"55021","Faribault","MN","Just Food Co-Op","516 Water St S","55057",44.4545243760693,-93.16190854660202
"55021","Faribault","MN","Taran Grocery & Deli","not_available","55021",44.293741,-93.268947
"55024","Farmington","MN","Hy-Vee","16150 Pilot Knob Rd","55044",44.7148702635195,-93.17584495976165
"55024","Farmington","MN","Cub Foods","7435 179th St W","55044",44.69261812226977,-93.21487426757818
"55025","Forest Lake","MN","Walmart Supercenter","200 12th St Sw","55025",45.27707388286741,-93.0013291181774
"55025","Forest Lake","MN","ALDI","289 12th St SW","55025",45.2763360086149,-92.99698233604431
"55033","Hastings","MN","Walmart Supercenter","1752 No. Frontage","55033",44.74041039055894,-92.89220288599964
"55033","Hastings","MN","Cub Foods","1729 Market Blvd","55033",44.73684939402368,-92.89194166660309
"55033","Hastings","MN","Coborn's","225 33rd St W","55033",44.713359999999994,-92.84482795337294
"55033","Hastings","MN","Ptacek's IGA","1005 Eagle Ridge Dr","54021",44.76244354248047,-92.78921508789062
"55037","Hinckley","MN","Daggett's Foods IGA","104 1st Street NE","55037",46.01654271802602,-92.9417153514408
"55037","Hinckley","MN","Wayne's Foods Plus","7413 Main St","54830",46.00678890434122,-92.3643107490339
"55037","Hinckley","MN","Wayne's IGA","not_available","54893",45.87282515663435,-92.36511185306122
"55038","Hugo","MN","Festival Foods","14775 Victor Hugo Blvd N","55038",45.164767248115474,-93.01533078794557
"55038","Hugo","MN","Natures Medicine Works LLC","14089 Jardin Ave N","55038",45.154363000000004,-93.01901
"55041","Lake City","MN","Fiesta Foods","not_available","55041",44.44746447392133,-92.2643651987659
"55041","Lake City","MN","Paul & Fran's Grocery","410 2nd St","54759",44.44002005342476,-92.14723780952761
"55042","Lake Elmo","MN","Kowalski's Market - Oak Park Heights","5801 Neal Ave N","55082",45.03328644846843,-92.84460506807724
"55044","Lakeville","MN","Walmart Supercenter","20710 Keokuk Ave","55044",44.65017524675746,-93.2971835464733
"55044","Lakeville","MN","Cub Foods","17756 Kenwood Trl","55044",44.69251515736434,-93.28094780445099
"55044","Lakeville","MN","Target","18275 Kenrick Ave","55044",44.68383534477818,-93.29074105663139
"55044","Lakeville","MN","Cub Foods","20250 Heritage Dr","55044",44.6591514,-93.2515472
"55044","Lakeville","MN","ALDI","11542 207th St","55044",44.64857864379883,-93.29932403564453
"55046","Lonsdale","MN","Mackenthun's Foods","not_available","55046",44.48089235802628,-93.41812678819865
"55046","Lonsdale","MN","Fred's IGA Foods","750 Ash St NE","55046",44.4808872027731,-93.41812350517498
"55051","Mora","MN","Coborn's","710 Frankie Ln","55051",45.86850194113956,-93.29104012268448
"55051","Mora","MN","chris' food center, pine city","Hwy 61","55063",45.8255729675293,-93.4273452758789
"55051","Mora","MN","Healthy Living Organic Market","not_available","55051",45.875679,-93.297004
"55056","North Branch","MN","County Market","5418 Saint Croix Trl","55056",45.511010646167385,-92.99891412888033
"55060","Owatonna","MN","ALDI","2414 Hoffman Dr","55060",44.096207723577685,-93.25752139091492
"55060","Owatonna","MN","Walmart Supercenter","1130 W Frontage Rd","55060",44.09777364955608,-93.24973359663556
"55060","Owatonna","MN","Hy-Vee","1620 S Cedar Ave","55060",44.067359,-93.228643
"55060","Owatonna","MN","Cash Wise Foods","495 W North St","55060",44.0923697,-93.2361762
"55060","Owatonna","MN","Fareway","831 S Oak Ave","55060",44.07662897156025,-93.2272537087302
"55060","Owatonna","MN","El Alfarero Mexican Treats LLC","2625 Hoffman Dr NW","55060",44.09492,-93.25989
"55063","Pine City","MN","Walmart Supercenter","950 11th St Sw","55063",45.81764637,-92.97729911
"55066","Red Wing","MN","Walmart Supercenter","295 Tyler Rd S","55066",44.563107353868276,-92.58223603722305
"55066","Red Wing","MN","ALDI","160 Tyler Road N.","55066",44.57018298634383,-92.58669823408127
"55066","Red Wing","MN","Simple Abundance","318 Bush St","55066",44.564659034215985,-92.53341880866101
"55066","Red Wing","MN","Buchanan Grocery","512 Buchanan St","55066",44.559865,-92.552235
"55066","Red Wing","MN","Riverbend Market Co-op","not_available","55066",44.56557988473421,-92.53581307740944
"55066","Red Wing","MN","Family Fare Supermarket","615 Main St","55066",44.56421661376953,-92.537353515625
"55068","Rosemount","MN","Cub Foods","15350 Cedar Ave","55124",44.72642075250151,-93.2159873843193
"55068","Rosemount","MN","Aldi","14995 S Robert Trl","55068",44.73232026145992,-93.1289486750029
"55068","Rosemount","MN","Fresh Thyme Farmers Market","14880 Florence Trail","55124",44.734650637204496,-93.20555359125137
"55068","Rosemount","MN","Cub Foods","3784 150th St W","55068",44.7301203,-93.1423629
"55068","Rosemount","MN","Durango Market","6670 150th St W","55124",44.731411,-93.201211
"55069","Rush City","MN","Rush City Foods","1201-1225 W 4th St","55069",45.684940338134766,-92.98162841796875
"55069","Rush City","MN","Rush City Foods","not_available","55069",45.67983391972176,-92.98087089834802
"55070","Saint Francis","MN","County Market","23122 Saint Francis Blvd NW","55070",45.38894180042469,-93.36959958767866
"55070","Saint Francis","MN","St Francis Foods","3210 Bridge St NW","55070",45.38625,-93.348198
"55072","Sandstone","MN","Chris' Food Center","not_available","55072",46.12483405099304,-92.86976853444591
"55074","Shafer","MN","Dick's Fresh Market","112 chieftan","54020",45.32013227769889,-92.7042798577019
"55075","South Saint Paul","MN","Aldi Food Market","6520 Cahill Ave","55076",44.8543128,-93.0435781
"55075","South Saint Paul","MN","Holiday","6976 Cahill Ave","55076",44.84836594842698,-93.042445595777
"55075","South Saint Paul","MN","Holiday","1040 Concord St S","55075",44.87332457283882,-93.02961422555684
"55075","South Saint Paul","MN","Knowlan's Fresh Foods","255 13th Ave S","55075",44.88838181297747,-93.04953967769471
"55075","South Saint Paul","MN","La Merced Super Mercado","not_available","55075",44.864078521728516,-93.03945922851562
"55076","Inver Grove Heights","MN","Cub Foods","7850 Cahill Ave","55076",44.83532460909599,-93.04113954305649
"55076","Inver Grove Heights","MN","Walmart","9165 Cahill Ave","55076",44.81680979504052,-93.04062158016038
"55076","Inver Grove Heights","MN","Super Stop Gas","7030 Cahill Ave","55076",44.847737,-93.042097
"55077","Inver Grove Heights","MN","Aldi","1414 Mendota Rd","55077",44.88208657568183,-93.07896941900253
"55082","Stillwater","MN","Hy-Vee","7180 10th St N","55128",44.964793,-92.960462
"55082","Stillwater","MN","Cub Foods","7191 10th St N","55128",44.9619272,-92.9608896
"55082","Stillwater","MN","Cub Foods","1801 Market Dr","55082",45.03918788639669,-92.83815801143646
"55082","Stillwater","MN","Walmart Supercenter","5815 Norell Ave N","55082",45.03401924597859,-92.8306136609305
"55082","Stillwater","MN","ALDI","13747 60th St N","55082",45.0352705,-92.8259708
"55082","Stillwater","MN","Wild Boar Bar and Grill Oakdale","950 Helena Ave N","55128",44.961387022763226,-92.95581068079134
"55082","Stillwater","MN","Len's Family Foods","101 Owens St N","55082",45.05499077132172,-92.82026839585593
"55082","Stillwater","MN","Nutrition Revolution","200 Chestnut St.","not_available",45.05565252509765,-92.80703343652966
"55092","Wyoming","MN","Bruce's Foods","26501-26599 Felton Ave","55092",45.33338750182643,-92.99747801354117
"55101","Saint Paul","MN","Lawson Convenience","380 Saint Peter St","55102",44.94547607559441,-93.0958752680668
"55101","Saint Paul","MN","Ferndale Market","512 Robert St N","55102",44.95111715101138,-93.09398174285889
"55101","Saint Paul","MN","Max Mart","516 Rice St","55103",44.957139,-93.105627
"55101","Saint Paul","MN","LUNDS P ENFIELD DWTN ST PAUL","115 10th St E","55101",44.951759338378906,-93.09503936767578
"55101","Saint Paul","MN","Eisenberg's Market","Jackson & 10th Street","55101",44.951962,-93.09271899999999
"55102","Saint Paul","MN","Mississippi Market","622 Selby Ave","55104",44.94638603691041,-93.12636925158435
"55102","Saint Paul","MN","Cooper's Market","633 7th St W","55102",44.93442331043257,-93.11714290938443
"55102","Saint Paul","MN","Oxendale's Market West Saint Paul","374 Bernard St W","55118",44.9156937,-93.10079999999999
"55102","Saint Paul","MN","R.C. Dick's","not_available","55118",44.91609764227766,-93.10116013744093
"55103","Saint Paul","MN","Dragon Star Oriental Foods","633 Minnehaha Ave W","55104",44.96330863013475,-93.1269056304131
"55103","Saint Paul","MN","Aldi","1134 University Ave W","55104",44.95545727976742,-93.14857944846153
"55103","Saint Paul","MN","Double Dragon Foods","121 Maryland Avenue West","55117",44.97784305243864,-93.10513166687574
"55103","Saint Paul","MN","Shuang Hur Supermarket","654 University Ave W","55104",44.95546670901679,-93.12782431695571
"55103","Saint Paul","MN","Sun Foods","554 University Ave W","55103",44.95537785039548,-93.12406433271312
"55103","Saint Paul","MN","Kamp's Food Market","1059 Western Ave N","55117",44.97347508451259,-93.11639891467287
"55103","Saint Paul","MN","Ha Tien Grocery Store","353 University Ave W","55103",44.955950923991345,-93.1150880224055
"55103","Saint Paul","MN","Star Ocean","1211 Pierce Butler Rte","55104",44.967409,-93.15075300000001
"55103","Saint Paul","MN","Star Oriental Market","800 University Ave W","55104",44.95539474487305,-93.13436889648438
"55103","Saint Paul","MN","Phil-Oriental Food","789 University Ave W","55104",44.956057,-93.133442
"55103","Saint Paul","MN","Ashama Grocery Meat Market","804 University Ave W","55104",44.95576500892639,-93.12649548053741
"55103","Saint Paul","MN","Speedy Food Shop","not_available","55117",44.97098412902663,-93.1281497941963
