"zip","city","state","name","address","postalCode","lat","lon"
"63005","Chesterfield","MO","Walmart Supercenter","100 Thf Blvd","63005",38.666105751048214,-90.5918853399245
"63005","Chesterfield","MO","Dierbergs Markets","1322 Clarkson Clayton Ctr","63011",38.60322545912662,-90.5876198751935
"63005","Chesterfield","MO","Schnucks","2511 Kehrs Mill Rd","63017",38.6205793299346,-90.58172970906858
"63005","Chesterfield","MO","ALDI","300 Thf Blvd","63005",38.6659204,-90.603778
"63005","Chesterfield","MO","ALDI","15907 Manchester Rd","63011",38.5939401,-90.5873203
"63005","Chesterfield","MO","shopnsave","not_available","63021",38.593810576788194,-90.57685363890234
"63005","Chesterfield","MO","Andrea's Gluten Free","759 Spirit of Saint Louis Blvd","63005",38.668060302734375,-90.64656066894531
"63010","Arnold","MO","Walmart Supercenter","2201 Michigan Ave","63010",38.43713994719997,-90.37749071280489
"63010","Arnold","MO","ALDI","2154 Michigan Ave","63010",38.4394216,-90.379537
"63010","Arnold","MO","Schnucks","not_available","63010",38.439129,-90.375142
"63010","Arnold","MO","Dierbergs Markets","860 Arnold Commons Dr","63010",38.43720998619741,-90.38329296690132
"63010","Arnold","MO","Save-A-Lot","2 Meramec Heights Shopping Ctr","63010",38.4377851129145,-90.45706663953828
"63010","Arnold","MO","Save-A-Lot","2 Meramec Heights Shopping Center","63010",38.43806838989258,-90.45780944824219
"63010","Arnold","MO","Schnucks Richardson","3900 Vogel Rd","63010",38.4158932,-90.3942783
"63010","Arnold","MO","Schnucks Water Tower","1253 Water Tower Pl","63010",38.4394954,-90.3753582
"63010","Arnold","MO","Save-A-Lot","3610 Richardson Square Dr","63010",38.4115715,-90.384552
"63010","Arnold","MO","Save-A-Lot","3610 Richardson Square Way","63010",38.409836,-90.383636
"63011","Ballwin","MO","Dierbergs Markets","421 Lafayette Ctr","63011",38.59556370993667,-90.52115599562298
"63011","Ballwin","MO","Walmart Supercenter","201 Highlands Boulevard Dr","63011",38.595884540481656,-90.5063369259909
"63011","Ballwin","MO","Schnucks","15425 Manchester Rd","63011",38.59347041437997,-90.56299366117807
"63011","Ballwin","MO","Schnucks Woods Mill","1060 Woods Mill Plz","63017",38.6231236,-90.5137712
"63011","Ballwin","MO","Whole Foods Market","1160 Town And Country Crossing Drive","63017",38.62201408847433,-90.51602713762355
"63011","Ballwin","MO","ALDI","14654 Manchester Rd","63011",38.5908892,-90.5307304
"63011","Ballwin","MO","Seema Enterprises Grocery","14238 Manchester Rd","63011",38.591983795166016,-90.50434112548828
"63011","Ballwin","MO","Fresh Thyme Farmers Market","13957 Manchester Road","63011",38.598144093264985,-90.4878120722921
"63011","Ballwin","MO","Straub's in Town and Country","13414 Clayton Rd","63131",38.62703634100099,-90.48133790607942
"63011","Ballwin","MO","Mideast Market","14345 Manchester Rd","63011",38.59392421226825,-90.51332625769086
"63011","Ballwin","MO","Harsha  Indian Groceries","14033 Manchester Rd","63011",38.5960693359375,-90.49382019042969
