"zip","city","state","name","address","postalCode","lat","lon"
"59001","Absarokee","MT","IGA","2 S Woodard Ave","59001",45.520362,-109.443091
"59001","Absarokee","MT","Fishtail General Store","35 Main St,","59001",45.45344383288103,-109.50522374413711
"59001","Absarokee","MT","Nye Trading Post","1997 Nye Rd, Fishtail, MT 59028","59028",45.435336,-109.801592
"59003","Ashland","MT","Ashland Merc","104 Main St","59003",45.59008026123047,-106.26286315917969
"59006","Ballantine","MT","Project Merc Food Farm","2416 3rd St","59088",45.96386309,-108.16517335
"59007","Bearcreek","MT","Beartooth IGA","201-299 N Oakes Ave","59068",45.18935960743121,-109.24800025748839
"59008","Belfry","MT","Belfry Country Store","216 Broadway","59008",45.142345113011004,-109.00772807435946
"59011","Big Timber","MT","Big T IGA","110 W 3rd Ave","59011",45.833232,-109.954651
"59014","Bridger","MT","Valley Foods","105 N Main St","59014",45.296111,-108.914058
"59018","Clyde Park","MT","Glenn's","not_available","59018",45.8860976812614,-110.60397856707307
"59019","Columbus","MT","Columbus IGA Plus","133 N 5th St","59019",45.63893127441406,-109.25328826904297
"59030","Gardiner","MT","Food farm","not_available","59030",45.03463124987057,-110.71081869904955
"59032","Grass Range","MT","Grass Range Mercantile","504 Main","59032",47.027229,-108.804678
"59034","Hardin","MT","Big Horn IGA","901 N Center Ave","59034",45.738087605508326,-107.605140209198
"59036","Harlowton","MT","Beth's Midtown Market","207 3rd St. NE","59036",46.438922,-109.829205
"59041","Joliet","MT","Joliet Foods","205 S Main St, Joliet, MT 59041","not_available",45.48399353027344,-108.97049713134766
"59041","Joliet","MT","Rowlis Food Farm","205 Main St","59041",45.48408916231506,-108.97063197097025
"59044","Laurel","MT","Walmart Supercenter","2525 King Ave W","59102",45.757864754719556,-108.58014421072122
"59044","Laurel","MT","Walmart Supercenter","101 Bernhardt Rd","59044",45.66717547,-108.7590265
"59044","Laurel","MT","WinCo Foods","2424 Central Ave","59102",45.76935958862305,-108.57675170898438
"59044","Laurel","MT","Albertsons","2334 Central Ave","59102",45.76817795774964,-108.57534483836389
"59044","Laurel","MT","Natural Grocers","304 S 24th St W","59102",45.76655150240635,-108.57660700732642
"59044","Laurel","MT","Albersons","Central Ave.","59102",45.76780240410046,-108.59256561365073
"59044","Laurel","MT","Mr. Thrifty","not_available","not_available",45.749053955078125,-108.58815002441406
"59044","Laurel","MT","Montana Harvest Natural Food Store","1710 Grand Ave","59102",45.78390461666667,-108.5595356
"59044","Laurel","MT","Time Saver Shopping and Delivery, LLC","0  Main st","59044",45.6628242,-108.78007109999999
"59047","Livingston","MT","Albertsons","2120 Park St S","59047",45.6423116,-110.5754379
"59047","Livingston","MT","Town and Country Foods","1217 W Park","59047",45.65251788051251,-110.57120568811614
"59047","Livingston","MT","Food Works Natural Market","400-498 E Park St","59047",45.66432017165162,-110.55691672937009
"59047","Livingston","MT","Albertsons","2120 W Park St","59047",45.64233772251869,-110.57498539005205
"59072","Roundup","MT","Picchioni's IGA","10 9th Ave W","59072",46.44960021972656,-108.54239654541016
"59072","Roundup","MT","Van Dykes Supermarket","1215 Main St","59072",46.453829,-108.542475
"59074","Ryegate","MT","Super D Grocery","203 E Railway","59074",46.29740913834717,-109.25387271435176
"59087","Winnett","MT","Gershmel's General Store","10 E Main","59087",47.004167,-108.354193
"59101","Billings","MT","Walmart Supercenter","1649 Main St","59105",45.82902562182888,-108.46757200029813
"59101","Billings","MT","Albertsons","511 Central Ave","59102",45.7704966,-108.5288606
"59101","Billings","MT","Albertsons","670 Main St","59105",45.8101946,-108.4734789
"59101","Billings","MT","Albertsons","3137 Grand Ave","59102",45.7850657,-108.5929498
"59101","Billings","MT","Albertsons","1212 Grand Ave","59102",45.783188993428205,-108.54769910876071
"59101","Billings","MT","Albertsons","611 N 27th St","59101",45.7879047,-108.5084034
"59101","Billings","MT","Lucky's Market","1603 Grand Ave #135","59102",45.78528713558546,-108.55769883792851
"59101","Billings","MT","Lockwood IGA","1960 Old Hardin Rd","59101",45.80340271666667,-108.43526131666667
"59101","Billings","MT","Evergreen IGA","1540 13th St W","59102",45.78554866654964,-108.54946381220057
"59101","Billings","MT","Marys Health Food","32nd St W","59102",45.78426024092332,-108.59401474966546
"59101","Billings","MT","The Spiked Olive","1313 Grand Ave., Ste 8A","59102",45.784776,-108.550153
"59101","Billings","MT","Mcfiny's","1707 17th St W","59102",45.787620544433594,-108.55872344970703
"59101","Billings","MT","Poly Food Basket","2648 Poly Dr","59102",45.7948675922384,-108.58250074983638
"59101","Billings","MT","Mr. Thrifty","201 N 14th St","59101",45.79165457,-108.48923657
"59101","Billings","MT","Van's State Ave IGA","4220 State Ave","59101",45.769187864278514,-108.5211391179785
"59201","Wolf Point","MT","Tandes","300 1st Ave","59255",48.109885,-105.195715
"59201","Wolf Point","MT","Albertsons","415 Blaine St","59201",48.0923669,-105.6435806
"59212","Bainville","MT","Froid Grocery","not_available","59226",48.33680300301736,-104.48892422099641
"59230","Glasgow","MT","Saco Pay-n-Save","not_available","59261",48.456654,-107.344071
"59230","Glasgow","MT","Albertsons","54181 US Hwy 2","59230",48.1974451,-106.6366889
"59230","Glasgow","MT","Pay-N-Save","113 Taylor St","59261",48.456866,-107.343961
"59230","Glasgow","MT","Reynolds Market","213 Klein Ave","59230",48.194651,-106.63098
"59230","Glasgow","MT","Gordon's Food Inc","209 Klien St","59230",48.19472685,-106.63085831666666
"59243","Lambert","MT","Ramish and Leela","Eastern Main Road","not_available",47.6871466,-104.6212441
"59263","Scobey","MT","Fjeld Family Foods","7 Daniels","59263",48.78702691,-105.41905855
"59270","Sidney","MT","Reynolds Market","404 N Central Ave","59270",47.71992531014397,-104.1558837890625
"59270","Sidney","MT","Valley View IGA Plus","203 2nd St NW","59270",47.717594146728516,-104.1581039428711
