"zip","city","state","name","address","postalCode","lat","lon"
"27006","Advance","NC","Lowes Foods","2501 Lewisville Clemmons Rd","27012",36.02997278892249,-80.38094327902591
"27006","Advance","NC","Publix Super Market","not_available","27012",36.040182596282314,-80.38876994706061
"27006","Advance","NC","Walmart Neighborhood Market","3633 Clemmons Road","27012",36.02129018146632,-80.38039868562412
"27006","Advance","NC","Harris Teeter","4150 Clemmons Rd","27012",36.01977165608385,-80.40715348874718
"27006","Advance","NC","Lowes Foods","Hwy 801 North, Suite 258","27006",36.01016787617152,-80.44277648038972
"27006","Advance","NC","Food Lion","not_available","not_available",36.010344674236975,-80.40055060607625
"27006","Advance","NC","grocery store","1024 Glen Day Dr","27012",35.97451584689718,-80.3908896446228
"27011","Boonville","NC","Heffner's Land Of Food","not_available","27055",36.13444626740432,-80.6657539673444
"27011","Boonville","NC","D&J Galaxy","403 E Main St","27011",36.23242505810787,-80.70054669481695
"27012","Clemmons","NC","Walmart Grocery Pickup & Delivery","4550 Kester Mill Rd","27103",36.067539,-80.33674
"27012","Clemmons","NC","Food Lion","Hwy 150","27127",35.962659691385255,-80.29322636674362
"27012","Clemmons","NC","Mediterasia","368Trenwest Drive #1","not_available",36.07994094785808,-80.29760707332088
"27012","Clemmons","NC","Food lion","Stratford","not_available",36.03081951341452,-80.31087841041575
"27012","Clemmons","NC","A&S Natural Health","not_available","27103",36.07012176513672,-80.3357925415039
"27012","Clemmons","NC","El Jacal","not_available","27104",36.0793674835834,-80.33488013128802
"27012","Clemmons","NC","Om Indian Grocery","1575 Hanes Mall Blvd","27103",36.0698,-80.335575
"27013","Cleveland","NC","IGA","11735 Statesville Blvd","27013",35.728726,-80.69395899999999
"27016","Danbury","NC","Priddy's General Store","2121 Sheppard Mill Rd","27016",36.422153,-80.17186600000001
"27017","Dobson","NC","Walmart Supercenter","2241 Rockford St","27030",36.47251346645674,-80.61855816231386
"27017","Dobson","NC","Walmart Supercenter","548 Cc Camp Rd","28621",36.27620978,-80.83292674
"27017","Dobson","NC","Lowes Foods","715 W Independence Blvd","27030",36.4993369833114,-80.61847186843207
"27017","Dobson","NC","Supermercado La Lupita Inc.","121 S Crutchfield St","27017",36.394591,-80.723093
"27017","Dobson","NC","Snows strawberries","not_available","27017",36.368983,-80.710881
"27017","Dobson","NC","ALDI","1215 State St","27030",36.47779083251953,-80.61934661865234
"27017","Dobson","NC","Save-A-Lot","1328 Carter St","27030",36.47926337236224,-80.60342741308074
"27018","East Bend","NC","East Bend Shoprite","Hwy 67","not_available",36.214821338653564,-80.5044275522232
"27021","King","NC","Lowes Foods","614 S Main St #G","27021",36.266469893193836,-80.3623319997156
"27021","King","NC","Walmart Grocery Pickup and Delivery","204 Ingram Dr","27021",36.2642,-80.3658
"27023","Lewisville","NC","Walmart Neighborhood Market","5175 Brookberry Park Avenue","27104",36.09379661660001,-80.36741731231223
"27023","Lewisville","NC","Harris Teeter","5365 Robinhood Village Dr","27106",36.122512673051126,-80.36823395995108
"27023","Lewisville","NC","Lowes Foods","177 Lowes Foods Dr","27023",36.101462738284404,-80.4119411976694
"27023","Lewisville","NC","lowe's foods Lewisville, NC","not_available","27023",36.11645481801041,-80.41480557213241
"27025","Madison","NC","Walmart Supercenter","6711 Nc Highway 135","27027",36.419801273097576,-79.93566636192865
"27025","Madison","NC","Ingles","Walnut Cove S/C, US 311/Plant St","27052",36.28093575618224,-80.14471687714106
"27025","Madison","NC","ALDI","819 S. Maine St.","27284",36.38898,-79.97422
"27025","Madison","NC","Walmart Grocery Pickup","6711 NC Highway 135","27027",36.4201136,-79.9357095
"27028","Mocksville","NC","Walmart Supercenter","261 Cooper Creek Dr","27028",35.92718163163841,-80.58797392717493
"27028","Mocksville","NC","Carter's Country Store","3267-3325 U.S. 601","27028",35.976415,-80.62232216666666
"27028","Mocksville","NC","Tienda Acapulco","207 Avon St","27028",35.895604,-80.56535
"27028","Mocksville","NC","Food Lion","not_available","27028",35.916209350343635,-80.62783256368392
"27028","Mocksville","NC","Food Lion","not_available","27028I",35.90419875496081,-80.55066753922311
"27030","Mount Airy","NC","Just Save","632 South Key Street","27041",36.37930674068327,-80.47780176430217
"27030","Mount Airy","NC","Hemmings Superette","not_available","27030",36.534463286512086,-80.55246870131586
"27030","Mount Airy","NC","Food Lion","not_available","27041",36.3828239440918,-80.44776153564453
"27030","Mount Airy","NC","Save-A-Lot","1468 S Hwy 52","27030",36.519,-80.6251
"27030","Mount Airy","NC","Eddie's Zip Food","449 Merita Street Suite 100","27030",36.50763364204457,-80.6260438948006
"27040","Pfafftown","NC","Food Lion","not_available","27106",36.161183,-80.343034
"27051","Walkertown","NC","Lowes Foods","5180 Reidsville Rd","27051",36.16337608032453,-80.13717392248584
"27055","Yadkinville","NC","Lowes Foods","948 S State St","27055",36.116951260549016,-80.6610735719182
"27101","Winston Salem","NC","5 Star International Market","3015 Waughtown St","27107",36.07714080810547,-80.1790771484375
"27101","Winston Salem","NC","Kingz Downtown Grocery","418 N Liberty St","27101",36.098956,-80.245254
"27101","Winston Salem","NC","W. R. Vernon Produce Company","1035 N Cherry St","27101",36.107267,-80.250052
"27101","Winston Salem","NC","Asian Grocery","880 Peters Creek Pkwy","27103",36.0783805847168,-80.25907135009766
