"zip","city","state","name","address","postalCode","lat","lon"
"03031","Amherst","NH","Walmart Supercenter","85 State Route 101a","03031",42.81001652956947,-71.57993804928417
"03031","Amherst","NH","Walmart Grocery Pickup and Delivery","85 State Route 101A","03031",42.80934143066406,-71.5794906616211
"03031","Amherst","NH","Shaw's","586 Nashua St","03055",42.82508523899621,-71.62509262561798
"03032","Auburn","NH","Nickles Market","not_available","03104",42.995505502910866,-71.40271042526288
"03036","Chester","NH","A&M Sandown Market","335 Main St","03873",42.929123,-71.1871
"03037","Deerfield","NH","Deerfield Mart","2 Mountain View Rd","03037",43.153725,-71.232448
"03037","Deerfield","NH","The Blue Bowl","38 North Rd","03037",43.140311,-71.235171
"03038","Derry","NH","Walmart Supercenter","11 Ashleigh Drive","03038",42.90192203977436,-71.32602264849353
"03038","Derry","NH","Shaw's","1 Orchard View Dr","03053",42.862669556018616,-71.35511893386843
"03038","Derry","NH","Shaw's","55 Crystal Ave","03038",42.8914204,-71.3235011
"03038","Derry","NH","Hannaford Supermarket","35 Manchester Rd","03038",42.9003007,-71.3373314
"03038","Derry","NH","ALDI","30 Manchester Rd","03038",42.89652084217356,-71.33505463600159
"03042","Epping","NH","Market Basket","24 Calef Hwy","03042",43.02372602714646,-71.07664551511168
"03042","Epping","NH","Walmart Supercenter","35 Fresh River Rd","03042",43.02767760276664,-71.06893686685176
"03043","Francestown","NH","Delay's Harvester Market","783 Forest Rd","03047",42.950226183874065,-71.8729788172653
"03045","Goffstown","NH","Sully's Superette","10 N Mast St","03045",43.02104477278039,-71.60093121933411
"03045","Goffstown","NH","Sonny's Market LLC","800 Turnpike Rd","03071",42.99587861892592,-71.5171417593956
"03049","Hollis","NH","Market Basket","44 Northwest Blvd","03063",42.800677624885736,-71.54238983248557
"03049","Hollis","NH","Brookdale Fruit Farm","38 Broad Street","03049",42.74278,-71.581511
"03051","Hudson","NH","Shaw's","213 Daniel Webster Hwy","03060",42.7107272,-71.4455128
"03051","Hudson","NH","Market Basket","261 Daniel Webster Hwy","03060",42.70683182157323,-71.44313677186199
"03051","Hudson","NH","Market Basket","212 Lowell Rd #5","03051",42.732887152038494,-71.42412505212641
"03051","Hudson","NH","Walmart","254 Lowell Rd","03051",42.727295759580194,-71.42316350393548
"03051","Hudson","NH","Trader Joe's","262 Daniel Webster HWY","03060",42.707906091504604,-71.43874753361717
"03051","Hudson","NH","Shaw's","300 Main St","03060",42.7535444,-71.4595155
"03051","Hudson","NH","Gopu Indian and Asian Market","not_available","not_available",42.7035,-71.44317
"03051","Hudson","NH","Siberia Food Market","259 Main St","03060",42.756245,-71.463535
"03051","Hudson","NH","Shree Gopu Grocery","not_available","03060",42.70418579455934,-71.4431696859361
"03052","Litchfield","NH","Shaw's","570 Daniel Webster Hwy","03054",42.8816448,-71.4807215
"03053","Londonderry","NH","Tedeschi Food Shops","162 Rockingham Rd","03053",42.9175908504314,-71.3761208033002
"03053","Londonderry","NH","Tedeschi","not_available","03053",42.91743923338161,-71.37602116145936
"03054","Merrimack","NH","Shaw's","7 Continental Blvd","03054",42.836883,-71.4988714
"03054","Merrimack","NH","Lanna Asian Market","495 Amherst St","03063",42.793243,-71.522489
"03055","Milford","NH","Market Basket","21 Jones Rd","03055",42.84063258541817,-71.70547735429587
"03055","Milford","NH","Wassy bastet","Savage rd","03055",42.8404837846756,-71.70530676841736
"03060","Nashua","NH","Carniceria Zapopan","9 Water St","03060",42.762096,-71.466692
"03060","Nashua","NH","Jake's Old Fashioned Ice Cream & Custom Cakes","57 Palm St","03060",42.756421,-71.471178
"03060","Nashua","NH","M I N H A S Halal Meat Indian Grocery","5 pine street ext, first floor suite 1-f, Nashua, NH 03060","03060",42.758366,-71.47401
"03063","Nashua","NH","Market Basket","375 Amherst St","03063",42.784739936346845,-71.50550356998946
"03063","Nashua","NH","Whole Foods Market","255 Amherst Street","03063",42.779473895825305,-71.49640240406848
"03063","Nashua","NH","Aldi food market","260 Amherst St","03063",42.778304,-71.497916
"03063","Nashua","NH","Aldi","270 Amherst St","03063",42.77725520238769,-71.49833522949984
"03070","New Boston","NH","Dodges Store","7 Central Sq","03070",42.97641924929585,-71.69167899082495
"03076","Pelham","NH","Michael's Market","8 Stiles Rd","03079",42.774761181898796,-71.25044183858286
"03077","Raymond","NH","Downtown Convenience Store","62 Main St","03077",43.0360109,-71.18264325
"03079","Salem","NH","Market Basket","69 Center Street","03079",42.778854,-71.22982
"03079","Salem","NH","Walmart Supercenter","326 N Broadway","03079",42.801542336776585,-71.23891480064657
"03079","Salem","NH","Market Basket","265 S Broadway","03079",42.762067240959404,-71.21317419883341
"03079","Salem","NH","Market Basket","167 S Broadway","03079",42.767415506579674,-71.21738216206994
"03079","Salem","NH","McKinnon's Market & Super Butcher Shop","236 N Broadway","03079",42.79143258798715,-71.23449689401136
"03079","Salem","NH","Aldi","541 S Broadway","03079",42.7418563,-71.1971652
"03079","Salem","NH","Kev's Country Store","not_available","03079",42.80676773,-71.200477
"03079","Salem","NH","Happy Daze, LLC","224 N Broadway Suite D13","03079",42.7897962,-71.2337316
"03087","Windham","NH","Shaw's","43 Indian Rock Rd","03087",42.807965763276485,-71.29014106110844
"03087","Windham","NH","A Simply Wholesome Life","33 Indian Rock Rd","03087",42.80684280395508,-71.29386138916016
"03101","Manchester","NH","Market Basket","460 Elm St","03101",42.98411642309233,-71.46417945915388
"03101","Manchester","NH","Himalayas General Store","359 Elm Street","03101",42.9832159,-71.4628577
"03101","Manchester","NH","WIC","Chestnut st","03103",42.978128000000005,-71.459728
"03101","Manchester","NH","R&P Convenience","63 Merrimack St","03101",42.98933845,-71.46113655
"03101","Manchester","NH","Himalayas","not_available","03101",42.983258,-71.462857
"03102","Manchester","NH","Market Basket","539 Donald St","03110",42.970024559587614,-71.5079452362599
"03102","Manchester","NH","Walmart Supercenter","3 Commerce Dr","03106",43.04087980289125,-71.47463680988666
"03102","Manchester","NH","Bartlett Street Superette","316 Bartlett St","03102",42.989988,-71.482733
