"zip","city","state","name","address","postalCode","lat","lon"
"43002","Amlin","OH","Giant Eagle Supermarket","6700 Hayden Run Rd","43026",40.06105488815179,-83.18012684946038
"43002","Amlin","OH","Giant Eagle Supermarket","6700 Hayden Run Road","43026",40.061257,-83.1798586
"43003","Ashley","OH","Bargain barn","East High","43003",40.4089763523669,-82.96008789628145
"43004","Blacklick","OH","Meijer","8000 E Broad St","43068",39.988354,-82.7882587
"43004","Blacklick","OH","Kroger","7000 E Broad St","43213",39.984433051411585,-82.81640322538806
"43004","Blacklick","OH","Giant Eagle Supermarket","6867 E Broad St","43213",39.98106866772145,-82.8208036684094
"43004","Blacklick","OH","ALDI","8301 E Broad St","43068",39.985423327633825,-82.78123676776892
"43004","Blacklick","OH","Fresh Eats Mkt","930 N Waggoner Rd","43004",40.004996383222014,-82.7902675038321
"43004","Blacklick","OH","Giant Eagle Supermarket","6867 East Broad Street","43213",39.9806293,-82.8207628
"43004","Blacklick","OH","East Pointe","6916-7000 E Broad St","43213",39.98442863753461,-82.81621813774115
"43011","Centerburg","OH","croton market","12 N Main St","43013",40.23925602436066,-82.6861846446991
"43011","Centerburg","OH","Hometown Market","3895 Columbus Rd","43011",40.300190272267706,-82.70354334908238
"43014","Danville","OH","Don Leo's Market","3 N Market St","43014",40.4515084,-82.260369
"43014","Danville","OH","Dale's Cardinal","14800 Millersburg Rd","43014",40.4409259557724,-82.26051071
"43015","Delaware","OH","Kroger Marketplace","6417 Columbus Pike","43035",40.2033639,-83.0266156
"43015","Delaware","OH","Kroger","801 N Houk Rd","43015",40.3128903,-83.110657
"43015","Delaware","OH","Meijer","1380 Sunbury Rd","43015",40.2911354,-83.031202
"43015","Delaware","OH","Walmart","1760 Columbus Pike","43015",40.265711804655,-83.072974264454
"43015","Delaware","OH","Kroger","1840 Columbus Pike","43015",40.26456179182126,-83.0709046125412
"43015","Delaware","OH","Cheshire Market","5094 Cheshire Rd","43021",40.23863042221684,-82.96226711045074
"43015","Delaware","OH","ALDI","973 Sunbury Rd","43015",40.295245223207374,-83.03567111492157
"43015","Delaware","OH","Aldi","8156 Orange Pointe","43035",40.173546,-83.02054
"43015","Delaware","OH","ALDI Grocery Delivery","8156 Orange Center Dr","43035",40.17330016046218,-83.02053410980443
"43015","Delaware","OH","GFS Marketplace","not_available","43035",40.17236807219186,-83.00303644744614
"43015","Delaware","OH","Gordon Food Service Store","8258 Orange Center Dr","43035",40.17097343016179,-83.0201723508794
"43015","Delaware","OH","Alum Creek Market","not_available","not_available",40.19922585488833,-83.00952427040075
"43015","Delaware","OH","Focus Convenience Market","1520A Lewis Center RD","43035",40.199074082099415,-83.02795306579415
"43015","Delaware","OH","Meijer Pharmacy","1380 Sunbury Rd.","43015",40.2901729,-83.0316062
"43015","Delaware","OH","Delaware County Community Market","222 E William St","43015",40.297907,-83.057017
"43016","Dublin","OH","Walmart Supercenter","7730 Sawmill Road","43016",40.123397534847896,-83.0872529364989
"43016","Dublin","OH","Kroger","299 W Bridge St","43017",40.0978779,-83.1223607
"43016","Dublin","OH","Meijer","6175 Sawmill Rd","43017",40.09258433321411,-83.09417279080662
"43016","Dublin","OH","Kroger Marketplace","7625 Sawmill Rd","43016",40.1220911,-83.0926579
"43016","Dublin","OH","Kroger","2090 Crown Plaza Dr","43235",40.065655590444045,-83.07346328163476
"43016","Dublin","OH","Walmart Supercenter","2700 Bethel Rd","43220",40.066988384202894,-83.09007363460623
"43016","Dublin","OH","Whole Foods Market","3670 W. Dublin-Granville Rd","43235",40.09820846204406,-83.08664433965892
"43016","Dublin","OH","Trader Joe's","6355 Sawmill Rd","43017",40.09650786892731,-83.09289058840639
"43016","Dublin","OH","Kroger","7100 Hospital Dr","43016",40.1030189,-83.1642194
"43016","Dublin","OH","Walmart Supercenter","5900 Britton Pkwy","43016",40.0736049353607,-83.13789644483795
"43016","Dublin","OH","Giant Eagle Supermarket","4747 Sawmill Rd","43220",40.0641162904375,-83.09538183356088
"43016","Dublin","OH","Market District Supermarket","6700 Perimeter Loop Rd","43017",40.10253515761944,-83.15619613337832
"43016","Dublin","OH","India Grocers","5843 Sawmill Rd","43017",40.08597883150982,-83.09279897392697
"43016","Dublin","OH","ALDI","9965 Sawmill Parkway","43065",40.15404684928012,-83.09127815276128
"43016","Dublin","OH","Fresh Thyme Farmers Market","6670 Sawmill Rd","43235",40.1032995,-83.0897837
"43016","Dublin","OH","ALDI","4664 Sawmill Rd","43220",40.0632443,-83.0922511
"43016","Dublin","OH","ALDI","7390 State Route 161 E","43064",40.109976,-83.1909173
"43016","Dublin","OH","Diana's Deli","3520 W Dublin Granville Rd","43235",40.093551,-83.083516
"43016","Dublin","OH","Gordon Food Service Store","3901 W Dublin Granville Rd","43017",40.0984929727404,-83.0955210609203
"43016","Dublin","OH","Eckels Market","1943 Hard Rd","43235",40.11692690626512,-83.06798956511629
"43016","Dublin","OH","Michoacana # 8","5445 Bethel Rd.","43221",40.0655719239385,-83.0939878566162
"43016","Dublin","OH","Sam's Club Optical","5870 Sawmill Rd","43017",40.086717539390875,-83.08853290862278
"43016","Dublin","OH","Nellaimarts","7424 Sawmill Rd","43235",40.116834,-83.089354
"43017","Dublin","OH","Kroger","3975 Powell Rd","43065",40.1568885,-83.0949305
"43017","Dublin","OH","Giant Eagle Supermarket","4000 Powell Rd","43065",40.16050982912171,-83.09329570801543
"43017","Dublin","OH","EuroMarket","5833 Sawmill Rd","43235",40.086163,-83.092965
"43017","Dublin","OH","Giant Eagle Supermarket","4000 West Powell Road","43065",40.1606991,-83.0937004
"43017","Dublin","OH","Worthington Food Pantry","161","43216",40.106592,-83.085056
"43017","Dublin","OH","ALDI","Sawmill Rd","not_available",40.0766769207614,-83.0924787521538
"43019","Fredericktown","OH","Walmart Supercenter","1575 Coshocton Ave","43050",40.40375816,-82.44123459
"43019","Fredericktown","OH","Amish Bent n Dent","not_available","43338",40.53506150756334,-82.66823579810743
"43019","Fredericktown","OH","Chesterville Grocery","42-98 E Sandusky St","43338",40.48014521598816,-82.68332540988922
"43019","Fredericktown","OH","a&d bulk foods","not_available","43019",40.481056213378906,-82.54925537109375
"43019","Fredericktown","OH","Bullock's Drive-thru/ Carry Out","West High St","43050",40.40613665667028,-82.49287550739133
"43019","Fredericktown","OH","Haldeman's Fresh Foods","130 S Main St","43019",40.47774124145508,-82.54141998291016
"43019","Fredericktown","OH","Pit Stop 95","6427 State Route 95","43338",40.49110472202301,-82.70605444908142
"43019","Fredericktown","OH","ALDI","1545 Coshocton Ave","43050",40.403947660120906,-82.44436792394254
"43019","Fredericktown","OH","Whitaker's Natural Market","​7427 OH-13","44813",40.55881,-82.534595
"43021","Galena","OH","Meijer","100 Polaris Pkwy","43082",40.1502645,-82.9260857
"43021","Galena","OH","Kroger","7345 State Route 3","43082",40.14957677700811,-82.92063079315739
"43021","Galena","OH","Kroger","131 State Route 3","43074",40.2462219,-82.8686502
"43021","Galena","OH","Giant Eagle Supermarket","650 N State St","43082",40.143271601189156,-82.92396694841705
"43021","Galena","OH","Fresh Thyme Farmers Market","849 Polaris Pkwy","43082",40.14388446739443,-82.95901627870984
"43021","Galena","OH","Giant Eagle Supermarket","650 North State Street","43082",40.1429336,-82.9235884
"43021","Galena","OH","Red Bank Beverage","7001 Sunbury Rd","43082",40.14530306190465,-82.8822177843008
"43021","Galena","OH","Meijer","100 Polaris Pkwy","43081",40.14954,-82.925329
"43021","Galena","OH","Northgate Plaza (Maxtown Road)","7345-7393 State Route 3","43082",40.148919206329424,-82.91974916126492
"43022","Gambier","OH","Village Market","112 Township Highway 234","43022-5004",40.37720942816957,-82.39669652320856
"43023","Granville","OH","Ross' Granville Market","484 S Main St","43023",40.06316058602962,-82.51919705686682
"43025","Hebron","OH","Walmart Supercenter","911 Hebron Rd","43056",40.02862975,-82.45025496
"43025","Hebron","OH","Kroger","600 E Main St","43025",39.960132554443625,-82.4759226583685
"43025","Hebron","OH","Kroger","910 Hebron Rd","43056",40.0257355403633,-82.44522491098678
"43025","Hebron","OH","ALDI","963B Hebron Rd","43056",40.02703424571976,-82.44895632142641
"43025","Hebron","OH","Carnival Foods","70 Central Pkwy","43056",40.02855682373047,-82.44733428955078
"43025","Hebron","OH","Village Pantry","laurel rd.","43076",39.942901,-82.5129465
"43025","Hebron","OH","Carnival Foods","963 Hebron Rd","43056",40.02690505981445,-82.44937896728516
"43026","Hilliard","OH","Meijer","1661 Hilliard Rome Rd","43228",39.98395625270642,-83.15424890832219
"43026","Hilliard","OH","Kroger","2525 Hilliard Rome Rd","43026",40.0027189,-83.1559212
"43026","Hilliard","OH","Giant Eagle Supermarket","4001 Britton Pkwy","43026",40.034393663045016,-83.13318711835257
"43026","Hilliard","OH","Walmart Supercenter","5200 West Pointe Plaza","43228",39.981968912010274,-83.14535570177834
"43026","Hilliard","OH","Kroger","4656 Cemetery Rd","43026",40.03351780256793,-83.14061388373369
"43026","Hilliard","OH","ALDI","1786 Hilliard Rome Rd","43026",39.989166259765625,-83.14907836914062
"43026","Hilliard","OH","CAM International Market","3767 Park Mill Run Dr","43026",40.03152,-83.12168199999999
"43026","Hilliard","OH","ALDI","4489 Cemetery Rd","43026",40.0316238,-83.1359863
"43026","Hilliard","OH","Kroger","Avert Rd","43017",40.0501565,-83.15966608333333
"43026","Hilliard","OH","Albasha International Market And Bakery","1897 Hilliard Rome Rd","43026",39.990795,-83.153915
"43026","Hilliard","OH","Marrakesh International Market","3193 Hilliard Rome Rd","43026",40.016867,-83.157773
"43026","Hilliard","OH","La Famosa Latino Supermarket","5431 Roberts Rd","43026",40.00327973,-83.15265834331512
"43031","Johnstown","OH","Kroger","800 W Coshocton St","43031",40.1467626,-82.7077069
"43031","Johnstown","OH","Ori Bionature PTY LTD","4217 Beech Rd NW , OH","43031",40.1167557,-82.75251890000001
"43035","Lewis Center","OH","Meijer","8870 Columbus Pike","43035",40.1609190819483,-83.02285552024847
"43035","Lewis Center","OH","Kroger","1177 Polaris Pkwy","43240",40.1400058,-82.9902128
"43035","Lewis Center","OH","Walmart Supercenter","8659 Columbus Pike","43035",40.16497765,-83.01641822
"43035","Lewis Center","OH","Giant Eagle Supermarket","55 Meadow Park Ave","43035",40.159963858947656,-83.01788092369118
"43035","Lewis Center","OH","Trinethra Indian Supermarket & Hyderabad House Indian Restaurant","8481 Sancus Blvd","43240",40.137051,-82.992863
"43035","Lewis Center","OH","Apna Bazaar","8635 Sancus Blvd","43240",40.139718,-82.992624
"43035","Lewis Center","OH","Giant Eagle Supermarket","55 Meadow Park Ave.","43035",40.160356,-83.0172545
"43035","Lewis Center","OH","The Indian Warehouse","571 Carle Ave","43035",40.159601,-83.01045500000001
"43040","Marysville","OH","Walmart Supercenter","555 Colemans Crossing Blvd","43040",40.23060684829361,-83.3454926124903
"43040","Marysville","OH","Meijer","930 Colemans Xing","43040",40.228178212230056,-83.33696098658038
"43040","Marysville","OH","Kroger Marketplace","1501 W 5th St","43040",40.2406501,-83.3955535
"43040","Marysville","OH","ALDI","15740 US Rt 36 E","43040",40.241487359801845,-83.34043711423874
"43040","Marysville","OH","Mosier's IGA","21701 Ohio 347","43067",40.33510899874113,-83.46765030598237
"43040","Marysville","OH","Meijer","930 Colemans Crossing Blvd","43040",40.2279179,-83.3371903
"43040","Marysville","OH","Nestle Employee Store","not_available","43040",40.228527247621216,-83.3749195779487
"43040","Marysville","OH","Community Markets","700 Milford Ave","43040",40.22883133152704,-83.37288446186761
"43040","Marysville","OH","Combs Bee Farm","235 W Center St","43045",40.17967663472865,-83.44281435012817
"43040","Marysville","OH","Giant Eagle","perimeter drive","43016",40.1463894844097,-83.37444965492581
"43046","Millersport","OH","Buckeye Beach Mobile Home Park","13546 Shell Beach Rd NE","43076",39.919654846191406,-82.48273468017578
"43050","Mount Vernon","OH","Kroger","855 Coshocton Ave","43050",40.4010476,-82.458774
"43050","Mount Vernon","OH","Neff's Cardinal Market","524 S Main St","43050",40.38605851529812,-82.48567464414319
"43054","New Albany","OH","Kroger","5161 Hampsted Village Center Way","43054",40.0888686,-82.8258485
