"zip","city","state","name","address","postalCode","lat","lon"
"02802","Albion","RI","Seabra's","not_available","02864",41.949611418445556,-71.44164490789841
"02804","Ashaway","RI","Bradford Pizza & Mart","60 N Main St","02808",41.40410914096043,-71.7495890463689
"02806","Barrington","RI","Shaw's","186 County Rd","02806",41.73666910526886,-71.3068351149559
"02806","Barrington","RI","Shaw's","1050 Willett Ave","02915",41.7600307,-71.3434926
"02806","Barrington","RI","Shaw's","1050 Willet Ave","02915",41.759248,-71.343971
"02806","Barrington","RI","Colewillaidan LLC","29 Annawamscutt Rd","02806",41.7414599,-71.343087
"02807","Block Island","RI","Block Island Grocery","242 Ocean Avenue","not_available",41.174164359554574,-71.56278469514149
"02809","Bristol","RI","Seabra","Hope st","02809",41.69328717796509,-71.27871779376014
"02809","Bristol","RI","Azorean Market Bristol","not_available","02809",41.707903,-71.253609
"02814","Chepachet","RI","Dino's Park And Shop","not_available","02814",41.906496794949746,-71.66242851040651
"02816","Coventry","RI","Walmart Supercenter","650 Centre Of New England Blvd","02816",41.6631109859709,-71.55537329961318
"02816","Coventry","RI","Dave's Marketplace","23 Coventry Shoppers Park","02816",41.69145818096709,-71.56634667351533
"02816","Coventry","RI","Stop & Shop","900 Tiogue Ave","02816",41.6794813,-71.5700247
"02816","Coventry","RI","Tom's Market","821 Tiogue Ave","02816",41.682112345006445,-71.56522587420801
"02816","Coventry","RI","Country Mall","4 Hope Furnace Rd","02831",41.72967529296875,-71.56354522705078
"02816","Coventry","RI","Daves Marketplace","15 Coventry Shoppers Park","02816",41.6910285949707,-71.56586456298828
"02816","Coventry","RI","shopping & errands","not_available","02816",41.69062042236328,-71.56593322753906
"02818","East Greenwich","RI","Dave's Marketplace","1000 Division Rd","02818",41.66101679583463,-71.49625527394836
"02818","East Greenwich","RI","Stop & Shop","300 Quaker Ln","02886",41.68681448996004,-71.49822413921356
"02818","East Greenwich","RI","Dave's Marketplace","105 Gate Rd","02852",41.60678730002504,-71.45297991700978
"02818","East Greenwich","RI","Aldis Supermarket","444 Quaker Ln","02886",41.6833975,-71.498948
"02818","East Greenwich","RI","Back To Basics","500 Main St","02818",41.6572660274046,-71.45152230625578
"02818","East Greenwich","RI","Greenwich Bay Gourmet","50 Cliff St","02818",41.656439,-71.453897
"02822","Exeter","RI","Co-op Food","176 Exeter St, Exeter St","PL4 0NG",41.546391,-71.529587
"02825","Foster","RI","XtraMart","1045 Danielson Pike","02857",41.825721740722656,-71.67005157470703
"02828","Greenville","RI","Stop & Shop","446 Putnam Pike","02828",41.8685786,-71.5323357
"02830","Harrisville","RI","Li'l General Store","485 Chapel St","02830",41.96616620331784,-71.67771029980098
"02830","Harrisville","RI","Country Farms","not_available","02839",41.94851438596879,-71.64551776549652
"02830","Harrisville","RI","Brigidos Market","Sayles Ave.","02859",41.95678878050064,-71.70290463524887
"02835","Jamestown","RI","McQuade's Marketplace","6 Clarke St","02835",41.49517743458601,-71.37470449478272
"02838","Manville","RI","Manville Food Pantry","11 Winter St","02838",41.971317291259766,-71.4738540649414
"02840","Newport","RI","Shaw's","71 E Main Rd","02842",41.5172765,-71.2965567
"02840","Newport","RI","Walmart","199 Connell Hwy","02840",41.51086610502476,-71.31701839404374
"02840","Newport","RI","A Market Natural Foods","181 Bellevue Ave","02840",41.48266165882411,-71.30976926589632
"02840","Newport","RI","Newport NS Commissary","1163 Whipple St","02841",41.51775635512699,-71.32033039391374
"02840","Newport","RI","Bayside Mini-Mart","1285 Whipple St","02841",41.51911163330078,-71.31542205810547
"02840","Newport","RI","Tienda Hispana La Chapina","312 Broadway","02840",41.49858093261719,-71.3073959350586
"02842","Middletown","RI","Aldi","890 W Main Rd","02842",41.5270961,-71.2982056
"02842","Middletown","RI","The Green Grocer","934 E Main Rd","02871",41.560210985234136,-71.25554396251987
"02842","Middletown","RI","Nex Minimart","1238 greene lane","02840",41.55281958967019,-71.3013662499335
"02852","North Kingstown","RI","Walmart Supercenter","1031 Ten Rod Rd","02852",41.58534298325685,-71.49162963284824
"02852","North Kingstown","RI","Daves Marketplace","125 Tower Hill Rd","02852",41.57072925512648,-71.46216700147818
"02852","North Kingstown","RI","Wickford Marketplace","70 Brown St","02852",41.570653,-71.452688
"02857","North Scituate","RI","IGA Super Market","not_available","02857",41.836773,-71.574234
"02857","North Scituate","RI","i.g.a.","not_available","not_available",41.836742567261254,-71.57426434862023
"02860","Pawtucket","RI","Walmart","51 Silver Spring St","02904",41.84553976208368,-71.41651670699906
"02860","Pawtucket","RI","Super Stop & Shop","333 W River St","02904",41.8454419,-71.4124712
"02860","Pawtucket","RI","Price Rite of Pawtucket","465 Lonsdale Ave.","02860",41.8807283663769,-71.39942761875793
"02860","Pawtucket","RI","Save-A-Lot","479 Mineral Spring Ave","02860",41.874008933333336,-71.405449
"02860","Pawtucket","RI","Polonia Market","736 Broadway","02861",41.89282575305507,-71.3722790485382
"02860","Pawtucket","RI","Revive Nutrition","50 anne mary","02860",41.8573069,-71.4024305
"02860","Pawtucket","RI","Central Fruit","693 Dexter St","02863",41.8867073059082,-71.3967514038086
"02860","Pawtucket","RI","Harvest Kitchen","2 Bayley St","02860",41.87782,-71.387501
"02860","Pawtucket","RI","emery's catering","24 Central St","02863",41.8863964,-71.3827573
"02860","Pawtucket","RI","Carcieri's Stop and Compare Supermarket","567 Charles St","02904",41.851258,-71.419894
"02860","Pawtucket","RI","Tedeschi Food Shops","390 Broad St","02863",41.88410923413163,-71.38689999999997
"02860","Pawtucket","RI","Bravo Supermarkets","300 Barton Street","02860",41.879946926861294,-71.39092251763293
"02860","Pawtucket","RI","Save-A-Lot","295 Armistice Blvd Ste #19","02861",41.87901,-71.363727
"02861","Pawtucket","RI","Columbus Mini Mart","not_available","02861",41.870551,-71.36202800000001
"02861","Pawtucket","RI","Lil General","556 Central Ave","02861",41.88652038574219,-71.36163330078125
"02864","Cumberland","RI","Dave's  Marketplace","2077 Diamond Hill Rd","02864",41.94547471100369,-71.40328481247141
"02864","Cumberland","RI","Stop & Shop","70 Mendon Rd","02864",41.9133072,-71.4057411
"02864","Cumberland","RI","The Podium","not_available","02865",41.91244006487957,-71.40537299468883
"02864","Cumberland","RI","Price Rite","2000 Diamond Hill Rd","02895",42.016895,-71.471909
"02864","Cumberland","RI","Price Rite of Woonsocket","2000 Diamond Hill Road","02895",42.0169927,-71.4713467
"02864","Cumberland","RI","Price Rite","not_available","02895",41.93572706214845,-71.45416180961253
"02864","Cumberland","RI","Dave's Marketplace","Diamond Hill Rd","not_available",42.004485541999045,-71.40273478973259
"02871","Portsmouth","RI","Clements Market","2575 E Main Rd","02871",41.60001791695985,-71.2491597191946
"02871","Portsmouth","RI","Ferreira's Wine & Spirits","1965 E Main Rd","02871",41.584467878912825,-71.25187997093296
"02874","Saunderstown","RI","Roch's","1183 Boston Neck Rd","02882",41.49053456306186,-71.4372954004409
"02874","Saunderstown","RI","Roch's Fresh Food","not_available","02882",41.490270495414734,-71.43566429615021
