"zip","city","state","name","address","postalCode","lat","lon"
"29003","Bamberg","SC","Piggly Wiggly","3386 Railroad Ave","29003",33.2985725402832,-81.03704833984375
"29003","Bamberg","SC","Piggly Wiggly","not_available","29042",33.32547952205386,-81.13309785530977
"29006","Batesburg","SC","Walmart Supercenter","115 E Church St","29070",33.91704793225947,-81.52882057303913
"29006","Batesburg","SC","KJ's Market IGA of Batesburg","217 W Columbia Ave","29006",33.91004943847656,-81.53343963623047
"29006","Batesburg","SC","IGA","4760 Augusta Hwy","29054",33.9536018371582,-81.41967010498047
"29006","Batesburg","SC","The Monkey Store (Sandhill Grocery)","not_available","not_available",33.71486705318746,-81.65813622701533
"29006","Batesburg","SC","Bi-Lo","not_available","29006",33.90896311636397,-81.5356625916476
"29006","Batesburg","SC","1 Grocery and Grille","4420 Columbia Highway North","29129",33.7796584,-81.6410428
"29010","Bishopville","SC","Piggly Wiggly","110 S Main St","29010",34.21781384185908,-80.2493850396633
"29016","Blythewood","SC","Walmart Supercenter","321 Killian Rd","29203",34.137089,-80.966125
"29016","Blythewood","SC","Kroger Marketplace","1028 Roberts Branch Pkwy","29203",34.1427634,-80.9512741
"29016","Blythewood","SC","Publix","4611 Hard Scrabble Rd","29229",34.15323385876114,-80.91299016778592
"29016","Blythewood","SC","ALDI","1240 Longreen Pkwy","29229",34.140556,-80.9429483
"29016","Blythewood","SC","Super Bi-Lo","120 Forum Dr","29229",34.13377860759966,-80.88130762930871
"29016","Blythewood","SC","IGA","135B Blythewood Rd","29016",34.21317132103126,-80.97717026856886
"29016","Blythewood","SC","Food Lion","740 University Village Dr","29016",34.21554974554579,-80.98597218069763
"29018","Bowman","SC","Bowman IGA","not_available","29018",33.35247907388602,-80.68636545135129
"29020","Camden","SC","Walmart Supercenter","2240 W Dekalb St","29020",34.250641669217494,-80.64987413647785
"29020","Camden","SC","Piggly Wiggly","DeKalb Street","29020",34.24803268388381,-80.59241471750086
"29033","Cayce","SC","Walmart Neighborhood Market","1355 Knox Abbott Drive","29033",33.977539558879265,-81.07402153385148
"29033","Cayce","SC","Walmart Supercenter","2401 Augusta Rd","29169",33.97998851511985,-81.09991306543233
"29033","Cayce","SC","Bi-Lo","Augusta Rd","29169",33.98248079607695,-81.09878418302573
"29033","Cayce","SC","Bi-Lo","300 Knox Abbott Dr","29033",33.98777354864258,-81.05570453298019
"29033","Cayce","SC","Bi-Lo","2453 Charleston Hwy","29033",33.945887638416465,-81.07802868856328
"29033","Cayce","SC","La Estrella","1921 Airport Blvd","29033",33.958972041020736,-81.0897520818833
"29033","Cayce","SC","Reids","2245 Charleston Hwy","29033",33.95388935782598,-81.0595511001748
"29033","Cayce","SC","Save-A-Lot","1618 Airport Blvd","29169",33.97052001953125,-81.07965850830078
"29033","Cayce","SC","Harvest Hope Food Bank's Emergency Food Pantry","not_available","29033",33.97122887082468,-81.06498423120362
"29036","Chapin","SC","Publix","1235 Chapin Road","29036",34.16469894572069,-81.35163936786385
"29036","Chapin","SC","Publix Pharmacy","not_available","29036",34.164788,-81.351472
"29036","Chapin","SC","Bi-Lo","1419 Chapin Rd","29036",34.166055312096596,-81.35775043430378
"29040","Dalzell","SC","Shaw AFB Commissary","531 Shaw Dr","29152",33.976810818299825,-80.47707384839356
"29044","Eastover","SC","Px","not_available","29061",34.01168859910852,-80.716552734375
"29044","Eastover","SC","Bi-Lo","not_available","29044",34.05251,-80.788599
"29045","Elgin","SC","Kroger","10136 Two Notch Rd","29229",34.1151736,-80.8827075
"29045","Elgin","SC","Walmart Supercenter","10060 Two Notch Rd","29223",34.11040079515228,-80.8868494007632
"29045","Elgin","SC","Publix","10128 Two Notch Rd","29223",34.114711628265106,-80.88475050740482
"29045","Elgin","SC","The Fresh Market","10286 Two Notch Rd,","29229",34.12341233429125,-80.87313072301986
"29045","Elgin","SC","IGA","2530 Main St","29045",34.168296337342554,-80.79822085903508
"29045","Elgin","SC","European Market","not_available","29229",34.132397,-80.87745
"29048","Eutawville","SC","Eutawville IGA","225 Branchdale Hwy","29048",33.392114887815815,-80.35274438876785
"29053","Gaston","SC","Gaston IGA","185 N Main St","29053",33.82083325852695,-81.09989901167017
"29058","Heath Springs","SC","Kershaw IGA","513 S Hampton St","29067",34.540661,-80.58173000000001
"29058","Heath Springs","SC","Small's Food Center","610 N Matson St","29067",34.55358123779297,-80.58707427978516
"29058","Heath Springs","SC","Small's Grocery","4517 Kershaw Camden Hwy","29058",34.61336898803711,-80.6839828491211
"29059","Holly Hill","SC","Dollar General Market","8318 Old State Rd","29059",33.32583727180773,-80.4193918604744
"29059","Holly Hill","SC","Piggly Wiggly","8506 Old State Rd.","29059",33.323152097979126,-80.41473888034824
"29061","Hopkins","SC","Walmart Supercenter","7520 Garners Ferry Rd","29209",33.96412427745429,-80.93902679110715
"29061","Hopkins","SC","Bi-Lo","7830 Garners Ferry Rd","29209",33.9567028430966,-80.92583602236115
"29061","Hopkins","SC","Aldi","7610 Garners Ferry Rd","29209",33.9604494824079,-80.93878716230392
"29061","Hopkins","SC","DCP Food Mart","2933-3199 Padgett Rd","29061",33.977670695209675,-80.87529123261196
"29061","Hopkins","SC","Spinx","7232 Garners Ferry Rd","29209",33.9716369,-80.9498086
"29061","Hopkins","SC","Spinx","7467 Garners Ferry Rd","29209",33.9658673,-80.944446
"29063","Irmo","SC","Walmart Supercenter","1180 Dutch Fork Rd","29063",34.127073972650194,-81.22030416911933
"29063","Irmo","SC","Kroger","7467 Saint Andrews Rd Ste 6","29063",34.0859527,-81.186119
"29063","Irmo","SC","Publix","2732 N Lake Dr","29212",34.09788632996468,-81.22117450391607
"29063","Irmo","SC","Publix","7320 Broad River Rd","29063",34.09678913108629,-81.15789310511937
"29067","Kershaw","SC","IGA","not_available","29718",34.678432128958356,-80.41003426072271
"29069","Lamar","SC","Piggly Wiggly","100 N Railroad Ave","29069",34.1701,-80.063194
"29069","Lamar","SC","Tommys","W. Lydia Hwy","29079",34.282889,-80.114313
"29070","Leesville","SC","Lowes Foods","2440 Augusta Hwy","29072",33.98117813165046,-81.30632873665843
"29070","Leesville","SC","Publix","847 Highway 378","29072",33.99148672163225,-81.30622232401738
"29070","Leesville","SC","Publix","not_available","29072",33.92647406989816,-81.3018932894819
"29072","Lexington","SC","Walmart Supercenter","5556 Sunset Blvd","29072",33.99772942,-81.2245946
"29072","Lexington","SC","Target","5119 Sunset Blvd","29072",34.006579585615626,-81.19375074218141
"29072","Lexington","SC","Publix","100 Old Cherokee Rd","29072",33.999712520808046,-81.21975982134896
"29072","Lexington","SC","Walmart Supercenter","1780 S Lake Dr","29073",33.9109510196907,-81.22968355488281
"29072","Lexington","SC","Lowes Foods","5222 Sunset Blvd","29072",34.00646681693243,-81.20375224461259
"29072","Lexington","SC","Publix At Lake Crossing","5441 Platt Springs Rd","29073",33.906265,-81.220825
"29072","Lexington","SC","Lidl","5215 Sunset Blvd","29072",34.004715438447654,-81.2024244851491
"29072","Lexington","SC","GreenWise Market","5336 Sunset Blvd Ste A","29072",34.003429,-81.209146
"29072","Lexington","SC","Walmart Neighborhood Market","1019 Old Barnwell Rd","29170",33.943881,-81.169105
"29072","Lexington","SC","KJ's Market","4360 Augusta Rd","29073",33.974797,-81.154473
"29072","Lexington","SC","Aldi","6075 Saint Andrews Rd","29212",34.0537975,-81.1609026
"29072","Lexington","SC","ALDI","5182 Sunset Blvd","29072",34.00637241235225,-81.20174959301949
"29072","Lexington","SC","Bi-Lo","6021 Saint Andrews Rd","29212",34.05203272030162,-81.15925749043954
"29072","Lexington","SC","Smart","not_available","29210",34.05105,-81.144903
"29072","Lexington","SC","ALDI","5548 Platt Springs Rd","29073",33.908418,-81.2268636
"29072","Lexington","SC","Fresh Seafood Market","Andrew corley","29072",33.998853,-81.237054
"29072","Lexington","SC","Walmart Grocery Pickup","1019 Old Barnwell Road","29170",33.94473621,-81.16916302
"29072","Lexington","SC","La Villa Supermarket","4866 Sunset Blvd","29072",34.01142484970688,-81.18361794936641
"29073","Lexington","SC","Thomas & Howard Discount Center","3236 Augusta Rd","29170",33.9773063659668,-81.12784576416016
"29073","Lexington","SC","Tienda Latina Pasabien","3254 Augusta Rd","29170",33.9773414,-81.1280106
"29080","Lynchburg","SC","IGA Timmonsville","not_available","29161",34.13267347048196,-79.93664585263086
"29080","Lynchburg","SC","IGA Olanta","not_available","29114",33.93696573088771,-79.9334334386259
"29081","Ehrhardt","SC","Jeff's IGA","not_available","29081",33.09941,-81.013736
"29102","Manning","SC","Walmart Supercenter","2010 Paxville Hwy","29102",33.700301,-80.226193
"29102","Manning","SC","Piggly Wiggly","Sunset Dr.","29102",33.69103802064702,-80.21260229697404
"29102","Manning","SC","Piggly Wiggly","9 N Church St","29148",33.61115646362305,-80.35182189941406
"29108","Newberry","SC","Walmart Supercenter","2812 Main St","29108",34.280508188966515,-81.5924505498018
"29108","Newberry","SC","Bi-Lo","518 North Wheeler Avenue","29127",34.218096534762886,-81.53849731999523
"29108","Newberry","SC","NFL","not_available","29108",34.28269696309897,-81.63720287661678
"29108","Newberry","SC","Harvey's Supermarket","1937 Wilson Rd","29108",34.294031213964,-81.60735068504862
"29112","North","SC","Grocer","not_available","29112",33.695696,-80.973402
"29112","North","SC","Piggly Wiggly","514 Partridge Lane and Hwy 321","29112",33.623809814453125,-81.10334777832031
"29115","Orangeburg","SC","Walmart Supercenter","2795 North Rd","29118",33.52484975,-80.89033842
"29115","Orangeburg","SC","Piggly Wiggly","Edisto Drive","not_available",33.51692131251406,-80.86481994764465
"29115","Orangeburg","SC","Bi-Lo","1370 Chestnut St","29115",33.514130484184385,-80.86126235384333
"29115","Orangeburg","SC","Walmart Neighborhood Market","332 Stone Wall Jackson Blvd","29115",33.48228567971417,-80.87023820855342
"29115","Orangeburg","SC","Big Lots","1371 Chestnut St","29115",33.513322910432386,-80.86223629068655
"29115","Orangeburg","SC","Tienda Mexicana Los Tres Potrilllos","1500 Wingate St","29118",33.518253326416016,-80.86432647705078
"29115","Orangeburg","SC","Giant Food World","2526 Old Edisto Dr","29115",33.48109817504883,-80.89852142333984
"29115","Orangeburg","SC","ALDI","2690 North Rd","29118",33.52535525274924,-80.88654980824685
"29115","Orangeburg","SC","Piggly Wiggly","not_available","29118",33.577222222222225,-80.90055555555556
"29115","Orangeburg","SC","Save-A-Lot","1050 Chestnut St","29115",33.51176071166992,-80.8555908203125
"29115","Orangeburg","SC","BI-LO","not_available","29115",33.50470318428908,-80.77413720756897
"29123","Pelion","SC","Pelion IGA","861 Pine St.","29123",33.762027740478516,-81.24712371826172
"29123","Pelion","SC","Shumpert's Food Mart","Main St","29123",33.763384654992734,-81.24648555547867
"29128","Rembert","SC","Rembert Grocery & Grill","35 Horatio-Hagood Rd.","29128",34.097683305232096,-80.58018101355485
"29135","Saint Matthews","SC","Piggly Wiggly","615 Harry C Raysor Dr","29135",33.660850524902344,-80.7781982421875
"29137","Salley","SC","Piggly Wiggly","123 Earle St S","29164",33.649761,-81.360933
"29138","Saluda","SC","Reid's Grocery Store","605 Travis Ave","29138",34.012379921448456,-81.75677455160626
"29142","Santee","SC","IGA","9092 Old #6 Highway","29142",33.481676,-80.46698
"29150","Sumter","SC","Walmart Supercenter","1283 Broad St","29150",33.95940387315667,-80.38950562477112
"29150","Sumter","SC","ALDI","829 Broad St","29150",33.94396073054988,-80.36876142024994
"29150","Sumter","SC","Walmart Neighborhood Market","343 Pinewood Rd","29150",33.906164,-80.378092
"29150","Sumter","SC","Sumter IGA","325 W Wesmark Blvd","29150",33.951932477245755,-80.38872002258857
"29150","Sumter","SC","Piggly Wiggly","1011 Broad St","29150",33.9463088121254,-80.37261967917611
"29150","Sumter","SC","Bi-Lo","2055 Wedgefield Rd","29154",33.914985367859735,-80.38607572410247
"29150","Sumter","SC","Piggly Wiggly","s guinard pkwy","29044",33.87410887210074,-80.34881996514677
"29150","Sumter","SC","Sumter Cash & Carry","21 Cuttino Rd","29150",33.957459,-80.394972
"29150","Sumter","SC","Walmart Grocery Pickup","343 Pinewood Road","35470",33.90632247924805,-80.37782287597656
"29150","Sumter","SC","IGA","not_available","29150",33.904284082210026,-80.38074214084031
"29150","Sumter","SC","Walmart Grocery Pickup","615 Bultman Drive","29150",33.9383328888264,-80.3714195308503
"29154","Sumter","SC","Queens Caribbean Cuisine LLC","1217B Peach Orchard Rd","29154",33.953931,-80.49756
"29154","Sumter","SC","Fil-Am Oriental grocery","not_available","29154",33.953825,-80.497573
"29160","Swansea","SC","Swansea Bi-Rite","230 West Second St","29160",33.73762813333333,-81.10209003333334
"29161","Timmonsville","SC","KJs Market","5125 Ebenezer Road","29501",34.178163872607044,-79.8545787590468
"29161","Timmonsville","SC","Food Lion","not_available","29501",34.18409,-79.871836
"29162","Turbeville","SC","IGA","Hwy 378","29162",33.89400843205931,-80.0111852213219
"29169","West Columbia","SC","Food Lion Grocery Store","1013 Broad River Rd","29210",34.0251466216448,-81.08093830477061
"29169","West Columbia","SC","Aldi","2930 Augusta Rd","29170",33.9794575,-81.1163802
"29169","West Columbia","SC","Bi-Lo","chestnut","29115",33.9918067552392,-81.05227743275138
"29169","West Columbia","SC","El Mariachi","1078 Sunset Blvd","29169",33.99837069174942,-81.07589954525913
