"zip","city","state","name","address","postalCode","lat","lon"
"20105","Aldie","VA","Harris Teeter","42415 Ryan Rd","20148",38.98585828207772,-77.53550717372306
"20105","Aldie","VA","Harris Teeter","42015 Village Center Plaza #110","20105",38.93956892974011,-77.54891005538681
"20105","Aldie","VA","ShipMyBasket","not_available","20105",38.9577,-77.6038
"20106","Amissville","VA","Hutagalung shop","Jln H. M. Jhoni No. 113 / sda","20128",38.75,-77.9599999
"20109","Manassas","VA","Target","9900 Sowder Village Sq","20109",38.73954034114904,-77.53281354904173
"20109","Manassas","VA","Walmart Supercenter","8386 Sudley Rd","20109",38.77152661116762,-77.50717777579462
"20109","Manassas","VA","Safeway","12821 Braemar Village Plz","20136",38.749735,-77.5714499
"20109","Manassas","VA","Lidl","11782 Sudley Manor Dr","20109",38.78397142496679,-77.520920161694
"20109","Manassas","VA","Giant","8025 Sudley Rd","20109",38.7826149,-77.5104253
"20109","Manassas","VA","Aldi","not_available","20110",38.78003401666667,-77.48010018333333
"20109","Manassas","VA","Global Food","10320 Festival Ln","20109",38.778548082374485,-77.50456607335079
"20109","Manassas","VA","Healthway Natural Foods","10778 Sudley Manor Dr","20109",38.788307189941406,-77.51710510253906
"20109","Manassas","VA","Bristow Vapes & Smoke","10985 Nokesville Rd","20110",38.738741999999995,-77.526481
"20109","Manassas","VA","El Mejor Supermercado","not_available","not_available",38.783708,-77.510623
"20109","Manassas","VA","La Tiendita Ventura","not_available","20111",38.78212,-77.472814
"20109","Manassas","VA","El Barrio Grocery","9644 Grant Ave","20110",38.74567435191384,-77.47415485359132
"20109","Manassas","VA","Africa Supermarket","10963 Lute Ct","20109",38.800105,-77.522966
"20109","Manassas","VA","ALDI","10294 Portsmouth Rd","20109",38.77951404603646,-77.50569862564589
"20109","Manassas","VA","Food Lovers Market","9255 Center St","20110",38.750417,-77.475771
"20109","Manassas","VA","Rivera's Factory","10953 Lute Ct","20109",38.800259999999994,-77.522155
"20109","Manassas","VA","7-Eleven","7869 Sudley Rd","20109",38.785871,-77.511728
"20110","Manassas","VA","Harris Teeter","10060 Market Circle","20110",38.73936316531943,-77.45259908517248
"20110","Manassas","VA","Walmart Supercenter","9401 Liberia Ave","20110",38.752702932793596,-77.44857241385593
"20110","Manassas","VA","Giant Foods","10100 Dumfries Rd","20110",38.7377605,-77.4751647
"20110","Manassas","VA","H Mart","8819 Centreville Rd","20110",38.76277077122787,-77.45799277747875
"20110","Manassas","VA","ALDI","9714 Liberia Ave","20110",38.74628704289358,-77.45164887746802
"20110","Manassas","VA","New Grocery & Halal Meat","Commerce Ct","not_available",38.760329,-77.460288
"20110","Manassas","VA","Mexico Lindo","8630 Mathis Ave","20110",38.768243,-77.45682
"20111","Manassas","VA","The General Store","main st","20124",38.780573080675,-77.38705416164858
"20111","Manassas","VA","Clear Waterworks LLC","10614 Lake Jackson Dr","20111",38.721838,-77.44729000000001
"20111","Manassas","VA","The Corner Grocer","8487 Euclid Ave","20111",38.77031326293945,-77.44436645507812
"20112","Manassas","VA","Harris Teeter","12745 Galveston Ct","20112",38.679907014690464,-77.36341619240609
"20112","Manassas","VA","Super Giant","5469 Mapledale Plaza","22193",38.66204389436017,-77.36702620983124
"20112","Manassas","VA","Oak Hill General Store","12203 Kahns Rd","20112",38.687657,-77.420057
"20112","Manassas","VA","Shops at County Center","12623-12901 Galveston Ct","20112",38.6796231,-77.3637574
"20115","Marshall","VA","Walmart Supercenter","700 James Madison Hwy","20186",38.697430686628664,-77.78921242253213
"20115","Marshall","VA","Giant","41 W Lee Hwy","20186",38.7300708,-77.7916151
"20115","Marshall","VA","Harris Teeter","530 Fletcher Dr","20186",38.72740647638817,-77.79555163504625
"20115","Marshall","VA","Safeway","189 W Lee Hwy","20186",38.73056249154019,-77.79712915420532
"20115","Marshall","VA","Gentle Harvest","8372 W Main St","20115",38.86501,-77.85778
"20117","Middleburg","VA","Safeway","12 W Washington St","20117",38.969127316481654,-77.7367563844382
"20119","Catlett","VA","HEB Dripping Springs","598 E. Hwy. US 290","77901",38.59380348491965,-77.71092027425765
"20120","Centreville","VA","Wegmans","14361 Newbrook Dr","20151",38.87785674261817,-77.44363551956067
"20120","Centreville","VA","Walmart Supercenter","13059 Fair Lakes Parkway","22033",38.85458814832634,-77.39649930640856
"20120","Centreville","VA","Walmart Supercenter","4368 Chantilly Shopping Center Dr","20151",38.88873103814335,-77.44310847585135
"20120","Centreville","VA","Giant","13043 Lee Jackson Memorial Hwy","22033",38.8791043,-77.3989473
"20120","Centreville","VA","Giant","14125 Saint Germain Dr","20121",38.8361551,-77.4381822
"20120","Centreville","VA","Trader Joe's","14100 Lee Hwy","20120",38.83997736050195,-77.43263854736664
"20120","Centreville","VA","Giant","5740 Union Mill Rd","20124",38.83436746386479,-77.41381466388697
"20120","Centreville","VA","Lotte Plaza","13955 Metrotech Dr","20151",38.895206273928316,-77.42657616156919
"20120","Centreville","VA","Lotte Plaza Market","5900 Centreville Crest Ln","20121",38.83782727019008,-77.43559515846475
"20120","Centreville","VA","H Mart","13818 Braddock Rd","20121",38.83764068973332,-77.42768052244884
"20120","Centreville","VA","ALDI","13920 Lee Jackson Memorial Hwy","20151",38.8940732,-77.4276233
"20120","Centreville","VA","Giant","5615 Stone Rd","20120",38.854017071538976,-77.44926542043686
"20120","Centreville","VA","India Bazaar","13959 Metrotech Dr","20151",38.895455,-77.428595
"20120","Centreville","VA","Good Fortune Supermarket","5111 Westfields Blvd","20120",38.867571999999996,-77.44677800000001
"20120","Centreville","VA","The Field at Commonwealth","14335-14350 Newbrook Dr","20151",38.87761841293296,-77.44394687815497
"20120","Centreville","VA","Grand Village","not_available","20120",38.86731288664466,-77.44854927062988
"20120","Centreville","VA","Gmart","13065 Fair Lakes Shopping Ctr","22033",38.85396194458008,-77.39972686767578
"20120","Centreville","VA","Cho Binh Duong","13830 Lee Hwy #18","20120",38.839924888146875,-77.42588996887207
"20120","Centreville","VA","Park N Shop","13830 Lee Hwy","20120",38.838978,-77.434902
"20120","Centreville","VA","Citimart","14631 Lee Hwy","20121",38.834494,-77.454312
"20129","Paeonian Springs","VA","Paeonian Grocery and Gourmet","40602 Charles Town Pike","20129",39.149444580078125,-77.61665344238281
"20132","Purcellville","VA","Harris Teeter","105 Purcellville Gateway Dr","20132",39.13648738832397,-77.69421616273601
"20132","Purcellville","VA","Giant Food","1000 E Main St","20132",39.13558618094574,-77.70027458667755
"20132","Purcellville","VA","Shop And Save","not_available","20132",39.137045,-77.706732
"20132","Purcellville","VA","Healthway Natural Foods","PO Box 129","20134",39.13650281838006,-77.71621523962318
"20132","Purcellville","VA","Ailment Store","19198 State Route 719","20132",39.08488690853119,-77.78660416603088
