"zip","city","state","name","address","postalCode","lat","lon"
"99501","Anchorage","AK","Elmendorf Fitness Center","9497 20th St.","99506",61.24566434536626,-149.8045716858983
"99501","Anchorage","AK","Hilton Hotel Fitness","500 West","99501",61.219273,-149.892474
"99501","Anchorage","AK","Planet Fitness","3101 Penland Pkwy","99508",61.216751140853866,-149.81932349531215
"99501","Anchorage","AK","Powerhouse Gym","202 E Northern Lights Blvd","99503",61.21424150845989,-149.87165277421548
"99501","Anchorage","AK","The Alaska Club Downtown","701 W 8th Ave Ste 100","99501",61.21481132082395,-149.89780366365676
"99501","Anchorage","AK","Muscles In Motion","802 Gambell St","99501",61.214385986328125,-149.87203979492188
"99501","Anchorage","AK","Sheraton Fitness Center","401 E 6th Ave","99501",61.21698117048121,-149.87645995289546
"99501","Anchorage","AK","Hangar 5 Crossfit","Base","not_available",61.239117932473334,-149.8339680669434
"99501","Anchorage","AK","Susitna Ridge Gym","1601 Medfra St, Anchorage, AK 99501","99501",61.205543518066406,-149.85646057128906
"99501","Anchorage","AK","Anytime Fitness","3074 Mountain View Dr","99501",61.220535999999996,-149.815374
"99501","Anchorage","AK","Marriott Gym","820 W 7th Ace","99501-3407",61.212327436943326,-149.8907827289383
"99501","Anchorage","AK","Mountain View Boys And Girls Club","315 Price St","99508",61.226259,-149.811206
"99501","Anchorage","AK","Captain Cook Athletic Club","939 W 5th Ave","99501",61.21812813143321,-149.89850160866686
"99501","Anchorage","AK","Anchorage Marriott Downtown Fitness Center","not_available","99501",61.215423,-149.898275
"99502","Anchorage","AK","Curves","1921 W Dimond Blvd","99515",61.139111,-149.915619
"99502","Anchorage","AK","The Alaska Club - Club For Women","1450 W Northern Lights Blvd","99503",61.194749623537426,-149.91110432586632
"99502","Anchorage","AK","Dietary Insights & Exercise Teachings","3360 Orbit Dr","99517",61.18998,-149.964843
"99502","Anchorage","AK","BR","not_available","99502",61.158341,-149.951923
"99502","Anchorage","AK","Katie Fi's Zumba Studio","not_available","not_available",61.15085244,-149.9291516
"99502","Anchorage","AK","The Alaska Club Express Jewel Lake","3841 W Dimond Blvd","99502",61.1377601013301,-149.9513581207193
"99502","Anchorage","AK","The Alaska Club West","1400 W Northern Lights Blvd","99503",61.194618958455244,-149.91035224290854
"99502","Anchorage","AK","Boys & Girls Club - Woodland Park","2300 W 36th Ave","99517",61.18715286254883,-149.92604064941406
"99503","Anchorage","AK","Alaska Athletics","not_available","99503",61.182998,-149.867339
"99503","Anchorage","AK","Fat Gym","611 W 32nd Ave Apt 106","99503",61.19173049926758,-149.89498901367188
"99503","Anchorage","AK","BP Fitness Center","not_available","99508",61.19222158109379,-149.86499657083579
"99503","Anchorage","AK","Rock Hard Fitness","549 W Intl Airport Rd Ste A6","99518",61.17461899999999,-149.893932
"99503","Anchorage","AK","Stroller Strides Anchorage","40th Ave. and B St. Anchorage","99503",61.184983469053236,-149.8867106437683
"99503","Anchorage","AK","Pure Barre","3700 Old Seward Hwy Ste 5","99503",61.186919152292425,-149.869524989412
"99503","Anchorage","AK","F45 Training Midtown Anchorage","4307 Arctic Boulevard","99503",61.181201,-149.896999
"99503","Anchorage","AK","Gym","Grand Duchess","99518",61.17349624633789,-149.88980102539062
"99503","Anchorage","AK","Alaska Fitness","2700 A St","99503",61.1956491,-149.884367
"99503","Anchorage","AK","Denali Cheer","4140 Ingra street","99502",61.182951,-149.867196
"99504","Anchorage","AK","Body Renew Alaska","7710 Grass Creek Rd","99504",61.208778381347656,-149.738525390625
"99504","Anchorage","AK","The Alaska Club Express","7731 E Northern Lights Blvd","99504",61.195644,-149.734517
