"zip","city","state","name","address","postalCode","lat","lon"
"85003","Phoenix","AZ","Roosevelt Square Fitness Center","121 W Portland St","85003",33.4597639660859,-112.07475671574585
"85003","Phoenix","AZ","Gym @ Fairfield","not_available","85003",33.47616157661509,-112.07476992688257
"85003","Phoenix","AZ","Lifestart Fitness Center","40 N Central Ave","85004",33.448326743241715,-112.07443152534982
"85003","Phoenix","AZ","Renaissance Athletic Club","2 N Central Ave","85004",33.44844887216982,-112.07407208028516
"85003","Phoenix","AZ","Maricopa County Attorney's Office Gym","301 W Jefferson St","85003",33.447723388671875,-112.0784912109375
"85003","Phoenix","AZ","2800 Gym","2800 N Central Ave","85004",33.47877502441406,-112.07449340820312
"85003","Phoenix","AZ","Body Pump!","not_available","85004",33.45338346096413,-112.07545108396546
"85003","Phoenix","AZ","44 Monroe Gym","44 W Monroe St","85003",33.450574,-112.074924
"85003","Phoenix","AZ","ROC Gymbrarium","not_available","not_available",33.47369803069918,-112.07332795832198
"85003","Phoenix","AZ","Central Park Square Athletic Club","2020 N Central Ave","85004",33.470436,-112.074061
"85003","Phoenix","AZ","Ck Fitness Studio","McDowell","85003",33.46573,-112.07388
"85004","Phoenix","AZ","Mountainside Fitness Platinum","401 E Jefferson St","85004",33.44654545447412,-112.06667428884842
"85004","Phoenix","AZ","EōS Fitness","1 E Washington St #250","85004",33.44794123210831,-112.07303303085496
"85004","Phoenix","AZ","The Warehouse","321 E Lincoln St","85004",33.442845992258746,-112.06902118564945
"85004","Phoenix","AZ","Gannett Fitness Center","200 E Van Buren St","85004",33.451839447021484,-112.07084655761719
"85004","Phoenix","AZ","Stay Fit Gym at Hyatt","122 N 2nd St","85004",33.44995446537287,-112.07162612254248
"85004","Phoenix","AZ","Phoenix Suns/Mercury IASIS Healthcare Training Facility","230 South Third Street","85004",33.445191,-112.06965
"85004","Phoenix","AZ","WestinWORKOUT Fitness Center","333 N Central Ave","85004",33.45180785166161,-112.07281016343097
"85004","Phoenix","AZ","The gym at Alta Phoenix Lofts","600 N 4th St","85004",33.455005253167045,-112.06881964620868
"85006","Phoenix","AZ","Tangible Fitness","1500 E Thomas Rd Ste 110","85014",33.48031478499672,-112.04888463020323
"85006","Phoenix","AZ","The Stamski Gym","not_available","85006",33.450825,-112.060288
"85006","Phoenix","AZ","Copperhead Crossfit","2109 E McDowell Rd","85006",33.46529684403805,-112.03646706310587
"85006","Phoenix","AZ","Calballo Loco Gym","11OO e osborn","85014",33.48005130745933,-112.06423816682086
"85007","Phoenix","AZ","Central Boxing Club","1755 W Van Buren St","85007",33.451072118492235,-112.09786278475467
"85007","Phoenix","AZ","Rodriguez Boxing Gym","1350 W Roosevelt St","85007",33.45894241333008,-112.09095001220703
"85008","Phoenix","AZ","Planet Fitness","3975 E Thomas Rd","85018",33.478433,-111.996531
"85008","Phoenix","AZ","Curves","2012 N 51st St","85008",33.469688415527344,-111.97295379638672
"85008","Phoenix","AZ","Spark Crossfit","5444 E Washington St","85034",33.446628000000004,-111.963582
"85008","Phoenix","AZ","Allen Readiness Center Gym","not_available","85018",33.472146359210555,-111.96542160852005
"85008","Phoenix","AZ","Indigo Palms Gym","3777 E McDowell Rd","85008",33.464393615722656,-112.0013198852539
"85008","Phoenix","AZ","Crossfit Full Strength","4633 E Thomas Rd","85018",33.478539532507874,-111.99966871295022
"85008","Phoenix","AZ","Iron 90","4201 E Thomas Rd","85018",33.479934,-111.991009
"85008","Phoenix","AZ","Monte Verde Gym","not_available","85008",33.46353749589608,-112.00362587757428
"85008","Phoenix","AZ","Club 44 (GYM)","410 N 44th St","85008",33.45270844412597,-111.98971657808472
"85008","Phoenix","AZ","Gym @ Red Mountain Villas","815 N 52nd St, Phoenix, AZ 85008","85008",33.457244873046875,-111.96758270263672
"85008","Phoenix","AZ","CST Gym","5636 E McDowell Rd","85008",33.468839,-111.966214
"85008","Phoenix","AZ","PERA Club Gym","not_available","85281",33.454764294803326,-111.94153934427004
"85008","Phoenix","AZ","Residence Inn Fitness Center","801 N 44th St","85008",33.456561,-111.986149
"85008","Phoenix","AZ","Palazzo Townhomes Fitness Center","886 N Cofco Center Ct","85008",33.46291012663863,-111.99073481537833
"85008","Phoenix","AZ","Chavez Boxing Gym","2309 N 24th St Ste A","85008",33.4736938,-112.0298991
"85008","Phoenix","AZ","Gold's Gym Elite","1 E Washington St","85004",33.4684820979181,-112.01297018867344
"85008","Phoenix","AZ","Aloft Gym","4450 E Washington St","85034",33.44876952655028,-111.98598222425512
"85009","Phoenix","AZ","Rock Solid Fitness","410 N 44th St, Phoenix, AZ 85008","85008",33.4759414802825,-112.1067495022593
"85009","Phoenix","AZ","Real Deal Pro-Wrestling Arena","1764-1938 S 35th Ave","85009",33.43219086,-112.13559245
"85009","Phoenix","AZ","Falcon's Wrestling Gym","3333 N. Roosevelt","85009",33.45700137261552,-112.13004198891768
"85009","Phoenix","AZ","MCSO Fitness Center","not_available","85009",33.42498592818364,-112.13274637779631
"85009","Phoenix","AZ","Falcon's Weight Room","3333 W Roosevelt St","85009",33.45684051513672,-112.13236999511719
"85012","Phoenix","AZ","The Station on Central","4140 N Central Ave","85012",33.495938,-112.075503
"85012","Phoenix","AZ","Muscle Factory","not_available","85012",33.48639206345727,-112.06958846946662
"85012","Phoenix","AZ","24 Hour Fitness","not_available","85014",33.48594347949492,-112.06543747394817
"85012","Phoenix","AZ","Gym","1 W Campbell Ave","85013",33.50147909861899,-112.07419079646483
"85012","Phoenix","AZ","Phoenix Plaza Fitness Center","Thomas","not_available",33.481523516253716,-112.07266241404116
"85012","Phoenix","AZ","Monarch Gym","Coolidge St.","85013",33.489336,-112.06822
"85012","Phoenix","AZ","TriFIT Wellness","505 E Camelback Rd","85012",33.509043,-112.066741
"85012","Phoenix","AZ","Major League Conditioning Center","6200 N. 7th","85012",33.52760696411133,-112.06537628173828
"85012","Phoenix","AZ","Sports Club at City Square","4000 N Central Ave","85012",33.49240741480846,-112.07565484886842
"85012","Phoenix","AZ","NPBC Family Life Center","5757 N Central Ave","85012",33.52129884905345,-112.07110057801064
"85012","Phoenix","AZ","Curves On Central","3636 N Central Ave","85012",33.49048,-112.075033
"85012","Phoenix","AZ","Now, Voyager Counseling Hypnosis","3819 N 3rd Street","85012",33.49186262,-112.06879224
"85012","Phoenix","AZ","Apartments At Steele Park Gym","411 E Indian School Rd","85012",33.49308348061682,-112.06746337020122
"85012","Phoenix","AZ","Third Avenue Palms Fitness Center","3633 N 3rd Ave","85013",33.48953845546894,-112.07720964729685
"85012","Phoenix","AZ","Gym at Landmark Towers","4750 N Central Ave","85012",33.50685944850069,-112.07478849659483
"85013","Phoenix","AZ","LA Fitness","710 W Camelback Rd","85013",33.51136200487606,-112.08342471248312
"85013","Phoenix","AZ","Orangetheory Fitness","3350 N 7th Ave","85013",33.48733532640289,-112.08449055772792
"85013","Phoenix","AZ","Aura at Midtown","3626 N 5th Ave","85013",33.49009163442884,-112.08032440790574
"85013","Phoenix","AZ","Fitness Room At Hawthornes","3848 N 3rd Ave","85013",33.49334716796875,-112.08008575439453
"85013","Phoenix","AZ","Fitness Center at Colter Park","909 W Colter St","85013",33.51235580444336,-112.08443450927734
"85014","Phoenix","AZ","The Heritage Apartment Homes","1100 E Osborn Road","85014",33.48820915284504,-112.05768908427649
"85014","Phoenix","AZ","Youfit Health Clubs","1515 E Bethany Home Rd","85014",33.522537372274876,-112.04852730988853
"85014","Phoenix","AZ","CorePower Yoga","5539 N 7th St Ste 116","85014",33.5183002,-112.0634413
"85014","Phoenix","AZ","FIIT Training Center","4828 N 16th St","85016",33.508576684129046,-112.04767377360986
"85014","Phoenix","AZ","32 Fitness","1000 E Camelback Rd","85014",33.509451,-112.060433
"85014","Phoenix","AZ","Regency Park Gym","6333 N 12th St","85014",33.53021,-112.055555
"85014","Phoenix","AZ","CrossFit Boot Camps","4717 N 7th St","85014",33.50601577758789,-112.0645980834961
"85014","Phoenix","AZ","Citi Clubhouse and Gym","911 E Camelback Rd","85014",33.50904905252948,-112.06104863039351
"85014","Phoenix","AZ","Carlyle Gym","5303 N 7th St","85014",33.514365999999995,-112.064249
"85014","Phoenix","AZ","Gym At Partenza","1320 E Highland Ave","85014",33.50651168823242,-112.05345153808594
"85014","Phoenix","AZ","Pamela Young Fitness","1095 E Indian School Rd Ste 500","85014",33.4945194,-112.0583242
"85014","Phoenix","AZ","Pure Barre","5505 N 7th St Ste 130","85014",33.5168320372334,-112.06458805136435
"85014","Phoenix","AZ","Handemon","Bethany Home Road","85014",33.523334,-112.063234
"85014","Phoenix","AZ","Phoenix Country Club Fitness Center","2901 N 7th St","85014",33.48139226077664,-112.06001919397252
"85015","Phoenix","AZ","Christown YMCA","5517 N 17th Ave","85015",33.517419039175486,-112.09469111086143
"85015","Phoenix","AZ","Planet Fitness","1625 W Camelback Rd","85015",33.50858684300972,-112.09490336796529
"85015","Phoenix","AZ","Anytime Fitness Christown","1703 W Bethany Home Rd, Suite T10","85015",33.52237319946289,-112.09640502929688
"85015","Phoenix","AZ","ideal rehabilitation","59th And Union Hills","85308",33.5248002910268,-112.10038595945903
"85015","Phoenix","AZ","Home Gym - Temporary","not_available","85015",33.53464449357437,-112.09679973138034
"85015","Phoenix","AZ","Estates on Maryland","1802 W Maryland Ave","85015",33.53184102666386,-112.0970835138228
"85016","Phoenix","AZ","Life Time Biltmore","2580 E. Camelback Rd","85016",33.5096016,-112.0254993
"85016","Phoenix","AZ","LA Fitness","2077 E Camelback Rd","85016",33.50688822254393,-112.03727602958679
"85016","Phoenix","AZ","Biltmore Promenade Gym/Fitness Center","2625 E Indian School Rd","85016",33.494793545326125,-112.02496545929633
"85016","Phoenix","AZ","Anytime Fitness","3135 E Indian School Rd","85016",33.49429,-112.01364
"85016","Phoenix","AZ","GYM","not_available","85016",33.51397978106831,-112.04145122557762
"85016","Phoenix","AZ","Camby Jim","2401 E Camelback Rd","85016",33.50871658325195,-112.02941131591797
"85016","Phoenix","AZ","F45 Training Biltmore","3147 E Lincoln Dr","85016",33.5305954,-112.0135779
"85016","Phoenix","AZ","i workout!","1701 E Colter St","85016",33.511844635009766,-112.04542541503906
