"zip","city","state","name","address","postalCode","lat","lon"
"90001","Los Angeles","CA","Little Gym","not_available","not_available",33.98688507080078,-118.2490463256836
"90002","Los Angeles","CA","Blink Fitness","15919 Bellflower Blvd Unit A","90706",33.9462471,-118.229042
"90003","Los Angeles","CA","Broadway Boxing Gym","10730 S Broadway","90061",33.938455,-118.27775
"90004","Los Angeles","CA","Gym(The chadwick)","not_available","90004",34.0709403422341,-118.28827231911919
"90004","Los Angeles","CA","Curves","527 N Larchmont Blvd","90004",34.079751967916586,-118.3238696440285
"90004","Los Angeles","CA","Gym @ Redwood Urban","5119 Maplewood Ave","90004",34.08102035522461,-118.31419372558594
"90004","Los Angeles","CA","KTown Boxing Club","242 S Western Ave","90004",34.069878,-118.30878
"90004","Los Angeles","CA","The Rossmore","585 N Rossmore Ave","90004",34.081478910758456,-118.32744158253423
"90004","Los Angeles","CA","StrengthRx CrossFit","5024 Melrose Ave","90038",34.08354224154324,-118.31018754041693
"90004","Los Angeles","CA","Gym @ The Windsor At Hancock Park","not_available","90036",34.07859382853429,-118.3276368503755
"90005","Los Angeles","CA","Orangetheory Fitness","687 Hobart Blvd","90005",34.061505,-118.305735
"90005","Los Angeles","CA","Lassiter Gym","not_available","90005",34.06327451237133,-118.33328179506431
"90005","Los Angeles","CA","5 Star Martial Arts","4201 Wilshire Blvd. Ste. 105","90010",34.06228342180525,-118.31913069208302
"90005","Los Angeles","CA","Crystal Workout Studio","not_available","90010",34.063177443590625,-118.29861007589764
"90005","Los Angeles","CA","Gramercy Place Gym","620 S Gramercy Pl","90005",34.062940000000005,-118.312446
"90005","Los Angeles","CA","The Mercury Rooftop Gym","3810 Wilshire Blvd","90010",34.06146506666666,-118.30946186666667
"90005","Los Angeles","CA","Wilshire vermont station gym","3185 Wilshire Blvd Fl 2","90010",34.06288425242131,-118.29109141803977
"90006","Los Angeles","CA","Avenger's Training Camp","not_available","90057",34.053879418729416,-118.27947880651327
"90006","Los Angeles","CA","Fitness & Beyond","3018 W Pico Blvd","90006",34.046975,-118.306754
"90006","Los Angeles","CA","zumba fitness","not_available","90006",34.048619602883605,-118.29030356677863
