"zip","city","state","name","address","postalCode","lat","lon"
"46001","Alexandria","IN","Medfit","not_available","not_available",40.20452,-85.654292
"46011","Anderson","IN","Planet Fitness","903 Raible Ave","46011",40.106683000000004,-85.711377
"46011","Anderson","IN","The Onion Factory","2700 County Road 100 W","46011",40.1453241765861,-85.68959826921984
"46012","Anderson","IN","Cross Lake Fitness room","not_available","46012",40.133179,-85.657082
"46012","Anderson","IN","White River sports complex","not_available","46016",40.100303985636096,-85.65393485452174
"46012","Anderson","IN","The Eliptical","Here","46012",40.11045547052054,-85.65078007933435
"46012","Anderson","IN","O.C. Lewis Gymnasium","211 Graceland Ave","46012",40.11469448701472,-85.65996421483213
"46012","Anderson","IN","Fitness Offce","12th Street","46016",40.10410160094798,-85.68028830043984
"46012","Anderson","IN","Anderson Sports Center","2700 Indiana Ave","46012",40.14283734554399,-85.68098295763394
"46013","Anderson","IN","Pendleton YMCA","6539 Spring St","46064",40.01130418464968,-85.7322701609703
"46013","Anderson","IN","Hoosier Woods Fitness Center","not_available","46013",40.075625100114436,-85.63791432874858
"46013","Anderson","IN","LivRite Fitness","4018 Columbus Avenue","46013",40.07452,-85.66689
"46030","Arcadia","IN","workout room","not_available","46060",40.14128494262695,-85.88164520263672
"46032","Carmel","IN","LA Fitness","2744 E 146th St","46033",40.00203694149783,-86.11446566618042
"46032","Carmel","IN","Carmel Total Fitness","820 City Center Dr","46032",39.96548711408159,-86.14812847334872
"46032","Carmel","IN","Monon Community Center","1195 Central Park Drive West","46032",39.9511147,-86.1378288
"46032","Carmel","IN","Orangetheory Fitness","2438 E 146th St","46033",40.000815404952185,-86.11934326451124
"46032","Carmel","IN","Off The Wall Sports","1423 Chase Court","46032",39.96072465097412,-86.13664443338317
"46032","Carmel","IN","Exercise Inc","11145 N Michigan Rd Ste 140","46077",39.947694165694664,-86.2392536011189
"46032","Carmel","IN","Life Time Fitness","11691 Fishers Corner Blvd","46038",39.926121,-86.157808
"46032","Carmel","IN","LA Fitness","10574 Workout Way","46032",39.939347849816166,-86.23850690714175
"46032","Carmel","IN","Monon Community Center Aqua Park","1195 Central Park Drive W","46032",39.95117317109199,-86.13835938914414
"46032","Carmel","IN","Planet Fitness","2192 E 116th St","46032",39.959346,-86.116277
"46032","Carmel","IN","Hoosier Heights Indianapolis","9850 Mayflower Park Dr","46032",39.929856215219324,-86.23816995933072
"46032","Carmel","IN","Hoffacker Fitness @ Meridian street","not_available","46240",39.94203436929391,-86.16004655623415
"46032","Carmel","IN","Wentworth at WestClay Gym","not_available","46032",39.97378241963513,-86.19891532370468
"46032","Carmel","IN","Anytime Fitness","110 W Main St Ste 170","46032",39.979147151754844,-86.12860475330353
"46032","Carmel","IN","Harmony Club","1414 W 151st St","46074",40.008426666259766,-86.18390655517578
"46032","Carmel","IN","Hollywood All Stars","Gradle Drive","46032",39.965712,-86.135196
"46032","Carmel","IN","Abrams Fitness Center","9820 Summerlakes Dr","46032",39.933027,-86.197539
"46032","Carmel","IN","Eat The Frog Fitness","12751 Pennsylvania St","46032",39.9730224609375,-86.15448760986328
"46032","Carmel","IN","F45 Training West Carmel","4335 West 106th St","46077",39.940141,-86.234702
"46032","Carmel","IN","Laura Marenco Fitness","not_available","46033",40.00046180956912,-86.1181299705831
"46032","Carmel","IN","F45 Training North Carmel","14300 Clay Terrace Blvd","46032",39.995975,-86.129785
"46032","Carmel","IN","Merdian Crossing Gym","Meridian CROSSING","46032",39.95548092989175,-86.1605583101065
"46032","Carmel","IN","The Bar Method","10425 Commerce Drive, Suite 120","46032",39.93677,-86.230506
"46032","Carmel","IN","CrossFit Carmel","260 1st Ave SW","46032",39.966543514050954,-86.14487047972496
"46032","Carmel","IN","Better Bodies Inc.","12775 Horseferry Rd","46032",39.97261428120861,-86.1956696915103
"46033","Carmel","IN","Planet Fitness","11728 Fishers Crossing Dr","46038",39.959641,-86.040699
"46033","Carmel","IN","Stewart Fitness Boot Camp","10475 Crosspoint Blvd","46256",39.93959573171281,-86.02394721808494
"46033","Carmel","IN","Gym","Porchester Dr","46062",40.00904804567619,-86.07980671418466
"46033","Carmel","IN","Snap Fitness","7266 E 116th","46038",39.95817,-86.042348
"46033","Carmel","IN","Core Essentials By Stewart Fitness","not_available","46256",39.93967270400549,-86.02390793087173
"46033","Carmel","IN","Inner Strength Indy","11099 Village Square Ln","46038",39.951115,-86.040417
"46033","Carmel","IN","My Personal Fitness","11531 Village Square Ln","46038",39.951953508967925,-86.0404385626316
"46033","Carmel","IN","Feel Good Nutrition & Fitness","260 W Carmel Dr","46032",39.96249008178711,-86.13146209716797
"46033","Carmel","IN","North Haven Gym","Haven Point Bl","not_available",39.9320333921894,-86.09110833078867
"46033","Carmel","IN","Survival Fitness","14179 Clay Terrace Blvd","46032",39.99445636666667,-86.12831625
"46033","Carmel","IN","Cardinal Fitness","2480 E 146th St","46033",40.00160319348172,-86.11869503268505
"46033","Carmel","IN","Bang Fitness","3304 E 146th St","46033",40.00175381202971,-86.1185194549042
"46033","Carmel","IN","Fitness Together - Westfield","14645 N Gray Rd","46062",40.00177296597325,-86.09167856149136
"46033","Carmel","IN","Mohawk Hills fitness Center","945 Mohawk Hills Dr","46032",39.967838287353516,-86.11390686035156
"46034","Cicero","IN","The Horseshoe Gym","23129 Sonoma Ln Bsmt","46034",40.125553131103516,-86.05242156982422
"46034","Cicero","IN","Hodson Gym","not_available","46034",40.117799505078686,-86.0222290779572
"46036","Elwood","IN","Anytime Fitness","7350 W SR-28 Unit A, Park Plaza Center","46036",40.27822,-85.81146
"46036","Elwood","IN","Elwood YMCA","1620 Main St","46036",40.27759672782247,-85.83878312441156
"46037","Fishers","IN","YMCA","9012 E 126th St","46038",39.97238708098964,-86.01009185311275
"46037","Fishers","IN","LA Fitness","11752 Cumberland Rd","46037",39.95946935580703,-85.99520477359955
"46037","Fishers","IN","MEi fitness","10610 E 96th St","46037",39.928076998573765,-85.98155944297929
"46037","Fishers","IN","The Fieldhouse","11825 Technology Dr","46038",39.96272176021019,-86.00518485506431
"46037","Fishers","IN","Orangetheory Fitness","11695 Olio Rd","46037",39.95891523234961,-85.91686248779297
"46037","Fishers","IN","Pure Barre","11581 Geist Pavilion Dr Ste 110","46037",39.9562626,-85.9164016
"46037","Fishers","IN","Orangetheory Fitness","8700 North St","46038",39.9586319,-86.0157847
"46037","Fishers","IN","First Friend K-9 Training","12401 Reynolds Dr","46038",39.96882929675486,-86.00204662084283
"46037","Fishers","IN","zumba class","not_available","46038",39.961932558869286,-86.00724586468895
"46037","Fishers","IN","HSE Weight Room","Hse","46038",39.96925599468246,-85.91722519929651
"46037","Fishers","IN","Ultimate Personal Training","12574 Promise Creek Ln Ste 108","46038",39.971404352471744,-85.97348095654506
"46037","Fishers","IN","Sky Zone","10080 E. 121st Street, Suite 182","46037",39.967181718524714,-85.98871572501548
"46037","Fishers","IN","Limestone Springs Gym & Clubhouse","Copper Mines Way","46038",39.98387817268605,-85.95074517501574
"46037","Fishers","IN","CYCLEBAR","11545 Ikea Way Ste 630 Bldg P6","46037",39.956329345703125,-86.00237274169922
"46037","Fishers","IN","Xanderfit Personal Training","11834 Igneous Dr","46038",39.983506,-85.95512
"46037","Fishers","IN","Lantern Woods","10950 Lantern Woods Boulevard","46038",39.9465474,-86.0193504
"46037","Fishers","IN","Fitness Together - Fishers","8395 E 116th St","46038",39.95635986328125,-86.02037048339844
"46037","Fishers","IN","Wellington Place Fitness Center","not_available","46037",39.93662624707094,-86.01312645485142
"46037","Fishers","IN","Cardinal Fitness","10610 East 96th St","46256",39.92801348369179,-85.98167021535123
"46038","Fishers","IN","Anytime Fitness","14300 Mundy Dr Ste 1200","46060",39.99591,-86.00234
"46039","Forest","IN","JCT Private Gym","not_available","46979",40.414147,-86.281625
"46040","Fortville","IN","Anytime Fitness","9653 Olio Rd","46055",39.92906,-85.91814
"46041","Frankfort","IN","clubville","Roth Ct","46065",40.41835221861273,-86.60815244262658
"46041","Frankfort","IN","Anytime Fitness","2419 E Wabash St","46041",40.27873990206998,-86.48153185844421
"46052","Lebanon","IN","Sedgeley Gym","not_available","46075",39.990897,-86.351114
"46052","Lebanon","IN","Lebanon Sports & Fitness","327 N Lebanon St","46052",40.05010986328125,-86.46886444091797
"46052","Lebanon","IN","Fit4Change HQ","7735 G Tanager CT","46077",39.929286,-86.340697
"46052","Lebanon","IN","ZWest Gym","not_available","46077",39.95891176234479,-86.33388583159237
"46052","Lebanon","IN","Witham YMCA Program Site","119 N Meridian St","46052",40.04813003540039,-86.4679183959961
"46052","Lebanon","IN","Anytime Fitness","2310 N Lebanon St","46052",40.06727,-86.47499
"46052","Lebanon","IN","XCEL Fit Club","6848 Whitestown Parkway","46077",39.94999313354492,-86.3388900756836
"46052","Lebanon","IN","Indy Juniors Volleyball Club","5801 S 650 E","46075",39.95686340332031,-86.34373474121094
"46052","Lebanon","IN","Anson Fitness Center","6380 Central Blvd","46075",39.952815,-86.347115
"46052","Lebanon","IN","Workout Hub","6828 W Stonegate Dr.","46077",39.951361,-86.332528
"46060","Noblesville","IN","LA Fitness","16640 Mercantile Blvd","46060",40.030335993977765,-85.99228476390007
"46060","Noblesville","IN","Three Kings Crossfit","10400 Pleasant St","46060",40.041053771972656,-85.98270416259766
"46060","Noblesville","IN","Crossfit Indy North","15475 Endeavor Dr","46060",40.01392186494287,-85.99168636780922
"46060","Noblesville","IN","Curves Of Noblesville","170 Logan St","46060",40.0496711730957,-86.019287109375
"46060","Noblesville","IN","Raymer Strength","18915 Fairfield Blvd","46060",40.062904357910156,-86.00022888183594
"46060","Noblesville","IN","""The Gym"" And Fitness Center","939 Conner St","46060",40.04542922973633,-86.01277923583984
"46060","Noblesville","IN","Pure Barre","17231 Mercantile Blvd","46060",40.0388265,-85.9941325
"46060","Noblesville","IN","Compass Fitness","15192 Cumberland Rd","46060",40.00973892211914,-85.99420166015625
"46060","Noblesville","IN","Judies Gym","191st","46060",40.064573901172174,-86.00586891174316
"46060","Noblesville","IN","Slim&Fit","14093 Mundy Dr","46038",39.993049,-86.002632
"46060","Noblesville","IN","Amy Lee's Workout Room","CB","46038",39.99770367980548,-85.9834885597229
"46060","Noblesville","IN","Koko Fit Club","Mundy Dr","46062",39.9970588684082,-86.00241088867188
"46060","Noblesville","IN","Embassy Suites Fitness Center","13700 Conference Center Dr S","46060",39.992774963378906,-85.9210433959961
"46060","Noblesville","IN","LivRite Fitness","14640 Herriman Blvd","46060",40.001399,-86.005964
"46060","Noblesville","IN","Anytime Fitness","158 W Logan St","46060",40.04951,-86.01897
"46062","Noblesville","IN","Planet Fitness","3440 E State Rd 32, Unit B","46074",40.043425,-86.107498
"46062","Noblesville","IN","Brooke's Workout Room","17926 Racebrook Ct","46062",40.048526763916016,-86.08795928955078
"46062","Noblesville","IN","Fit Now - Speed Athletics Location","711 E Main St","46074",40.0423698425293,-86.11781311035156
"46062","Noblesville","IN","PB Gym","Pebble Brooke","46060",40.0452480466954,-86.07776664627275
"46062","Noblesville","IN","401 Fitness","not_available","46074",40.04199955863326,-86.11745369592381
"46062","Noblesville","IN","Workout Anytime","5633 Pebble Village Lane","46062",40.0440349,-86.0743974
"46062","Noblesville","IN","Greystone Gym","7160 Oxfordshire Blvd","46062",40.002113342285156,-86.04368591308594
"46064","Pendleton","IN","MyTime Fitness","3319 Angle Rd","46064",39.99574230621214,-85.73785254972901
"46064","Pendleton","IN","Academy Of Athletic Arts","3167 Angle Rd","46064",39.99260036167596,-85.73394121522158
"46069","Sheridan","IN","F45 Training Westfield Airport (Opening soon - Location to be revealed shortly)","632 E","46074",40.043173,-86.147724
"46071","Thorntown","IN","The Gym","not_available","46071",40.16616439819336,-86.5538330078125
"46072","Tipton","IN","Anytime Fitness","341 W Jefferson St","46072",40.28132,-86.04616
"46072","Tipton","IN","T & G Workout Facility","not_available","46072",40.272525787353516,-86.03114318847656
"46074","Westfield","IN","Survival Fitness","233 E 175th St","46074",40.040487,-86.154477
"46074","Westfield","IN","FitNow Personal Fitness Training","1022 Kendall Ct","46074",40.039827,-86.13975500000001
"46074","Westfield","IN","Maple Knoll Gym","500 Bigleaf Maple Way","46074",40.03886032104492,-86.16769409179688
"46074","Westfield","IN","Snap Fitness Center","220 W 161st St","46074",40.022265173419264,-86.16288938445744
"46074","Westfield","IN","Hamilton Crossing Fitness Center","13085 Hamilton Crossing Blvd","46032",39.976967,-86.16075
"46074","Westfield","IN","Alexandria Fitness Center","1419 W Main St","46032",39.977447,-86.153134
"46074","Westfield","IN","PXP Endurance","13686 N Meridian St","46032",39.98759078979492,-86.1390609741211
"46074","Westfield","IN","The Jungle","16707 Southpark Dr, Westfield, IN 46074","46074",40.029448109060915,-86.13808507693729
"46075","Whitestown","IN","Anytime Fitness","1570 W Oak St","46077",39.95067,-86.28236
"46075","Whitestown","IN","ZCHS Main Gym","1000 Mulberry St","46077",39.960743,-86.272719
"46077","Zionsville","IN","Crossfit Zionsville","10668 Andrade Dr","46077",39.94200557320005,-86.24413912805295
"46077","Zionsville","IN","Professional Fitness","5635 W 96th St","46278",39.924557,-86.26119200000001
"46077","Zionsville","IN","Altered Physique","8840 Michigan Rd Ste 111","46268",39.915775299072266,-86.22611999511719
"46077","Zionsville","IN","Motiv Athletics","4340 West 96th st, Suite 106","46268",39.92643209743311,-86.23409271240234
"46077","Zionsville","IN","Indy Pole Fitness-North","4340 W 96th","46032",39.926245,-86.2342
"46077","Zionsville","IN","Workout Room","4701-4751 NW Plaza Dr E","46077",39.93199292,-86.23536483
"46077","Zionsville","IN","Orangetheory Fitness West-Carmel Zionsville","4000 W 106th St","46032",39.9416872,-86.2344957
"46077","Zionsville","IN","Summit Strength","4377 W 96th St","46268",39.924506,-86.233956
"46106","Bargersville","IN","Anytime Fitness","50 N State Road 135 Ste D","46106",39.52141,-86.1595
"46107","Beech Grove","IN","New Fitness","342 E Churchman Ave","46203",39.71525640233327,-86.07808499776965
"46107","Beech Grove","IN","Work Out Central","not_available","46107",39.71826706608565,-86.09091638596524
"46107","Beech Grove","IN","Holiday Inn Express Fitness Center","5302 Victory Dr","46203",39.70276641845703,-86.07787322998047
"46107","Beech Grove","IN","New Fitness and Health","342 E Churchman Ave","46107",39.71529368129416,-86.07818342482764
"46107","Beech Grove","IN","StoRAGEfit","not_available","46203",39.698561,-86.081915
"46107","Beech Grove","IN","Woodcrest Gym","Red Robin Dr","46107",39.69663125356264,-86.08525072956981
"46112","Brownsburg","IN","Planet Fitness","908 E Main St","46112",39.8387817,-86.3816256
"46112","Brownsburg","IN","PR Fitness","481 Southpoint Cir Ste 4","46112",39.843326568603516,-86.38075256347656
"46112","Brownsburg","IN","Wrestling Gym","not_available","46112",39.830587,-86.38829
"46112","Brownsburg","IN","CrossFit 317","10021 E US Highway 136","46234",39.824885924656805,-86.34621366100227
"46112","Brownsburg","IN","Brown Township","8125 Maloney Rd","46112",39.8880983,-86.3791625
"46112","Brownsburg","IN","Gino's Gym","731 Fountain Ct","46112",39.85327911376953,-86.4132308959961
"46112","Brownsburg","IN","HIP Fitness","1630 E Northfield Dr-suite 100","46112",39.83667663294799,-86.37082771966901
"46112","Brownsburg","IN","Connection Point (Fitness Center)","1800 N Green St","46112",39.874855041503906,-86.39478302001953
"46112","Brownsburg","IN","Core Restore Pilates Studio","1650 E Northfield Dr","46112",39.83608683,-86.371312
"46112","Brownsburg","IN","Brownsburg Fitness","719 Rose Ln","46112",39.861177183956144,-86.38523684878804
"46112","Brownsburg","IN","Anytime Fitness","124 E Northfield Dr Ste A","46112",39.85795,-86.39046
"46112","Brownsburg","IN","Workout Room Roadhog","464 Southpoint Cir","46112",39.840850830078125,-86.3827133178711
"46112","Brownsburg","IN","Brownsburg Workout Gym","1122 Windhaven Cir","46112",39.85213088989258,-86.37810516357422
"46112","Brownsburg","IN","Snap Fitness","311 W Northfield Dr","46112",39.8566181525949,-86.39549732208252
"46113","Camby","IN","Anytime Fitness","10302 Prosperity Cir","46113",39.63752,-86.33866
"46113","Camby","IN","Deemer's Dungeon Gym","not_available","46113",39.61940002441406,-86.31554412841797
"46118","Clayton","IN","Elite Cheer and Dance Inc","not_available","46118",39.659834708317426,-86.54796618311585
"46120","Cloverdale","IN","Eminence High School","6760 N SR 42","46125",39.52448790134073,-86.64257199496855
"46122","Danville","IN","LA Fitness","1125 Baltustrol Run","46123",39.74581527709961,-86.43746948242188
"46122","Danville","IN","Family Fun & Fitness","not_available","46123",39.76050627049123,-86.43527538394143
"46122","Danville","IN","Snap Fitness Danville","779 E Main St","46122",39.75757058599598,-86.50974855326248
"46122","Danville","IN","Fentz Gym","not_available","46122",39.77434238056635,-86.49102252687457
"46122","Danville","IN","Anytime Fitness","1070 W Main St Ste 125","46168",39.69833,-86.41753
"46122","Danville","IN","Danville Recreation And Fitness","49 N Wayne St","46122",39.76156419803483,-86.52024742416897
"46123","Avon","IN","Orangetheory Fitness","8100 E US Highway 36","46123",39.764492,-86.379395
"46123","Avon","IN","The Vest Insanity Gym","not_available","46231",39.739384,-86.327677
"46123","Avon","IN","Gym @ Linden Square","not_available","46234",39.77979355993632,-86.33119212175639
"46123","Avon","IN","CrossFit Notch 8","8109 Kingston St","46123",39.75946807861328,-86.37911224365234
"46123","Avon","IN","Mei Fitness","9166 E US Highway 36","46123",39.76419104098512,-86.35896446631355
"46123","Avon","IN","Anytime Fitness","1124 N SR 267","46123",39.77941,-86.40087
"46124","Edinburgh","IN","Camp Atterbury Fitness Center","Bldg. 329","46124",39.35327118177816,-86.03259026723715
"46124","Edinburgh","IN","Treadmill","not_available","46124",39.366467,-85.905328
"46130","Fountaintown","IN","New Palestine 24 Hour Gym And Fitness","5971 W US Highway 52","46163",39.725354851465625,-85.9126618430708
"46130","Fountaintown","IN","Anytime Fitness","5971 W US-52","46163",39.72554,-85.913
"46131","Franklin","IN","LXF ","not_available","46131",39.46554236456994,-86.06368127934226
"46131","Franklin","IN","J&R's Gym","Niagara Ln","46131",39.497755,-86.080282
"46131","Franklin","IN","The Gym @ Copper Chase","not_available","46143",39.5718125,-86.148814
"46131","Franklin","IN","Jazzercise of Franklin","715 Commerce Dr","46131",39.50722122192383,-86.05860137939453
"46131","Franklin","IN","Home Gym","not_available","46184",39.537555,-86.099595
"46131","Franklin","IN","Hollywood All-stars","2110 Earlywood Dr","46131",39.521461486816406,-86.0623779296875
"46131","Franklin","IN","Bfit Now LLC","241 N US Highway 31","46184",39.55529022216797,-86.08827209472656
"46131","Franklin","IN","Anytime Fitness","1168 N Main St","46131",39.49281,-86.06357
"46131","Franklin","IN","Sweat Shop","229 South Main Street","46131",39.47818862,-86.05496622
"46131","Franklin","IN","Moo Moo's Gym","County road 75 E","46143",39.58748375390677,-86.0901466419289
"46135","Greencastle","IN","Anytime Fitness","27 Putnam Plaza Suite A","46135",39.64757,-86.83001
"46135","Greencastle","IN","Fitness In Motion","3915 Hanna Drive","46135",39.63922882080078,-86.86688232421875
"46140","Greenfield","IN","Hancock Wellness Center","888 W New Rd","46140",39.81472145670925,-85.78207921368984
"46140","Greenfield","IN","Indiana Gym Nest","58 N Harrison St","46140",39.78515410544386,-85.78544146937685
"46140","Greenfield","IN","Treadmill","not_available","46140",39.869462,-85.737061
"46140","Greenfield","IN","Curves","7133 E Main St","46140",39.789859771728516,-85.67024230957031
"46140","Greenfield","IN","Washington village gym","4508-4598 Victory Hwy","46140",39.77880229119549,-85.88346644752868
"46140","Greenfield","IN","Boys & Girls Clubs of Hancock County","715 E Lincoln St","46140",39.788934999999995,-85.76109699999999
"46140","Greenfield","IN","Hancock Wellness Center New Palestine","5151 W US Highway 40","46140",39.77830123901367,-85.89816284179688
"46140","Greenfield","IN","24/7","1556 N State St","46140",39.80598123811689,-85.77126049509467
"46140","Greenfield","IN","Weight Room","10320 E. 250 North","46117",39.82682172046386,-85.70381591689461
"46140","Greenfield","IN","Anytime Fitness","1921 Melody Ln","46140",39.810957,-85.76707900000001
"46140","Greenfield","IN","Locker Room","810 N Broadway St","46140",39.79212951660156,-85.7805404663086
"46142","Greenwood","IN","Mt Pleasant Community Life Center","407 N Bluff Rd","46142",39.620577297587054,-86.20703999207882
"46142","Greenwood","IN","Orangetheory Fitness","1675 W Smith Valley Rd","46142",39.604986801288305,-86.1575342825035
"46142","Greenwood","IN","Wright's FUNdamentals","1012 N Bluff Rd","46142",39.63118950924343,-86.20592847700836
"46142","Greenwood","IN","Farrell's eXtreme Bodyshaping","3011 Meridian Meadows Rd","46142",39.631062,-86.159238
"46142","Greenwood","IN","LA Fitness","540 N State Road 135","46142",39.62219007589876,-86.15917916501465
"46142","Greenwood","IN","Pure Barre","1001 N State Road 135 Ste B2","46142",39.63107021104668,-86.15633554657495
"46142","Greenwood","IN","Life Balance & Fitness","1259 N State Road 135 Ste I","46142",39.63350365309447,-86.15656608933932
"46142","Greenwood","IN","amanda's gym (treadmill)","not_available","46142",39.631263732910156,-86.14115142822266
"46142","Greenwood","IN","UFit","2801 Fairview Pl","46142",39.62197494506836,-86.15800476074219
"46142","Greenwood","IN","Stage 1 Dance Academy","740 Fry Rd","46142",39.62849044799805,-86.12539672851562
"46143","Greenwood","IN","UFIT, Inc.","300 Commerce Parkway W. Dr.","46143",39.612689152859545,-86.06679864227772
"46143","Greenwood","IN","F45 Training Center Grove Indiana","1533 Olive Branch Parke Lane","46143",39.5944065,-86.15991181
"46143","Greenwood","IN","Jeff's Gym","1118 Vicksburg S Dr, Greenwood, IN 46143","46143",39.601827853484025,-86.07451690165566
"46143","Greenwood","IN","Anytime Fitness","997 E County Line Rd","46143",39.6344,-86.08478
"46143","Greenwood","IN","Bexley Village gym","Bexley drive","not_available",39.606095905151676,-86.08078902323443
"46143","Greenwood","IN","Greenwood Rec Center","144-198 Surina Way","46143",39.611649263606125,-86.10438484032444
"46143","Greenwood","IN","Community Center","100 Surina Way","46143",39.611652,-86.104798
"46143","Greenwood","IN","Home Gym","361 Campbell Rd","46143",39.60152284,-86.00116505
"46148","Knightstown","IN","The BackRoom","not_available","47351",39.863151,-85.447258
"46148","Knightstown","IN","Knightstown Family Fitness","238 West Main St","not_available",39.795849323272705,-85.52369356155147
"46151","Martinsville","IN","Martinsville Academy","not_available","46151",39.42647745376671,-86.43355074816392
"46151","Martinsville","IN","Bars On Fire CrossFit","265 Morton Ave","46151",39.41593933105469,-86.43097686767578
"46151","Martinsville","IN","Anytime Fitness","1696 S Ohio St","46151",39.4108,-86.4267
