"zip","city","state","name","address","postalCode","lat","lon"
"70001","Metairie","LA","King’s Kickboxing","4304 Firestone Rd","70001",29.970476,-90.176092
"70001","Metairie","LA","Baudry Therapy Center","2620 Metairie Lawn Dr","70002",29.99956181469322,-90.15239881490932
"70001","Metairie","LA","Sheraton Fitness Center","4 Galleria Blvd","70001",29.99304962158203,-90.15260314941406
"70001","Metairie","LA","Pure Barre","701 Metairie Road","70005",29.988856785201747,-90.13052330719518
"70001","Metairie","LA","rowley's own gym","not_available","70005",29.997005,-90.131124
"70001","Metairie","LA","Marriott Courtyard - Gym","not_available","70001",29.994258251417776,-90.15225309665918
"70001","Metairie","LA","Residence Inn Fitness Center","not_available","not_available",29.993106791430364,-90.15224395357794
"70001","Metairie","LA","Country Day Lupin Gymnasium","300 Park Rd","70005",29.983584641067026,-90.13162191873867
"70001","Metairie","LA","BAM FIT","616 N Causeway Blvd","70001",29.979354858398438,-90.1566162109375
"70001","Metairie","LA","Premier Fitness","1909 Airline Dr","70001",29.97492218017578,-90.14637756347656
"70001","Metairie","LA","GeauxFit Performance Training","800 B Central Ave","70121",29.9684764167723,-90.17404262954724
"70001","Metairie","LA","Simply Fit","701 Metairie Rd","70005-4049",29.989039152225036,-90.13071766441543
"70001","Metairie","LA","Work Out Room","not_available","70118",29.976485199418036,-90.1382027348916
"70001","Metairie","LA","Metairie Country Club","580 Woodvine Ave","70005",29.97645014927008,-90.1335097552792
"70001","Metairie","LA","Planet Fitness","100 N Labarre Rd","70001",29.974616690690386,-90.15221331008013
"70001","Metairie","LA","MR Fitness Center","2501 Metairie Lawn Dr","70002",29.99818992614746,-90.15119171142578
"70002","Metairie","LA","Premier Fitness Lakeway","3838 N Causeway Blvd, St 900","70002",30.01836739548091,-90.15572025732914
"70002","Metairie","LA","JCC Metairie (West Esplanade)","3747 West Esplanade Ave","70002",30.015376327110662,-90.16689755760967
"70002","Metairie","LA","Snap Fitness Metairie","3501 Severn Ave 10","70002",30.0125259,-90.1582034
"70002","Metairie","LA","Tiger-Rock Martial Arts of Metairie","3828 Veterans Blvd., Suite E","70002",30.003631254078915,-90.16967976501235
"70002","Metairie","LA","Cheer Practice","not_available","70002",30.00257,-90.173285
"70002","Metairie","LA","F45 Training Metairie Central","3926 Barron St","70002",30.002192,-90.172759
