"zip","city","state","name","address","postalCode","lat","lon"
"01001","Agawam","MA","LA Fitness","1150 Hall of Fame Ave Ste 1","01105",42.09543608387003,-72.58682012557983
"01001","Agawam","MA","Bootcamp","not_available","01001",42.065359,-72.623479
"01001","Agawam","MA","Gold's Gym","1452 Memorial Ave","01089",42.09270773295979,-72.62233724942716
"01001","Agawam","MA","Agawam YMCA Express","Springfield Street","01001",42.089243,-72.629782
"01001","Agawam","MA","Active Lifestyle Fitness, LLC","168 Elm St","01001",42.06567071378231,-72.62290723621845
"01001","Agawam","MA","Next Fitness And Crossfit Catch","491 Springfield St","01030",42.08265686035156,-72.64544677734375
"01001","Agawam","MA","Hilton Inn Indoor Pool And Gym","800 W Columbus Ave","01105",42.092044830322266,-72.58428955078125
"01001","Agawam","MA","Anytime Fitness","200 Silver St","01001",42.06204,-72.63318
"01002","Amherst","MA","Totman Gym","30 Eastman Ln","01003",42.3958261564156,-72.5259017944336
"01002","Amherst","MA","The Boulders Workout Room","Brittany Manor Dr","01002",42.3506305844416,-72.5280765755368
"01002","Amherst","MA","Hampshire Athletics","not_available","01002",42.365435551144984,-72.48569349965685
"01002","Amherst","MA","Nepaabdul","not_available","01035",42.37542,-72.518437
"01002","Amherst","MA","The Body Tailor","100 University Dr","01002",42.370567321777344,-72.53205871582031
"01002","Amherst","MA","The Aerobics And fitness Studio","Massachusetts 9, Cordaville, MA","01585",42.37298912851642,-72.49997050927189
"01002","Amherst","MA","Fitness Together - Amherst","534 Main St","01002",42.37602557513636,-72.50948763252352
"01007","Belchertown","MA","Anytime Fitness","35 Turkey Hill Rd Rt 21 Suite 101","01007",42.26652,-72.41855
"01013","Chicopee","MA","Muevelo Dance Fitness","25 Center St","01013",42.14730296742287,-72.60688341330011
"01013","Chicopee","MA","Baystate Health employee fitness center","330 Birnie Avenue","01199",42.123384690668786,-72.61133134791301
"01013","Chicopee","MA","Bally Fitness","not_available","01089",42.133084,-72.619992
"01013","Chicopee","MA","Michael J. Ashe Gymnasium","not_available","01107",42.114825024548004,-72.59026996485262
"01013","Chicopee","MA","Neos","bernie ave","not_available",42.18531316346558,-72.6072541395788
"01013","Chicopee","MA","Fitness Center","310 Plainfield St, Springfield, MA 01107","01107",42.116268157958984,-72.61356353759766
"01013","Chicopee","MA","house Of Hard Glutes","532 Main St","01040",42.196026,-72.61063299999999
"01013","Chicopee","MA","Health Trax","155 Ashley Ave","01089",42.13645886486996,-72.62483302901578
"01013","Chicopee","MA","Baystate Gym","354","not_available",42.123218,-72.611651
"01020","Chicopee","MA","Club Fitness","1501 Memorial Dr","01020",42.197501,-72.572053
"01020","Chicopee","MA","Westover Fitness Center Break Room","not_available","not_available",42.200444,-72.542884
"01020","Chicopee","MA","Planet Fitness","90 Carando Dr","01104",42.14555712306316,-72.53523433875537
"01020","Chicopee","MA","Westover ARB Fitness Center","not_available","01022",42.20046597527564,-72.54296551831169
"01020","Chicopee","MA","Nasty Habit CrossFit","68 Winter St","01040",42.200215,-72.60052900000001
"01020","Chicopee","MA","Hyatt Gym","not_available","01020",42.173945,-72.577875
"01027","Easthampton","MA","Pioneer Valley CrossFit","375 South St","01060",42.307052,-72.64445400000001
"01027","Easthampton","MA","Strength For Life Health & Fitness Center","116 Pleasant St Ste 125","01027",42.273274,-72.663721
"01027","Easthampton","MA","Anytime Fitness","135 King St","01060",42.324213,-72.632349
"01027","Easthampton","MA","Williston Gym","not_available","01027",42.26319601049713,-72.67630380633211
"01027","Easthampton","MA","Brazilian Jiu Jitsu | Cardio MMA | Kickboxing - TEAM LINK NORTHAMPTON","141 Damon Rd Ste H","01060",42.3382034,-72.6303317
"01027","Easthampton","MA","The Gym at The Hotel Northampton","36 King St","01060",42.32035827636719,-72.63133239746094
"01027","Easthampton","MA","Soul Fitness","15 College Hwy","01073",42.252094,-72.697862
"01027","Easthampton","MA","SHOW Circus Studio","150 Pleasant St #113","01027",42.27458189036038,-72.66014207026305
"01027","Easthampton","MA","Snap Fitness of Easthampton","39 Union St","01027",42.26915990666595,-72.67067822595286
"01027","Easthampton","MA","Olin Fitness Center","not_available","01060",42.31494425907155,-72.6393982368797
"01027","Easthampton","MA","Ashtanga Yoga","25 Main St Ste 210B","01060",42.32027053833008,-72.62915802001953
"01027","Easthampton","MA","BY Fitness Center","not_available","01104",42.2625642,-72.668907
"01027","Easthampton","MA","Pure Barre","63 King St","01060",42.3210331813763,-72.63092022147845
"01027","Easthampton","MA","Fitness Together - Northampton","22 Strong Ave","01060",42.319867226577266,-72.62807217194415
"01028","East Longmeadow","MA","Orangetheory Fitness","434 N Main St","01028",42.0770412,-72.5266295
"01028","East Longmeadow","MA","Century Fitness","491 N Main St","01028",42.07940058344352,-72.53048106499665
"01028","East Longmeadow","MA","Pure Barre","432 N Main St","01028",42.0770868,-72.5263577
"01028","East Longmeadow","MA","Mercy Wellness Center","45 Crane Ave","01028",42.066019,-72.51553
"01028","East Longmeadow","MA","Attain Therapy + Fitness","168 Denslow Rd","01028",42.040849,-72.52985600000001
"01028","East Longmeadow","MA","Fitness Together","66 Dwight Rd #2","01106",42.058556,-72.537417
"01028","East Longmeadow","MA","All American Gynastics","not_available","01028",42.072762,-72.501742
"01028","East Longmeadow","MA","Continuum Perfotmance Center East Longmeadow Ma","18 Maple Ct","01028",42.06266,-72.515999
"01030","Feeding Hills","MA","Final Destination Fitness","28 Southwick St","01030",42.06766128540039,-72.68023681640625
"01030","Feeding Hills","MA","Fitness First","60 N Westfield St","01030",42.06932026199427,-72.67728936666593
"01033","Granby","MA","Tanya Gets You Fit","54 W State St","01033",42.245435,-72.545371
"01035","Hadley","MA","Planet Fitness","367 Russell St","01035",42.355771,-72.548839
"01035","Hadley","MA","50/50 Fitness/Nutrition","251 Russell St","01035",42.34809870605082,-72.56971049308777
"01035","Hadley","MA","Pioneer Valley CrossFit","220 Russell St","01035",42.34608137212382,-72.57557945219963
"01035","Hadley","MA","Orangetheory Fitness","7 S Maple St","01035",42.35557556152344,-72.55154418945312
"01035","Hadley","MA","F45 Training Hampshire Meadows","207 Russell St","01035",42.344316,-72.577242
"01035","Hadley","MA","Fit Together","Russel St.","01035",42.346509439788704,-72.5729475960667
"01036","Hampden","MA","Total 24 Fitness","not_available","01036",42.059074,-72.441633
"01040","Holyoke","MA","Snap Fitness","506 Westfield Rd","01040",42.186716,-72.650024
"01040","Holyoke","MA","Greater Holyoke YMCA","171 Pine St","01040",42.20771796827335,-72.61445412139862
"01056","Ludlow","MA","Core Fitness","433 Center St","01056",42.16932239538843,-72.48203271896917
"01056","Ludlow","MA","All Day All Night Fitness","not_available","01056",42.156461,-72.482484
"01057","Monson","MA","The FitClub Gym","354 Wilbraham St","01069",42.1540237,-72.36816189999999
