"zip","city","state","name","address","postalCode","lat","lon"
"48001","Algonac","MI","Powerhouse Gym Algonac","1099 Saint Clair River Dr","48001",42.618897075923755,-82.53255924928746
"48001","Algonac","MI","The gym ","not_available","48001",42.61400893656419,-82.53763073699757
"48009","Birmingham","MI","Townsend gym","not_available","48009",42.54501043581536,-83.21517872027115
"48009","Birmingham","MI","Powerhouse Gym","355 S Old Woodward Ave Ste 150","48009",42.54504057017182,-83.21156741751717
"48009","Birmingham","MI","Barre Bee Fit","555 S Old Woodward Ave","48009",42.542482426572334,-83.20985897993192
"48009","Birmingham","MI","F45 Training Birmingham MI","2450 Cole St","48009",42.5400794,-83.193347
"48009","Birmingham","MI","powerhouse gym sauna","not_available","not_available",42.544942826438124,-83.21146520277057
"48009","Birmingham","MI","RPM","2223 Cole St","48009",42.54051971435547,-83.19345092773438
"48009","Birmingham","MI","Birmingham Ultimate Fitness","555 S Old Woodward Ave #12L","48009",42.5428421,-83.2099935
"48009","Birmingham","MI","OmniKinetics","1025 Webster St","48009",42.540870666503906,-83.20623779296875
"48009","Birmingham","MI","Body in 45 Personal Training","515 S Eton St","48009",42.544156,-83.19554699999999
"48009","Birmingham","MI","Birmingham Family YMCA","400 E Lincoln St","48009",42.53847,-83.21145
"48009","Birmingham","MI","LA Fitness","3501 W Maple Rd Ste A","48084",42.546491349111975,-83.19264285834372
"48009","Birmingham","MI","CoachMeFit","2125 Cole St","48009",42.540679931640625,-83.194091796875
"48009","Birmingham","MI","Workout Torture Chamber","not_available","48073",42.53192715024553,-83.19658808153619
"48009","Birmingham","MI","Gotham Premier Personal Training","60 W Big Beaver Rd","48304",42.559823930179455,-83.22040648935072
"48009","Birmingham","MI","orange theroy","Adams","48009",42.54135938657496,-83.20444555126717
"48009","Birmingham","MI","Snap Fitness","108 Willits St","48009",42.54784680854848,-83.21580272011171
"48009","Birmingham","MI","Tweak","2135 Cole St","48009",42.5406494140625,-83.19415283203125
"48009","Birmingham","MI","BASCC","2121 Midvale St","48009",42.541262190242236,-83.23963132141816
"48009","Birmingham","MI","Orangetheory Fitness","633 S Adams Rd","48009",42.542784105214885,-83.20477886190966
"48017","Clawson","MI","Julie's Groovy Gym","201 Gladwin Ave","48017",42.529338,-83.143991
"48017","Clawson","MI","Amber Apts Gym","not_available","48017",42.54054,-83.138484
"48017","Clawson","MI","Michigan Kettlebells","1195 Rochester Rd Ste B","48083",42.54471923002091,-83.13680991446539
"48017","Clawson","MI","Twyfit Personal Fitness","112 S Main St","48017",42.532447999999995,-83.14676899999999
"48017","Clawson","MI","YWCA Gym","509 Fisher Ct","48017",42.536879,-83.139721
"48021","Eastpointe","MI","In House Yoga Studio/gym","22034 Pleasant Ave","48021",42.460446000000005,-82.951987
"48021","Eastpointe","MI","Alter Ego Pole Fitness","21733 Kelly Rd","48021",42.45848846435547,-82.93376159667969
"48021","Eastpointe","MI","Eastside Gym","15000 E 9 Mile Rd","48021",42.464488,-82.966684
"48021","Eastpointe","MI","Fitness 19 Eastpointe","22331 Gratiot Ave","48021",42.46275759869619,-82.96018505970163
"48021","Eastpointe","MI","La Fitness","not_available","48236",42.47617093123564,-82.91668849992608
"48023","Fair Haven","MI","P90X Time","not_available","48023",42.685010954721605,-82.64941236933467
"48023","Fair Haven","MI","Anytime Fitness","51400 County Line Rd","48047",42.68803,-82.72772
"48025","Franklin","MI","Franklin Athletic Club","29350 Northwestern Hwy","48034",42.50486456464028,-83.31308128679404
"48025","Franklin","MI","Fitness Driven Personal Training Studio","32680-32718 Ravine Dr","48025",42.52699915,-83.3057666
"48025","Franklin","MI","Planet Fitness","29816 Southfield Rd","48076",42.508613966133396,-83.22127181931941
"48025","Franklin","MI","Comcast Spotlight Exercise Facility","not_available","48025",42.512580058512945,-83.28347468782714
"48025","Franklin","MI","Fitness USA","30000 Telegraph Rd","48034",42.508055999999996,-83.284755
