"zip","city","state","name","address","postalCode","lat","lon"
"27006","Advance","NC","Jerry Long YMCA","1150 S Peace Haven Rd","27012",36.03945059379127,-80.39301767607056
"27006","Advance","NC","Seldom Farm Gym","not_available","not_available",35.99165760511076,-80.44004671377553
"27006","Advance","NC","Got Sun","2565 Old Glory Rd","27012",36.026755,-80.383509
"27006","Advance","NC","Studio ZT","not_available","27006",36.00585464008328,-80.44183060731586
"27006","Advance","NC","CSA Gym","not_available","27103",36.040459471471344,-80.37190289755533
"27006","Advance","NC","In Flight Gymnasium","162 Hillsfale West Drive","27006",35.986332,-80.430716
"27006","Advance","NC","Fitness Edge","6000 Meadowbrook Mall Ct Ste 26","27012",36.03344877993693,-80.38142681121826
"27006","Advance","NC","Phenom Fitness","6311 Stadium Dr","27012",36.0310199,-80.38060229999996
"27006","Advance","NC","Planet Fitness","6350 Clemmons Point Dr Ste 200","27012",36.0362488,-80.3875245
"27006","Advance","NC","Torque Performance & Fitness","5539 US Highway 158 Ste 101B","27006",36.007629,-80.430088
"27006","Advance","NC","Bermuda Village","142 Bermuda Village Dr","27006",35.995152000000004,-80.432523
"27006","Advance","NC","Lilly's Sport Center","not_available","27012",36.00536039507716,-80.39317489427894
"27011","Boonville","NC","Zumba","not_available","27011",36.232880522841455,-80.70966286849277
"27012","Clemmons","NC","Workout Anytime Winston-Salem","580 Hanes Mall Blvd","27103",36.06384670656134,-80.30298877316477
"27012","Clemmons","NC","Woman's Health And Wellness","Jonestown rd","not_available",36.06980708439582,-80.34078734895515
"27012","Clemmons","NC","24/7 Fitness & Martial Arts","3098 Healy Dr","27103",36.073895,-80.3047695
"27012","Clemmons","NC","Fitness 2000","5086 Styers Ferry Rd","27012",36.07672093859517,-80.39198197282163
"27012","Clemmons","NC","Glendare Park Fitness Center","not_available","27104",36.074074,-80.329954
"27012","Clemmons","NC","Hartstrong Training","3300 Healy Dr","27103",36.074957,-80.30627700000001
"27012","Clemmons","NC","The Rush","Jonestown Road","27103",36.04748002345945,-80.31025270750344
"27012","Clemmons","NC","iLovekickboxing - Winston-Salem, NC","3248 Silas Creek Pkwy","27103",36.0701968,-80.2948543
"27013","Cleveland","NC","24/7 Total Fitness","11739 Statesville Blvd","27013",35.728726,-80.69395899999999
"27017","Dobson","NC","Superflex","not_available","28621",36.25752761427904,-80.8842498699538
"27017","Dobson","NC","Surry County Gym","State St","27030",36.478126,-80.621429
"27017","Dobson","NC","Fairfield Inn & Suites Fitness Room","628 Cc Camp Rd","28621",36.279327392578125,-80.82427978515625
"27021","King","NC","Curves","124 W King St, King, NC 27021","27021",36.26471077722405,-80.36347523641666
"27021","King","NC","Fitness 2000","607 S Main St #G","27021",36.265297538384544,-80.35947086937145
"27023","Lewisville","NC","Brookberry Farm Gym","not_available","27106",36.107489,-80.370062
"27023","Lewisville","NC","beach body fitness","not_available","27023",36.110107421875,-80.39979553222656
"27023","Lewisville","NC","Troop 919","6153 Yadkinville Road","27040",36.138519287109375,-80.40008544921875
"27025","Madison","NC","Curves","502 S Second St","27025",36.402477307154214,-79.96971239247934
"27025","Madison","NC","gym","not_available","27025",36.382301330566406,-80.00215148925781
"27028","Mocksville","NC","Davie Family YMCA","215 Cemetery St","27028",35.90530023522181,-80.55562971135754
"27028","Mocksville","NC","Pudding Ridge Hills","Pudding Ridge Rd","27028",35.98913611779696,-80.54329972541996
"27030","Mount Airy","NC","Pro Health Fitness","280 N Pointe Blvd","27030",36.517686612952375,-80.62810380804783
"27030","Mount Airy","NC","Anytime Fitness","844 N Main St","27030",36.50878,-80.60948
"27030","Mount Airy","NC","Edward M. Armfield, Sr.Civic & Recreation Center","873 W 52 Bypass","27041",36.394565448396435,-80.48172844527106
"27040","Pfafftown","NC","Robinhood Road Family YMCA","3474 Robinhood Rd","27106",36.11733126504289,-80.31748724018462
"27040","Pfafftown","NC","Providence Pointe Fitness Center","Reynolda Road","27106",36.164924845791504,-80.32765639809354
"27040","Pfafftown","NC","Parker's Gym","not_available","27040",36.20158156753331,-80.32297804743128
"27051","Walkertown","NC","Extreme Fitness","5088 Harley Dr","27051",36.173903,-80.154902
"27051","Walkertown","NC","Planet Fitness","Winston Rd","not_available",36.170093,-80.179608
"27051","Walkertown","NC","Total Strength Training","not_available","27101",36.16515866666666,-80.15943186666667
"27055","Yadkinville","NC","Yadkin Family YMCA","6540 Service Rd","27055",36.117780974524884,-80.63525411494089
"27055","Yadkinville","NC","Curves","938 S State St","27055",36.117676,-80.661524
"27101","Winston Salem","NC","William G White YMCA","775 W End Blvd","27101",36.09677662855898,-80.26259343631087
"27101","Winston Salem","NC","YWCA","1300 S Main St","27127",36.07944814779356,-80.24167793354526
"27101","Winston Salem","NC","Blue Moon","not_available","32814",36.115759517099534,-80.22173076868057
"27101","Winston Salem","NC","Top Tier CrossFit","610 N Liberty St","27101",36.101788,-80.245879
"27101","Winston Salem","NC","Park Building Gym","101 N Cherry St","27101",36.09497810706151,-80.24569830601625
"27101","Winston Salem","NC","YMCA of North West North Carolina Corp Office","301 N Main St","27101",36.09819793701172,-80.24357604980469
"27101","Winston Salem","NC","Custom Training Concepts","1152 Salem Lake Rd","27107",36.085813,-80.191684
"27101","Winston Salem","NC","Enfinity Fit","1055 Northwest Blvd","27104",36.10267626825658,-80.2620497205716
"27101","Winston Salem","NC","Triad boxing & fitness","1001 S Marshall St","27101",36.082679999999996,-80.24252
"27101","Winston Salem","NC","Ovation Fitness","321 S Liberty St","27101",36.091328999999995,-80.243454
"27101","Winston Salem","NC","Winston Lake Family YMCA","901 Waterworks Rd","27101",36.1125528014341,-80.20406174780321
