"zip","city","state","name","address","postalCode","lat","lon"
"02804","Ashaway","RI","Fitness Center","89 Clarks Falls Rd","06359",41.458309,-71.802842
"02806","Barrington","RI","Barrington YMCA","not_available","not_available",41.736607213546925,-71.31152941183866
"02806","Barrington","RI","Towne Gym","not_available","02915",41.762638092041016,-71.36112976074219
"02806","Barrington","RI","Fitness Together - Eastbay","334 County Rd Ste A","02806",41.7416805725902,-71.31128158953192
"02806","Barrington","RI","The gym","11 Preston Dr","02806",41.72554016113281,-71.29637145996094
"02806","Barrington","RI","Anytime Fitness","180-188 County Rd Ste B","02806",41.73738,-71.30518
"02807","Block Island","RI","Club Soda Gym","not_available","02807",41.17143,-71.566996
"02809","Bristol","RI","Bristol Total Fitness","685 Metacom Ave","02809",41.70325061286992,-71.26579500086751
"02809","Bristol","RI","Anytime Fitness","576 Metacom Ave","02809",41.694,-71.26243
"02809","Bristol","RI","Complete athlete","Gooding Avenue","not_available",41.69426670717253,-71.27362516994546
"02813","Charlestown","RI","World's Gym","Rt 1","02813",41.4090855717446,-71.62348157148868
"02816","Coventry","RI","iLoveKickboxing.com - Coventry","760 Tiogue Ave, Unit 2","02816",41.68215459003292,-71.56175420325849
"02816","Coventry","RI","Kccats","1036 Tiogue Ave","02816",41.67900466918945,-71.57743072509766
"02816","Coventry","RI","Coventry Brazilian Jiu Jitsu","2435 Nooseneck Hill Rd","02816",41.662109375,-71.6037826538086
"02816","Coventry","RI","No Fear Fitness Solutions","not_available","02816",41.68573760986328,-71.64773559570312
"02816","Coventry","RI","Gym","not_available","02817",41.66078428933239,-71.55941028342606
"02816","Coventry","RI","Body Fit","113 Tiogue Ave","02816",41.67990493774414,-71.53402709960938
"02816","Coventry","RI","Anytime Fitness","55 Sandy Bottom Rd","02816",41.68809,-71.56128
"02816","Coventry","RI","Coventry High School Gym","40 Reservoir Rd","02816",41.68442153930664,-71.59260559082031
"02817","West Greenwich","RI","Ewg Multi Purpose Room","930 Nooseneck Hill Rd","02817",41.607421875,-71.6385726928711
"02818","East Greenwich","RI","Briarwood Gym","not_available","02818",41.67063455845178,-71.49591254665029
"02818","East Greenwich","RI","Planet Fitness","Route 2","not_available",41.67816874433983,-71.50794982910156
"02818","East Greenwich","RI","Caralines Trainer","65 Friendly Rd","02818",41.649171,-71.46211
"02818","East Greenwich","RI","Poliquin Group World Headquarters","1598 S County Trl","02818",41.652530670166016,-71.4949722290039
"02818","East Greenwich","RI","Ocean State Health & Fitness","5600 Post Rd","02818",41.64154391654222,-71.46667877586009
"02818","East Greenwich","RI","GOLD'S GYM","1000 Division Rd","02818",41.649098442522806,-71.50042239738595
"02818","East Greenwich","RI","Benefitness Pilates Studio","333 Main St","02818",41.659199,-71.450122
"02818","East Greenwich","RI","Aim High Academy","3355 South County Trail","not_available",41.60544582687586,-71.49509829406759
"02818","East Greenwich","RI","Crush Fitness","6659 Post Rd","02852",41.616039,-71.458775
"02818","East Greenwich","RI","Curves Of West Warwick","289 Cowesett Ave","02893",41.68395233154297,-71.50643157958984
"02818","East Greenwich","RI","Alpha Fitness","461 Main St","02818",41.657985,-71.451942
"02818","East Greenwich","RI","Fitness Together - East Greenwich","788 Main St","02818",41.653636196450854,-71.4547661721249
"02818","East Greenwich","RI","American Health Fitness Center","555 Quaker Ln    Rte. 2","02893",41.67847242591137,-71.5012962407306
"02822","Exeter","RI","Anytime Fitness","22 Kingstown Rd","02898",41.51281,-71.68635
"02822","Exeter","RI","McGee Fitness Center","242 Plain Rd","02852",41.575374603271484,-71.51353454589844
"02826","Glendale","RI","102 Fitness Studio","1452 Broncos Hwy","02830",41.967613220214844,-71.64457702636719
"02828","Greenville","RI","Smithfield YMCA","not_available","02828",41.877426732226,-71.54838982698779
"02828","Greenville","RI","The Little Gym","Putnum Pike","02828",41.871378,-71.52885
"02828","Greenville","RI","iLoveKickboxing - Smithfield, RI","400 Putnam Pike","02917",41.8694344,-71.5297149
"02831","Hope","RI","Five Alarm Fitness","2225 Plainfield Pike","02919",41.79349346677818,-71.54232992477465
