"zip","city","state","name","address","postalCode","lat","lon"
"57002","Aurora","SD","Hard Core Fitness","728 34th Ave","57006",44.31386184692383,-96.7479476928711
"57003","Baltic","SD","Baltic Fitness Center","not_available","57003",43.75934835155058,-96.73392266764311
"57005","Brandon","SD","Anytime Fitness","4720 E 41st St","57110",43.515176,-96.669182
"57005","Brandon","SD","Anytime Fitness","908 E Redwood Blvd","57005",43.60221,-96.57793
"57005","Brandon","SD","Farrell's eXtreme Bodyshaping East FXB","1618 S Sycamore Ave","57110",43.53073424441216,-96.6708624898589
"57005","Brandon","SD","Tryon Gym","4601 E Arrowhead Pkwy","57110",43.54231848547651,-96.66918659203759
"57005","Brandon","SD","3 Degrees Infrared Sauna Studio","1616 S Sycamore Ave","57110",43.530772,-96.6705362
"57005","Brandon","SD","Sanford Wellness Center East","5322 E Arrowhead Pkwy","57110",43.544598,-96.657606
"57005","Brandon","SD","Tryon Gym","Aspen Blvd","57005",43.58663359401957,-96.57553573623058
"57005","Brandon","SD","off the Grid","3225 S Sycamore Ave, Sioux Falls, SD 57103","57103",43.51617431640625,-96.67192077636719
"57005","Brandon","SD","Downstairs Gym","not_available","57005",43.600223,-96.587275
"57005","Brandon","SD","MJ's 'Get Big' Gym","4500-4518 E Oak St","57103",43.52646288333333,-96.671381
"57005","Brandon","SD","Snap Fitness","1516 S Sycamore Ave","57110",43.532481594232884,-96.67092195060488
"57005","Brandon","SD","Washington Heights Fitness Center","not_available","57110",43.55306248587349,-96.66963036134898
"57006","Brookings","SD","Powershop Gym","not_available","57006",44.311000867686566,-96.79824572932571
"57006","Brookings","SD","Anytime Fitness","720 22nd Ave S","57006",44.29863,-96.76979
"57006","Brookings","SD","crossfit brooking","1325 Main Ave S","57006",44.29054260253906,-96.79728698730469
"57006","Brookings","SD","Snap Fitness","1009 Main Ave S","57006",44.281760551941105,-96.79925054127038
"57006","Brookings","SD","Timeless Fitness","2405 10th St","57006",44.318033,-96.76438900000001
"57013","Canton","SD","Tryon Gym","not_available","57032",43.431044805807744,-96.70645677974963
"57013","Canton","SD","Sunnyside Fitness","not_available","57013",43.300281,-96.59106
"57022","Dell Rapids","SD","Revive Fitness Dell Rapids","410 W 4th St","57022",43.82406234741211,-96.72355651855469
"57022","Dell Rapids","SD","Tryon","Highway 115","57022",43.8251385558346,-96.72231133572443
"57024","Egan","SD","FSST Diabetes And Wellness Center","not_available","not_available",44.03734326795849,-96.6072299996525
"57025","Elk Point","SD","Elk Point Athletic Club","205 W Main St","57025",42.68729019165039,-96.68621063232422
"57026","Elkton","SD","Elkton Fitness Center","117 Elk St","57026",44.23694581966758,-96.4810556273575
"57030","Garretson","SD","The Exercise Place","637 Main Street","57030",43.71679436163101,-96.5029794112681
"57032","Harrisburg","SD","Orangetheory Fitness","419 W 85th St","57108",43.474436,-96.728561
"57032","Harrisburg","SD","Showplace - Fitness Center","1 Enterprise St","57032",43.44008964677947,-96.70397695295692
"57033","Hartford","SD","Great Life Fitness","418 E. Hwy 38","57033",43.629156621329756,-96.94096100781208
"57033","Hartford","SD","Tryon Gym Hartford","Hwy 38","57033",43.631744693305365,-96.94586833585963
"57038","Jefferson","SD","Four Seasons North","not_available","57049",42.533002,-96.489719
"57042","Madison","SD","Anytime Fitness","105 S Egan Ave","57042",44.00491605220365,-97.11440920829773
"57042","Madison","SD","The Community Center","500 NE 11th St","57042",44.01749048817147,-97.10852482955562
"57046","Mission Hill","SD","Fitness 365","201 Capitol St","57078",42.868933,-97.39093199999999
"57046","Mission Hill","SD","Empower fitness","1804 Broadway Ave","57078",42.88646697998047,-97.39620208740234
"57049","North Sioux City","SD","Crossfit Beo","4101 War Eagle Dr","51109",42.49600601196289,-96.46334838867188
"57049","North Sioux City","SD","Snap Fitness","700 Dakota Dunes Blvd","57049",42.501974,-96.496225
"57064","Tea","SD","Fitness First","not_available","57064",43.44781880094213,-96.82757618799626
"57064","Tea","SD","Body Works","510 Figzel Court","57064",43.44815,-96.826864
"57064","Tea","SD","Kim's Gym","not_available","57106",43.493594,-96.812531
"57064","Tea","SD","Venom Events Center","27083 Katie Rd","57064",43.46348459417393,-96.81802084655762
"57069","Vermillion","SD","Anytime Fitness","838 E. Cherry St.","57069",42.78704303,-96.91802993
"57078","Yankton","SD","Anytime Fitness","2509 Fox Run Pkwy","57078",42.899547999999996,-97.39986999999999
"57103","Sioux Falls","SD","9Round East","1216 East 57th St","57108",43.50094099,-96.70905306
"57103","Sioux Falls","SD","Avera McKennan Fitness Center","3400 S Southeastern Ave","57103",43.512194796511054,-96.68770253736496
"57103","Sioux Falls","SD","Raven Fitness Center","200 E 6th St","57104",43.551675355484036,-96.72445093236509
"57103","Sioux Falls","SD","Helpline Suicide Walk","not_available","57104",43.560226417503564,-96.72259140196708
"57103","Sioux Falls","SD","Morningside Community Center","2400 S Bahnson Ave","57103",43.52339907208104,-96.68078500998494
"57103","Sioux Falls","SD","""Gym"" at Country Inn & Suites","not_available","57103",43.54888574786675,-96.72473374047202
"57103","Sioux Falls","SD","605 Fit Studio & Apparel","401 E 8th St Ste 122","57103",43.548126220703125,-96.72203063964844
"57103","Sioux Falls","SD","Harvester Gym","Harvester Bldg","57104",43.55134170772775,-96.72519879407713
"57103","Sioux Falls","SD","INSANITY ROOM","not_available","57105",43.53487777709961,-96.71722412109375
"57103","Sioux Falls","SD","Capital One Fitness Center","2200 E Benson Rd","57104",43.58847427368164,-96.69749450683594
"57103","Sioux Falls","SD","Citi Health and Fitness Center","701 E 60th St N","57104",43.60034697235723,-96.71816219906475
"57103","Sioux Falls","SD","Crossfit Dunamis","209 S Blauvelt Ave","57103",43.54621769552065,-96.70659291691861
