"zip","city","state","name","address","postalCode","lat","lon"
"24701","Bluefield","WV","Anytime Fitness","537 Commerce Dr","24605",37.24060821533203,-81.24971008300781
"24701","Bluefield","WV","weight watchers","not_available","24701",37.255409240722656,-81.220458984375
"24701","Bluefield","WV","GBCC Gym","703 College Ave","24701",37.252782,-81.225206
"24701","Bluefield","WV","Crossfit Princeton","not_available","not_available",37.362655,-81.093852
"24701","Bluefield","WV","Planet Fitness","261 Mercer Mall Rd,Suite 800","24701",37.297541,-81.167686
"24701","Bluefield","WV","Anytime Fitness","1284 Stafford Dr","24740",37.36035,-81.09627
"24740","Princeton","WV","fairfield inn princeton gym","not_available","24739",37.365729,-81.040809
"24801","Welch","WV","Tug River Fitness Center","not_available","24895",37.378959,-81.562836
"24801","Welch","WV","Superior Gym","not_available","24801",37.42326,-81.548541
"24901","Lewisburg","WV","Greenbrier Valley Fitness South","not_available","24970",37.77062780637608,-80.46932780659611
"24901","Lewisburg","WV","WVSOM Founders Activity Center","not_available","24901",37.80271787434624,-80.43734179947194
"24901","Lewisburg","WV","Greenbrier Valley Fitness North","2-16 Coleman Dr.","24901",37.814930338743785,-80.42783093118655
"25003","Alum Creek","WV","Orangetheory Fitness","310 Southridge Blvd","25309",38.318241119384766,-81.71565246582031
"25022","Blair","WV","Jetts Logan Central","not_available","25654",37.83251335581467,-81.8867432622401
"25053","Danville","WV","Hill Gym","not_available","25130",38.062591,-81.823135
"25064","Dunbar","WV","Anytime Fitness","34 River Walk Mall","25314",38.36596,-81.70888
"25064","Dunbar","WV","MFC Family Life Center","2910 Kanawha Ter","25177",38.375728607177734,-81.79287719726562
"25064","Dunbar","WV","Electric Beach Tan","21 River Walk Mall","25303",38.36531014202668,-81.70852766481684
"25064","Dunbar","WV","South Charleston Community Center","601 Jefferson Rd","25309",38.35721777452989,-81.7163793705766
"25064","Dunbar","WV","Roxalana Hills Apt Gym","Roxalana Hills Dr, Dunbar, WV 25064","25064",38.372886,-81.72429
"25071","Elkview","WV","Anytime Fitness","303 Crossing Mall","25071",38.45779,-81.50213
"25109","Hometown","WV","Putnam County Sheriff's Department Weightroom","3389 Winfield Rd","25213",38.53504180908203,-81.87052917480469
"25143","Nitro","WV","Planet Fitness","125 Lakeview Dr,Suite A","25313",38.41156841981416,-81.8045300517364
"25143","Nitro","WV","Anytime Fitness","1433 MacCorkle Ave","25177",38.38801193237305,-81.82809448242188
"25143","Nitro","WV","Nautilus Sports Fitness Center","917 Cross Lanes Dr","25313",38.42095879309086,-81.79443678245447
"25143","Nitro","WV","universal health club","808 B St","25177",38.38542556762695,-81.83815002441406
"25143","Nitro","WV","Brickhouse cardio club","not_available","25177",38.3860529677656,-81.83747183061843
"25168","Red House","WV","Snap Fitness","12510 Winfield Rd","25213",38.531009674072266,-81.89864349365234
"25177","Saint Albans","WV","Cheer One","5715 Maccorkle Ave","25177",38.35497108601604,-81.75030590711312
"25177","Saint Albans","WV","Active Sports Complex","2400 Kanawha Ter","25177",38.37741352084672,-81.80660392564748
"25213","Winfield","WV","SNAP Fitness","3703 Teays Valley Rd","25526",38.44529843325411,-81.97008257369201
"25213","Winfield","WV","PowerUp Sports & Wellness","not_available","25526",38.44555918999663,-81.9985083926713
"25213","Winfield","WV","YMCA","120 Carls Ln","25560",38.452076710928004,-81.92748077356214
"25213","Winfield","WV","Anytime Fitness","7 Liberty Plz","25526",38.45911,-81.93295
"25266","Newton","WV","Gym @ CentreStage","108 Hollywood Rd","not_available",38.5925936,-81.1780536
"25267","Normantown","WV","Gilmer Fitness","not_available","26351",38.93894092952863,-80.83391070476524
"25270","Reedy","WV","Roane General Hospital Fitness center","Hospital Drive","not_available",38.813322,-81.369351
