"zip","city","state","name","address","postalCode","lat","lon"
"99501","Anchorage","AK","The Home Depot","400 Rodeo Place","99508",61.2180694,-149.8147064
"99501","Anchorage","AK","Browns Electric Warehouse","not_available","not_available",61.22293199999999,-149.85603500000002
"99501","Anchorage","AK","U-fix-it","not_available","99506",61.236232073288775,-149.82760196532445
"99501","Anchorage","AK","AIH","not_available","99501",61.22171847747401,-149.83059166173365
"99501","Anchorage","AK","Alaska Industrial Hardware","2716 Commercial Dr","99501",61.22189399999999,-149.82991
"99501","Anchorage","AK","SPI Urethane Contractors Supply And Consulting","1425 Spar Ave","99501",61.223006,-149.854696
"99501","Anchorage","AK","GTS Interior Supply","135 North Post Road","99501",61.222671,-149.857775
"99501","Anchorage","AK","SBS Distribution Center","790 Ocean Dock Rd","99501",61.22747039794922,-149.8907470703125
"99501","Anchorage","AK","Sherwin-Williams Commercial Paint Store","245 Post Rd","99501",61.21964709395701,-149.8585420846939
"99502","Anchorage","AK","Ace Hardware","not_available","99502",61.138783,-149.950675
"99502","Anchorage","AK","Spenard Builders Supply","4600 Lois Drive","99517",61.18032731187146,-149.91449200004323
"99502","Anchorage","AK","Alaskan Sales","4041 Old International Airport Rd","99502",61.17459100000001,-149.962248
"99502","Anchorage","AK","ANCHORAGE TRUE VALUE HARDWARE","9001 Jewel Lake Rd #5","99502",61.139305114746094,-149.95188903808594
"99502","Anchorage","AK","Alaska Supreme Painting","1740 W 99th Ave","99515",61.131672,-149.911606
"99502","Anchorage","AK","Alaska Farm & Garden","1306 Chugach Way","99503",61.187002,-149.908266
"99502","Anchorage","AK","HOTMUD INC","2908 W 31st Ave","99517",61.19226,-149.938302
"99503","Anchorage","AK","The Home Depot","515 E Tudor Rd","99503",61.1829552,-149.8740411
"99503","Anchorage","AK","Lowe's","333 East Tudor Road","99503",61.1815809,-149.8791404
"99503","Anchorage","AK","Willow True Value Hardware","30988 W Parks Hwy","99688",61.734827,-150.040245
"99503","Anchorage","AK","Rodda Paint","4970 Fairbanks St","99503",61.175691,-149.873861
"99503","Anchorage","AK","Alaska Bearing Corp.","350 E Intl Airport Rd","99518",61.173316,-149.876179
"99503","Anchorage","AK","Habitat For Humanity Restore","5023 Cordova St","99503",61.174852331973,-149.87821891403007
"99503","Anchorage","AK","Hayden Electric Motors","not_available","99503",61.182998,-149.867339
"99503","Anchorage","AK","Arctic Restoration","401 W Intl Airport Rd Ste 12","99518",61.17466354370117,-149.89193725585938
"99503","Anchorage","AK","Habitat For Humanity Restore","1200 W Norther Lights Blvd","99503",61.194744,-149.907098
"99503","Anchorage","AK","The Parker Store","360 E Intl Airport Rd #12","99518",61.17314147949219,-149.87525939941406
"99503","Anchorage","AK","Fasteners","123 E Intl Airport Rd","99518",61.17395782470703,-149.88186645507812
"99503","Anchorage","AK","Sherwin-Williams Paint Store","401 W Intl Airport Rd","99518",61.174625,-149.891203
"99503","Anchorage","AK","Alaska Tent And Tarp","not_available","99504",61.17324,-149.882698
"99504","Anchorage","AK","Lowe's","1200 North Muldoon","99504",61.2300807,-149.7463525
"99504","Anchorage","AK","Andy's Ace Hardware","240 Muldoon Rd","99504",61.2216409,-149.7335
"99505","Jber","AK","North Side Home Depot","not_available","99577",61.2940788788772,-149.56731445598643
"99505","Jber","AK","U-FIX-IT BLDG 706","not_available","99505",61.257238,-149.707654
"99507","Anchorage","AK","The Home Depot","1715 Abbott Road","99507",61.1437616,-149.8437027
"99507","Anchorage","AK","Alaska Lighting & Supply","1450 E Tudor Rd","99507",61.180266,-149.85381999999998
"99507","Anchorage","AK","Uresco","not_available","99515",61.104656,-149.859416
"99507","Anchorage","AK","Snap On South Anchorage","2601 Mona Ave","99516",61.117911,-149.833489
"99507","Anchorage","AK","Southside Garden Supply","12870 Old Seward Hwy #114","99515",61.1036109924316,-149.859329223633
"99507","Anchorage","AK","Sherwin-Williams Paint Store","9000 Lake Otis Pkwy","99507",61.139263,-149.834447
"99507","Anchorage","AK","Alaska Specialty Equipment","6511 Brayton Dr","99507",61.161814,-149.854474
"99515","Anchorage","AK","Lowe's","10900 Old Seward Highway","99515",61.1212166,-149.8663543
"99515","Anchorage","AK","Ferguson Bath, Kitchen & Lighting Gallery","151 W 95th Circle","99515",61.135387,-149.880977
"99515","Anchorage","AK","Anchorage, Alaska","300 East Dimond Boulevard","99515",61.14440573,-149.8757702
"99518","Anchorage","AK","Alaska Industrial Hardware","5655 Old Seward Hwy","99518",61.169525,-149.866062
"99518","Anchorage","AK","Unistrut Alaska","611 Raspberry Rd","99518",61.16015220627784,-149.89035123843985
"99518","Anchorage","AK","Curtis And Campbell","not_available","99518",61.163914,-149.883381
"99518","Anchorage","AK","The Cronin Company","7120 Old Seward Hwy #101","99518",61.155891,-149.865355
"99518","Anchorage","AK","Alaska Rubber & Rigging Supply","1885 E Van Horn Road","99701",61.16803,-149.86695500000002
"99518","Anchorage","AK","Alaska Abatement Corporation","520 W 58th Ave","99518",61.16887648704261,-149.8925256729126
"99518","Anchorage","AK","Gexpro","501 W 58th Ave # B","99518",61.169504,-149.89134199999998
"99518","Anchorage","AK","Hardware Specialties Inc","424 W 54th Ave","99518",61.171395999999994,-149.890816
"99518","Anchorage","AK","All Pro Alaska","380 East 54th Avenue","99518",61.171712,-149.876145
"99518","Anchorage","AK","Bailey's Rent All Inc","6871 Old Seward Hwy","99518",61.158425,-149.863392
"99519","Anchorage","AK","BROOKS RANGE SUPPLY INC.","1 OLD SPINE RD","99734",70.20880126953125,-148.4056854248047
"99559","Bethel","AK","Btp, Llc","830 River St","99559",60.79279239,-161.7816495
"99559","Bethel","AK","BTP, LLC","830 RIVER STREET","99559",60.791568756103516,-161.75389099121094
"99574","Cordova","AK","Ace Hardware","1/2 Mile Airport Road","99686",60.895044,-146.195628
"99574","Cordova","AK","Ace Hardware Cordova","500 Water Street #1456","99574",60.544626,-145.7603
"99574","Cordova","AK","Harris Sand & Gravel Ace","260 Airport Road","99686",61.075,-146.12899
"99574","Cordova","AK","Seaman's True Value Hardware","516 First St","99574",60.54524151,-145.7611629
"99576","Dillingham","AK","Ace Hardware","429 2nd Ave W","99576",59.04493508920909,-158.5008294743783
"99576","Dillingham","AK","N & N Property, Llc","Po Box 10 219 Main Street","99576",59.03897292,-158.4653994
"99576","Dillingham","AK","L & M Supplies","429 2nd Ave W Suite 550","99576",59.040308,-158.46303
"99577","Eagle River","AK","Alaska Industrial Hardware ( AIH )","12330 Old Glenn Hwy","99503",61.331913,-149.56673700000002
"99577","Eagle River","AK","Alaska Industrial Hardware","12330 Old Glenn Hwy","99577",61.332232,-149.566342
"99588","Glennallen","AK","GLENNALLEN TRUE VALUE","PO Box 729","99588",62.10770797729492,-145.58865356445312
"99588","Glennallen","AK","Glennallen Building Supply","Mile 185 Glenn Hwy","99588",62.106965,-145.606215
"99588","Glennallen","AK","Glennallen","Mile 185 Glenn Hwy Po Box 729","99588",62.106965,-145.606215
"99603","Homer","AK","Ulmers Drug & Hardware","3858 Lake St","99603",59.64673077,-151.5237861
"99603","Homer","AK","Spenard Builders Supply - Homer","not_available","99603",59.64765996177322,-151.5264706225285
"99610","Kasilof","AK","Spenard Builder's Supply","48855 Funny River Rd","99669",60.474175,-151.081851
"99610","Kasilof","AK","Soldotna Trustworthy Hardware","44648 Sterling Hwy","99669",60.47982217108461,-151.07708772136385
