"zip","city","state","name","address","postalCode","lat","lon"
"80002","Arvada","CO","The Home Depot","5215 Wadsworth Blvd","80002",39.7922976,-105.0825917
"80002","Arvada","CO","Lowe's","5405 Wadsworth Bypass","80002",39.7953972,-105.0806372
"80002","Arvada","CO","Echter's Nursery and Garden Center","5150 Garrison St","80002",39.789741515105426,-105.09980021733874
"80002","Arvada","CO","True Value Hardware","4700 Kipling St","80033",39.7826128571429,-105.10963
"80002","Arvada","CO","Sherwin-Williams Paint Store","5220 Wadsworth Byp","80002",39.79141254,-105.0793865
"80002","Arvada","CO","Camel Water Treatment","6260 W 52nd Ave Ste 101","80002",39.791076,-105.0666665
"80002","Arvada","CO","Kleenatap","8795 Ralston Rd","80002",39.8026831,-105.0952271
"80002","Arvada","CO","CPS Distributors","5601 Gray St Unit B","80002",39.798764,-105.062402
"80002","Arvada","CO","TM Sales","5255 Xenon St","80002",39.791429,-105.141125
"80002","Arvada","CO","electriconnection","not_available","80003",39.803995,-105.070353
"80002","Arvada","CO","swagelok Denver","not_available","not_available",39.78542296847495,-105.10415297421099
"80002","Arvada","CO","George T. Sanders Company - Wheat Ridge","10201 W 49th Ave","80033",39.78597463071412,-105.11274576187132
"80002","Arvada","CO","performance distrubuters","not_available","80002",39.78750228881836,-105.13893127441406
"80002","Arvada","CO","Ace Hardware","9447 W 57th Ave","80002",39.800456,-105.10282600000001
"80002","Arvada","CO","minuteKEY","5405 Wadsworth Byp","80002",39.795440673828125,-105.08012390136719
"80002","Arvada","CO","Metal Supermarkets","11405 W. I-70 Frontage Rd. N","80033",39.784300983183186,-105.12617826461792
"80002","Arvada","CO","American Awning & Patio Co.","4836 Van Gordon St","80033",39.78518,-105.13432
"80002","Arvada","CO","K&H Home Solutions","5805 W 56th Ave","80002",39.79875295,-105.05931344
"80002","Arvada","CO","S&N Lawnmower Shop","7711 Grandview Ave","80002",39.798684,-105.083528
"80002","Arvada","CO","A B M Fabrication & Machining","5880 W 59th Ave","80003",39.8031363,-105.0605519
