"zip","city","state","name","address","postalCode","lat","lon"
"50002","Adair","IA","Jacobsen Inc. of Adair","1010 Broad St","50002",41.499369267537816,-94.6468734741211
"50003","Adel","IA","Tractor Supply Co.","4001 Ash St","50069",41.539595,-94.008177
"50003","Adel","IA","Mikes Adel Power Equipment","27836 Fairground Rd","50003",41.63198,-94.02148
"50003","Adel","IA","Mulch Mart","600 hwy 6","not_available",41.615738,-93.889876
"50003","Adel","IA","Waukee Hardware & Rent-it Center","380 6th St.","50263",41.61158547085864,-93.88565779191327
"50003","Adel","IA","Baldon Hardware","409 S 6th St","50003",41.61405552671648,-94.01492563785324
"50008","Allerton","IA","Allerton Lumber Company","220 N Central Ave","50008",40.708344375529215,-93.36516380310059
"50008","Allerton","IA","Sin Ho Hup Enterprise","40&40A , Jalan Tun Dr.Awang","11900",40.741087,-93.499092
"50009","Altoona","IA","Menards","370 36th Ave SW","50009",41.64774596941774,-93.5093240052089
"50009","Altoona","IA","Lowe's","3610 8th Street SW","50009",41.6415919,-93.5067335
"50009","Altoona","IA","Direct Tools","771 Bass Pro Dr #210","50009",41.656953,-93.51238199999999
"50009","Altoona","IA","Altoona Ace Hardware","340 8th St SE","50009",41.643449,-93.460948
"50009","Altoona","IA","Duerson Corporation","601 1st Ave N","50009",41.656353,-93.464014
"50009","Altoona","IA","Ackelson Sheetmetal","1st Street SE","50009",41.650888902449395,-93.46318978458207
"50009","Altoona","IA","Altoona Hardware","not_available","50009",41.64375393281621,-93.4609903769322
"50009","Altoona","IA","Sherwin-Williams Paint Store","3770 8th St SW","50009",41.64301,-93.507655
"50009","Altoona","IA","Cox Design & Metal Fabrication","701 1st Ave N","50009",41.656909000000006,-93.46376500000001
"50010","Ames","IA","O'Donnell Ace Hardware","615 24th St","50010",42.045737,-93.619185
"50010","Ames","IA","Lowe's","120 Airport Rd","50010",41.9993445,-93.6116568
"50010","Ames","IA","Theisen's","1315 S Dayton Ave","50010",42.01135320890103,-93.58782277761524
"50010","Ames","IA","Stihl","not_available","50010",42.02276,-93.60804
"50010","Ames","IA","minuteKEY","3015 Grand Ave","50010",42.05206298828125,-93.6220703125
"50010","Ames","IA","Hokel","not_available","not_available",42.01449203491211,-93.61474609375
"50010","Ames","IA","Sherwin-Williams Paint Store","1624 S Duff Ave","50010",42.007402,-93.609139
"50010","Ames","IA","ISU Central Stores","Room 192, General Services Building","50014",42.02804183959961,-93.64102172851562
"50010","Ames","IA","Ames Winnelson","1021 Airport Rd","50010",42.00174,-93.62524
"50010","Ames","IA","Central Iowa Lawn Care/DBA Central Iowa Trailer Sales","2725 E Lincoln Way","50010",42.0239509,-93.57640599999999
"50010","Ames","IA","memorial union mechanical department","2229 Lincoln Way","50014",42.02443389475886,-93.64624259966668
"50020","Anita","IA","Anita Supply","209 Truman","50020",41.443913,-94.763377
"50021","Ankeny","IA","Menards","2505 SE Delaware Ave","50021",41.70489570242818,-93.57941671410933
"50021","Ankeny","IA","The Home Depot","2335 SE Delaware Ave","50021",41.70766286371338,-93.57820898294449
"50021","Ankeny","IA","Tractor Supply Co.","405 Southeast Oralabor Rd","50021",41.70238956039382,-93.59443899639875
"50021","Ankeny","IA","Allied Building Products","6485 NE 14th St","50313",41.677837,-93.599099
"50021","Ankeny","IA","Sherwin-Williams Floorcovering Store","5201 NE 14th St","50313",41.655443,-93.59983299999999
"50021","Ankeny","IA","Plumb Supply Co.","1622 NE 51st Ave","50313",41.6537322503204,-93.59624651883668
"50021","Ankeny","IA","Fastenal","617 S Ankeny Blvd","50023",41.724415,-93.599602
"50021","Ankeny","IA","A-1 Ankeny Rental","1617 S Ankeny Blvd","50023",41.713673,-93.5996241
"50021","Ankeny","IA","Color Store","1863 NE 54th Ave","50313",41.657912,-93.588996
"50021","Ankeny","IA","Moss Bros Inc.","not_available","50021",41.71349758068918,-93.59996541635026
"50021","Ankeny","IA","minuteKEY","1002 SE National Dr","50021",41.7051081,-93.5849952
"50021","Ankeny","IA","Sherwin-Williams Paint Store","817 E 1st St","50021",41.731367999999996,-93.586292
"50021","Ankeny","IA","Bomgaars","5049 NE 14th St","50313",41.652162757726074,-93.5983505210029
"50021","Ankeny","IA","charleston","not_available","50313",41.66468048095703,-93.59561157226562
"50022","Atlantic","IA","Akin Building Center","110 E 3rd St","50022",41.40834377236683,-95.0106863631212
"50022","Atlantic","IA","ROBINSON TRUE VALUE HDW","325 CHESTNUT ST","50022",41.407737731933594,-95.0129623413086
"50022","Atlantic","IA","Cappels Ace Hardware","110-116 Chestnut St","50022",41.4098029,-95.012755
"50022","Atlantic","IA","Cappel's ACE Hardware","110 Chestnut St","50022",41.409847259521484,-95.01238250732422
"50022","Atlantic","IA","Hallett Materials - Exira Pit","3101 Highway 71","50076",41.562381744384766,-94.90715026855469
"50022","Atlantic","IA","Husqvarna","1309 SW 7th St","50022",41.397193908691406,-95.03330993652344
"50022","Atlantic","IA","Husqvarna","2800 E 7th St","50022",41.40420913696289,-94.97494506835938
"50023","Ankeny","IA","Ankeny Hardware","700 N. Ankeny Blvd.","50023",41.737114,-93.60112
"50023","Ankeny","IA","Ace Hardware of Ankeny","3020 SW Oralabor Road","50023",41.703257,-93.638676
"50023","Ankeny","IA","Ed Wares Appliances","405 SW 3rd St","50023",41.729359,-93.604989
"50025","Audubon","IA","Williams Welding Inc","2182 220th St","50117",41.68779754638672,-94.86100006103516
"50036","Boone","IA","Bomgaar’s #85","1815 S Story St","50036",42.035972595214844,-93.88162994384766
"50036","Boone","IA","Boone Hardware","1018 8th St.","50036",42.06378149044117,-93.87756396010079
"50036","Boone","IA","Dick's Fire Extinguisher","not_available","50036",42.06001,-93.894066
"50036","Boone","IA","Boone Ace Hardware","1735 S East Marshall.","50036",42.0353,-93.8747
"50036","Boone","IA","Viking Paste-Press","1018 8th St","50036",42.06349182128906,-93.87744903564453
"50036","Boone","IA","Builders FirstSource","924 10th St","50036",42.06503328201926,-93.88009428977966
"50046","Cambridge","IA","Kempker's True Value And Rental, Inc.","502 E 1st St","50124",41.892345,-93.5995
"50046","Cambridge","IA","The Shop!","not_available","50046",41.8959533467309,-93.5289901013035
"50047","Carlisle","IA","Carlisle True Value","190 N First St","50047",41.49953845,-93.48700485
"50047","Carlisle","IA","Sampson Hardware","190 N 1st St","50047",41.4995267346939,-93.4866316326531
"50047","Carlisle","IA","Circle B Home Center","1700 N Jefferson Way","50125",41.37688064575195,-93.55697631835938
"50048","Casey","IA","Adair Lumber Yard","not_available","50048",41.492759,-94.556352
"50049","Chariton","IA","Lockridge, Inc.","not_available","50049",41.00872642929389,-93.31915855407715
"50049","Chariton","IA","Cedar Hill Manufacturing","street","50049",41.02242357813523,-93.30407381057738
"50049","Chariton","IA","Chariton True Value","1018 Braden Ave","50049",41.0154144,-93.30926035
"50058","Coon Rapids","IA","Mohr Lumber","500 Main St, Coon Rapids, IA 50058","50058",41.870925348848765,-94.6777431376567
"50058","Coon Rapids","IA","Hardware Hank","not_available","50058",41.87113952636719,-94.67847442626953
"50060","Corydon","IA","Gambles","not_available","50060",40.758275965115104,-93.31815942400587
"50065","Davis City","IA","Lamoni heating cooling and plumbing","not_available","50140",40.61943766544447,-93.93249090244225
"50065","Davis City","IA","Southern iowa building center","not_available","50065",40.6272,-93.87498
"50072","Earlham","IA","earlham building center earlham ia","S. Chestnut St.","50072",41.490508,-94.122771
"50072","Earlham","IA","Hardware Hank","not_available","50072",41.4905484208517,-94.12255563617752
"50111","Grimes","IA","The Home Depot","10850 Plum Dr","50322",41.6490953,-93.7653695
"50111","Grimes","IA","Menards","not_available","50111",41.68963,-93.771456
"50111","Grimes","IA","Kempker's True Value And Rental, Inc.","204 1st St","50111",41.68800901653112,-93.7957613036108
"50111","Grimes","IA","SLD-USA","4663 121st St, Urbandale, IA 50323","50323",41.64616012573242,-93.77924346923828
"50111","Grimes","IA","Sherwin-Williams Paint Store","2570 E 1st St","50111",41.68794169660191,-93.76555860042572
"50111","Grimes","IA","Strauss Safe & Lock Co","4663 121st St","50323",41.64616012573242,-93.77924346923828
