"zip","city","state","name","address","postalCode","lat","lon"
"46001","Alexandria","IN","MacAllister Rentals","3500 N Lee Pit Rd","47396",40.22051952,-85.56112309
"46001","Alexandria","IN","Pro-Floors","not_available","46001",40.25436,-85.671657
"46011","Anderson","IN","Fastenal","not_available","46013",40.0619383425023,-85.69226647930873
"46011","Anderson","IN","Carter Lumber","5625 Dr Martin Luther King Jr Blvd","46013",40.05745315551758,-85.718994140625
"46012","Anderson","IN","Northgate True Value Hardware","2400 Broadway St","46012",40.141134,-85.67684799999999
"46012","Anderson","IN","Bendle Lawn Equipment","3841 N State Road 9","46012",40.161949,-85.672883
"46012","Anderson","IN","Woodshop","not_available","not_available",40.112115,-85.663592
"46012","Anderson","IN","May Supply Co Inc","1525 Main St","46016",40.100726,-85.678596
"46013","Anderson","IN","Lowe's","3335 South Scatterfield Road","46013",40.08218,-85.6541976
"46013","Anderson","IN","Menards","2245 E 67th St","46013",40.04468266028078,-85.65172453060889
"46013","Anderson","IN","Tractor Supply Co.","6818 South Scatterfield Rd","46013",40.045275,-85.649211
"46013","Anderson","IN","Sherwin-Williams Paint Store","3328 S Scatterfield Rd","46013",40.081865,-85.65225500000001
"46013","Anderson","IN","minuteKEY","2321 Charles St","46013",40.0644038,-85.6497691
"46013","Anderson","IN","minuteKEY","3335 S Scatterfield Rd","46013",40.082127,-85.654424
"46017","Anderson","IN","Bobcat","A","47362",40.077814731961546,-85.63319175859165
"46032","Carmel","IN","Lowe's","14598 Lowes Way","46033",39.9989846,-86.1241771
"46032","Carmel","IN","The Home Depot","9855 North Michigan Rd","46032",39.9318704,-86.2296176
"46032","Carmel","IN","Menards","2150 E Greyhound Pass","46033",40.00308567198555,-86.12171962978232
"46032","Carmel","IN","White's Ace Hardware at Carmel","731 S Range Line Rd","46032",39.969838,-86.127178
"46032","Carmel","IN","McCool's Flooring Outlet","598 W Carmel Dr","46032",39.964508,-86.137304
"46032","Carmel","IN","Lee Supply Carmel: Plumbing, HVAC, & Appliances","415 W Carmel Dr","46032",39.961399,-86.133077
"46032","Carmel","IN","Carmel Welding, Supply & U-haul","not_available","46032",39.973295,-86.12729
"46032","Carmel","IN","PPG Porter Paints","148 W Carmel Dr","46032",39.96196365356445,-86.12932586669922
"46032","Carmel","IN","Kobalt Garage Door","10401 N Meridian St #205","46290",39.93889236450195,-86.1563949584961
"46032","Carmel","IN","Jack Lourie Floors","not_available","46077",39.930725,-86.237987
"46032","Carmel","IN","PPG Porter Paints","10111 N Michigan Rd","46032",39.93353038284929,-86.23253861855481
"46032","Carmel","IN","Runyon Equipment Rental","410 W Carmel Dr","46032",39.962726437184934,-86.1326240151593
"46032","Carmel","IN","Benjamin Moore & ICC Floors","4014 W 96th St","46268",39.926897,-86.229265
"46032","Carmel","IN","Winner Hardware Specialties","4340 W 96th St Ste 101","46268",39.926541,-86.234325
"46032","Carmel","IN","Carmel Glass & Mirror","not_available","46280",39.942266,-86.147539
"46032","Carmel","IN","Sherwin-Williams Paint Store","831 S Rangeline Rd","46032",39.968507515157604,-86.12635374069214
"46032","Carmel","IN","Sherwin-Williams Paint Store","11036 N Michigan Rd","46077",39.94677,-86.24001
"46033","Carmel","IN","Fishers Do-It Center","11881 Lakeside Dr","46038",39.95996669692646,-86.03660531785857
"46033","Carmel","IN","Carmel Garage Doors","13190 Hazel Dell Pkwy #110B","46033",39.97991180419922,-86.07222747802734
"46033","Carmel","IN","Sherwin-Williams Paint Store","7226 Fishers Crossing Dr","46038",39.957731,-86.043899
"46033","Carmel","IN","Economy Plumbing Supply","9755 Hague Rd","46256",39.92861562,-86.03264414
"46033","Carmel","IN","Best Way Lock and Key","street","46033",39.97425895010578,-86.08406066894531
"46033","Carmel","IN","Carmel Welding","not_available","46033",39.97358662844322,-86.05858869561204
"46033","Carmel","IN","Sherwin-Williams Paint Store","14795 Sunny Dell Ln","46062",40.0029192,-86.0698858
"46034","Cicero","IN","Sharkey Nails It Construction","5674 Doe Way","46062",40.1010319,-86.072919
"46035","Colfax","IN","Wright Hardware & LP","101 N Oakland St.","46035",40.194427490234375,-86.66793060302734
"46036","Elwood","IN","Tops Home Center #55","2927 S A St","46036",40.276328,-85.822467
"46036","Elwood","IN","Madison County Vinyl Products","10483 N State Road 37","46036",40.25577286666667,-85.83190798333334
"46037","Fishers","IN","Fishers Ace Hardware","11581 Geist Pavilion Dr","46037",39.9572999,-85.916899
"46037","Fishers","IN","Fishers Garage Doors","12692 E 116th St","46037",39.958229064941406,-85.93817138671875
"46037","Fishers","IN","Johnson's Lawnmower Repair","not_available","46038",39.95823382885298,-86.01504476533559
