"zip","city","state","name","address","postalCode","lat","lon"
"20601","Waldorf","MD","The Home Depot","12050 Jefferson Farm Pl","20601",38.6470489,-76.8926463
"20601","Waldorf","MD","Lowe's","2525 Crain Hwy","20601",38.6429901,-76.896425
"20601","Waldorf","MD","Lowe's","300 Rosewick Road","20646",38.557964,-76.981713
"20601","Waldorf","MD","Harbor Freight Tools Waldorf","Crain Highway","20603",38.621226,-76.914814
"20601","Waldorf","MD","Tractor Supply Co.","10795 Wawa Ln","20695",38.594254,-76.937678
"20601","Waldorf","MD","Flooring America","4390 Demarr Rd","20695",38.587589594934606,-76.94488096782072
"20601","Waldorf","MD","McConnell Pool & Fuel","4560 Crain Hwy","20695",38.58726,-76.94481
"20601","Waldorf","MD","Ferguson Plumbing Supply","10720 Demarr Rd","20695",38.590562,-76.93865
"20601","Waldorf","MD","Lyon, Conklin & Co., Inc. Heating & Cooling Division","10720-b DeMarr Rd","20695-3125",38.589948,-76.93864
"20601","Waldorf","MD","Duron Paints & Wallcoverings","12370 Waldorf Business Sq","20601",38.650172,-76.880953
"20601","Waldorf","MD","ABC Supply Co. Inc.","22 Industrial Park Dr Ste C","20602",38.616718,-76.906074
"20601","Waldorf","MD","Lowes","Billingsley Rd","20602",38.57957794991544,-76.91170070826821
"20601","Waldorf","MD","McCormick Paint","2794 Crain Hwy","20601",38.63403196109993,-76.90196890694637
"20601","Waldorf","MD","minuteKEY","300 Rosewick Rd","20646",38.55803680419922,-76.98233795166016
"20601","Waldorf","MD","Clinton Fences","not_available","not_available",38.63595,-76.89584
"20601","Waldorf","MD","Marjam Supply","12105 Acton Ln","20601",38.634371,-76.894852
"20601","Waldorf","MD","Capital Electric","4382 Crain Hwy","20695",38.59246063232422,-76.93997192382812
"20601","Waldorf","MD","Elite Key & Door Services","11865 Federal Sq Ste 204","20602",38.61851119995117,-76.89878845214844
"20601","Waldorf","MD","Tool Solutions","2896 Old Washington Rd","20601",38.6308,-76.9019
"20601","Waldorf","MD","fastenal","3472 Rockefeller Ct","20602",38.61657972688324,-76.90903284171989
"20601","Waldorf","MD","minuteKEY","40 Drury Dr","20646",38.5505326,-76.9828145
"20601","Waldorf","MD","Southern Maryland Hydraulics, Inc.","18 Irongate Dr Ste G","20602",38.612469,-76.907116
"20601","Waldorf","MD","Sherwin-Williams Paint Store","2252 Crain Hwy","20601",38.648866,-76.8847
"20601","Waldorf","MD","American Hardware","2875 U.S. 301","20601",38.6326188,-76.904842
"20601","Waldorf","MD","ADJ Sheet Metal","4501-4587 Graphics Dr","20695",38.587838,-76.932973
"20601","Waldorf","MD","Monarch Paint & Design Centers","12370 Waldorf Business Square","20601",38.650554,-76.88126
"20602","Waldorf","MD","Sears","11170 Mall Circle","20603",38.61642,-76.927076
"20602","Waldorf","MD","Sears","11145 Mall Cir","20603",38.61597206639858,-76.93061108926702
"20607","Accokeek","MD","Bryans Rd Bldg/Su Co Inc","3060 Livingston Rd","20616",38.627118,-77.072998
"20613","Brandywine","MD","United Electrical Supply","12045 Trade Zone Ct","20601",38.637434000000006,-76.892886
"20619","California","MD","Lowe's","45075 Worth Avenue","20619",38.2999005,-76.5169551
"20619","California","MD","Tractor Supply Co.","23788 Mervell Dean Rd","20636",38.321345,-76.543625
"20619","California","MD","minuteKEY","45075 Worth Ave","20619",38.300012,-76.516758
"20619","California","MD","Thomas Somerville","23721 Three Notch Rd","20636",38.319506,-76.54400799999999
"20619","California","MD","McKays","46075 Signature Lane","20653",38.25283363642595,-76.48197077241505
"20619","California","MD","Royal Glass","21500 Great Mills Rd","20653",38.257433,-76.47254000000001
"20620","Callaway","MD","Dyson Building Center","not_available","20620",38.23814010620117,-76.50474548339844
"20622","Charlotte Hall","MD","Charlotte Hall Ace Hardware","30314 Triangle Dr","20622",38.49852752685547,-76.77283477783203
"20622","Charlotte Hall","MD","Southern States","29815 Three Notch Rd","20622",38.487762,-76.776275
"20622","Charlotte Hall","MD","Mechanicsville Building Supply","28155 Three Notch Rd","20659",38.441563,-76.737359
"20622","Charlotte Hall","MD","Noland company","29020 Three Notch Rd","20659",38.465999603271484,-76.76891326904297
"20622","Charlotte Hall","MD","84 Lumber","7402-7424 New Market Turner Rd","20659",38.471866607666016,-76.77293395996094
"20622","Charlotte Hall","MD","Corbin Home Improvement, LLC","37445 Asher Rd","20659",38.403684000000005,-76.781867
