"zip","city","state","name","address","postalCode","lat","lon"
"38603","Ashland","MS","Ashland Hardware","not_available","38603",34.82753920283124,-89.18914795649916
"38606","Batesville","MS","Lowe's","1135 Highway 6 East","38606",34.3114013,-89.9095687
"38606","Batesville","MS","Tractor Supply Co.","1216 Hwy 6 East","38606",34.3089871984619,-89.90592956542969
"38606","Batesville","MS","Klyce True Value Hardware","213 S Main St","38666",34.43545316,-89.91621684
"38606","Batesville","MS","Sherwin-Williams Paint Store","203 Highway 51 S","38606",34.30817187902989,-89.94569063186646
"38606","Batesville","MS","True Value Building Materials","125 McMahan Dr","38606",34.31724,-89.93619
"38606","Batesville","MS","Lotts Ace Hardware","139 Hwy 51 North","38606",34.315299,-89.943879
"38606","Batesville","MS","Husqvarna","155 Cracker Barrell Dr","38606",34.31166458129883,-89.92393493652344
"38610","Blue Mountain","MS","Benson home supply","not_available","38663",34.729534,-88.94718
"38611","Byhalia","MS","Alliance Express","10400 Marina Dr Ste 108","38654",34.98817825317383,-89.80546569824219
"38611","Byhalia","MS","todds feed store","not_available","not_available",34.69820022583008,-89.81137084960938
"38611","Byhalia","MS","John Deere","not_available","38654",34.967907129285514,-89.79561451359245
"38611","Byhalia","MS","Husqvarna","7341 Hacks Cross Rd","38654",34.96775817871094,-89.7957992553711
"38611","Byhalia","MS","Husqvarna","8599 Highway 178","38611",34.87607955932617,-89.70282745361328
"38614","Clarksdale","MS","Mr B's Buildings and Supplies","18110 Highway 61 N","38645",34.26354766094871,-90.52050948143005
"38614","Clarksdale","MS","True Value Building Materials","861 S State St","38614",34.18645095825195,-90.5875473022461
"38614","Clarksdale","MS","minuteKEY","1000 S State St","38614",34.18133544921875,-90.5909194946289
"38614","Clarksdale","MS","Discount Building Materials","5191 Highway 61 S","38614",34.131115,-90.665759
"38614","Clarksdale","MS","Sherwin-Williams Paint Store","229 1st St","38614",34.20466847070804,-90.57300567626953
"38614","Clarksdale","MS","Sears","937 Commerce Avenue","38614",34.186939144147566,-90.59171124363274
"38618","Coldwater","MS","Tractor Supply Co.","133 Northwest Plaza Dr","38668",34.62682,-89.97357
