"zip","city","state","name","address","postalCode","lat","lon"
"59001","Absarokee","MT","Stillwater Lumber And Building Center","66 S Woodard Ave","59001",45.5194733333333,-109.443383333333
"59003","Ashland","MT","Fred's Hardware Hanks","not_available","59003",45.590553,-106.26392
"59007","Bearcreek","MT","truvalue","not_available","59068",45.189863728939685,-109.25269032915394
"59007","Bearcreek","MT","Red Lodge True Value","1 N Oakes Ave","59068",45.187329,-109.248691
"59008","Belfry","MT","Rock Creek Lumber","1002 N. Broadway","59068",45.19704818725586,-109.24583435058594
"59011","Big Timber","MT","Big Timber Ace Hardware","111 Mcleod Street","59011",45.834629,-109.954614
"59018","Clyde Park","MT","CNS Family Hardware","584 5th Ave","11215",45.88333165347149,-110.60468673706055
"59019","Columbus","MT","Columbus Ace Hardware","537 Clough Ave","59019",45.6368,-109.2522
"59030","Gardiner","MT","Mr Locks Locksmith","not_available","59030",45.035103,-110.711165
"59034","Hardin","MT","Hardin","304 N Center Ave","59034",45.7315788269043,-107.60640716552734
"59034","Hardin","MT","Ace Hardware","321 N Center Ave","59034",45.749843,-107.607457
"59036","Harlowton","MT","Ace Hardware","100 Central Ave N","59036",46.436524,-109.832768
"59036","Harlowton","MT","Central Lumber","804 2nd Nw","59036",46.436831,-109.843301
"59038","Hysham","MT","Ace Hardware","224 Elliott Ave","59038",46.293355,-107.234154
"59038","Hysham","MT","Hysham Ace Hardware","224 Elliott","59038",46.2931999,-107.2338
"59041","Joliet","MT","roberts ranch outfitters","not_available","59070",45.35859298706055,-109.16477966308594
"59041","Joliet","MT","Montana Railroad Services Inc","17 Klamert Ln","59041",45.5461112,-108.8442219
"59044","Laurel","MT","Lowe's","2717 King Avenue West","59102",45.7578718,-108.5823314
"59044","Laurel","MT","The Home Depot","2784 King Ave West","59102",45.7533344,-108.5827191
"59044","Laurel","MT","Ferguson Plumbing Supply","1734 Lampman Dr","59102",45.759361267089844,-108.56079864501953
"59044","Laurel","MT","DL Truckload Sales","1033 S 29th St W Ste C","59102",45.75106230000001,-108.586885
"59044","Laurel","MT","King's Ace Hardware","2264 Central Ave","59102",45.769052,-108.57523
"59044","Laurel","MT","A-One Garage Door","6600 Hesper Rd","59106",45.74039388562396,-108.68409633636475
