"zip","city","state","name","address","postalCode","lat","lon"
"27006","Advance","NC","Tractor Supply Co.","196 Westwood Village Dr","27012",36.031024,-80.385921
"27006","Advance","NC","Steelman's Ace Hardware","5431 US Highway 158","27006",36.0060599,-80.43419
"27006","Advance","NC","Wright Farm Gates","not_available","not_available",35.978938,-80.455432
"27006","Advance","NC","Residential Building Specialties, Inc.","6220 Hacker Bend Ct Ste D","27103",36.0406846,-80.36977259999999
"27006","Advance","NC","Poindexter Lumber Company","6965 Idols Rd","27012",35.998443,-80.385214
"27006","Advance","NC","Sherwin-Williams Paint Store","2662 Lewisville Clemmons Rd","27012",36.024865000000005,-80.382588
"27006","Advance","NC","Jack's New Grass Mowers Sales And Service","4798 Kinnamon Rd","27012",36.040665701215715,-80.37595874737787
"27006","Advance","NC","J Royal","3720 Stanford Way","27012",35.995796,-80.388737
"27011","Boonville","NC","Yadkin Lumber Company, Inc.","800 N State St, Yadkinville, NC 27055","27055",36.142672,-80.6644
"27012","Clemmons","NC","Lowe's","935 Hanes Mall Blvd","27103",36.0636261,-80.3135019
"27012","Clemmons","NC","The Home Depot","1000 Hanes Mall Blvd","27103",36.0673883,-80.3155567
"27012","Clemmons","NC","Smitherman Hardware & Equipment","1305 Lewisville Clemmons Rd","27023",36.079324,-80.389646
"27012","Clemmons","NC","Sherwin-Williams Paint Store","1017 Hanes Mall Blvd","27103",36.066650390625,-80.3193588256836
"27012","Clemmons","NC","Consignment Furniture Emporium, Inc.","130 Cloverleaf Dr","27103",36.0491237,-80.3223939
"27012","Clemmons","NC","Wilson Lighting","3065 Trenwest Dr","27103",36.080528259277344,-80.29757690429688
"27012","Clemmons","NC","Penn Tool","2431 Spaugh Industrial Dr","27103",36.033941,-80.317479
"27012","Clemmons","NC","Premier Window","4711-4729 Benton Rd","27104",36.074016094207764,-80.33921420574188
"27012","Clemmons","NC","Pfaff's, Inc.","1550 S Stratford Rd","27103",36.07275,-80.304
"27012","Clemmons","NC","Ace Hardware (Arcadia)","8201 N NC Hwy 150","27012",35.949535,-80.306391
"27012","Clemmons","NC","triad restorations","not_available","27103",36.04077911376953,-80.31536865234375
"27012","Clemmons","NC","Murray Supply Company","240 Olive St.","27103",36.082978902825204,-80.29995786812935
"27012","Clemmons","NC","Interpol Solutions, LLC","1444 River Ridge Dr","27012",36.075233000000004,-80.39235699999999
"27013","Cleveland","NC","Steele Feed & Seed","not_available","28125",35.67626853238506,-80.6935200178703
"27014","Cooleemee","NC","Heritage Hardware True Value","7814 Hwy 801 S","27014",35.81354522705078,-80.55267333984375
"27017","Dobson","NC","Lowe's","692 South Andy Griffith Parkway, Ste. 100","27030",36.48489509,-80.61587695
"27017","Dobson","NC","Tractor Supply Co.","2149 Rockford St Ste C","27030",36.476046999999994,-80.618243
"27017","Dobson","NC","Lowe's","492 Cc Camp Road","28621",36.273512,-80.840908
"27017","Dobson","NC","Tractor Supply Co.","1925 North Bridge St Ste 100","28621",36.283512,-80.85348
"27017","Dobson","NC","minuteKEY","548 Cc Camp Rd","28621",36.27591323852539,-80.83223724365234
"27017","Dobson","NC","minuteKEY","2241 Rockford St","27030",36.47169876098633,-80.618408203125
"27017","Dobson","NC","Freeman's Saddle And Tack","not_available","27017",36.395985731993136,-80.78533594859788
"27017","Dobson","NC","Price Power Equipment","2116 N Bridge St","28621",36.28771,-80.85221899999999
"27017","Dobson","NC","Merritt Supply","not_available","27030",36.48069500427909,-80.60412139606689
"27019","Germanton","NC","Main Street Lawn, Garden & Hardware","130 E Wall St","27045",36.222607,-80.285074
"27020","Hamptonville","NC","Ace Hardware","1475 West Memorial Highway","28689",36.036947,-80.896695
"27020","Hamptonville","NC","The Shop","not_available","28689",36.051176275125556,-80.83614891337574
"27020","Hamptonville","NC","Union Grove Hdw/Bldrs Supply","1475 W Memorial Hwy","28634",36.007834,-80.833792
"27021","King","NC","City Electric Supply King","141 Pineview Dr","27021",36.265821,-80.358979
"27021","King","NC","King Lawn & Garden","509 S Main St","27021",36.271137,-80.360939
"27023","Lewisville","NC","Shallowford Road","6250 Jennings Rd","27023",36.10185623168945,-80.4129867553711
"27023","Lewisville","NC","minuteKEY","5175 Brookberry Park Ave","27104",36.09392547607422,-80.36785125732422
"27025","Madison","NC","Lowe's","6844 NC-135","27027",36.413157,-79.939283
"27025","Madison","NC","Tractor Supply Co.","124 New Market","27025",36.396767,-79.96718299999999
"27025","Madison","NC","Western Auto","322 N Main St","27052",36.296321999999996,-80.141225
"27028","Mocksville","NC","Lowe's","1427 Yadkinville Road","27028",35.9172115,-80.5870309
"27028","Mocksville","NC","Tractor Supply Co.","1029 Yadkinville Rd Ste 101","27028",35.910695000000004,-80.577074
"27028","Mocksville","NC","Caudell True Value Lumber","162 Sheek St","27028",35.90091324,-80.55118561
"27028","Mocksville","NC","Sherwin-Williams Paint Store","1743 US Highway 601 N","27028",35.92705424720579,-80.59411771414536
"27030","Mount Airy","NC","Merritt Supply Inc","451 N South St","27030",36.502323,-80.615593
"27030","Mount Airy","NC","Sherwin-Williams Paint Store","196 Mayberry Mall","27030",36.507928,-80.623565
"27030","Mount Airy","NC","Do It Best","not_available","27041",36.38995743041866,-80.48483306504687
"27030","Mount Airy","NC","City Electric Supply Mount Airy","630 W Independence Blvd","27030",36.5013297,-80.6191813
"27030","Mount Airy","NC","United Plumbing Supply - Mount Airy","925 W Lebanon St","27030",36.52052,-80.6215
"27030","Mount Airy","NC","Riverside Building Supply","Pine St","27030",36.504947662353516,-80.5836181640625
"27040","Pfafftown","NC","Sherwoods Ace Hardware","3450 Robinhood Rd","27106",36.1165978,-80.3163125
"27040","Pfafftown","NC","GLC Home Improvement CO","4315 Shadi Green Ln","27040",36.1739276,-80.3545451
"27040","Pfafftown","NC","Sherwin-Williams Paint Store","3655 Reynolda Rd","27106",36.15866702755911,-80.31880259513855
"27040","Pfafftown","NC","Shouse Surplus & Tool Co","3557 Yakinville Rd","not_available",36.153901631720736,-80.31729295769877
"27045","Rural Hall","NC","Tractor Supply Co.","1011 Bethania Rural Hall Rd","27045",36.213541,-80.30014
"27045","Rural Hall","NC","Byrd's Mobile Locksmith","5771 Germanton Rd","27105",36.19853817552917,-80.25388240814209
"27051","Walkertown","NC","Webster Bros. Hardware. Inc.","2700 Hwy. 66","27051",36.1702999,-80.158199
"27055","Yadkinville","NC","Dorsett Technologies","100 Woodlyn Dr","27055",36.11815,-80.654629
"27055","Yadkinville","NC","Husqvarna US","1517 US 601 Hwy","27055",36.066070556640625,-80.64197540283203
"27101","Winston Salem","NC","H&E Equipment Services","3760 N Liberty St","27105",36.1371725,-80.2307064
"27101","Winston Salem","NC","H4H Build Site","not_available","27105",36.15731802520558,-80.25420357860098
"27101","Winston Salem","NC","Colonial Materials Inc","2600 Lowery Street","27101",36.09580115,-80.20235152
"27101","Winston Salem","NC","AMS Metal Slitting Corp.","1710 N 25th Ave","60160",36.12286617807761,-80.22427082061768
"27101","Winston Salem","NC","Murray Supply","102 W 3rd St Ste 810","27101",36.09699310793109,-80.24501770734787
"27101","Winston Salem","NC","Discount Builders Supply","4258 Kernersville Rd","27284",36.091739654541016,-80.13890075683594
"27101","Winston Salem","NC","Sherwin-Williams Paint Store","651 Peters Creek Pkwy","27103",36.08286116742242,-80.25655388832092
"27101","Winston Salem","NC","Quality Glass Service","900 W Northwest Blvd","27101",36.10432052612305,-80.25873565673828
"27103","Winston Salem","NC","Lowe's","1450 Lumber Lane","27127",36.0313938,-80.2639092
"27103","Winston Salem","NC","Cloverdale Ace Hardware","2287 Cloverdale Avenue","27103",36.0900699,-80.27589
"27103","Winston Salem","NC","Harbor Freight Tools","2658 PETERS CREEK PARKWAY","27127",36.05866372707796,-80.26012390075063
"27103","Winston Salem","NC","Sherwin-Williams Paint Store","165 Beau View Ct","27127",36.05357545129833,-80.25843931100843
"27103","Winston Salem","NC","House Doctors Handyman of Winston Salem","1625 Stoneshire Ct","27127",36.04589759,-80.26800636
"27103","Winston Salem","NC","Sherwin-Williams Commercial Paint Store","355 Witt St","27103",36.08927917480469,-80.2850112915039
"27103","Winston Salem","NC","minuteKEY","180 Harvery Rd.","27103",36.0852287,-80.2937468
"27103","Winston Salem","NC","ACR Supply","1735 Link Rd","27103",36.07042855314513,-80.26302324565812
"27103","Winston Salem","NC","Badcock Home Furniture &more","1215 Silas Creek Pkwy","27127",36.0677261,-80.25469629999999
"27103","Winston Salem","NC","Sherwin-Williams Paint Store","113 Oakwood Dr","27103",36.09090065,-80.28133616
"27103","Winston Salem","NC","City Electric Supply Winston Salem Central","1525 Peters Creek Pkwy","27103",36.07246216499955,-80.25726467370987
"27103","Winston Salem","NC","minuteKEY","1450 Lumber Ln","27127",36.0313606262207,-80.26403045654297
"27105","Winston Salem","NC","The Home Depot","5721 University Parkway","27105",36.1779762,-80.272898
"27105","Winston Salem","NC","Lowe's","5901 University Pky","27105",36.1832884,-80.2720009
"27105","Winston Salem","NC","City Electric Supply Wake Forest University","2841 Fairlawn Dr","27106",36.141721711122436,-80.29911249876022
"27105","Winston Salem","NC","minuteKEY","5039 University Pkwy","27106",36.160560607910156,-80.27713012695312
"27105","Winston Salem","NC","minuteKEY","5901 University Pkwy","27105",36.18429183959961,-80.27537536621094
"27105","Winston Salem","NC","Sherwin-Williams Paint Store","6035 University Pkwy","27105",36.191072,-80.277328
"27105","Winston Salem","NC","Ferguson Bath, Kitchen & Lighting Gallery","7905 N Point Blvd","27106",36.14982604980469,-80.2738037109375
"27107","Winston Salem","NC","Southside Bargain Center","3425 Thomasville Rd","27107",36.055316,-80.208171
"27107","Winston Salem","NC","Bloomin Blinds","4117 Shadetree Drive","27107",36.0640272,-80.13785969999999
"27107","Winston Salem","NC","Carter Lumber","9376 Old Us Hwy 52","27374",35.9456963201438,-80.22218375080536
"27107","Winston Salem","NC","Fred's Sheds LLC","not_available","27150",36.02688935430189,-80.20744800567627
"27127","Winston Salem","NC","Snead's Mower","not_available","27127",36.03996543933467,-80.24191440217704
"27203","Asheboro","NC","Lowe's","1120 East Dixie Drive","27203",35.6932676,-79.7936706
"27203","Asheboro","NC","Tractor Supply Co.","1200 East Dixie Dr","27203",35.694522,-79.792321
"27203","Asheboro","NC","Sherwin-Williams Paint Store","642 N Fayetteville St","27203",35.716018,-79.810724
"27203","Asheboro","NC","Husqvarna US","1611 N Fayetteville St","27203",35.74055099487305,-79.8089599609375
"27203","Asheboro","NC","Southern States - 75167","504 E Dixie Dr","27205",35.688313,-79.808835
"27203","Asheboro","NC","City Electric Supply Asheboro","837 W Salisbury St","27203",35.708142585614056,-79.82646181250863
"27203","Asheboro","NC","asheboro outdoor power equipment","not_available","27203",35.70570344885686,-79.79635064207456
"27203","Asheboro","NC","minuteKEY","1226 E Dixie Dr","27203",35.692666,-79.7899149
"27203","Asheboro","NC","Valdez Heating and Air, LLC","849 Gold Hill Rd","27203",35.728628,-79.782967
"27203","Asheboro","NC","minuteKEY","1120 E Dixie Dr","27203",35.69292068481445,-79.79371643066406
"27203","Asheboro","NC","Ag Supply","not_available","27248",35.734238,-79.709724
"27203","Asheboro","NC","Hammerheads Hardware","1537 N Fayetteville St","27203",35.738113,-79.808947
"27205","Asheboro","NC","Asheboro Supply Company","1916 S Fayetteville St","27205",35.679293,-79.81866600000001
"27209","Biscoe","NC","Miller's Hardware","not_available","27209",35.35862731933594,-79.77959442138672
"27209","Biscoe","NC","Tractor Supply Co.","527 East Main St","27209",35.362444,-79.768461
"27214","Browns Summit","NC","Southern States - 78687","341 Us 29 Business","27320",36.2678263314563,-79.652203401075
"27214","Browns Summit","NC","Cardinal Lawn And Garden","not_available","27405",36.14838595517662,-79.7315336570505
"27215","Burlington","NC","Lowe's","125 Huffman Mill Road","27215",36.0789308,-79.4809406
"27215","Burlington","NC","The Home Depot","2771T Kirkwood Dr","27215",36.0660533,-79.4651278
"27215","Burlington","NC","Northern Tool & Equipment Co","2495 Eric Ln","27215",36.065872,-79.477157
"27215","Burlington","NC","Harbor Freight Tools","1819 S Church St","27215",36.08416748046875,-79.4610824584961
"27215","Burlington","NC","Sears","350 Holly Hill Mall","27215",36.07959132,-79.48610581
"27215","Burlington","NC","Lowes Of Burlington","125 Huffman Mill Rd","27215",36.07909393310547,-79.48139953613281
"27215","Burlington","NC","minuteKEY","3141 Garden Rd","27215",36.072102,-79.499019
"27215","Burlington","NC","Hunt Electric Company","not_available","27215",36.080546,-79.430329
"27215","Burlington","NC","Carolina Supply Inc.","1324 S Mebane St","27215",36.080928,-79.445491
"27215","Burlington","NC","Auto Trim Design Inc","614 Chapel Hill Road","27215",36.0762303,-79.44617149999999
"27215","Burlington","NC","Payment Terminal Systems LLC","413 Tucker St","27215",36.087008,-79.432158
"27215","Burlington","NC","Sherwin-Williams Paint Store","3246 S Church St","27215",36.080477,-79.505459
"27215","Burlington","NC","Southern States","not_available","27589",36.08013888888889,-79.467336
"27215","Burlington","NC","City Electric Supply Burlington","1735 Maple Ave","27215",36.07303016769728,-79.42830383777618
"27215","Burlington","NC","Tractor Supply Co.","3129 Garden Rd","27215",36.071797,-79.497419
"27215","Burlington","NC","Ferguson","2265 Hanford Rd","27215",36.062356,-79.438249
"27217","Burlington","NC","Sherwin-Williams Paint Store","903 Mebane Oaks Rd","27302",36.07676,-79.273288
"27217","Burlington","NC","Southern States - 77737","1902 Nc Route 119","27302",36.1352172,-79.2770692
"27217","Burlington","NC","MCGUIRE Air Compressors Inc.","729 Elm Streen","27253",36.078189,-79.385231
"27217","Burlington","NC","Bdc","not_available","27253",36.0850944519043,-79.4042739868164
"27217","Burlington","NC","Builder's Discount Center","213 W Hanover Rd","27253",36.085613,-79.404256
"27235","Colfax","NC","Northern Tool and Equipment","8521 Triad Dr","27235",36.09377373702188,-79.99488504087687
"27235","Colfax","NC","HD Supply White Cap","8717 W Market St","27409",36.09928266,-79.97884636
"27235","Colfax","NC","Colfax Trading Company","not_available","27235",36.10199496808235,-79.9960215870312
"27235","Colfax","NC","BTL Siding & Windows","4702 Sandy Camp Rd","27262",36.065933,-79.998637
"27235","Colfax","NC","BetterDoor","101 Little Santee Rd","27235",36.10326385498047,-79.98764038085938
"27239","Denton","NC","C & M Landscape Supply, LLC","not_available","28127",35.51861111111111,-80.14444444444445
"27239","Denton","NC","Carolina Specialty Products","5595 NC Highway 49","27239",35.544845,-80.110282
"27239","Denton","NC","Husqvarna US","PO Box 1702","27239",35.62458038330078,-80.0976333618164
"27239","Denton","NC","Wilson Carter Supply","not_available","27239",35.62040328979492,-80.10506439208984
"27239","Denton","NC","GHS Corporation","9543 NC Highway 49 S","27239",35.588032,-80.0505357
"27242","Eagle Springs","NC","Burney True Value Hardware","11865 Hwy 15-501S","28315",35.26782385,-79.58776454
"27242","Eagle Springs","NC","Burney True Value Hardware Of Seven Lakes","270 N Trade St","27376",35.26782818,-79.58778192
"27243","Efland","NC","G & G General Services","1000 Splendor Ct","27278",36.038306,-79.13728499999999
"27244","Elon","NC","Ross Grocery","hwy 87","27249",36.2841671705246,-79.55635786056519
"27248","Franklinville","NC","Zack White Leather","809 Moffitt St","27316",35.736686,-79.653863
"27253","Graham","NC","Lowe's","200 Lowes Boulevard","27302",36.0671464,-79.302191
"27253","Graham","NC","Colonial Hardware","126 E Elm St","27253",36.069613,-79.399497
"27253","Graham","NC","Woodworkers Supply Of NC","1125 Jay Ln","27253",36.06974,-79.370759
"27253","Graham","NC","Graham Tractor Co","109 S Marshall St","27253",36.0686,-79.398947
"27253","Graham","NC","Husqvarna US","PO Box 753","27253",36.021087646484375,-79.36829376220703
"27260","High Point","NC","Lowe's","2600 North Main Street","27265",35.9920983,-80.0262794
"27260","High Point","NC","The Home Depot","2300 N Main St","27262",35.985656,-80.02279
"27260","High Point","NC","Harbor Freight Tools","2645 N Main St","27265",35.991673999999996,-80.03071
"27260","High Point","NC","Southside Hardware Center","2937 S Main St","27263",35.91994,-79.97632
"27260","High Point","NC","Jamestown True Value","715 W Main St","27282",35.9930266784442,-79.9528166219122
"27260","High Point","NC","Harbor Freight Tools","North Main Street","not_available",35.962676,-80.01032
"27260","High Point","NC","Marco Supply Co.","not_available","27260",35.967997807163606,-79.94181062449248
"27260","High Point","NC","Precision Products","1219 Dorris Ave","27260",35.935351,-80.01671899999997
"27260","High Point","NC","FAS-GLAS Glass & Mirror","3022 West English Road","27262",35.930986,-80.046125
"27260","High Point","NC","Huffman Paint and Wallcoverings","Main Street","not_available",35.9595516783677,-80.01507808620454
"27260","High Point","NC","Sherwin-Williams Paint Store","127 Westchester Dr","27262",35.982361,-80.025756
"27260","High Point","NC","Furniture Clearance Center, LLC.","1229 S Main St","27260",35.9433771,-80.0012325
"27260","High Point","NC","minuteKEY","2628 S. Main St.","27263",35.9276643,-79.9873082
"27260","High Point","NC","Airgas / National Welders","2704 Uwharrie Rd","27263",35.92088915092449,-80.00888108725995
"27260","High Point","NC","minuteKEY","2710 N Main St","27265",35.99412155151367,-80.02910614013672
"27260","High Point","NC","Ferguson Plumbing Supply","334 W Russell Ave","27260",35.952394,-80.010526
"27260","High Point","NC","Economy Plumbing","2621 Dallas Ave","27265",35.982307,-79.9786
"27260","High Point","NC","Beeson Decorative Hardware & Plumbing","2210 Geddie Pl","27260",35.96394348144531,-79.9666748046875
"27260","High Point","NC","minuteKEY","2600 N Main St","27265",35.99171829223633,-80.02642059326172
"27260","High Point","NC","Womack Electric Supply Co.","808 W Green Dr","27260",35.948293,-80.014299
"27260","High Point","NC","City Electric Supply High Point Nc","1944 West Green St.","27260",35.933572,-80.0158156
"27260","High Point","NC","True Hardware","not_available","27282",35.992309,-79.953278
"27260","High Point","NC","Mannington Laminate Floors","210 Pendleton St","27260",35.963531494140625,-79.97126770019531
"27260","High Point","NC","Wurth Wood Group","201 Pendleton St","27260",35.962644,-79.969266
"27260","High Point","NC","Carbide Saws Inc.","701 Garrison St","27260",35.9506266,-79.9783674
"27263","High Point","NC","Williams Hardware","8700-8898 U.S. 311","27263",35.874101014682765,-79.91148392526613
"27263","High Point","NC","Shop","not_available","27370",35.8677978515625,-80.00386810302734
"27263","High Point","NC","Kivett Industrial Supply, Inc.","301 Interstate Dr","27263",35.899279,-79.95642099999999
"27263","High Point","NC","Router Bit Service Company, Inc.","7018 Tomball Rd","27263",35.9169734,-79.86668499999999
"27263","High Point","NC","Davis Feed And Supply","not_available","27317",35.87656366283516,-79.85683358058021
"27263","High Point","NC","Leitz","not_available","27263",35.898223,-79.957728
"27263","High Point","NC","Crossover Roofing","10729 N Main St","27263",35.908731,-79.967741
"27265","High Point","NC","Ace Hardware of Kernersville","1537 Union Cross Rd","27284",36.076147,-80.107023
"27265","High Point","NC","Sherwin-Williams Paint Store","3821 Tinsley Dr","27265",36.02860399872251,-79.96917705965389
"27265","High Point","NC","Tool Locker Plus","408 Gallimore Dairy Rd","27409",36.071548,-79.945278
"27265","High Point","NC","Horneytown Builder Supply","138 Horneytown Rd","27265",36.013090999999996,-80.06111700000001
"27265","High Point","NC","Vallen","4344 Federal Dr","27410",36.06251907348633,-79.9489974975586
"27265","High Point","NC","Ferguson Plumbing Supply","305 Friendship Dr","27409",36.079524,-79.941781
"27265","High Point","NC","Horizon Tool, Inc.","4300 Waterleaf Ct","27410",36.0591441,-79.9431252
"27265","High Point","NC","Aloi Materials Handling – High Point","2638 Willard Dairy Rd","27265",36.043296999999995,-79.963474
"27278","Hillsborough","NC","The Home Depot","625 Hampton Point Blvd","27278",36.0543004,-79.0816567
"27278","Hillsborough","NC","Tractor Supply Co.","1701 Nc Hwy 86 South","27278",36.061921,-79.085178
"27278","Hillsborough","NC","Lumber Liquidators Flooring","3157 Hillsborough Rd","27705",36.01697179860769,-78.94078152768748
"27278","Hillsborough","NC","Orange Garden Center, Inc.","1218 us 70 east","27278",36.08125305175781,-79.0776138305664
"27278","Hillsborough","NC","Town and Country Hardware","1129 Weaver Dairy Rd","27514",35.96267328524359,-79.05339922395866
