"zip","city","state","name","address","postalCode","lat","lon"
"87001","Algodones","NM","Sam Hardware","not_available","not_available",35.41544528912571,-106.40365839025499
"87002","Belen","NM","Tabet Lumber & Concrete True Value","606 Baca Ave","87002",34.659061431884766,-106.77552795410156
"87002","Belen","NM","Sears","19554 Highway 314","87002",34.7090719,-106.7614759
"87002","Belen","NM","HydroCut, Inc.","8 Navarro Dr","87002",34.606424,-106.735385
"87002","Belen","NM","minuteKEY","1 I 25 Bypass","87002",34.6971454,-106.7681418
"87002","Belen","NM","Woodlands Ace Hardware","522 E Reinken Ave","87002",34.65917205810547,-106.76136016845703
"87004","Bernalillo","NM","The Home Depot","7700 US 550 NE","87124",35.3329263,-106.578335
"87004","Bernalillo","NM","Lowe's","3805 Northern Boulevard NE","87124",35.2762366,-106.6589497
"87004","Bernalillo","NM","Sherwin-Williams Paint Store","103 Rio Rancho Dr NE","87124",35.25888,-106.64075
"87004","Bernalillo","NM","Village Mercantile Home & Farm Store","3675 Corrales Rd","87048",35.217543,-106.62624253333334
"87004","Bernalillo","NM","Tractor Supply Co.","300 West Hwy 550","87004",35.320629,-106.549195
"87004","Bernalillo","NM","minuteKEY","1115 NM Hwy. 528 SE","87124",35.2423793,-106.6556453
"87004","Bernalillo","NM","Chaparral Materials Inc","4220 Stanley Drive Northeast","87144",35.3307167,-106.5799725
"87004","Bernalillo","NM","Ace Hardware","4100 Sabana Grande Ave SE","87124",35.242794,-106.65466599999999
"87004","Bernalillo","NM","S&S Weapon Systems","3751 Southern Blvd SE","87124",35.24204635620117,-106.65998077392578
"87004","Bernalillo","NM","Samon's","4100 Southern Blvd SE","87124",35.240372,-106.65813500000002
"87004","Bernalillo","NM","Ta Gr Mo True Value","952 S Camino Del Pueblo","87004",35.3015966666667,-106.550434102564
"87013","Cuba","NM","Richards True Value Hardware","6429 Us Hwy 550","87013",36.02109,-106.9591
"87013","Cuba","NM","Moore's Landscaping & Handyman Services, LLC","not_available","87144",35.32349412585721,-106.71245813369751
"87015","Edgewood","NM","Tractor Supply Co.","5 Marietta Ct","87015",35.065966,-106.200616
"87015","Edgewood","NM","Hunter Building Materials","Edgewood","not_available",35.05904,-106.171132
"87015","Edgewood","NM","Hart's hardware","not_available","87035",35.00658121798109,-106.0585500941454
"87026","Laguna","NM","Ace Hardware","1-40 Exit 108 S","87007",35.0118,-107.322
"87031","Los Lunas","NM","Tractor Supply Co.","890 Bosque Farms Blvd","87068",34.861499,-106.68974399999999
"87031","Los Lunas","NM","Lowe's","1600 Main Street NW","87031",34.8157411,-106.7525529
"87031","Los Lunas","NM","The Home Depot","1800 Main St NW","87031",34.8161556,-106.7551675
"87031","Los Lunas","NM","Hacienda Home Center","1245-1309 Bosque Farms Blvd","87068",34.85713195800781,-106.69129180908203
"87031","Los Lunas","NM","minuteKEY","2250 Main St NW","87031",34.81740188598633,-106.76348876953125
"87031","Los Lunas","NM","Sherwin-Williams Paint Store","275 Emilio Lopez Loop NW","87031",34.814149,-106.757524
"87031","Los Lunas","NM","Raks","not_available","87031",34.804033,-106.72311305
"87036","Mountainair","NM","Sonderpreis Baumarkt","Baindter Strasse 17","88255",34.50034,-106.00085
"87048","Corrales","NM","Lowe's","3500 Nm 528 NW","87114",35.202581,-106.6508375
"87048","Corrales","NM","The Home Depot","10200 Coors Bypass NW","87114",35.2019658,-106.6567693
"87048","Corrales","NM","Harbor Freight Tools","10131 Coors Blvd NW Ste G3","87114",35.20005730313243,-106.65256180491927
