"zip","city","state","name","address","postalCode","lat","lon"
"89001","Alamo","NV","Logans","not_available","89001",37.3923705397152,-115.17816736981364
"89002","Henderson","NV","Lowe's","1401 South Boulder Highway","89015",36.013977,-114.9572296
"89002","Henderson","NV","minuteKEY","1401 S Boulder Hwy","89015",36.013794,-114.95759199999999
"89003","Beatty","NV","Beatty Mercantile","not_available","89003",36.90819388597115,-116.75851040390668
"89005","Boulder City","NV","Ace Shopper Stopper","541 Nevada Hwy","89005",35.97728,-114.83801
"89005","Boulder City","NV","www.affordablespasandparts.com","818 Schooner Dr","89015",36.042784999999995,-114.95666100000001
"89005","Boulder City","NV","Home Hardware & Variety","706 Canyon Rd","89005",35.975145511977,-114.846793779942
"89005","Boulder City","NV","Boulder City Lock And Key","1625 Carse Dr","89005",35.971884,-114.85729
"89005","Boulder City","NV","Rent-A-Center","526 S Boulder Hwy","89015",36.0327902,-114.972683
"89007","Bunkerville","NV","Do It Best","not_available","not_available",36.79736532108491,-114.12141063169797
"89007","Bunkerville","NV","Sherwin-Williams Paint Store","140 Riverside Rd","89027",36.801231384277344,-114.09294128417969
"89008","Caliente","NV","Lincoln True Value","169 Clover St","89008",37.61402893066406,-114.51013946533203
"89011","Henderson","NV","Lowe's","440 Marks Street","89014",36.057999,-115.035399
"89011","Henderson","NV","The Home Depot","1030 Sunset Road","89014",36.064906,-115.0343326
"89011","Henderson","NV","Sears","1437 W Sunset","89014",36.0621156,-115.0483141
"89011","Henderson","NV","Ahern Rentals Inc","777 W Sunset Rd","89011",36.063036,-115.02629099999999
"89011","Henderson","NV","Nevada Compressed Gas & Equipment","not_available","89015",36.06319622575959,-115.02868059063817
"89011","Henderson","NV","Kempner Supply","180 Cassia Way","89014",36.041146000000005,-115.02566100000001
"89011","Henderson","NV","RIDGESTONE HOSEPOWER","2030 Haren Dr","89011",36.068337,-114.997781
"89011","Henderson","NV","minuteKEY","440 Marks St","89014",36.057922,-115.035399
"89011","Henderson","NV","overhead garage door Henderson","1445 American Pacific Dr","89074",36.041351,-115.049117
"89011","Henderson","NV","Ferguson Waterworks","740 Cape Horn Dr","89011",36.0601692199707,-115.02557373046875
"89011","Henderson","NV","Ferguson Plumbing Supply","501 Parkson Rd","89011",36.060581,-115.024065
"89011","Henderson","NV","City Electric Supply Henderson","1175 American Pacific Dr Ste D","89074",36.040704,-115.035452
"89011","Henderson","NV","Leslie's Commercial #3028","6658 Boulder Highway","not_available",36.07883984242025,-115.02636938789311
"89011","Henderson","NV","Sherwin-Williams Paint Store","1224 N Boulder Hwy","89011",36.055818,-114.99951100000001
"89012","Henderson","NV","Ace Hardware","1450 W Horizon Ridge Pkwy Ste 420","89012",36.022497,-115.05049
"89012","Henderson","NV","Lumber Liquidators Flooring","27 S Stephanie St","89012",36.02820670682798,-115.04921912268446
"89014","Henderson","NV","Sherwin-Williams Paint Store","191 N Pecos Rd","89074",36.04198578930717,-115.09822340945574
"89014","Henderson","NV","Harbor Freight Tools","3550 E Sunset Rd Ste B","89120",36.072486330777835,-115.09690886844264
"89014","Henderson","NV","Green Valley Turf Equipment Inc","6145 Annie Oakley Dr","89120",36.077601,-115.087048
"89014","Henderson","NV","The Project","Beechnut","89074",36.03867803813379,-115.06396062900416
"89014","Henderson","NV","The Honest Plumber Heating and Air","112 Cassia Way","89014",36.03732,-115.02411299999999
"89014","Henderson","NV","City Electric Supply Arrowhead","6350 Annie Oakley Dr","89120",36.07388866780603,-115.086470246315
"89014","Henderson","NV","Sherwin-Williams Paint Store","2567 Windmill Pkwy","89074",36.04200081,-115.098166
"89014","Henderson","NV","Flamingo Tile Inc","2574 Wigwam Pkwy","89074",36.03428168379109,-115.09968280792236
"89014","Henderson","NV","Sunset Village","not_available","89014",36.068168151037256,-115.06905162422045
"89022","Manhattan","NV","C&K  Hardware","70 Manley Ranch Rd","89045",38.532,-117.19873
"89027","Mesquite","NV","Animal Farm","1085 W Pioneer Blvd","89027",36.808734,-114.106974
"89027","Mesquite","NV","Sears","62 W Mesquite Blvd","89027",36.80369552823538,-114.0690158383677
"89027","Mesquite","NV","Mesquite Lumber & Supply","102 W Mesquite Blvd","89027",36.803494908064344,-114.06995058059692
"89027","Mesquite","NV","Valley Lumber & Hardware","355 W Mesquite Blvd Ste D50","89027",36.804250870407095,-114.07488584518433
"89027","Mesquite","NV","Mequite Lumber","not_available","89027",36.80368636386539,-114.07032446658253
"89029","Laughlin","NV","Harbor Freight","1379-1399 Ramar Road","86442",35.115936279296875,-114.59864044189453
"89029","Laughlin","NV","Lowe's","1680 Highway 95","86442",35.1226592,-114.5796818
"89029","Laughlin","NV","Ace Hardware","4515 S Highway 95","86426",35.026391220803866,-114.59820632937293
"89029","Laughlin","NV","Tractor Supply Co.","967 Hancock Rd Ste 5","86442",35.108306884765625,-114.61530303955078
"89029","Laughlin","NV","Sherwin-Williams Paint Store","2112 Highway 95","86442",35.11179946678453,-114.5971441268921
"89029","Laughlin","NV","Desert Industrial Supply","not_available","86426",35.010325,-114.596477
"89029","Laughlin","NV","Tri-State Ace Home Center","2350 Miracle Mile #160","86442",35.10844,-114.61467
"89029","Laughlin","NV","Tri-State Bldg Mtls Inc","4515 Highway 95","86426",35.0255689,-114.59863
"89029","Laughlin","NV","Demer's Glass","not_available","86442",35.07278829844873,-114.59333470007947
"89029","Laughlin","NV","Sears","2580 Highway 95 Ste 114","86442",35.0930493563837,-114.59735526945997
"89030","North Las Vegas","NV","The Home Depot","1275 W Craig Rd","89032",36.2376075,-115.1586255
"89030","North Las Vegas","NV","Lowe's","2570 East Craig Road","89030",36.2421006,-115.1164424
"89030","North Las Vegas","NV","minuteKEY","2570 EAST CRAIG ROAD","89030",36.2425708,-115.1157074
"89030","North Las Vegas","NV","Sherwin-Williams Paint Store","2032 N Bruce St","89030",36.197469,-115.125331
