"zip","city","state","name","address","postalCode","lat","lon"
"73003","Edmond","OK","Lowe's","2401 North Kelly Avenue","73003",35.6793077,-97.4976933
"73003","Edmond","OK","Westlake Ace Hardware 066","821 W Danforth Rd","73003",35.66826411108878,-97.49541232804968
"73003","Edmond","OK","A Better Locksmith","603 Evergreen St","73003",35.644163,-97.49239
"73003","Edmond","OK","Locke Supply","630 W 3rd St","73003",35.65244172225986,-97.49281424495037
"73003","Edmond","OK","Sherwin-Williams Paint Store","1141 N Kelly Ave","73003",35.666149673846185,-97.49671001750973
"73003","Edmond","OK","minuteKEY","2200 W Danforth Rd","73003",35.66605758666992,-97.51231384277344
"73003","Edmond","OK","City Electric Supply Edmond","94 W 1st St","73003",35.65419705904746,-97.4840628518723
"73004","Amber","OK","R&R Irrigation, LLC","205 W Main St","73004-5235",35.1601904,-97.8811257
"73005","Anadarko","OK","Phil's Shop","not_available","73005",35.080946,-98.233034
"73008","Bethany","OK","Westlake Ace Hardware 035","7120 NW 23rd St","73008",35.493357,-97.637319
"73008","Bethany","OK","City Electric Supply Oklahoma City West","7700 N Rockwell Ave","73132",35.54944309369954,-97.63634204662708
"73008","Bethany","OK","Locke Supply","not_available","not_available",35.51736489188562,-97.6421203215278
"73008","Bethany","OK","Munger Paint & Wlc Inc.","5103 N Macarthur Blvd","73122",35.52253,-97.61977
"73008","Bethany","OK","LIMBHOG","not_available","73075",35.52559038851162,-97.62807369232178
"73008","Bethany","OK","Northwest Lock & Key","5957 NW 60th St","73122",35.532043,-97.621641
"73009","Binger","OK","browns grocery","not_available","73009",35.304649353027344,-98.33415985107422
"73010","Blanchard","OK","Friendly Newcastle Hardware","not_available","73065",35.26194736520691,-97.60050185263405
"73010","Blanchard","OK","Ace Hardware & Garden Center","987 E Veterans Memorial Hwy","73010",35.144303,-97.645978
"73013","Edmond","OK","Lowe's","2400 W Memorial Road","73134",35.6070038,-97.5565988
"73013","Edmond","OK","The Home Depot","14201 N Pennsylvania Ave","73134",35.6146918,-97.5512988
"73013","Edmond","OK","The Home Depot","1901 S Broadway","73013",35.6346297,-97.4849931
"73013","Edmond","OK","Tractor Supply Co.","601 Comfort Dr","73013",35.616616,-97.49324
"73013","Edmond","OK","Sears","14040 Joel McDonald","73134",35.6130900148094,-97.56272838280893
"73013","Edmond","OK","Harbor Freight","not_available","73013",35.61667,-97.49017
"73013","Edmond","OK","Norick's True Value","10920 N May Ave","73120",35.58139,-97.5672036842105
"73013","Edmond","OK","Ewing Irrigation","13831 N. Lincoln Blvd.","73013",35.611317,-97.5053957
"73013","Edmond","OK","Westlake Ace Hardware 042","32 E 15th St","73013",35.638252,-97.484138
"73013","Edmond","OK","Britton Lumber & Supply","9233 N. Western Ave.","73114",35.58576901411942,-97.56715725437334
"73013","Edmond","OK","Morrison Supply Showroom","501 NE 122nd St","73114",35.596491,-97.503483
"73013","Edmond","OK","John Deere Landscapes","14601 N Lincoln Blvd","73013",35.6194915,-97.5051138
"73013","Edmond","OK","0535 Hardware","not_available","73134",35.60811233520508,-97.55618286132812
"73013","Edmond","OK","Spectrum Paint","2700 S Broadway","73013",35.627028,-97.48428299999999
"73013","Edmond","OK","minuteKEY","2400 W Memorial Rd","73134",35.606694,-97.556318
"73013","Edmond","OK","minuteKEY","1225 W I 35 Frontage Rd","73034",35.63996505737305,-97.42870330810547
"73013","Edmond","OK","Sherwin-Williams Paint Store","14330 N Pennsylvania Ave","73134",35.616127,-97.548907
"73013","Edmond","OK","Light Bulb Supply","629 W Hefner Rd","73114",35.580484000000006,-97.526207
"73013","Edmond","OK","Spectrum Paint","160 NE 150th St","73013",35.62283706665039,-97.51060485839844
"73015","Carnegie","OK","Wester Aggregates Crusher","not_available","73015",34.968949327762694,-98.62124010505181
"73015","Carnegie","OK","Carnegie Lumber","712 E. Oklahoma St.","73015",35.104412,-98.5926
"73018","Chickasha","OK","Brandt Ace Hardware","1617 S 4th St","73018",35.034007,-97.934766
