"zip","city","state","name","address","postalCode","lat","lon"
"29001","Alcolu","SC","M&M Rental Center","not_available","not_available",33.719376356193365,-80.19637396712987
"29003","Bamberg","SC","Brooker True Value Hardware","4823 Carolina Hwy","29042",33.32401373,-81.14243117
"29003","Bamberg","SC","Husqvarna US","2492 Main Hwy","29003",33.30469512939453,-81.03410339355469
"29003","Bamberg","SC","Sanders Supply","not_available","29003",33.308386343276055,-81.02830844812362
"29006","Batesburg","SC","Western Auto","111 Main St","29070",33.917149901390076,-81.51229441165924
"29006","Batesburg","SC","Bob's Ace Hardware Inc","345 E Columbia Ave","29070",33.914833,-81.516126
"29006","Batesburg","SC","Tractor Supply Co.","330 West Church St","29006",33.910196,-81.538654
"29006","Batesburg","SC","Roof Hardware","not_available","29006",33.90645,-81.548162
"29006","Batesburg","SC","Jack's  Roof","135 N Oak St","29006",33.906338,-81.548474
"29006","Batesburg","SC","B & B Enterprises","349 Saluda Ave","29006",33.91033949704894,-81.55620134765825
"29010","Bishopville","SC","Jared's Hardware","576 Sumter Hwy","29010",34.219355,-80.247094
"29010","Bishopville","SC","Sparrow & Kennedy Tractor Co.","not_available","29161",34.14841332030049,-80.26152070057073
"29010","Bishopville","SC","Husqvarna US","760 Highway 15 N","29010",34.23540115356445,-80.23284149169922
"29016","Blythewood","SC","Lowe's","1051 Sams Crossing Drive","29229",34.139655,-80.94161
"29016","Blythewood","SC","minuteKEY","1051 Sams Crossing Rd","29229",34.139651,-80.941604
"29016","Blythewood","SC","Builders First Source","180 Hobart Rd","29016",34.17149353027344,-80.9502182006836
"29016","Blythewood","SC","Blythewood Feed & Hardware Inc","412 McNulty St","29016",34.21568,-80.978933
"29016","Blythewood","SC","minuteKEY","321 Killian Rd","29203",34.13772964477539,-80.96641540527344
"29016","Blythewood","SC","Sherwin-Williams Paint Store","10080 Farrow Rd","29203",34.149417877197266,-80.95272827148438
"29020","Camden","SC","Lowe's","11 Bay Lane","29020",34.2479515,-80.6420974
"29020","Camden","SC","Tractor Supply Co.","1635 East Springdale Drive","29020",34.251931,-80.648521
"29020","Camden","SC","Caulder Plumbing Co","1604 Shannon St","29020",34.255905,-80.567981
"29020","Camden","SC","Sherwin-Williams Paint Store","1013 W Dekalb St","29020",34.24570846557617,-80.61756896972656
"29020","Camden","SC","elgin power equipment","not_available","29045",34.186248779296875,-80.77265167236328
"29020","Camden","SC","Camden Builders Supply (Ace Hardware)","914 W Dekalb St","29021",34.24595,-80.613602
"29020","Camden","SC","Wateree Hardware","886 Highway 1 S","29078",34.226849,-80.679503
"29020","Camden","SC","Triangle Hardware","2615A Broad St","29020",34.27677294608459,-80.61052419627326
"29020","Camden","SC","Camden Tool Rental","2650 Broad St","29020",34.277091,-80.609591
"29020","Camden","SC","minuteKEY","2240 W Dekalb St","29020",34.2508464,-80.6498027
"29030","Cameron","SC","Helmly Brothers Ace Hdwe","650 Railroad Ave","29047",33.5309999,-80.576099
"29033","Cayce","SC","South East Ace  Inc.","815 State St","29033",33.9877419,-81.055019
"29033","Cayce","SC","United Refrigeration Inc","916 Hemlock Dr","29201",33.972621999999994,-81.023569
"29033","Cayce","SC","BC Industrial Supply","651 Rosewood Dr","29201",33.969612474049526,-81.03247404098511
"29033","Cayce","SC","matco tool truck","not_available","29033",33.966566835913426,-81.07666490781929
"29033","Cayce","SC","Fastener Supply","930 Brookwood Dr, Columbia, SC 29201","29201",33.970892,-81.02769599999999
"29033","Cayce","SC","Carolina Power Equipment","2490 Charleston Hwy","29033",33.94288,-81.08031
"29033","Cayce","SC","Home Depot DC 5088","not_available","29172",33.9507835951942,-81.0586068290664
"29033","Cayce","SC","Fluid Air","300 Huger St, Columbia, SC 29201","29201",33.986148834228516,-81.03915405273438
"29033","Cayce","SC","Tucker Materials","728 Vine Street","29201",33.97062013,-81.02732289
"29033","Cayce","SC","Sherwin-Williams Paint Store","1221 Knox Abbott Dr","29033",33.97916165726541,-81.07010518494543
"29033","Cayce","SC","McCall's Supply","not_available","29169",33.99020254611969,-81.07011079788208
"29033","Cayce","SC","Richland Industrial","919 Catawba St","29201",33.988507,-81.032294
"29033","Cayce","SC","PSI/National Specialties","not_available","29201",33.971192,-81.028331
"29033","Cayce","SC","POWERHOME SOLAR","2109 Landmark Dr","29033",33.953724,-81.08878
"29036","Chapin","SC","Boland's Ace","745 Chapin Rd","29036",34.1606659,-81.343732
"29036","Chapin","SC","Boland's True Value","757 Chapin Rd","29036",34.15410598333333,-81.33839419
"29036","Chapin","SC","Tom's Hardware","not_available","29036",34.078170377377674,-81.37693983977206
"29045","Elgin","SC","Lowe's","10106 Two Notch Road","29223",34.1137496,-80.8867754
"29045","Elgin","SC","The Home Depot","285 Forum Drive","29229",34.1264312,-80.8723532
"29045","Elgin","SC","Husqvarna Construction Products","10250 2 Notch Rd","29229",34.120562,-80.875121
"29045","Elgin","SC","Ferguson Waterworks","166 Pontiac Business Center Dr","29045",34.105893,-80.837336
"29045","Elgin","SC","minuteKEY","10106 Two Notch Rd","29223",34.1139030456543,-80.88641357421875
"29045","Elgin","SC","Gateway Plumbing Supply","1117 Sparkleberry Lane Ext","29223",34.11802291703186,-80.88621652912454
"29045","Elgin","SC","minuteKEY","10060 Two Notch Rd","29223",34.110527,-80.886662
"29045","Elgin","SC","Miller Lumber","Main St.","29045",34.16895270001957,-80.79393682343866
"29048","Eutawville","SC","Home pump & supply co","not_available","29048",33.39524841308594,-80.34737396240234
"29053","Gaston","SC","Swansea Hardware","1530 Southbound Rd","29160",33.76213455200195,-81.10440063476562
"29053","Gaston","SC","Mid Eastern Chrime Shop","225 Bellinger Ln","29053",33.80461120605469,-81.00169372558594
"29058","Heath Springs","SC","Kershaw Builder's Supply","not_available","29067",34.54664611816406,-80.58196258544922
"29059","Holly Hill","SC","Westbury's Ace Hardware","8516 Old State Rd","29059",33.3231049,-80.414233
"29061","Hopkins","SC","Lowe's","7420 Garners Ferry Road","29209",33.9678828,-80.9427631
"29061","Hopkins","SC","Ace Hardware","9641 Garners Ferry Rd","29061",33.950736,-80.844479
"29061","Hopkins","SC","Sherwin-Williams Paint Store","6884 Garners Ferry Rd","29209",33.97660584850795,-80.9565782546997
"29061","Hopkins","SC","Tractor Supply Co.","7831 Garners Ferry Rd","29209",33.955307930008075,-80.92819342652865
"29061","Hopkins","SC","Tucker Materials","2840 Shop Road","29209",33.93859014,-80.95371618
"29061","Hopkins","SC","Ecstatic Stone, LLC","108 N Shorecrest Rd Ste A","29209",33.943474,-80.963752
"29061","Hopkins","SC","Clean Aire Inc, Duct Cleaning","10006 Rabbit Run","not_available",33.95941245,-80.88538551666667
"29061","Hopkins","SC","Surplus WareHouse Columbia","7543 Garners Ferry Rd.","29209",33.9602913,-80.9426319
"29061","Hopkins","SC","Store","not_available","29209",33.97794,-80.959671
"29061","Hopkins","SC","minuteKEY","7520 Garners Ferry Rd","29209",33.964163,-80.938714
"29061","Hopkins","SC","minuteKEY","7420 Garners Ferry Rd","29209",33.96799087524414,-80.94277954101562
"29061","Hopkins","SC","Bilt Rite Corporation","128 N Shorecrest Rd Ste A","29209",33.94218826293945,-80.96587371826172
"29061","Hopkins","SC","Cedar Terrace Hardware","6420 Garners Ferry Rd Ste A","29209",33.981064,-80.959248
"29061","Hopkins","SC","Tribles","126 Atlas Ct Unit A","29209",33.955387115478516,-80.94960021972656
"29061","Hopkins","SC","Wolseley Industrial Group","1200 Veterans Rd","29209",33.95615005493164,-80.96292114257812
