"zip","city","state","name","address","postalCode","lat","lon"
"98001","Auburn","WA","Lowe's","1232 A Street Northeast","98002",47.3193575,-122.2278824
"98001","Auburn","WA","Sherwin-Williams Commercial Paint Store","4210 B St NW","98001",47.345093,-122.232327
"98001","Auburn","WA","Ewing Irrigation","1805 Pike St NW","98001",47.32514325809943,-122.25253343582153
"98001","Auburn","WA","Rodda Paint","1501 15th St NW Ste 108","98001",47.322742,-122.252524
"98001","Auburn","WA","Feroy Company","not_available","not_available",47.307248,-122.22665400000001
"98001","Auburn","WA","HANSA-FLEX USA","2222 W Valley Hwy N Ste 170","98001",47.3282932,-122.2479294
"98001","Auburn","WA","Convoy","25 37th St NE","98002",47.340364,-122.229689
"98001","Auburn","WA","Ferguson Plumbing Supply","3532 B St NW","98001",47.339388118541,-122.232334864025
"98001","Auburn","WA","Platt Electric Supply","2101 R St NW Ste B","98001",47.323355527451135,-122.2540163290131
"98001","Auburn","WA","minuteKEY","762 Outlet Collection Dr SW","98001",47.2958123,-122.2414332
"98001","Auburn","WA","Cross Roads Appliance","not_available","98001",47.29493348333333,-122.28747456666666
"98001","Auburn","WA","Performance Coatings, Inc","60 37th St NE Ste A","98002",47.339689,-122.228793
"98001","Auburn","WA","minuteKEY","1232 A St NE","98002",47.31901550292969,-122.2274169921875
"98001","Auburn","WA","Heads Up, Inc","1320 26th St NW Ste 8","98001",47.330034,-122.248594
"98001","Auburn","WA","Industrial Bolt Supply Incorporated","740 Clay St NW","98001",47.314658487193476,-122.24035184661966
"98001","Auburn","WA","Fastenal","1508 O St SW #112","98001",47.294485,-122.25012
"98001","Auburn","WA","McNichols Metal","1221 29th St NW Ste A","98001",47.33397674560547,-122.2464599609375
"98001","Auburn","WA","Vallen","5230 B Street NW","98001",47.329428347823615,-122.23126888275145
"98001","Auburn","WA","PPG Paints","1220 37th St NW","98001",47.339743,-122.246529
"98001","Auburn","WA","AgriShop Auburn Ace Hardware","308 W Main St","98001",47.307136,-122.23344499999999
"98001","Auburn","WA","Ferguson Plumbing Supply","3532 B St Nw","98001",47.339388118541,-122.232334864025
"98002","Auburn","WA","Bent Bike","4337 Auburn Way N","98002",47.34613131,-122.22286837
"98002","Auburn","WA","Carpet Cleaning Auburn","31900 104th Ave SE #D304","98092",47.317447662353516,-122.20343017578125
"98002","Auburn","WA","Sherwin-Williams Paint Store","1921 Auburn Way N","98002",47.325272,-122.221923
"98003","Federal Way","WA","The Home Depot","1715 S 352nd St","98003",47.2845483,-122.3111068
