"zip","city","state","name","address","postalCode","lat","lon"
"53002","Allenton","WI","A to Z Quality Fencing & Structures","6510 Aurora Rd","53090",43.428306579589844,-88.30033111572266
"53004","Belgium","WI","Belgium Hardware & Beverage","756 Main St","53004",43.499761,-87.855188
"53004","Belgium","WI","Neuens","441 Fredonia Ave","53021",43.469952274627595,-87.95232642718736
"53005","Brookfield","WI","Elliott Ace Hardware","15360 Watertown Plank Rd","53122",43.0376809,-88.104746
"53005","Brookfield","WI","Stein's Garden & Home","14845 W Capitol Dr","53005",43.088814,-88.097129
"53005","Brookfield","WI","Hein Electric Supply","12745 W Townsend St","53005",43.079653037281204,-88.07037316204114
"53005","Brookfield","WI","First Building Supply","3595 N 127th St","53005",43.083408,-88.070976
"53005","Brookfield","WI","Midwest Trade Tool, Inc","not_available","53005",43.094123820848324,-88.06982793465139
"53005","Brookfield","WI","Atena Hardware","13745 W Capitol Dr","53005",43.089,-88.082986
"53005","Brookfield","WI","T&A Industrial Distributors","12550 Robin Ln","53005",43.078686,-88.068252
"53006","Brownsville","WI","Builders FirstSource","W964 Hwy 49","53048",43.61710007119854,-88.44347447175096
"53006","Brownsville","WI","Luedtke Lumber True Value (Luedtke Lumber Inc)","900 Railroad Ave","53048",43.592684,-88.441423
"53007","Butler","WI","Vermeer Wisconsin","5445 N 131st St","53007",43.116131,-88.075807
"53010","Campbellsport","WI","Tennies Ace Hardware","900 Fond Du Lac Ave","53040",43.5099,-88.220399
"53010","Campbellsport","WI","Campbellsport True Value","131 E Main St","53010",43.59785889,-88.28428925
"53010","Campbellsport","WI","Ace Hardware","900 Fond du Lac Ave","53040",43.51055715,-88.22054485
"53011","Cascade","WI","Mowtown Waldo Implement Inc.","1200 W 1st St","53093",43.675489,-87.95785
"53012","Cedarburg","WI","Beyers True Value","W61n278 Washington Ave","53012",43.285318,-87.985748
"53012","Cedarburg","WI","Zuern Building Products","N144W5800 Pioneer Rd","53012",43.2806282043457,-87.98181915283203
"53012","Cedarburg","WI","Strong Drywall World Headquarters","Spring Ct, Cedarburg, WI 53012","53012",43.2924528,-87.9793986
"53012","Cedarburg","WI","Sherwin-Williams Paint Store","2225 Wisconsin Ave","53024",43.30221939086914,-87.96373748779297
"53012","Cedarburg","WI","Ozaukee Ace Hardware","1818 Wisconsin Ave","53024",43.31107,-87.956971
"53013","Cedar Grove","WI","Daane Ace Hardware","936 Center Ave","53070",43.623363,-87.798406
"53013","Cedar Grove","WI","Hardware Hank","502 S Main St","53013",43.56681986861519,-87.82040162936066
"53014","Chilton","WI","Farm & Home","519 N Madison St","53014",44.036163330078125,-88.16333770751953
