"zip","city","state","name","address","postalCode","lat","lon"
"82001","Cheyenne","WY","Lowe's","1608 Prairie Avenue","82009",41.1661736,-104.8033968
"82001","Cheyenne","WY","Menards","4355 Windmill Rd","82009",41.158237346901586,-104.77743488195138
"82001","Cheyenne","WY","The Home Depot","1740 Fleischli Pkwy","82001",41.124087941815894,-104.84661993385998
"82001","Cheyenne","WY","Jax Mercantile Co.","1400 Dell Range Blvd","82009",41.16031,-104.80639
"82001","Cheyenne","WY","Murdoch's Ranch & Home Supply","3773 E Lincolnway","82001",41.139391479863676,-104.76364071840797
"82001","Cheyenne","WY","minuteKEY","2032 Dell Range Blvd","82009",41.1640233,-104.791063
"82001","Cheyenne","WY","Sherwin-Williams Paint Store","1706 Stillwater Ave","82009",41.159418,-104.800364
"82001","Cheyenne","WY","Harbor Freight","not_available","not_available",41.161141,-104.789172
"82001","Cheyenne","WY","Frontier Outdoor Power","3005 E Nationway","82001",41.13158667,-104.77829833
"82001","Cheyenne","WY","Industrial Distributors","1512 Oneil Ave","82001",41.130339,-104.819658
"82001","Cheyenne","WY","Sutherlands","5221 Yellowstone Rd","82009",41.16752677733302,-104.82722445942903
"82001","Cheyenne","WY","Sherwin-Williams Paint Store","3555 E Lincolnway","82001",41.137271881103516,-104.76484680175781
"82001","Cheyenne","WY","Homes A-One Inc","2105 Morrie Ave","82001",41.1417613,-104.8067676
"82001","Cheyenne","WY","Ferguson Plumbing Supply","212 N Ave D","82007",41.117206,-104.77149
"82001","Cheyenne","WY","Doorways of Wyoming","425 E 15th St","82001",41.133637,-104.809377
"82001","Cheyenne","WY","Fam Hardware Shop","not_available","82005",41.14951259585796,-104.85278429527017
"82001","Cheyenne","WY","Bloedorn Lumber","1551 Stillwater Ave","82009",41.158908,-104.803704
"82001","Cheyenne","WY","HD Supply White Cap","3957 W 5th St","82007",41.11654907,-104.84770729
"82001","Cheyenne","WY","Matco tools truck","not_available","82009",41.130977318403986,-104.8422839668741
"82009","Cheyenne","WY","Tractor Supply Co.","10643 Hynds Blvd","82009",41.21617126464844,-104.83684539794922
"82070","Laramie","WY","Ace Hardware & Paint","611 E Grand Ave","82070",41.3108999,-105.5892
"82070","Laramie","WY","G. A. Larson Co. - LME","301 Snowy Range Rd","82072",41.317039644794455,-105.60422508336822
"82070","Laramie","WY","Bloedorn Lumber","450 N 3rd St","82072",41.316402000000004,-105.59381699999999
"82070","Laramie","WY","Fortman's Paint and Glass","1355 North 4th Street","82072",41.32435,-105.59047
"82070","Laramie","WY","Big Huhnks Excavation, Inc.","17 Terra Firma Trl","82072",41.3665558,-105.5835091
"82070","Laramie","WY","Medicine Bow Abatement & Renovation","276 State Highway 230","82070",41.30369567871094,-105.63571166992188
"82070","Laramie","WY","Murdochs","3322 E Grand Ave","82070",41.30776568562045,-105.55371407274347
"82070","Laramie","WY","True Value Of Laramie","1161 N 3rd St","82072",41.322812,-105.59195600000001
"82070","Laramie","WY","A-1 Rental","not_available","82072",41.323281,-105.590675
"82070","Laramie","WY","Sherwin-Williams Paint Store","2900 E Grand Ave","82070",41.308668102397526,-105.5582070350647
"82201","Wheatland","WY","Wheatland Ace Hardware","2304 Fertig Dr","82201",42.06940841674805,-104.9537353515625
"82217","Hawk Springs","WY","Ud Hady","Jln pulau batam","82217",41.7704402,-104.2279672
"82225","Lusk","WY","Allbright's True Value Hardware","215 S Main","82225",42.76336513,-104.4518685
"82225","Lusk","WY","Frontier Lumber Co.","not_available","82225",42.764339,-104.452292
"82240","Torrington","WY","Century Lumber Center","1418 E K St","82240",42.0588071416299,-104.17052442341488
"82240","Torrington","WY","Bomgaars","6166 S Hwy 85","82240",42.079002,-104.215283
"82240","Torrington","WY","Bloedorn Lumber Torrington","219 W 21st Ave","82240",42.06474595435278,-104.1871069669106
"82301","Rawlins","WY","Tractor Supply Co.","2201 Plaza St Ste A","82301",41.79462567662436,-107.21315211841583
"82301","Rawlins","WY","fastenal","not_available","82301",41.78221130371094,-107.23979949951172
"82331","Saratoga","WY","Shively True Value Hardware","119 E Bridge St","82331",41.45389669,-106.806612
"82401","Worland","WY","Kennedy Hardware  Inc","801 Big Horn Ave","82401",44.0172,-107.9578
"82414","Cody","WY","Cody Ace Hardware","2201 17th St","82414",44.515029999999996,-109.053894
"82414","Cody","WY","Sears","762 Lindsay Lane","82414",44.5197151382882,-109.073438635582
"82414","Cody","WY","McCumber Locksmith","1026 Alger Ave","82414",44.523672999999995,-109.066797
"82414","Cody","WY","Bomgaars","2121 17th St","82414",44.515833,-109.055369
"82414","Cody","WY","Cody Overhead Door","340 W Yellowstone Ave","82414",44.5133140004579,-109.106051689771
"82414","Cody","WY","Wyoming Home & Ranch True Value","4584 Powell Hwy","82414",44.5341796875,-109.03577423095703
"82414","Cody","WY","Sherwin-Williams Paint Store","401 Stone St","82414",44.533162,-109.02841799999999
"82414","Cody","WY","Big Horn Paint","621 16th St","82414",44.530802,-109.05675
"82414","Cody","WY","Builders FirstSource","1938 Sheridan Ave","82414",44.52568,-109.04941699999999
"82414","Cody","WY","Tractor Supply Co.","324 Yellowstone Ave","82414",44.515986,-109.088429
"82435","Powell","WY","bloedorn Lumber","1075 W Coulter Ave","82435",44.747501373291016,-108.77360534667969
"82435","Powell","WY","Powell Ace Hardware","214 N Bent St","82435",44.7547769,-108.758
"82443","Thermopolis","WY","Ace Hardware","901 Shoshoni St","82443",43.6386559,-108.21514
"82501","Riverton","WY","Linton's Big R Stores","511 E Sunset Dr","82501",43.03364629887669,-108.38436249476105
"82501","Riverton","WY","Sears","906 W. Main Street","82501",43.025037407434596,-108.40332001447678
"82501","Riverton","WY","Sutherlands","1960","82501",43.043153,-108.382885
"82501","Riverton","WY","Riverton Ace Hardware","619 N Federal Blvd","82501",43.029993,-108.379713
"82501","Riverton","WY","HASCO INDUSTRIAL SUPPLY","not_available","82501",43.019706,-108.38140200000001
"82501","Riverton","WY","Sherwin-Williams Paint Store","920 N Federal Blvd","82501",43.034490999999996,-108.381505
"82501","Riverton","WY","Winsupply of Riverton","390 Webbwood Rd","82501",43.041794,-108.38899
"82501","Riverton","WY","Fastenal","116 S 5th St W","82501",43.024009704589844,-108.3965072631836
"82501","Riverton","WY","Bloedorn Lumber","not_available","82520",43.03787387731989,-108.38096292632441
"82513","Dubois","WY","Painted Valley Lumber","not_available","82513",43.530176,-109.62866
"82520","Lander","WY","Valley True Value Lumber & Supply","290 N 2nd St","82520",42.833798,-108.72863
"82520","Lander","WY","Bloedorn Lumber","116 Washakie St","82520",42.834689,-108.726473
"82520","Lander","WY","Lander Ace Hardware","485 Main St","82520",42.833113,-108.73496599999999
"82601","Casper","WY","Menards","6220 Menard Dr","82609",42.84552836163345,-106.231969219143
"82601","Casper","WY","The Home Depot","4900 E 2nd St","82609",42.8488801,-106.2614767
"82601","Casper","WY","Habor Freight Tools","not_available","82601",42.870784759521484,-106.37408447265625
"82601","Casper","WY","Sutherlands","4015 Cy Ave","82604",42.81871,-106.370178
"82601","Casper","WY","Harbor Freight Tools","4150 S Poplar St","82601",42.809606,-106.344881
"82601","Casper","WY","Industrial Distributors","550 W Collins Dr","82601",42.8441542,-106.3308122
"82601","Casper","WY","Ferguson Plumbing Supply","3327 W Yellowstone Hwy","82604",42.846294,-106.371362
"82601","Casper","WY","Builders FirstSource","4800 E Yellowstone","82636",42.85788990185381,-106.25967565646388
"82601","Casper","WY","Sherwin-Williams Paint Store","3905 E 2nd St","82609",42.848327,-106.275529
"82601","Casper","WY","George T. Sanders Company - Casper","521 Durango Ct","82609",42.85759353637695,-106.27934265136719
"82601","Casper","WY","UE Compression LLC","953 Foster Rd","82601",42.86051,-106.343525
"82601","Casper","WY","Codale Electric Supply","3131 Wood Ct","82601",42.861774,-106.360405
"82601","Casper","WY","Murdoch's Ranch & Home Supply","310 Miracle St","82636",42.85574163557806,-106.26690816887222
"82601","Casper","WY","Sherwin-Williams Commercial Paint Store","2590 Revenue Blvd","82601",42.87153244018555,-106.35413360595703
"82601","Casper","WY","Casper Contractors Supply Inc","664 Circle Dr","82601",42.857266,-106.341164
"82601","Casper","WY","Pioneer Materials West","6757 Wildcat Road","82636",42.8502072,-106.2189821
"82601","Casper","WY","French Creek Designs","1030 W Collins Dr","82604",42.84161685,-106.33793906
"82601","Casper","WY","Lee's Glass","229 W 1st St","82601",42.84989833831787,-106.32745921611786
"82601","Casper","WY","Baileys Ace Hardware","2100 E 2nd St","82609",42.848966,-106.297279
"82633","Douglas","WY","Tractor Supply Co.","2140 East Richards St","82633",42.74044,-105.3534
"82633","Douglas","WY","The Rental Depot","202 Tank Farm Road","not_available",42.85887908935547,-105.5405502319336
"82701","Newcastle","WY","Weston County True Value Home Center","326 W Main St","82701",43.85406486,-104.2061578
"82701","Newcastle","WY","Newcastle Hardware","219 W Main St","82701",43.854801177978516,-104.20523834228516
"82701","Newcastle","WY","UPTON TRUE VALUE HARDWARE","311 W 2ND","82730",44.1026725769043,-104.63336944580078
"82716","Gillette","WY","Menards","1051 E Lakeway Rd","82718",44.2691,-105.494
"82716","Gillette","WY","The Home Depot","1105 E Boxelder Road","82718",44.278399608428685,-105.48679590225214
"82716","Gillette","WY","Tractor Supply Co.","4005 South Douglas Hwy","82718",44.257638,-105.489147
"82716","Gillette","WY","Mikes Hardware","213 Gillette Ave","82716",44.292580528679814,-105.50377895806002
"82716","Gillette","WY","Contractors Supply","5005 Rourke Ave","82718",44.247802,-105.48165800000001
"82716","Gillette","WY","Razor City Rental of Wyoming","305 S Miller Ave","82716",44.291861,-105.49484199999999
"82716","Gillette","WY","Bloedorn Lumber","not_available","82718",44.28117683114871,-105.49475223647998
"82716","Gillette","WY","Ace Hardware","2601 S. Douglas Highway","82718",44.270487,-105.495752
"82716","Gillette","WY","Captain Clean Of Northeastern Wyoming","3201 E 2nd St","82718",44.293054,-105.455817
"82716","Gillette","WY","Fastenal","1001 W 1st St","82716",44.295412,-105.517048
"82716","Gillette","WY","Sherwin-Williams","818 Country Club Rd","82718",44.274833,-105.49184299999999
"82716","Gillette","WY","Knecht Home Center","110 W Lakeway Rd","82718",44.270179,-105.50518799999999
"82718","Gillette","WY","Pokes Mercantile","not_available","82732",43.75121802944817,-105.50368163247188
"82729","Sundance","WY","Dillion's Hardware","not_available","82729",44.405963329348026,-104.38161089293311
"82801","Sheridan","WY","Tractor Supply Co.","1140 East Brundage Ln","82801",44.772877,-106.939076
"82801","Sheridan","WY","Sheridan Ace Hardware","1447 Coffeen Ave","82801",44.782186,-106.9424
"82801","Sheridan","WY","Bloedorn Lumber","not_available","82801",44.77644729614258,-106.94380950927734
"82801","Sheridan","WY","Sherwin-Williams Paint Store","1281 Coffeen Ave","82801",44.78509428460453,-106.94068193435669
"82801","Sheridan","WY","The Home Depot","2050 Coffeen Avenue","82801",44.7746008,-106.9459315
"82801","Sheridan","WY","Knecht Home Center","1836 S Sheridan Ave","82801",44.778637,-106.94767
"82801","Sheridan","WY","Sears","1467 Coffeen Avenue","82801",44.781844,-106.9420283
"82801","Sheridan","WY","Shiptons Big R","1251 Coffeen Ave","82801",44.77543397700326,-106.9390398525893
"82801","Sheridan","WY","Sheridan Commercial True Value Hardware","303 Broadway St","82801",44.80097409,-106.9530946
"82834","Buffalo","WY","Ace Hardware","385 E Hart St","82834",44.354196,-106.69409
"82901","Rock Springs","WY","The Home Depot","1925 Foothill Blvd","82901",41.578377,-109.2686214
"82901","Rock Springs","WY","Ace Hardware","400 N Center St","82901",41.5946539,-109.22637
"82901","Rock Springs","WY","Sears","63 Center Street","82901",41.588488,-109.224658
"82901","Rock Springs","WY","Sherwin-Williams Paint Store","1984 Dewar Dr","82901",41.57542075435161,-109.24536466598511
"82901","Rock Springs","WY","Standard True Value - Rock Springs","990 Elk St","82901",41.594976002139,-109.227440574179
"82901","Rock Springs","WY","Morcon Specialty, INC.","1897 Yellowstone Road","82901",41.64206604,-109.25407867
"82901","Rock Springs","WY","Codale Electric Supply","1718 Decora Dr","82901",41.56805241274882,-109.24432396888733
"82901","Rock Springs","WY","Green River Ace Hardware","400 Uinta Dr","82935",41.516697,-109.47216100000001
"82901","Rock Springs","WY","Murdoch's","not_available","82901",41.58016555885724,-109.26482631814085
"82901","Rock Springs","WY","Century Equipment Company","2030 Sunset Dr","82901",41.57209,-109.27095
"82901","Rock Springs","WY","Bookcliff Sales","2028 Sunset Dr","82901",41.57274,-109.27061
"82923","Boulder","WY","Ridley's Family Market","341 E Pine St","82941",42.867268,-109.856156
"82923","Boulder","WY","Pinedale Lumber","not_available","82941",42.8596515989295,-109.91424138409783
"82930","Evanston","WY","Crum Electric Supply Company","31 Allegiance Cir","82930",41.26172637939453,-110.990966796875
"82930","Evanston","WY","Cazin's Ace Hardware","800 Front St","82930",41.267581,-110.96342
"82930","Evanston","WY","White Mountain Lumber","400 Front St","82930",41.26423263549805,-110.95899963378906
"82930","Evanston","WY","Benedict Thriftway True Value","950 N Hwy 414","82939",41.2801554,-110.3374907
"82930","Evanston","WY","Tomboy Tools by Lavonda","2040 State Highway 89 N","82930",41.29299545288086,-110.9759292602539
"82930","Evanston","WY","Superior Rental","1167 Hwy 89 N","82930",41.28451889999999,-110.9653465
"82930","Evanston","WY","Standard True Value - Evanston","104 Front St","82930",41.26245880126953,-110.95594024658203
"82941","Pinedale","WY","Ridley's Family Market","341 E Pine St-PO Box 1856","82941",42.77657810959342,-110.05221566569543
"83001","Jackson","WY","Ace Hardware","475 W Broadway","83001",43.479031,-110.770303
"83001","Jackson","WY","Jackson Lumber","not_available","83001",43.478235999999995,-110.754268
"83001","Jackson","WY","Jackson Paint & Glass","205 Scott Ln","83001",43.472,-110.783
"83001","Jackson","WY","JB Mechanical","1565 Berger Ln","83001",43.460677000000004,-110.795289
"83001","Jackson","WY","Sunrise True Value","1155 S Us Highway 89","83001",43.463634,-110.79411860803714
"83001","Jackson","WY","Wyoming Glass Works Of Jackson","280 Clissold St","83002",43.4768,-110.768
"83001","Jackson","WY","Sherwin-Williams Commercial Paint Store","1715 High School Rd","83001",43.458703,-110.79941299999999
"83001","Jackson","WY","S B Equipment Rental LLC","4040 Pub Place","83001",43.4217,-110.777
"83001","Jackson","WY","Sherwin-Williams Paint Store","3640 Southpark Dr","83001",43.42664,-110.77706
"83001","Jackson","WY","Locksmith Jackson WY","970 W Broadway","83001",43.47366714477539,-110.78435516357422
"83001","Jackson","WY","Ferguson Plumbing Supply","1524 Martin Lane","83001",43.464,-110.796
"83014","Wilson","WY","Wilson Hardware","1275 N West St","83014",43.498571000000005,-110.876571
"83101","Kemmerer","WY","Ace Hardware","709 Pine Ave","83101",41.79501724243164,-110.53889465332031
"83110","Afton","WY","Hastings Ace Hardware","724 S Washington","83110",42.7168059,-110.93355
"83110","Afton","WY","Tractor Supply Co.","855 South Washington St","83110",42.71485,-110.93224
"83110","Afton","WY","Direct Door Hardware","PO Box 789","83110",42.72450622043391,-110.93380451202393
"83120","Freedom","WY","Thayne True Value Hardware & Variety","120 Petersen Parkway","83127",42.91575071502787,-110.99957227706909
"83128","Alpine","WY","Jenkins Lumber & Hardware","114 Hwy 89","83128",43.1636999,-111.01819
