"zip","city","state","name","address","postalCode","lat","lon"
"99501","Anchorage","AK","PET CT & MRI Department","not_available","not_available",61.210044901594486,-149.82944342255533
"99501","Anchorage","AK","Alaska Regional ER","2801 Debarr Rd Fl 2","99508",61.210607,-149.8280819
"99501","Anchorage","AK","Monarch Psychiatry of Alaska, llc","4600 Debarr Rd Ste 150","99508",61.2090608,-149.7943718
"99501","Anchorage","AK","Ortho Neuro","not_available","99508",61.210249,-149.828482
"99501","Anchorage","AK","Alaska Medical Plaza","1200 Airport Heights Dr","99508",61.210812,-149.828485
"99501","Anchorage","AK","Denali Dispensaries","225 E 5th Ave","99520",61.217799,-149.880352
"99501","Anchorage","AK","Northstar Behavioral Hospital @ Bragraw","1650 South Bragraw","99508",61.20576242699786,-149.80837796007484
"99501","Anchorage","AK","Alaska Regional Hospital Emergency Room","2801 Debarr Rd","99508",61.21063232421875,-149.8279266357422
"99501","Anchorage","AK","North Star Hospital","1500 Debarr Cir","99508",61.20846234351038,-149.8318073177666
"99501","Anchorage","AK","Mountain View Urgent Care","3521 Mountain View Dr","99508",61.22473686,-149.81557504
"99501","Anchorage","AK","Chris Kyle Patriots Hospital","1650 Bragaw St","99508",61.2055798,-149.8097511
"99502","Anchorage","AK","Urgent Care","9104 Jewel Lake Rd","99502",61.1382917025785,-149.95245309291454
"99502","Anchorage","AK","Salvation Army Clithroe","8000 West End Road","99502",61.174232,-150.03312
"99503","Anchorage","AK","Providence ExpressCare - Midtown Mall","2900 Seward Hwy Ste D","99503",61.19381609999999,-149.8682185
"99503","Anchorage","AK","St. Elias Specialty Hospital","4800 Cordova St","99503",61.176469999999995,-149.88024099999998
"99504","Anchorage","AK","Alaska Department Of Veterans Affairs - VA Hospital","1201 N Muldoon Rd","99504",61.23199928061996,-149.7442725262903
"99504","Anchorage","AK","Graceful Living","6600 E 11th Ave","99504",61.2115561,-149.7576662
"99504","Anchorage","AK","Urgent Care","5437 E Northern Lights Blvd","99508",61.196183999999995,-149.78025300000002
"99504","Anchorage","AK","Prestige Care & Rehabilitation Center of Anchorage","9100 Centennial Cir","99504",61.225609,-149.715587
"99504","Anchorage","AK","Providence ExpressCare - Tikahtnu","1118 N Muldoon Rd","99504",61.227503,-149.742738
"99505","Jber","AK","JBER Hospital","5955 Zeamer Ave","99506",61.23495321197771,-149.74504447633845
"99505","Jber","AK","JBER Hospital ER","not_available","99506",61.236007479343314,-149.74446997740017
"99505","Jber","AK","Lynx Wing","not_available","99504",61.235783,-149.745839
"99505","Jber","AK","Ascension Eagle River Hospital","201 Hospital Rd","54521",61.32054920881574,-149.56479012968884
"99507","Anchorage","AK","Alaska Native Medical Center","4315 Diplomacy Dr","99508",61.182504211446215,-149.80030868340762
"99507","Anchorage","AK","ANMC Critical Care","not_available","99518",61.18265055886936,-149.80099467690076
"99507","Anchorage","AK","First Care Medical Centers, LLC.","1301 Huffman Rd","99515",61.109165000000004,-149.857907
"99507","Anchorage","AK","Alpine Urgent Care","1310 E Dimond Blvd","99515",61.14387,-149.858277
"99507","Anchorage","AK","Concentra Urgent Care","4100 Lake Otis Pkwy Ste 100","99508",61.18300816591691,-149.84076322989785
"99507","Anchorage","AK","ANMC Fireweed Building","4341 Tudor Centre Dr","99508",61.18141555786133,-149.79420471191406
"99507","Anchorage","AK","Providence ExpressCare - Huffman","1389 Huffman Park Dr Ste 110","99515",61.1108408,-149.8556586
"99508","Anchorage","AK","Providence Alaska Medical Center","3200 Providence Dr","99508",61.18790889447437,-149.8169195652008
"99508","Anchorage","AK","Alaska Psychiatric Institute","3700 Piper St","99508",61.18507385253906,-149.8291015625
"99515","Anchorage","AK","Alaska Urgent Care LLC","300 E Dimond Blvd Ste 12A","99515",61.143942,-149.876549
"99515","Anchorage","AK","Providence ExpressCare - Anchorage South","345 W 104th Ave Ste 300","99515",61.12706180000001,-149.8849546
"99559","Bethel","AK","OR KKH","KKH","99559",59.959154,-162.881833
"99576","Dillingham","AK","Bristol Bay Area Health Corporation Kanakanak Hospital","6000 Kanakanak Rd","99576",59.00056838989258,-158.53639221191406
"99577","Eagle River","AK","Providence ExpressCare - Eagle River","17101 Snowmobile Ln Ste 114","99577",61.34020604311771,-149.56241622205997
