"zip","city","state","name","address","postalCode","lat","lon"
"71601","Pine Bluff","AR","Jefferson Regional Medical Center","1600 W 40th Ave","71603",34.18809869318326,-92.01780395172106
"71601","Pine Bluff","AR","Jefferson Regional Med Center Emergency Rm","not_available","not_available",34.18958071049288,-92.01880342616059
"71601","Pine Bluff","AR","Jefferson Regional Medical Center Surgery Waiting Room","not_available","71603",34.18908369348936,-92.01799523695777
"71601","Pine Bluff","AR","Arkansas Urology","1609 W 40th Ave Suite 301","71603",34.1896632,-92.0189015
"71601","Pine Bluff","AR","MedExpress Urgent Care","5510 S. Olive Street","71603",34.1742848,-92.0073679
"71601","Pine Bluff","AR","JRMC Urgent Care Center","4201 S Mulberry St","71603",34.186648,-92.014832
"71635","Crossett","AR","Hospital","hospital","71635",33.13830015711586,-91.93908174522937
"71652","Kingsland","AR","st. johns place nursing & rehab","Hwy 79/167 Bypass","71742",33.82432878915518,-92.43040402006993
"71652","Kingsland","AR","Millcreek Of Arkansas","Industrial dr","71742",33.832706451416016,-92.38966369628906
"71652","Kingsland","AR","Dallas County Medical Center","not_available","71742",33.81078,-92.425377
"71653","Lake Village","AR","Allegiance Specialty Hospital of Greenville","300 S Washington Ave Fl 3","38701",33.403621,-91.051043
"71653","Lake Village","AR","Work","chicot memorial hospital","not_available",33.306256,-91.290406
"71653","Lake Village","AR","Chicot Memorial Medical Center","not_available","71653",33.306304931640625,-91.29024505615234
"71655","Monticello","AR","Drew Memorial Hospital","778 Scogin Dr","71655",33.610580686095005,-91.81583404541016
"71671","Warren","AR","Bradley County Medical Center","not_available","71671",33.61054611206055,-92.05880737304688
"71701","Camden","AR","Kindred at Home","222 W Washington St","71701",33.58548944,-92.83218537
"71701","Camden","AR","Ouachita County Medical Center","Hospital Drive","71701",33.57487106323242,-92.8342514038086
"71730","El Dorado","AR","Medical Center of South Arkansas - Emergency Room","700 W Grove St","71730",33.22003936767578,-92.6709976196289
"71730","El Dorado","AR","Warner Brown Hospital","not_available","71730",33.21504971449024,-92.6687797971185
"71730","El Dorado","AR","Arkansas Urology","619 N. Newton Ave.","71730",33.2173627,-92.6721051
"71753","Magnolia","AR","ccas","S Pine, Magnolia, AR 71753","71753",33.259136337761575,-93.24003057151012
"71753","Magnolia","AR","ccas","N Pine, Magnolia, AR 71753","71753",33.26502092778873,-93.23811601070125
"71801","Hope","AR","Wadley Regional Medical Center at Hope","2001 South Main Street","71801",33.6482068,-93.5848996
"71801","Hope","AR","Kindred at Home","209 S Main St","71801",33.667621999999994,-93.591486
"71801","Hope","AR","Family Medicine Specialist","302 Bill Clinton Dr Ste A","71801",33.6470537463701,-93.58445975950718
"71851","Mineral Springs","AR","Howard Memorial Hospital","130 Medical Cir","71852",33.949728,-93.880424
"71851","Mineral Springs","AR","Nashville Medical Center","6 Southpark Shopping Ctr","71852",33.927543,-93.849769
"71852","Nashville","AR","Pike County Health Unit","15 Caddo Dr","71958",34.06423568725586,-93.69365692138672
"71854","Texarkana","AR","Riverview Behavioral Health Hospital","701 Arkansas Blvd","71854",33.460802,-94.035442
"71854","Texarkana","AR","texarkana veterans cboc","not_available","71854",33.470368204761066,-94.03223113657161
"71854","Texarkana","AR","Kindred at Home","210 N State Line Ave","71854",33.42182845,-94.04278969
"71901","Hot Springs National Park","AR","St. Vincent's Outpatient Bldg.","1 Mercy Ln","71913",34.46819328269219,-93.06725819531569
"71901","Hot Springs National Park","AR","Npmc","1816-1898 Malvern Ave","71901",34.486466,-93.03473795
"71901","Hot Springs National Park","AR","Levi Hospital","not_available","71901",34.509944,-93.05749499999999
"71901","Hot Springs National Park","AR","Chi St Vincent South","not_available","71913",34.463491,-93.075422
"71901","Hot Springs National Park","AR","Senior Helpers","4836 Park Avenue","71901",34.58049940000001,-92.97835660000001
"71901","Hot Springs National Park","AR","Millennium Medical And Rehabilitation PC","1075 Central Park Ave Ste 107","10583",34.52978810700413,-93.04284811019897
"71901","Hot Springs National Park","AR","Canyon Springs Nursing Home","park avenue","71913",34.53627722218851,-93.03085758176532
"71901","Hot Springs National Park","AR","CHI St. Vincent Hot Springs Rehabilitation Hospital, a partner of Encompass Health","1636 Higdon Ferry Rd","71913",34.4637419,-93.0746585
"71901","Hot Springs National Park","AR","CHI St. Vincent Convenient Care - Hot Springs","100 McGowan Ct","71913",34.46945202098287,-93.0667951185344
"71901","Hot Springs National Park","AR","The Breast Center at NPMC","1900 Malvern Ave Ste 101","71901",34.4869376,-93.0355968
"71901","Hot Springs National Park","AR","St. Joseph's Mercy Hospital","3604 Central Ave","71913",34.468502044677734,-93.06066131591797
