"zip","city","state","name","address","postalCode","lat","lon"
"32003","Fleming Island","FL","Fleming island surgery center","not_available","32003",30.093937369429327,-81.72564656812904
"32003","Fleming Island","FL","Baptist Medical Center Clay","not_available","not_available",30.07890427403037,-81.70931937481659
"32003","Fleming Island","FL","Park Avenue Dermatology","1677 Eagle Harbor Parkway B","32003",30.1005148,-81.7041077
"32011","Callahan","FL","Mayo Clinic","not_available","32011",30.515244,-81.787903
"32011","Callahan","FL","shands oral & maxillofacial surgery","8Th Street","32209",30.645538685629518,-81.79011594849607
"32024","Lake City","FL","Lake City  V A  HOSPITAL","619 S Marion Ave","32025",30.181850735702767,-82.63563827568572
"32024","Lake City","FL","Baya Urgent Care","not_available","32055",30.18361473083496,-82.6574478149414
"32024","Lake City","FL","Shands Lake Shore Regional Medical Center - Emergency Room","368 NE Franklin St","32055",30.19329833984375,-82.63267517089844
"32024","Lake City","FL","Paradise Medical Center","Sandhill Rd","32024",30.04868349902274,-82.81417965888976
"32024","Lake City","FL","Lake City Medical Center","340 NW Commerce Drive","32055",30.18398,-82.68627
"32024","Lake City","FL","Lake City Medical Center Emergency Center","340 NW Commerce Dr","32055",30.183670753384515,-82.68780803339911
"32024","Lake City","FL","Mercy Medical Urgent Care","305 E Duval St","32055",30.18960952758789,-82.63365173339844
"32034","Fernandina Beach","FL","Baptist Medical Center Nassau","1250 S 18th St","32034",30.653151621930846,-81.44919854159346
"32034","Fernandina Beach","FL","Amelia Express Care","1987 S 8th St","32034",30.63977,-81.45877
"32034","Fernandina Beach","FL","Baptist Sleep Disorder Center Nassau","not_available","32034",30.650424452073253,-81.45446566530418
"32034","Fernandina Beach","FL","Community Hospice & Palliative Care","1348 S. 18th Street, Medical Office, Building B","32043",30.652048110961914,-81.4492416381836
"32034","Fernandina Beach","FL","St. Vincent's Cardiology - Fernandina","1699 S 14th St","32034",30.66837000715662,-81.46121978759766
"32034","Fernandina Beach","FL","Amelia Urgent Care and Occupational Medicine","96279 Brady Point Rd","32034",30.616059,-81.506045
"32040","Glen Saint Mary","FL","™Northeast Florida State Hospital","not_available","32063",30.23737547740929,-82.13672262719317
"32040","Glen Saint Mary","FL","North East Florida State Hospital","not_available","32058",30.15330231401779,-82.1852482067822
"32043","Green Cove Springs","FL","FLJAC - St. Vincent's Lung, Sleep, and Critical Care Specialists - Clay","1658 St Vincents Way","32068",30.07615028911736,-81.84468984603882
"32043","Green Cove Springs","FL","Baptist Medical Center","800 Prudential Dr","32207",30.07650765399193,-81.60384073199945
"32043","Green Cove Springs","FL","Kindred Hospital North Florida","801 Oak St","32043",29.987171173095703,-81.68281555175781
"32046","Hilliard","FL","Amelia Medical Care and Occupational Medicine","3435 Second St S","31537",30.821662,-82.00325
"32054","Lake Butler","FL","Lake Butler Hospital","850 E Main St","32054",30.022684,-82.326895
"32060","Live Oak","FL","Shands Live Oak ER","not_available","32064",30.29083019262148,-83.00318080451463
"32060","Live Oak","FL","Doctors Office & Urgent Medical Care","609 5th St SW","32064",30.297916412353516,-82.99079132080078
"32060","Live Oak","FL","Shands Live Oak Regional Medical Center - Emergency Room","1100 11th St SW","32064",30.2917367,-83.0028124
"32063","Macclenny","FL","Ed Fraser Memorial Hospital","159 N 3rd St","32063",30.285969458588788,-82.11936404373111
"32065","Orange Park","FL","St. Vincent's Medical Center Clay County","1670 St Vincents Way","32068",30.108930015735314,-81.83241311064576
"32065","Orange Park","FL","Orange Park Medical Center","2001 Kingsley Ave","32073",30.166065016430128,-81.73770189285278
"32065","Orange Park","FL","Orange Park Hospital Labor And Delivery","not_available","32073",30.16640691712209,-81.73755219514534
"32065","Orange Park","FL","Cyclotron & P.E.T. scan center","600 Wells Landing Dr, Orange Park, FL 32073","32073",30.166659181172108,-81.73653697867773
"32065","Orange Park","FL","Orange Park Medical Center ExpressCare","2001 Kingsley Ave, Orange Park, FL 32073","32073",30.16563606262207,-81.73759460449219
"32065","Orange Park","FL","OneBlood","2153 Kingsley Ave","32073",30.16497230529785,-81.74203491210938
"32065","Orange Park","FL","CareSpot Urgent Care","2140 Kingsley Ave Ste 15","32073",30.16424560546875,-81.74176025390625
"32066","Mayo","FL","Mayo Cancer Center/Infusion","2 Shircliff Way","32204",29.90848258367631,-83.29773902893065
"32073","Orange Park","FL","Urgent Care","8540 Argyle Forest Blvd","32244",30.193477,-81.794853
"32073","Orange Park","FL","Century Ambulance OP Station","1617 Smith St","32073",30.17001257041151,-81.70286464537848
"32073","Orange Park","FL","Park Avenue Dermatology | Annex","1543 Kingsley Ave","32073",30.1660414,-81.7282378
"32073","Orange Park","FL","Ascension Medical Group St. Vincent's Primary Care - Wells Road","2300 Park Ave","32073",30.184844970703125,-81.70527648925781
"32080","Saint Augustine","FL","FM Medical Urgent Care","3560 A1a S","32080",29.83071956,-81.27288675
"32081","Ponte Vedra","FL","St. Vincent's Primary Care - Ponte Vedra","1100 Sawgrass Village Dr","32082",30.206790924072266,-81.3818130493164
"32081","Ponte Vedra","FL","CURE- Urgent Care","10870 US-1 Unit 104","32081",30.085915,-81.459153
"32081","Ponte Vedra","FL","Gerard J. Budd M.D.","880 A1A N #16","32082",30.1897081,-81.3817852
"32082","Ponte Vedra Beach","FL","Flagler Hospital","120 Palencia Village Dr Ste 107","32095",30.015599,-81.3891635
"32082","Ponte Vedra Beach","FL","Contoura Facial Plastic Surgery","230 A1A North","32082",30.2315087,-81.3856722
"32084","Saint Augustine","FL","Flagler Hospital","400 Health Park Blvd","32086",29.8630529,-81.3171898
"32084","Saint Augustine","FL","Community hospice","not_available","32086",29.863532687897692,-81.31727815853937
"32084","Saint Augustine","FL","Solantic Baptist Urgent Care","2095 US Highway 1 S","32086",29.86130714416504,-81.32365417480469
"32084","Saint Augustine","FL","Healing Arts Urgent Care","120 Health Park Blvd","32086",29.862914545250508,-81.320662178069
"32084","Saint Augustine","FL","Ascension Medical Group St. Vincent's Internal Medicine - CR 210","2851 County Road 210 W","32259",29.912853488333187,-81.4095389842987
"32084","Saint Augustine","FL","OneBlood","3100 US-1","32086",29.83656817,-81.32169359
"32084","Saint Augustine","FL","Ascension Medical Group St. Vincent's Primary Care - St. John's","2001 County Rd 210","32259",29.90119111588743,-81.33017778396606
"32084","Saint Augustine","FL","St Augustine Surgery Center","180 Southpark Blvd","32086",29.8632527362725,-81.32617821349054
"32084","Saint Augustine","FL","MedOne Urgent Care at St. Augustine","841 S Ponce de Leon Blvd Ste 4","32084",29.88084464608376,-81.32481145155526
"32084","Saint Augustine","FL","O & P","1797 Old Moultrie Rd","32084",29.868619918823242,-81.32646942138672
"32084","Saint Augustine","FL","Community hospice The Bailey Center","Health Park Blvd","32086",29.86749499035197,-81.32625616516634
