"zip","city","state","name","address","postalCode","lat","lon"
"83201","Pocatello","ID","Portneuf Medical Center","777 Hospital Way","83201",42.87417116407815,-112.42118009389746
"83201","Pocatello","ID","Portneuf Heart & Lung Surgeons","not_available","not_available",42.87357176278818,-112.42020495090759
"83201","Pocatello","ID","Pocatello Urgent Care","Yellowstone Ave.","83201",42.906112094025026,-112.46855079798026
"83201","Pocatello","ID","Amazing Pain Formula","1605 N Arthur Ave","83204",42.872699,-112.46515699999998
"83201","Pocatello","ID","Safehaven Hospital and Care Center","1200 Hospital Way","83201",42.868092771636654,-112.41703102347677
"83201","Pocatello","ID","Portneuf Regional Medical Center","651 Memorial Dr","83201",42.8670539855957,-112.4314956665039
"83201","Pocatello","ID","Health And Wellness Sleep Institute","not_available","83201",42.872557,-112.433433
"83201","Pocatello","ID","Renaissance Ranch Addiction Treatment Centers","265 E Chubbuck Rd","83202",42.920669203969254,-112.46214866638184
"83201","Pocatello","ID","Eye Pros","4013 Yellowstone Ave Suite D","83202",42.9059289,-112.4653663
"83211","American Falls","ID","Power County Hospital District","510 Roosevelt St","83211",42.781522,-112.848733
"83221","Blackfoot","ID","1st Choice Urgent Care","1350 Parkway Dr #2","83221",43.19392776489258,-112.3597412109375
"83221","Blackfoot","ID","Bingham Memorial Hospital","98 Poplar St","83221",43.19337976004822,-112.34711790586385
"83221","Blackfoot","ID","Bingham Memorial Grants, Research, CME, And Community Education Offices","101-199 W Idaho St","83221",43.19120135,-112.34474733333333
"83221","Blackfoot","ID","Idaho Doctor's Hospital","not_available","83221",43.1961555480957,-112.35426330566406
"83226","Challis","ID","Joseph Petrie, PAC","619 Wilson Rd","83226",44.511001,-114.208413
"83251","Mackay","ID","St. Luke's Wood River Medical Center","100 Hospital Dr.","83340",43.64918469364421,-114.35019850730896
"83251","Mackay","ID","Emergency Room","100 Hospital drive","83340",43.647640228271484,-114.3503189086914
"83301","Twin Falls","ID","St. Luke's Magic Valley Medical Center","801 Pole Line Rd W","83301",42.59026122821585,-114.4959561878529
"83301","Twin Falls","ID","Physicians Immediate Care Center","243 Cheney Dr W Ste 200","83301",42.5881057,-114.4832703
"83301","Twin Falls","ID","St Luke's MSTI","Poleline Dr","not_available",42.59078610185911,-114.49586890009037
"83301","Twin Falls","ID","Mountain States Tumor Institute","not_available","83301",42.59092719334634,-114.45870507409157
"83301","Twin Falls","ID","MVRMC","addison","83301",42.565139,-114.473292
"83301","Twin Falls","ID","Eye Pros","1605-A Blue Lakes Blvd N","83301",42.59027405924438,-114.46067988876166
"83301","Twin Falls","ID","Magic Valley Urgent Care","496 Shoup Ave W","83301",42.56610107421875,-114.48932647705078
"83318","Burley","ID","Cassia Regional Hospital","1501 Hiland Ave","83318",42.534699,-113.782123
"83318","Burley","ID","Sterling Urgent Care","not_available","83318",42.535454,-113.77747
"83318","Burley","ID","River view urgent care","not_available","83336",42.559332992036985,-113.79381205372076
"83325","Eden","ID","Zatural","1150 E 990 S","83325",42.5782470703125,-114.29154968261719
"83330","Gooding","ID","North Canyon Medical Center","not_available","83330",42.92087936401367,-114.7101821899414
"83332","Hagerman","ID","Mountain Sage Wellness Center","2155 Airbase Rd","83647",42.8226694,-114.8935642
"83338","Jerome","ID","St. Luke's Jerome Medical Center","709 N Lincoln","not_available",42.73006364418535,-114.51945588539448
