"zip","city","state","name","address","postalCode","lat","lon"
"46011","Anderson","IN","Community Hospital Anderson","1515 N Madison Ave","46011",40.13028344534091,-85.6934198748443
"46011","Anderson","IN","Physicians Ambulance Station Anderson","3305 Nichol Avenue","46011",40.101239,-85.73027
"46011","Anderson","IN","Community Hospital Emergency Department","1515 N Madison Ave, Anderson, IN 46011","46011",40.13085409547679,-85.69263170858837
"46011","Anderson","IN","Community Hospital 3e Beast","not_available","46011",40.13032326095732,-85.69273752793409
"46011","Anderson","IN","St. Vincent Anderson Regional Hospital","2015 Jackson St","46016",40.094658642706136,-85.681898945365
"46011","Anderson","IN","Community hospital women's center","not_available","not_available",40.135079,-85.691505
"46011","Anderson","IN","Community Hospital Anderson-Respiratory Dept.","1515","46011",40.130517222429724,-85.69314683269899
"46011","Anderson","IN","St. John's Educational Room","not_available","46016",40.09516542315687,-85.68136639706306
"46012","Anderson","IN","Saint John's Hospital","not_available","46013",40.09507063159119,-85.6771391301037
"46012","Anderson","IN","St Johns Women's Center","2020 Meridian St Ste 150","46016",40.0959,-85.67865400000001
"46012","Anderson","IN","Dr. Tavel Family Eye Care","2109 S Scatterfield Rd","46016",40.095623826563916,-85.65494924028059
"46012","Anderson","IN","Community North Ear Nose & Throat","not_available","46012",40.151472,-85.673637
"46012","Anderson","IN","Medcheck Urgent Care Center","1030 S Scatterfield Rd","46012",40.1051589482877,-85.65236673133008
"46012","Anderson","IN","Saint John's Surgery Center","2200 Jackson St","46016",40.094366761923986,-85.68073959936386
"46013","Anderson","IN","Sacred Heart","5235 S 200 E","46017",40.03024673461914,-85.63616943359375
"46013","Anderson","IN","MedExpress Urgent Care","3800 South Scatterfield Road","46013",40.07611483502046,-85.65220981839047
"46013","Anderson","IN","Saint John's Med One Urgent Care","4778 S Scatterfield Rd","46013",40.064493225987796,-85.65208658584257
"46013","Anderson","IN","MedCheck Anderson","3125 S Scatterfield Rd Ste 100","46013",40.08421623802083,-85.65302851254624
"46016","Anderson","IN","ImmediaDent - Urgent Dental Care","2128 Mounds Road","46016",40.092834,-85.653181
"46032","Carmel","IN","IU Health North Hospital","11700 N Meridian St","46032",39.9592790234482,-86.15978950713759
"46032","Carmel","IN","Iu North Hospital Cancer Center Suite 565","116## N Illinois","46032",39.959347,-86.159996
"46032","Carmel","IN","IU Health Bariatrics","11725 N Illinois St Ste 350","46032",39.959285736083984,-86.16043090820312
"46032","Carmel","IN","Methodist Medical Plaza North","151 Pennsylvania Pkwy","46280",39.9314328222701,-86.15402144946293
"46032","Carmel","IN","St Vincent Heart Hospital 10580 N Meridian","not_available","46290",39.939485,-86.159149
"46032","Carmel","IN","IU Health North Emergency Room","not_available","46032",39.95876096626189,-86.15935831366694
"46032","Carmel","IN","Come Explore Nursing Event","St. Vincent Carmel Hospital","46032",39.994547,-86.130428
"46032","Carmel","IN","OrthoIndy North Meridian","10601 N. Meridian St., Suite 200","46280",39.94231414794922,-86.15672302246094
"46032","Carmel","IN","Endoscopy Center","13421 Old Meridian St","46032",39.980525970458984,-86.14237976074219
"46032","Carmel","IN","Surgery Center of Carmel","12188A N Meridian St","46032",39.96693888031977,-86.15841108482823
"46032","Carmel","IN","st vincent carmel maternity ward","13500 N Meridian St","46032",39.982547760009766,-86.1436767578125
"46032","Carmel","IN","The Birth Hub","677 Newbury St. #1212","46032",39.968591,-86.1358742
"46032","Carmel","IN","St.Vincent Sports Performance","14455 Clay Terrace Blvd","46032",39.99812284964229,-86.12841367721558
"46032","Carmel","IN","Quest Build Room 4189","10330 N Meridian St Ste 4189","46290",39.9370231628418,-86.15953826904297
"46033","Carmel","IN","TheraPets","not_available","46038",39.94018588697404,-86.06414554384278
"46033","Carmel","IN","Lauren Heavin, MD","14535 Hazel Dell Pkwy Bldg A","46033",39.9995727,-86.0670071
"46033","Carmel","IN","Your CBD Store - Carmel, IN","255 E Carmel Dr Suite C","46032",39.9613753,-86.1226512
"46033","Carmel","IN","IU Health Urgent Care - Noblesville","14645 Hazel Dell Rd Ste 120","46062",40.00098253885598,-86.07165984716062
"46033","Carmel","IN","The Little Clinic","1217 S Rangeline Rd","46032",39.9626646,-86.1252588
"46034","Cicero","IN","Cicero Holistic Health","1200 South Peru Street","46034",40.120936,-86.01397
"46036","Elwood","IN","St. Vincent Mercy Elwood","S A st","46036",40.27544878546831,-85.84321327129359
"46036","Elwood","IN","Ascension St. Vincent Mercy (St. Vincent Mercy Hospital)","1331 S A St","46036",40.275421142578125,-85.84383392333984
"46036","Elwood","IN","Community Parkview","not_available","46036",40.286412,-85.83145400000001
"46037","Fishers","IN","IU Health Physicians Primary Care - IU Health Saxony Hospital","13000 E 136th St Ste 3400","46037",39.9868087245598,-85.92991604662706
"46037","Fishers","IN","St Vincent's Hospital Fishers","13914 State Road 238 E","46037",39.98946803122323,-85.916012147304
"46037","Fishers","IN","IUH Health Saxony Emergency Department","13100 E 136th St","46037",39.98746943329458,-85.93083236487448
"46037","Fishers","IN","Saxony Security Office","not_available","46060",39.987352087086855,-85.93086634612432
"46037","Fishers","IN","St.Vincent Fishers Hospital","13861 Olio Rd","46037",39.989324,-85.9168636
"46037","Fishers","IN","Community Home Health Services","9894 E 121st St","46037",39.96687510917255,-85.9933367972928
"46037","Fishers","IN","St. Vincent Center For Women's Health","13914 Southeastern Pkwy","46037",39.976966,-85.91086
"46037","Fishers","IN","Riverview Health Emergency Room & Urgent Care","9690 E 116th St","46037",39.95610046386719,-86.0032730102539
"46037","Fishers","IN","Prime Med Urgent Center","8962 E 96th St","46037",39.927690000000005,-86.009516
"46037","Fishers","IN","IU Health Urgent Care","11580 Overlook Dr Ste 100","46037",39.95611530877962,-85.99333131916455
"46037","Fishers","IN","Fishers Urgent Care","11680 Commercial Dr","46038",39.958791,-86.012438
"46037","Fishers","IN","MACL Lab","13121 Olio Rd","46037",39.98232,-85.916276
"46039","Forest","IN","St Joseph Hospital","sycamore","46901",40.416258,-86.279181
"46041","Frankfort","IN","IU Health Frankfort Hospital","1300 S Jackson St","46041",40.269571801528656,-86.51128649371287
"46049","Kempton","IN","Kempton Fire & Rescue","not_available","46049-0190",40.29029778904856,-86.22821866289034
"46052","Lebanon","IN","Witham Hospital","2605 N Lebanon St","46052",40.07728614036275,-86.4733751614172
"46052","Lebanon","IN","Witham Hospital ER","not_available","46052",40.077123934092704,-86.47231352290541
"46052","Lebanon","IN","Anson Emergency Room","not_available","46077",39.950389,-86.340367
"46052","Lebanon","IN","Witham Emergency Services at Anson","Heartland Dr, Eagle, IN 46075","46075",39.95019186754715,-86.3394906640379
"46055","Mccordsville","IN","Hancock Physician Network Urgent Care","not_available","46055",39.90636891247154,-85.92001061927466
"46060","Noblesville","IN","St. Vincent Neighborhood Hospital - Noblesville","9460 E 146th St","46060",40.0015274,-86.0009547
"46060","Noblesville","IN","Brian Keith Benjamin, MD","865 Westfield Rd,Ste B","46062",40.0454522,-86.03288189999999
"46060","Noblesville","IN","Room 2236","not_available","46062",40.046709,-86.02399
"46060","Noblesville","IN","Riverview Interventional Pain Center","395 Westfield Rd","46060",40.04534912109375,-86.0223159790039
"46060","Noblesville","IN","Riverview Surgery Pavillion","325 Westfield Rd, Noblesville, IN 46060","46060",40.04541778564453,-86.02177429199219
"46069","Sheridan","IN","Riverview Health Westfield Hospital Urgent Care","17600 Shamrock Blvd","46074",40.043311,-86.133935
"46069","Sheridan","IN","Jenna Walls, MD","17600 Shamrock Blvd Suite 400A","46074",40.043799,-86.1338471
"46069","Sheridan","IN","St Vincent Outpatient Rehab","14828 Greyhound Ct Ste 150","46032",40.04208086317616,-86.13618718479951
"46069","Sheridan","IN","Michael Kaveney, MD","17600 Shamrock Blvd. Suite 400A","46074",40.043799,-86.1338471
"46069","Sheridan","IN","Pawan S Sethi, MD","17600 Shamrock Blvd Suite 200B","46074",40.043799,-86.1338471
"46072","Tipton","IN","IU Health Tipton Hospital","1000 S Main St","46072",40.271981665860054,-86.04219660219462
"46072","Tipton","IN","Tipton Hospital","not_available","46072",40.27144833026178,-86.0422701241622
"46074","Westfield","IN","Sanders Glenn","772 N Union St","46074",40.039821,-86.122326
"46074","Westfield","IN","The Little Clinic","150 W 161st St","46074",40.021921203031894,-86.16139681653294
"46074","Westfield","IN","Ascension St. Vincent Headache Center (St. Vincent Headache Center)","13431 Old Meridian St","46032",39.982411,-86.143829
"46075","Whitestown","IN","Dr. Tavel Family Eye Care","61 Boone Village","46077",39.95066833496094,-86.27593994140625
"46075","Whitestown","IN","IU Health Physicians Internal Medicine - Zionsville","1650 W Oak St Ste 104","46077",39.951579291127025,-86.28436803817749
"46077","Zionsville","IN","sacnning","S. Main St. and East Hawthorne, Zionsville, IN 46077","46077",39.9492381,-86.2609824
"46077","Zionsville","IN","Body Bar MD","9650 Commerce Dr Ste 511","46032",39.9280792,-86.2257313
"46107","Beech Grove","IN","Altenhiem community","not_available","46237",39.70776734120738,-86.10584397631851
"46107","Beech Grove","IN","Select Specialty Hospital","1600 Albany St Ste 200","46107",39.72438430786133,-86.0995101928711
"46107","Beech Grove","IN","MedExpress Urgent Care","4903 South Emerson Avenue","46203",39.6968031,-86.0818538
"46107","Beech Grove","IN","St.Francis Emergency Department Beech Grove","not_available","46203",39.72411403235894,-86.09888249848403
"46107","Beech Grove","IN","Beechgrove Meadows","2002 Albany Street","46227",39.70217180091682,-86.10808438626519
"46107","Beech Grove","IN","Dr. Tavel Family Eye Care","4916 S. Emerson Ave","46203",39.6957992,-86.0833945
"46107","Beech Grove","IN","Franciscan ExpressCare Thompson Commons","5210 East Thompson Road","46237",39.6949765,-86.0797868
"46107","Beech Grove","IN","The Little Clinic","5350 E Thompson Rd","46237",39.6967088,-86.0774571
"46112","Brownsburg","IN","Hendricks Regional Health Brownsburg Hospital","5492 N Ronald Reagan Pkwy","46112",39.844159,-86.35759
"46112","Brownsburg","IN","St Vincent Immediate Care- Brownsburg","590 Pitt Road","46112",39.85004806518555,-86.3709487915039
"46112","Brownsburg","IN","Payten Manning Childrens Hospital","not_available","46112",39.915679931640625,-86.39210510253906
"46112","Brownsburg","IN","Poly-John 16 Tee","not_available","46278",39.864277,-86.326
"46112","Brownsburg","IN","Ascension Medical Group - St. Vincent - Brownsburg Walk-in Care","590 Pit Rd","46112",39.85009,-86.37086
"46113","Camby","IN","Community south surgery center","not_available","46113",39.6383655,-86.3277499
"46122","Danville","IN","Hendricks Regional Health","1000 E Main St","46122",39.76193147797523,-86.50150058727597
"46122","Danville","IN","Center Township","1000 N County Rd 50 E","46122",39.77533019818489,-86.51647567749023
"46122","Danville","IN","Goodman Campbell Brain and Spine","5250 E US Highway 36","46123",39.7612272,-86.43492409999999
"46122","Danville","IN","ER Registration","not_available","46122",39.762646,-86.501235
"46122","Danville","IN","American Health Network","5250 E US Highway 36 #610","46123",39.761246773805475,-86.43483064114312
"46123","Avon","IN","IU Health West Hospital","1111 Ronald Reagan Pkwy","46123",39.78054960258436,-86.34056918260069
"46123","Avon","IN","IU Health West ER","not_available","46123",39.7805558621159,-86.33993971237616
"46123","Avon","IN","Dr. Tavel Family Eye Care","7900 E US Hwy 36","46123",39.7643026,-86.3828501
"46123","Avon","IN","IU Health Urgent Care - Avon","10853 E US Highway 36","46123",39.76311620000001,-86.3295555
"46123","Avon","IN","St. Vincent Neighborhood Hospital - Avon","9613 E US Highway 36","46123",39.76063919067383,-86.35398864746094
"46123","Avon","IN","Same-Day Dental","10439 E US Hwy 36","46123",39.76293299,-86.33785984
"46124","Edinburgh","IN","CCTF","not_available","46124",39.355895,-85.972014
"46131","Franklin","IN","Johnson Memorial Hospital","1125 W Jefferson St","46131",39.480031532625596,-86.077443173994
"46131","Franklin","IN","Community Health Stones Crossing Rehabilitation Center","3000 S State Road 135","46143",39.57359666751032,-86.15968468177256
"46131","Franklin","IN","Franciscan ExpressCare Stones Crossing","1703 West Stones Crossing Road","46143",39.5787826,-86.1473201
"46131","Franklin","IN","Johnson Memorial Health Immediate Care","2085 Acorn Blvd","46131",39.50018362976133,-86.06867681795055
