"zip","city","state","name","address","postalCode","lat","lon"
"48009","Birmingham","MI","Meadowbrook Urgent Care P.C.","33722 Woodward Ave","48009",42.537039,-83.2041781
"48009","Birmingham","MI","Birmingham Urgent Care","200 Elm St Ste 100","48009",42.546157,-83.209125
"48009","Birmingham","MI","William Beaumont Hospital 9 North Room 9633","not_available","48073",42.53312475173571,-83.22532443062951
"48009","Birmingham","MI","SJMO Urgent Care Birmingham","2110 E Maple Rd","48009",42.54705810546875,-83.1944351196289
"48009","Birmingham","MI","Endometriosis Centers of America, L.L.C.","555 S Old Woodward Ave Ste 700","48009",42.5432160547795,-83.21053504943848
"48009","Birmingham","MI","St. Joesph Urgent Care Clinic","not_available","not_available",42.54707714065283,-83.19462618151555
"48021","Eastpointe","MI","Digital Foot Lab","21020 Kelly Road","48021",42.45283,-82.93779
"48021","Eastpointe","MI","Health One Medical Center","21501 Kelly Rd","48021",42.456893,-82.935333
"48025","Franklin","MI","Cambridge South Healthcare Center","18200 W 13 Mile Rd","48025",42.517503999999995,-83.224953
"48025","Franklin","MI","Ascension Providence Hospital Oakland Family Medicine","30055 Northwestern Hwy","48334",42.5059748,-83.3214022
"48025","Franklin","MI","Craig Singer MD Dermatology","31000 Telegraph Rd Ste 260","48025",42.515899658203125,-83.28482818603516
"48025","Franklin","MI","Trillamed LLC","30100 Telegraph Rd","48025",42.50914,-83.28409
"48025","Franklin","MI","MyHealth Urgent Care Southfield","29984 Telegraph Rd.  Southfield, MI 48034","48034",42.50796127319336,-83.284423828125
"48025","Franklin","MI","Southfield Pediatric Physicians, PC","31500 Telegraph Rd Ste 105","48025",42.519141999999995,-83.284853
"48026","Fraser","MI","Henry Ford Macomb Urgent Care - Fraser","15717 15 Mile Rd","48035",42.553841646092046,-82.96465158462524
"48026","Fraser","MI","MedPointe Urgent Care Walk In Clinic","31290 Groesbeck Hwy","48026",42.5259687,-82.943691
"48026","Fraser","MI","Hfhs","not_available","48026",42.55176804982717,-82.96321714426662
"48030","Hazel Park","MI","Hazel Park Urgent Care","not_available","48030",42.461244,-83.10226
"48033","Southfield","MI","Straith Hospital","not_available","48034",42.464284055030994,-83.2614281756613
"48033","Southfield","MI","Henry Ford Medical Center - Southfield","22777 W 11 Mile Rd","48033",42.486599982425005,-83.2675697082243
"48033","Southfield","MI","Lahser Hills Care Center","25300 Lahser Rd","48033",42.475404,-83.25984
"48033","Southfield","MI","Get & Stay Healthy 4Life (Get And Stay Healthy 4Life)","25267 Telegraph Rd Suite 102","48033",42.47321880000001,-83.2851372
"48033","Southfield","MI","Woodland Urgent Care","22341 W 8 Mile Rd","48219",42.44228598734821,-83.26313719313943
"48033","Southfield","MI","Daniel Park, MD - Spine Surgeon","26025 Lahser Rd 2nd floor","48033",42.47944641113281,-83.26201629638672
"48033","Southfield","MI","West Oaks Senior Care Nh","not_available","48219",42.44282062664063,-83.26427389979179
"48033","Southfield","MI","HF Cottage","not_available","48230",42.47664614953388,-83.25991772197887
