"zip","city","state","name","address","postalCode","lat","lon"
"63005","Chesterfield","MO","Total Access Urgent Care","2501 Clarkson Road","63017",38.6214036,-90.5826724
"63005","Chesterfield","MO","KAMPERS HEARING AID SERVICE","18741 Babler Meadows Dr","63038",38.59072802633104,-90.70840358734131
"63005","Chesterfield","MO","Mercy Imaging Mammography Rm4","not_available","63017",38.60573678653658,-90.5887782400694
"63005","Chesterfield","MO","St. Luke's Urgent Care - Clarkson","233 Clarkson Rd","63011",38.59948358462533,-90.58514764344262
"63005","Chesterfield","MO","Ulrich Medical Usa, Inc.","18221 Edison Ave","63005",38.664726,-90.643171
"63005","Chesterfield","MO","Mercy-GoHealth Urgent Care","1326 Clarkson Clayton Ctr","63011",38.602872,-90.587765
"63005","Chesterfield","MO","St. Louis Cancer & Breast Institute","15945 Clayton Rd","63011",38.60556884008663,-90.58838069597351
"63010","Arnold","MO","Mercy Urgent Care - Richardson Square","3619 Richardson Square Dr","63010",38.41102679658217,-90.38676463558198
"63010","Arnold","MO","Arnold Urgent Care","3613 Richardson Square Dr","63010",38.41108335753104,-90.38644411757163
"63010","Arnold","MO","St Anthony Urgent Care","not_available","not_available",38.44465847178989,-90.3768148066336
"63011","Ballwin","MO","Total Access Urgent Care","13861 Manchester Rd","63011",38.5971947,-90.4834223
"63011","Ballwin","MO","Mercy-GoHealth Urgent Care","409 Lafayette Ctr","63011",38.595745,-90.520839
"63011","Ballwin","MO","Urgent care center","Manchester","not_available",38.593227,-90.510541
"63011","Ballwin","MO","Mercy Convenient Care - Wildwood","16555 Manchester Rd","63040",38.5823103,-90.6165113
"63011","Ballwin","MO","Des Peres Urgent Care","15420 Manchester Rd","63011",38.592318,-90.56278499999999
"63012","Barnhart","MO","Imperial Urgent Care","1125 Imperial Main Street","63052",38.37004911012448,-90.38116931749944
"63012","Barnhart","MO","Jefferson Regional Medical Center","not_available","63070",38.31624985369213,-90.40134798499231
"63012","Barnhart","MO","Mercy Urgent Care - Imperial","1125 Main St","63052",38.370105270548194,-90.38112063712265
"63016","Cedar Hill","MO","nurses office","not_available","63016",38.36078643798828,-90.62069702148438
"63017","Chesterfield","MO","St. Luke's Hospital","232 S Woods Mill Rd","63017",38.65132820389958,-90.50284445285797
"63017","Chesterfield","MO","American Red Cross","13369 Olive Blvd","63017",38.681587,-90.495496
"63017","Chesterfield","MO","St. Luke's Pharmacy 3rd Floor","232 S Woods Mill Rd","not_available",38.651371999999995,-90.502987
"63017","Chesterfield","MO","St. Luke's Hospital - Nursing Classroom","not_available","63005",38.65081614973526,-90.50252096077367
"63017","Chesterfield","MO","ShuFang Clinic (Holistic Medicine)","14891 Olive Blvd","63017",38.6685734,-90.5359927
"63017","Chesterfield","MO","St Luke's Infusion Center","224 S Woods Mill Rd","63017",38.650835288279936,-90.50242870843424
"63017","Chesterfield","MO","Seattle Grace Hospital","South Woods Mill Rd","63017",38.64932,-90.51034
"63017","Chesterfield","MO","Mercy-GoHealth Urgent Care","1722 Clarkson Rd","63017",38.6422303,-90.56616799999999
"63017","Chesterfield","MO","MetLife Urgent Care Call Center Sick Ward","not_available","63141",38.643704891609325,-90.4974197284715
"63017","Chesterfield","MO","Radiology Lab Building B","not_available","63131",38.65168965208566,-90.50176449792248
"63017","Chesterfield","MO","Dubuis Hospital of St. Louis","13190 South Outer 40 Road. Meadowview Bldg. Level 1","63017",38.636985778808594,-90.48905181884766
"63017","Chesterfield","MO","After Hours Pediatric Urgent Care","1723 Missouri 340","63017",38.642639035010276,-90.56808347431598
"63019","Crystal City","MO","Urgent Care of Festus","660A S Truman Blvd","63028",38.212520599365234,-90.39057922363281
"63019","Crystal City","MO","Total Access Urgent Care","408 Brothers Dr","63028",38.2125517,-90.3960366
"63020","De Soto","MO","Zebas Family Hospital","not_available","63020",38.134464566513834,-90.55921823494708
"63021","Ballwin","MO","Total Access Urgent Care","2980 Dougherty Ferry Rd","63122",38.567928314208984,-90.47532653808594
"63021","Ballwin","MO","St Clare Health Center","not_available","63026",38.56142221898104,-90.47223221784763
"63021","Ballwin","MO","Ballwin Ridge","1441 Charic Dr","63021",38.553646,-90.587761
"63021","Ballwin","MO","The Family Birthplace","1015 Bowles Ave","63026",38.53514261345727,-90.47362879927125
"63025","Eureka","MO","Mercy Urgent Care - Legends Parkway","20 The Legends Pkwy","63025",38.4957271,-90.6272302
"63025","Eureka","MO","RCF at Marymount","313 Augustine Rd","63025",38.496360778808594,-90.61408233642578
"63025","Eureka","MO","Emergency FOX llc","4500 Highway 109","63025",38.51876449584961,-90.62728881835938
"63025","Eureka","MO","Eureka Urgent Care","623 W 5th St","63025",38.50547790527344,-90.63899230957031
"63026","Fenton","MO","Total Access Urgent Care","3802 S Lindbergh Blvd Ste 101","63127",38.549804,-90.4058873
"63026","Fenton","MO","Rock Township Ambulance District","not_available","63010",38.50225061374572,-90.49249899863558
"63026","Fenton","MO","St. Luke's Urgent Care - Fenton","508 Old Smizer Mill Rd","63026",38.513821,-90.45054300000001
"63026","Fenton","MO","Accidents And Family Chiropractic Care","220 Gravois Rd","63026",38.5114,-90.43578
"63026","Fenton","MO","Mercy Urgent Care - 714 Gravois Road","714 Gravois Rd Ste 100","63026",38.51130340393908,-90.44580623130014
"63028","Festus","MO","Mercy Emergency Department - Jefferson","1400 US Highway 61","63028",38.196598180752346,-90.3935671352092
"63028","Festus","MO","Jefferson memorial cancer center","Highway 61","63028",38.19870105129749,-90.39073070109616
"63028","Festus","MO","Mercy Clinic Adult Critical Care - Jefferson","1400 US Highway 61 Ste H1521","63028",38.196581704827615,-90.39364444047544
"63028","Festus","MO","Mercy Surgery Center","not_available","63028",38.197318,-90.395931
"63031","Florissant","MO","christian northwest healthcare","not_available","63031",38.77958237596248,-90.33631817451382
"63031","Florissant","MO","Rancho Manor Healthcare and Rehab Center","615 Rancho Ln","63031",38.820514,-90.319703
"63031","Florissant","MO","BJC Medical Group Convenient Care","not_available","63042",38.785075,-90.353652
"63031","Florissant","MO","Mercy Urgent Care - North County","637 Dunn Rd Ste 101","63042",38.7807706146239,-90.363537151125
"63031","Florissant","MO","Christian Northwest ER","8231-8496 Sieloff Dr","63042",38.77978409872888,-90.33720552304372
"63031","Florissant","MO","Fast Track Urgent Care","2686 N Highway 67","63033",38.804997,-90.305243
"63031","Florissant","MO","Total Access Urgent Care","1090 N Highway 67 St","63031",38.798496,-90.32607
"63031","Florissant","MO","John Cochran V A Hospital","not_available","63106",38.77947860811013,-90.36531239054811
"63031","Florissant","MO","Depaul Emergency Room","not_available","63044",38.77811994206177,-90.41289315975595
"63033","Florissant","MO","Christian Hospital","11133 Dunn Rd","63136",38.77682277747552,-90.24041955450562
"63033","Florissant","MO","Village North","11160 Village North Dr","63136",38.77620315551758,-90.24613952636719
"63033","Florissant","MO","Our Urgent Care","3433 N Highway 67","63033",38.813423,-90.292048
"63033","Florissant","MO","Christian EMS","Dunn Rd","63136",38.77694050370661,-90.23925117491896
"63033","Florissant","MO","Urgent Care","2686 N Highway 7","63033",38.80598831176758,-90.30462646484375
"63033","Florissant","MO","C.N.E. Emergency Room","11084-11298 Dunn Rd","63136",38.776894151660365,-90.2393766314146
"63033","Florissant","MO","Christian Hospital Emergency Room","not_available","63136",38.77126421426959,-90.28268806232226
"63033","Florissant","MO","Christian Hospital Northeast 9 Amcu","not_available","63138",38.77541086780141,-90.2405707591346
"63033","Florissant","MO","Crestwood Health Care Center","11400 Mehl Ave","63033",38.777796,-90.268305
"63038","Wildwood","MO","Sierra Environmental Technologies","18545 Bridlegate Ln","63069",38.53092575073242,-90.69038391113281
"63042","Hazelwood","MO","St Joseph's Hospital Telemetry Floor","not_available","63146",38.7583991808306,-90.4292573011217
"63043","Maryland Heights","MO","Ranken Jordan - Pediatric Bridge Hospital","11375 Dorsett Road","63043",38.70997068499408,-90.41530841343807
"63043","Maryland Heights","MO","DePaul Hospital","12303 DE Paul Dr","63044",38.75143095910778,-90.43383121490479
"63043","Maryland Heights","MO","SSM De Paul Health Center","De Paul Dr, Bridgeton, MO 63044","63044",38.74991665987754,-90.43286246754914
"63043","Maryland Heights","MO","SSM Rehabilitation Hospital","12380 De Paul Dr","63044",38.7527,-90.43637
"63043","Maryland Heights","MO","Total Access Urgent Care","12409 Saint Charles Rock Rd","63044",38.755095,-90.4299764
"63043","Maryland Heights","MO","SSM Depaul Hospital Center","12303 De Paul Drive","63044",38.75082778930664,-90.43275451660156
"63043","Maryland Heights","MO","SSM Depaul Health Center","St Charles Rock Road","63074",38.752317479422054,-90.44931780927605
"63043","Maryland Heights","MO","Our Urgent Care","2070 McKelvey Rd","63043",38.7168636,-90.45310669999999
"63043","Maryland Heights","MO","SSM DePaul Medical Group","2024 Dorsett Village Shpg Ctr.","63043",38.75052790217687,-90.43255396660408
"63043","Maryland Heights","MO","Maryland Heights Urgent Care","not_available","63043",38.71691629588691,-90.45314343840403
"63044","Bridgeton","MO","St. Louis Children's Hospital Suite C","not_available","63112",38.74045206974632,-90.37945412522436
"63044","Bridgeton","MO","St. Ann Hospital","St. Bernard Ln","not_available",38.724753,-90.39336
"63045","Earth City","MO","saint joseph","not_available","63301",38.77245487209819,-90.4821430194849
"63049","High Ridge","MO","St. Clair Hospital","not_available","63021",38.48323330742111,-90.51444176702252
"63074","Saint Ann","MO","Bentley's Extended Care","3060 Ashby Rd","63114",38.711819,-90.388325
"63080","Sullivan","MO","Missouri Baptist Sullivan Hospital","965 Mattox Dr","63080",38.19568634033203,-91.16983795166016
"63080","Sullivan","MO","BJC Sullivan Hospital","Sappington Bridge Rd","not_available",38.19606852373651,-91.17066319285361
"63090","Washington","MO","Our Urgent Care","3195 Phoenix Center Dr","63090",38.5355518,-90.97831529999999
"63090","Washington","MO","St. John's Mercy Hospital","901 E 5th St","63090",38.55218607355357,-91.00099168831052
"63090","Washington","MO","Organic Healthy Habits","1165 Clock Tower Plaza, Suite 163","63090",38.53824996948242,-91.00031280517578
"63090","Washington","MO","Mercy Urgent Care","not_available","63090",38.535514,-90.978462
"63090","Washington","MO","Mercy Intensive Outpatient Behavioral Health - Washington","851 E 5th St Ste 154","63090",38.5525922,-91.0021838
"63090","Washington","MO","Total Access Urgent Care","1717 Madison Ave","63090",38.539923,-91.0050814
"63101","Saint Louis","MO","Hemodialysis Center","St. Louis","63101",38.627273,-90.197889
"63101","Saint Louis","MO","Downtown Urgent Care","916 Olive St","63101",38.62880902864708,-90.19455811677757
"63101","Saint Louis","MO","Prentice at Northwestern Memorial Hodpital","not_available","63101",38.62625503540039,-90.19226837158203
"63102","Saint Louis","MO","Drug & Alcohol Rehab St. Louis","1422 Delmar Blvd","63103",38.63368225097656,-90.19951629638672
"63103","Saint Louis","MO","CERT Final Exercise","20 N Grand Blvd","63103",38.636114,-90.232852
"63103","Saint Louis","MO","Cardinal Glennon Amdulatory Care Center Pharmacy","not_available","63103",38.62888,-90.233647
