"zip","city","state","name","address","postalCode","lat","lon"
"38606","Batesville","MS","Communicare","not_available","not_available",34.439484,-89.897388
"38606","Batesville","MS","Tri-Lakes Medical Center","not_available","38606",34.30691634729827,-89.9140640712007
"38606","Batesville","MS","Tri - Lakes Behavioral Health","155 Keating Rd","38606",34.312129974365234,-89.93171691894531
"38606","Batesville","MS","RedMed Urgent Clinic of Batesville","171 Lakewood Dr","38606",34.3102854,-89.9245183
"38610","Blue Mountain","MS","Tippah Hospital","not_available","38663",34.73937225341797,-88.95033264160156
"38610","Blue Mountain","MS","North Mississippi Ambulatory Surgery Center","not_available","38610",34.61969757080078,-89.01264190673828
"38614","Clarksdale","MS","Northwest Mississippi Medical Center","1970 Hospital Dr","38614",34.197105,-90.55181499999999
"38614","Clarksdale","MS","Northwest Regional Medical Center","not_available","38614",34.1961784362793,-90.55223083496094
"38618","Coldwater","MS","RedMed Urgent Clinic of Senatobia","105A Quality Ln","38668",34.6280204,-89.9637484
"38626","Dundee","MS","Helena Regional Medical Center Emergency Department","1801 Martin Luther King Jr Dr","72342",34.51001739501953,-90.62740325927734
"38632","Hernando","MS","RedMed Urgent Clinic of Hernando","1250 E Commerce St","38632",34.8237996,-89.9706891
"38632","Hernando","MS","Urgent Medical Clinic Hernando","not_available","38632",34.82418452703746,-89.97377446223818
"38637","Horn Lake","MS","Baptist Memorial Hospital - DeSoto","7601 Southcrest Pkwy","38671",34.96972524047555,-89.99737028665535
"38637","Horn Lake","MS","Family & Urgent Care Clinic","not_available","38637",34.963,-90.043414
"38637","Horn Lake","MS","Surgery Waiting Room","not_available","38671",34.970521812535004,-89.99823549371146
"38641","Lake Cormorant","MS","Fast Pace Health Urgent Care Walls","6080 Goodman Road W","38680",34.963129105042064,-90.09764060382622
"38652","New Albany","MS","Baptist Memorial Hospital - Union County","200 State Highway 30 W","38652",34.49807594535988,-89.02853451722481
"38652","New Albany","MS","RedMed Urgent Clinic of New Albany","188 Starlyn Ave","38652",34.4956429,-89.0354747
"38654","Olive Branch","MS","Parkwood Hospital","Parkwood Dr","38654",34.96152252947687,-89.8460371091192
"38654","Olive Branch","MS","All Children's Clinic, P.C.","3674 Goodman Rd E Ste 9","38672",34.96308135986328,-89.92549133300781
"38654","Olive Branch","MS","Getwell Urgent Care","6752 Getwell Rd","38672",34.958842,-89.936372
"38654","Olive Branch","MS","Methodist North Hospital","not_available","38654",34.962938,-89.884427
"38654","Olive Branch","MS","MedPost Urgent Care of Olive Branch","5142 Goodman Rd","38654",34.96333175,-89.89806958
"38654","Olive Branch","MS","LeBonheur Urgent Care","5480 Goodman Rd","38654",34.96300506591797,-89.89303588867188
"38655","Oxford","MS","Oxford Urgent Care","1929 University Ave","38655",34.36284719569699,-89.50711727142334
"38655","Oxford","MS","Baptist Memorial Hospital-North Mississippi","1100 Belk Blvd","38655",34.348100929468856,-89.52947905399262
"38655","Oxford","MS","Oxford Diagnostic Center","504 Azalea Dr","38655",34.336338,-89.52284399999999
"38655","Oxford","MS","Baptist Memorial Hospital - North Mississippi","2301 S Lamar Blvd","38655",34.348443886554925,-89.52003295969284
"38655","Oxford","MS","Urgent Care","1487 Belk Blvd","38655",34.34478254771974,-89.51290011405945
"38655","Oxford","MS","Family Medicine Group of Oxford","1397 Belk Blvd","38655",34.347286224365234,-89.51521301269531
"38655","Oxford","MS","Oxford Surgery Center","not_available","38655",34.335378999999996,-89.521485
"38655","Oxford","MS","RedMed Urgent Clinic of Oxford","1902B Jackson Ave W","38655",34.363925,-89.555763
