"zip","city","state","name","address","postalCode","lat","lon"
"27006","Advance","NC","WFBH Davie Medical Center","329 NC Highway 801 N","27006",36.01041030883789,-80.4466323852539
"27006","Advance","NC","Clemmons Urgent Care","2245 Lewisville Clemmons Rd","27012",36.042813,-80.386533
"27006","Advance","NC","Novant Health-GoHealth Urgent Care","3163 Gammon Ln","27012",36.039673,-80.38694699999999
"27006","Advance","NC","Forsyth Er","not_available","not_available",36.02460172,-80.36669719
"27006","Advance","NC","ac corp clemmons med job site","not_available","27012",36.029165525828134,-80.39821349440636
"27006","Advance","NC","Wake Forest Baptist Health Urgent Care - Clemmons","2311 Lewisville Clemmons Rd","27012",36.040612,-80.385796
"27011","Boonville","NC","Yadkin Valley Community Hospital","not_available","27055",36.13491718324656,-80.67114433355019
"27012","Clemmons","NC","Novant Health Forsyth Medical Center","3333 Silas Creek Pkwy","27103",36.075917898789676,-80.2974166125422
"27012","Clemmons","NC","Medical Park Hospital","1950 S Hawthorne Rd","27103",36.078962799819756,-80.29583270420257
"27012","Clemmons","NC","Old Vineyard Behavioral Health Services","3637 Old Vineyard Road","27104",36.078585,-80.3191815
"27012","Clemmons","NC","iccu","not_available","27103",36.06531424341492,-80.29945724138659
"27012","Clemmons","NC","Hillcrest Urgent Care","2337 Winterhaven Ln","27103",36.0506074315727,-80.32592108671543
"27012","Clemmons","NC","Drug & Alcohol Rehab Winston-Salem","1381 Old Mill Cir #220","27103",36.07534408569336,-80.3088607788086
"27016","Danbury","NC","Stokes County EMS","106 Old Church Rd","27016",36.409473,-80.202081
"27016","Danbury","NC","Stokes Reynolds Memorial Hospital","not_available","27052",36.417601414258485,-80.23100129855868
"27016","Danbury","NC","LifeBrite Community Hospital of Stokes","1570 North Carolina 8 & 89 Highway North","27016",36.4180006,-80.2309154
"27017","Dobson","NC","NHSC","814 Worth St","27030",36.489907,-80.611274
"27017","Dobson","NC","Piedmont Medical, Inc.","500 W Kapp St","27017",36.3968391418457,-80.7271728515625
"27017","Dobson","NC","Northern Hospital of Surry County","not_available","27030",36.49842783854105,-80.61172229383601
"27017","Dobson","NC","PruittHealth","560 Johnson Ridge Rd","28621",36.26423263549805,-80.83204650878906
"27017","Dobson","NC","Hugh Chatham Memorial Hospital O.R.","not_available","28621",36.261482,-80.838325
"27017","Dobson","NC","Surry Ems Station 3","940 N Bridge St","28621",36.260073,-80.847753
"27017","Dobson","NC","Nothern Hospital","830 Rockford St","27030",36.48893356323242,-80.61168670654297
"27017","Dobson","NC","Our Mt. Airy Blue Ridge Medical Group","905 Rockford St","27030",36.48798845989442,-80.61074495315552
"27017","Dobson","NC","Northern General Surgery","708 S South St Ste 100","27030",36.4915409,-80.6145249
"27017","Dobson","NC","Northern Urgent Care","119 Welch Rd Ste A","27030",36.4874150819472,-80.61747202887342
"27023","Lewisville","NC","Emergency in Vienna","not_available","27040",36.13752985449017,-80.40581702054185
"27028","Mocksville","NC","Davie Hospital","123 Hospital Road","not_available",35.9142856,-80.5598724
"27028","Mocksville","NC","Wake Forest Baptist Health - Urgent Care & Occupational Medicine - Mocksville","1188 Yadkinville Rd","27028",35.914277,-80.582514
"27028","Mocksville","NC","Davie County EMS Station 1","not_available","27028",35.89992977856203,-80.57121580840045
"27028","Mocksville","NC","Wake Forest Davie County Hospital","225 Hospital Street","not_available",35.899349,-80.571805
"27030","Mount Airy","NC","EEG Room","Lefkosa","27030",36.510279,-80.509837
"27030","Mount Airy","NC","Surry Community Health and Rehabilitation Center","542 Allred Mill Rd","27030",36.52153699,-80.61582537
"27045","Rural Hall","NC","Northern Family Medicine - Rural Hall","Office closed","27045",36.225418,-80.303463
"27101","Winston Salem","NC","SORT","121 Polo Rd","27105",36.144866,-80.257362
"27101","Winston Salem","NC","Drug & Alcohol Rehab Winston-Salem","8 W 3rd St #245","27101",36.09750747680664,-80.24414825439453
"27101","Winston Salem","NC","SAND LAKE SURGERY CENTER","not_available","32819",36.10827082718764,-80.22939920425415
"27101","Winston Salem","NC","Novant Express Care Downtown","50 W 4th St Apt 10","27101",36.09811019897461,-80.244384765625
"27101","Winston Salem","NC","4 ICU North Tower","not_available","27105",36.13008499145508,-80.25234985351562
"27103","Winston Salem","NC","Wake Forest Baptist Medical Center","1 Medical Center Blvd","27157",36.088516,-80.269041
"27103","Winston Salem","NC","Comprehensive Cancer Center","1 Medical Center Blvd","27103",36.09119779286775,-80.26860660454311
"27103","Winston Salem","NC","WFBH Janeway Tower","301 S Hawthorne Rd","27157",36.08977881690405,-80.26898027390226
"27103","Winston Salem","NC","FastMed Urgent Care","4937 Old Country Club Rd","27104",36.08348083496094,-80.34506225585938
"27103","Winston Salem","NC","Brenner Children's Hospital- PICU","not_available","27104",36.09075006428757,-80.27006121020973
"27103","Winston Salem","NC","Forsyth second Floor Solarium","not_available","27127",36.03633117675781,-80.26020812988281
"27103","Winston Salem","NC","WFBH Pediatric Orthopedics","131 Miller St","27103",36.091651916503906,-80.27289581298828
"27104","Winston Salem","NC","WFUBMC - 7AE Cards","Medical Center Blvd","27157",36.090260380057984,-80.26845613921166
"27105","Winston Salem","NC","Novant Health-GoHealth Urgent Care","7811 N Point Blvd","27106",36.15039,-80.27852
"27105","Winston Salem","NC","FastMed Urgent Care","5701 University Pkwy","27105",36.1760206,-80.27462504
"27106","Winston Salem","NC","Novant Health GoHealth Urgent Care","50 Miller St Ste C","27104",36.0940867790345,-80.27504403495294
"27106","Winston Salem","NC","Winston Salem Nursing & Rehabilitation","1900 W 1st St","27104",36.09589385986328,-80.27247619628906
"27106","Winston Salem","NC","Urgent Care - Piedmont Plaza | Wake Forest Baptist Health","1920 W 1st St Fl 3","27104",36.0958579,-80.2736762
