"zip","city","state","name","address","postalCode","lat","lon"
"58040","Gwinner","ND","Orange City Home Health and Hospice","400 Central Avenue NW","51041",46.2256571,-97.6634705
"58045","Hillsboro","ND","Sanford Hillsboro Emergency Center","12 3rd St SE","58045",47.403284966524346,-97.05589166907328
"58045","Hillsboro","ND","Hillsboro Medical Center","3rd street SE","58045",47.40338858244122,-97.05567255234574
"58047","Horace","ND","Shanley Nurse's Office","not_available","58104",46.79893413219935,-96.81807488071406
"58051","Kindred","ND","Kindred Ambulance Garage","not_available","not_available",46.64922122537645,-97.01093577606838
"58054","Lisbon","ND","CHI Lisbon Health","905 Main St","58054",46.4369886573782,-97.68028585175404
"58072","Valley City","ND","Mercy Hospital","570 Chautauqua Blvd","58072",46.928325,-97.994274
"58075","Wahpeton","ND","St. Francis Medical Center","2400 St Francis Dr","56520",46.291485192614026,-96.58836847792719
"58078","West Fargo","ND","BioLife Plasma Services","801 E Beaton Drive","58078",46.849327360649426,-96.88715524806062
"58078","West Fargo","ND","Tera Field, APRN, CNP","4622 40th Ave S","58104",46.817697768857,-96.86477065086365
"58078","West Fargo","ND","WestEnd Spine and Rehab","3575 45th St S Ste 112","58104",46.82606506347656,-96.86265563964844
"58078","West Fargo","ND","Sanford Emergency Department","5225 23rd Ave S","58104",46.845591999999996,-96.875258
"58078","West Fargo","ND","Vibra Hospital of Fargo","5225 23rd Avenue South","58104",46.84576839999999,-96.87567349999999
"58078","West Fargo","ND","Essentia Health Walk-in Care-West Fargo","1401 13th Ave E Ste A","58078",46.86152618263355,-96.87702298164368
"58078","West Fargo","ND","Vance Thompson Vision â€"" Fargo","505 32nd Ave E Suite B","58078",46.8333417,-96.8967508
"58081","Wyndmere","ND","Wyndmere Ambulance Garage","not_available","58081",46.267003252160144,-97.13071049437016
"58102","Fargo","ND","VA Hospital","2101 Elm St N","58102",46.90594922325753,-96.77504539489746
"58102","Fargo","ND","Sanford Hospital","801 Broadway N","58102",46.88468,-96.78773
"58102","Fargo","ND","Roger Maris Infusion Center","not_available","58102",46.88516977011093,-96.7856817546241
"58102","Fargo","ND","sanford health warehouse","501 4th St N","58102",46.881401,-96.78392
"58102","Fargo","ND","Sanford Broadway Urgent Care","720 Fourth St. N.","58102",46.884626,-96.786318
"58102","Fargo","ND","Sanford Emergency Room","Broadway","58103",46.88432988010648,-96.78535678757866
"58103","Fargo","ND","Sanford Professional Building","100 4th St. S.","58103",46.8731993,-96.7846432
"58103","Fargo","ND","Essentia Health-32nd Avenue Clinic","3000 32nd Avenue South, North Entrance","58103",46.83333390696647,-96.81935548782349
"58103","Fargo","ND","Sanford Orthopedic, room 468","not_available","58103",46.85288107574516,-96.79759766615648
"58103","Fargo","ND","Christopher Whited, PA-C","3902 13th Ave S","58103",46.85901721509037,-96.84681057929993
"58103","Fargo","ND","UrgentMED","2301 25th St S","58103",46.84356,-96.8208
"58103","Fargo","ND","Kindred Hospital Fargo","1720 University Dr S","58103",46.85323715209961,-96.79744720458984
"58103","Fargo","ND","Essentia Health Cancer Center","1702 South University Drive, Floor LL","58103",46.83328986789469,-96.80464625358582
"58103","Fargo","ND","Essentia Health","1702 University Dr S","58103",46.85380987835477,-96.79757840248118
"58103","Fargo","ND","Prairie St John's","510 4th Street South","58103",46.8691927,-96.7849293
"58103","Fargo","ND","UrgentMed","2829 University Dr S","58103",46.83683449999999,-96.7999018
"58103","Fargo","ND","BioLife Plasma Services","2617 12th Avenue South","58103",46.86459391450225,-96.82160773720592
"58103","Fargo","ND","PSJ Employee","390 6th Ave S","58103",46.868302,-96.785237
"58104","Fargo","ND","Sanford Southpointe","2400 32nd Ave S","58103",46.83162560839714,-96.81804178125192
"58104","Fargo","ND","Essentia Health-Fargo","3000 32nd Ave S","58103",46.83138703759731,-96.82952708064056
"58104","Fargo","ND","easentia health nicu","3000 32nd Ave S, Fargo, ND 58104","58104",46.83112443580063,-96.82763400174007
"58201","Grand Forks","ND","Altru Family Medicine Residency","725 Hamline St.","58203",47.9263272,-97.0699875
"58201","Grand Forks","ND","Altru Family Medicine Center","1380 S. Columbia Road","58201",47.907749,-97.068713
"58201","Grand Forks","ND","Altru Hospital","1200 S. Columbia Road","58201",47.91043963329026,-97.06872988042707
"58201","Grand Forks","ND","Altru Health System","1200 S Columbia Rd","58201",47.9105352,-97.06811069999999
"58201","Grand Forks","ND","Altru Emergency Room","not_available","58201",47.911021956980676,-97.06917889498037
"58201","Grand Forks","ND","Truyu's Vein Therapy","3165 DeMers Ave, Truyu Aesthetic Center","58201",47.91669977259136,-97.07421228289604
"58201","Grand Forks","ND","Altru's Breast Center","4440 S. Washington St, Altru Professional Center","58201",47.8771668999055,-97.04729426186532
"58201","Grand Forks","ND","Bethann Nuelle, FNP","1300 S Columbia Rd","58201",47.9105921,-97.0682767
"58201","Grand Forks","ND","Altru's Interventional Pain Management","4440 S. Washington, Altru Professional Center","58201",47.87682525415524,-97.04694467789523
"58201","Grand Forks","ND","altru nicu","2100 S Columbia Rd, Grand Forks, ND 58201","58201",47.899452209472656,-97.06735229492188
"58201","Grand Forks","ND","Altru's Infectious Disease","725 Hamline St, Altru Family Medicine Residency","58203",47.926264153160275,-97.06994193798897
"58203","Grand Forks","ND","Altru Family Medicine Residency Pharmacy","725 Hamline St","58203",47.926259,-97.070037
"58203","Grand Forks","ND","North Dakota Surgery Center","not_available","58203",47.922098383206134,-97.08425158645095
"58203","Grand Forks","ND","BioLife Plasma Services","4770 Technology Cir","58203",47.919894,-97.098434
"58203","Grand Forks","ND","Altru's Internal Medicine","725 Hamline Street, Altru Family Medicine Residency","58201",47.926287391443665,-97.06985637545586
"58212","Aneta","ND","NCHS Care Center","200 Main St","58254",47.7650788344355,-98.17769050598145
"58212","Aneta","ND","NCHS Care Center, Hospital","201 Main St","58254",47.76569542454281,-98.17772805690765
"58212","Aneta","ND","McVille Hospital","not_available","58254",47.76566297261413,-98.17772269248962
"58220","Cavalier","ND","Altru's Specialty Care","301 Mountain Street East","58220",48.79231,-97.6185
"58225","Drayton","ND","Drayton Ambulance Service","not_available","58225",48.56062346744136,-97.17953975904514
"58225","Drayton","ND","Altru Clinic","1003 N. Main St.","58225",48.57054,-97.17699
"58225","Drayton","ND","Valley Ambulance","not_available","58237",48.411091,-97.41315
"58225","Drayton","ND","Unity Medical Center","164 W 13th St","58237",48.41100311279297,-97.41416931152344
"58257","Mayville","ND","Sanford Mayville Medical Center","42 6th Ave SE","58257",47.50073,-97.316909
"58270","Park River","ND","First Care Health Center","not_available","58270",48.399277625996206,-97.74433079817369
"58271","Pembina","ND","Pembina Ambulance","2nd Street","58271",48.96786522483013,-97.24468908165287
"58301","Devils Lake","ND","Mercy Hospital","not_available","58301",48.11566653765512,-98.84958306885083
"58301","Devils Lake","ND","CHI St. Alexius Health Devils Lake Hospital","1031 7th St NE","58301",48.11553537217567,-98.84927645767209
"58301","Devils Lake","ND","Yorhom Medical Essentials Devils Lake","210 US-2, Devils Lake City Plaza","58301",48.103752,-98.87065
"58301","Devils Lake","ND","Altru Clinic","1001 7th St NE","58301",48.1148226,-98.8512906
"58318","Bottineau","ND","St. Andrew's Health Center","Ohmer Street","58318",48.832381046545414,-100.45022972577857
"58318","Bottineau","ND","Saint Andrews Hospital","not_available","58318",48.829257570661426,-100.44993437717108
"58324","Cando","ND","Towner County Medical Center","PO Box 688","58324",48.48986609546664,-99.20874212405062
"58341","Harvey","ND","St. Aloisius Medical Center","325 Brewster St E","58341",47.767520904541016,-99.93312072753906
"58367","Rolla","ND","Presentation Medical Center","not_available","58367",48.86346606703849,-99.61386306650434
"58401","Jamestown","ND","Essentia Health Walk-in Care-Jamestown","2430 20th St SW Ste A","58401",46.89025,-98.747352
"58401","Jamestown","ND","NDSH GM Building","2605 Circle Dr","58401",46.88116455078125,-98.68807983398438
"58401","Jamestown","ND","Jamestown Regional Hospital","400-442 5th St NE","58401",46.913076260000004,-98.7032465875
"58421","Carrington","ND","CHI St. Alexius Health Carrington Medical Center","800 4th St N","58421",47.45389122930695,-99.12383061075366
"58421","Carrington","ND","Golden Acres Manor","1 Main St","58421",47.44964,-99.111732
"58474","Oakes","ND","Oakes Community Hospital","1200 N 7th St","58474",46.150282910314125,-98.08934323526438
"58495","Wishek","ND","Wishek","not_available","58495",46.25785413405331,-99.55074584906417
"58501","Bismarck","ND","Sanford Health","300 N 7th St","58501",46.807468550131006,-100.7827131166697
"58501","Bismarck","ND","BioLife Plasma Services","1800 Burnt Boat Road","58503",46.83003922201548,-100.8232298843371
"58501","Bismarck","ND","Sanford Medical Center","not_available","58501",46.807498863631785,-100.78223138385609
"58501","Bismarck","ND","CHI St. Alexius Health Bismarck Medical Center","900 E Broadway Ave","58501",46.80769913805735,-100.7777056685951
