"zip","city","state","name","address","postalCode","lat","lon"
"68003","Ashland","NE","Boystown National Research Hospital","14040 hospital rd","68135",41.02925093737298,-96.29496177842287
"68005","Bellevue","NE","Abortionclinics.org","1002 W. Mission Ave.","68005",41.13673,-95.90594
"68005","Bellevue","NE","Bellevue Urgent Care","1307 Harlan Dr","68005",41.14066,-95.91075
"68008","Blair","NE","MCH & Health System","810 N 22nd St","68008",41.55145688627491,-96.14417606217509
"68008","Blair","NE","Blair Walk-in Clinic","not_available","not_available",41.545763888888885,-96.13645833333334
"68008","Blair","NE","Memorial Community Hospital and Health System","810 N 22nd Street","68008",41.551364186489415,-96.1448523402214
"68010","Boys Town","NE","Boys Town Research Hospital","370 Doyle drive","68010",41.25009736377972,-96.13342321312926
"68022","Elkhorn","NE","Methodist Women's Hospital","707 N 190th Plaza","68022",41.26481384,-96.2118522
"68022","Elkhorn","NE","Methodist Womens GYN","not_available","68022",41.20304031759122,-96.2087172049403
"68022","Elkhorn","NE","4210","Methodist Womens Hospital, 707 S 190th Plaza, Elkhorn, NE 68022","68022",41.26519775390625,-96.21309661865234
"68022","Elkhorn","NE","Midwest Minor Medical","18210 Wright St","68130",41.23355147577024,-96.19903651402025
"68025","Fremont","NE","Fremont Health Medical Center","450 E 23rd St","68025",41.45257050233572,-96.4911934884119
"68025","Fremont","NE","Methodist Fremont Health Emergency Department","450 E. 23rd Street","68025",41.4532633,-96.4915008
"68025","Fremont","NE","Urgent Care","not_available","68025",41.451142476354796,-96.49185777781534
"68025","Fremont","NE","MedExpress Urgent Care","1240 E. 23rd St.","68025",41.45192200000001,-96.48161009325406
"68025","Fremont","NE","AJ Merrick MANOR","5035 S 134th st;","68025",41.453909981959484,-96.49158184451709
"68036","Linwood","NE","CHI Health Emergency Department (Schuyler)","104 W 17th St","68661",41.45573663588891,-97.06071167656614
"68036","Linwood","NE","Alegent Hospitol","101-299 W 18th St","68661",41.455978954739656,-97.06030833636564
"68046","Papillion","NE","Midlands Hospital - CHI Health","11111 S 84th St","68046",41.13580446997676,-96.04034215979277
"68046","Papillion","NE","Chidren's Physicians Urgent Care","not_available","68128",41.175871,-96.06492
"68046","Papillion","NE","McArdle Suite","not_available","68046",41.135807037353516,-96.04009246826172
"68046","Papillion","NE","MedExpress Urgent Care","8124 S 84th St","68128",41.17665937534105,-96.04368209838867
"68046","Papillion","NE","Midlands Family Urgent Care","312 Olson Dr Ste 101","68046",41.139412,-96.040141
"68046","Papillion","NE","Urgent Care Of Papillion","8419 S 73rd Plz Ste 101","68046",41.175776,-96.025109
"68047","Pender","NE","New Pender Community Hospital","100 Hospital Dr","68047",42.10503595706251,-96.71071577647714
"68048","Plattsmouth","NE","Plattsmouth Urgent Care","not_available","68048",41.01128875578382,-95.90754363678417
"68055","Rosalie","NE","Pender Community Hospital","Hwy 9","68067",42.095375061035156,-96.46783447265625
"68066","Wahoo","NE","Saunders Medical Center","1760 County Road J","68066",41.19297332578703,-96.63595568377042
"68066","Wahoo","NE","stanton county hospital","401 N Chestnut St, Wahoo, NE 68066","68066",41.209110260009766,-96.62261962890625
"68102","Omaha","NE","Emergency Room (ER) - Creighton University Medical Center","2412 Cuming St","68131",41.268717,-95.944167
"68104","Omaha","NE","Golden Living Center","480 Redman Ave","not_available",41.309794625834186,-95.98617154890403
"68104","Omaha","NE","Immanuel ER","not_available","68104",41.31770664935314,-96.02151499525652
"68104","Omaha","NE","MedExpress Urgent Care","6005 N 72nd St","68134",41.31334423812489,-96.02312296628952
"68105","Omaha","NE","Nebraska Medical Center - Nebraska Medicine","4350 Dewey Ave","68105",41.25598,-95.976133
"68105","Omaha","NE","UNMC","not_available","68198",41.252519649849816,-95.98018789027739
"68105","Omaha","NE","Olson Center for Women's Health","600 S 42nd St","68105",41.25506458101929,-95.97873706031203
"68105","Omaha","NE","Emergency Room - Nebraska Medical Center","4345 Dewey Ave","68105",41.256034134743274,-95.97857490886535
"68105","Omaha","NE","University Tower - The Nebraska Medical Center","4200 Douglas St","68131",41.25509407974805,-95.9775597329715
"68105","Omaha","NE","Concentra Urgent Care","2900 F St","68107",41.2201192,-95.9547549
"68105","Omaha","NE","Tom B's Hospital Room","not_available","68131",41.25484085083008,-95.9813461303711
"68105","Omaha","NE","Omaha VA Hospital","not_available","68106",41.23277007747087,-95.97406430529887
"68105","Omaha","NE","Multi Organ Transplant Clinic","Emile St","not_available",41.2546027655852,-95.9774358148094
