"zip","city","state","name","address","postalCode","lat","lon"
"10001","New York","NY","Quarantine","not_available","not_available",40.75743,-73.994427
"10001","New York","NY","CityMD Hell's Kitchen","345 W 42nd St","10036",40.75832654866938,-73.99166733026505
"10001","New York","NY","MedRite Urgent Care","330 W 42nd St","10036",40.7575937,-73.9915126
"10001","New York","NY","Onsite Innovations Hudson Yards Medical Clinic","676 W 30th St","10001",40.754422,-74.00605
"10001","New York","NY","Kelly's Sanctuary","309 W 30th St","10001",40.750146,-73.995899
"10001","New York","NY","Penn Hospital","not_available","10001",40.74666272716384,-73.99419107352823
"10001","New York","NY","Northwell Health-GoHealth Urgent Care","225 W 23rd St","10011",40.7446752,-73.9966037
"10001","New York","NY","New York City Nutrition","245 5th Avenue 3rd floor","10016",40.74443817138672,-73.98725891113281
"10001","New York","NY","Jun Ho Lee, M.D.","1270 Broadway","10001",40.748299,-73.98845
"10001","New York","NY","Doctor MV's Office","not_available","10018",40.754208,-73.992066
"10001","New York","NY","Radius","15 E 32nd St Fl 3","10016",40.746910095214844,-73.98434448242188
"10001","New York","NY","The jewish hospital of hypochondria","301 10th Ave","10001",40.750579833984375,-74.00249481201172
"10001","New York","NY","R/GA Systems","350 W 39th St","10018",40.755924224853516,-73.99356842041016
"10001","New York","NY","Journey To Wholeness","112 W 27th St, # 400","10001",40.7455253,-73.991841
"10001","New York","NY","St. Jude Children's Research Hospital","14 Penn Plz","10122",40.75149687564484,-73.99198176552486
"10001","New York","NY","Extended Home Care","360 W 31st St, New York, NY 10001","10001",40.75128936767578,-73.99755859375
"10001","New York","NY","French Hospital (fmr)","330 W 30th St","10001",40.749990999999994,-73.99688
"10001","New York","NY","Mount Sinai Center for Transgender Medicine and Surgery","275 7th Ave Fl 12","10001",40.74555,-73.99416
"10001","New York","NY","CityMD West 29th Urgent Care - NYC","330 7th Ave","10001",40.7478945,-73.9932582
"10001","New York","NY","CurexLab Inc","244 Fifth Avenue Suite H222 2nd FL","10001",40.7446298,-73.987667
"10002","New York","NY","Gouverneur Health","227 Madison St","10002",40.71293204470943,-73.98804470803022
"10002","New York","NY","CityMD Lower East Side","138 Delancey St.","10002",40.7184065,-73.9869387
"10002","New York","NY","Mount Sinai Doctors","104 Delancey St","10002",40.71888,-73.98861
"10002","New York","NY","VA Hospital","W 23rd St","10038",40.7134616046503,-73.97807581453091
"10002","New York","NY","Henry St Settlement: Senior Companions","301 Henry St","10002",40.714246,-73.98271700000001
"10002","New York","NY","NoLIta Chemists","208 Mott St","10012",40.721885681152344,-73.99524688720703
"10002","New York","NY","Bialystoker Center for Rehabilitation and Nursing","228 E Broadway","10002",40.71456527709961,-73.98670196533203
"10002","New York","NY","Rivington House Health Care","45 Rivington St","10002",40.72068,-73.991197
"10003","New York","NY","New York Doctors Walk-In Urgent Care","65 W 13th St","10011",40.73652349692707,-73.99698623267959
"10003","New York","NY","Mount Sinai Beth Israel","281 1st Ave","10003",40.7331965,-73.9820857
"10003","New York","NY","Beth Israel - Bernstein Pavilion","not_available","10003",40.73306340210985,-73.98351327282009
