"zip","city","state","name","address","postalCode","lat","lon"
"73003","Edmond","OK","Mercy-GoHealth Urgent Care","1380 W Covell Rd Ste 132","73003",35.6810377,-97.502073
"73003","Edmond","OK","Immediate Care of Oklahoma","805 W Covell Rd","73003",35.68259451355597,-97.4946368233135
"73003","Edmond","OK","Post 43 ""Nose Bleeding""","900 W 2nd","73003",35.652607811805524,-97.4962924139888
"73003","Edmond","OK","OHH North","not_available","not_available",35.663826,-97.50269
"73003","Edmond","OK","First Med Urgent Care","not_available","73003",35.68253687,-97.494813
"73003","Edmond","OK","First Med Urgent Care - Edmond (Danforth And Kelly)","1221 N. Kelly Avenue","73003",35.6665725708008,-97.4965972900391
"73003","Edmond","OK","Smith Medical Equipment","601 S Broadway","73034",35.649043,-97.482163
"73005","Anadarko","OK","Anadarko Indian Clinic","not_available","73005",35.08356391725429,-98.24203423329091
"73008","Bethany","OK","The Childrens Center","6800 NW 39th Expy","73008",35.51131367722959,-97.63290375930141
"73008","Bethany","OK","Deaconess Hospital, Bethany","7600 NW 23rd St","73008",35.491991,-97.648749
"73008","Bethany","OK","Gilbert Medical Center- Your Health & Wellness (Your Health & Wellness)","7530 Northwest 23rd Street","73008",35.4928407,-97.647085
"73010","Blanchard","OK","HealthCare Stat","2120 N Main St Ste B","73065",35.271934509277344,-97.59901428222656
"73010","Blanchard","OK","Ou Medical Cafeteria","not_available","73010",35.22651603974037,-97.70283165890199
"73010","Blanchard","OK","St Anthony's South Campus","Sw 134th","73170",35.267300654083954,-97.78731380907703
"73010","Blanchard","OK","Direct 2 U Urgent Care","2417 County Road 1263","73010",35.1855354309082,-97.68467712402344
"73012","Edmond","OK","Edmond Urgent Care","1101 NW 178th St Ste B","73012",35.66124,-97.53423
"73013","Edmond","OK","Mercy Emergency Room","not_available","73120",35.606038717744,-97.60026164485672
"73013","Edmond","OK","Oklahoma Heart Hospital","4050 W Memorial Rd","73120",35.60826273308928,-97.59706582861791
"73013","Edmond","OK","Mercy-GoHealth Urgent Care","12220 N MacArthur Blvd Ste D","73162",35.5940422,-97.6187935
"73013","Edmond","OK","Mercy Emergency Department - Edmond I-35 South","2301 W I 35 Frontage Rd","73013",35.6308776,-97.4264283
"73013","Edmond","OK","Oklahoma Spine Hospital","14101 Parkway Commons Dr","73134",35.61438231525446,-97.58318289409229
"73013","Edmond","OK","Mercy-GoHealth Urgent Care","16325 N May Ave","73013",35.6373616,-97.567898
"73013","Edmond","OK","Mercy Neonatal Intensive Care Unit - Oklahoma City","4300 W Memorial Rd","73120",35.60660511735446,-97.59988811400751
"73013","Edmond","OK","Quail Creek Nursing Center","13500 Brandon Pl","73142",35.607347,-97.628343
"73013","Edmond","OK","First Med Urgent Care- Northwest Oklahoma City (Memorial and MacArthur)","13401 N MacArthur Blvd","73142",35.6053522,-97.6207561
"73013","Edmond","OK","Oklahoma City Orthopedics, Sports and Pain Medicine","13100 N Western Ave Suite 200","73114",35.60288450000001,-97.53056280000001
"73013","Edmond","OK","Just Kids Pediatrics","13913 North May Avenue","73134",35.612390000000005,-97.56789
"73013","Edmond","OK","Station 21","not_available","73131",35.582762,-97.441497
"73013","Edmond","OK","Mercy Rehab Hospital","not_available","73142",35.610783392966006,-97.61492966913134
"73013","Edmond","OK","Oklahoma Otolaryngology Associates","13401 N. Western Ave. Suite 404","73114",35.60559844970703,-97.5328598022461
"73013","Edmond","OK","ICIO ProHealth Pharmacy","5915 W Memorial Rd #110, Oklahoma City, OK 73142","73142",35.610745,-97.622461
"73018","Chickasha","OK","Xpress Wellness Urgent Care","411 W Grand Ave","73018",35.02924833,-97.93616833
"73018","Chickasha","OK","Grady Memorial Emergency","not_available","73018",35.048069231584066,-97.96047559302396
"73026","Norman","OK","Absentee Shawnee Pluscare Walk-In Clinic","15702 E State Highway 9","73026",35.23088073730469,-97.208251953125
"73030","Davis","OK","Caribbean Orthopedic Institute","not_available","33331",34.50375390800317,-97.12503075599669
"73034","Edmond","OK","INTEGRIS Health Edmond Hospital","4801 Integris Pkwy","73034",35.64475859684622,-97.41857558762763
"73034","Edmond","OK","LTAC Of Edmond","1100 E 9th St, Edmond, OK 73034","73034",35.64482498168945,-97.46534729003906
"73034","Edmond","OK","Oklahoma Otolaryngology Associates","3824 South Boulevard #160","73013",35.6178357,-97.4769031
"73034","Edmond","OK","INTEGRIS Health Edmond","4801 INTEGRIS Parkway Edmond","73034",35.64423751831055,-97.41859436035156
"73034","Edmond","OK","Edmond OU er","not_available","73034",35.65384638676014,-97.46108010089372
"73034","Edmond","OK","Mercy-GoHealth Urgent Care","228 S Bryant Ave #8","73034",35.6518972,-97.45797619999999
"73044","Guthrie","OK","Mercy Hospital Logan County","200 S Academy Rd","73044",35.876165,-97.4617401
"73044","Guthrie","OK","Mercy Convenient Care - Guthrie Division","2919 S Division St","73044",35.84845640382758,-97.42616356042106
"73045","Harrah","OK","Kickapoo Indian Health Center","2243-2251 Oklahoma 102","74851",35.48616871666667,-97.08975223333333
"73048","Hydro","OK","Weatherford Regional Hospital","3701 E Main St","73096",35.538997700418136,-98.66180702600492
"73048","Hydro","OK","Lifeguard EMS, Weatherford, OK","not_available","73096",35.526773,-98.69978
"73049","Jones","OK","Cedar Ridge Hospital / Cedar Ridge RT","6501 NE 50th St","73141",35.522991,-97.41190999999999
"73052","Lindsay","OK","Healthcare Stat","301 E Cherokee St Ste F","73052",34.837215423583984,-97.59912109375
"73064","Mustang","OK","Just Kids Pediatrics","160 East Southwest 59th Street","73064",35.4062234,-97.7243123
"73064","Mustang","OK","Vital Systems","1106 East Highway 152","73064",35.390705394354626,-97.70220604703314
"73064","Mustang","OK","Your Health & Wellness","160E S.W. 59th Street","73064",35.4062234,-97.7243123
