"zip","city","state","name","address","postalCode","lat","lon"
"97002","Aurora","OR","Willamette Valley Equine Surgical And Medical Center","23200 Hubbard Cutoff Rd NE","97002",45.2554158,-122.77095888
"97002","Aurora","OR","Valley View Dermatology Wilsonville","8642 SW Main St Ste 100","97070",45.30177566,-122.76624755
"97005","Beaverton","OR","Providence St. Vincent Medical Center","9205 SW Barnes Rd","97225",45.5104377,-122.7716281
"97005","Beaverton","OR","Kaiser Permanente - Beaverton","4855 SW Western Ave","97005",45.485521027736695,-122.78326392581518
"97005","Beaverton","OR","Legacy-GoHealth Urgent Care","2870 SW Cedar Hills Blvd","97005",45.49905760855451,-122.80701979994774
"97005","Beaverton","OR","St Vincent's East Pavilion","not_available","97225",45.51018260710575,-122.77594150294254
"97005","Beaverton","OR","Providence St. Vincent - NICU","not_available","not_available",45.51051601090889,-122.7713719942628
"97005","Beaverton","OR","Providence Medical Group - Beaverton","3601 SW Murray Blvd #10","97005",45.49387741088867,-122.82699584960938
"97005","Beaverton","OR","Prenatal Clinic at Providence St. Vincent Medical Center Campus","9340 SW Barnes Rd","97225",45.50879741941145,-122.77361568464954
"97005","Beaverton","OR","ORM Fertility","9555 Southwest Barnes Road","97225",45.51079319999999,-122.775672
"97005","Beaverton","OR","St. Vincents Hospital Outpatient Lab","9427 SW Barnes Rd","97225",45.50962829589844,-122.77351379394531
"97005","Beaverton","OR","Wilshire Surgery Center","not_available","97209",45.506029,-122.77786699999999
"97005","Beaverton","OR","Pacific Medical Group Beaverton Clinic","4510 SW Hall Blvd","97005",45.4864387512207,-122.8036880493164
"97005","Beaverton","OR","Ethics Center","Baltic ave","not_available",45.510489,-122.77463
"97005","Beaverton","OR","Afc Urgent Care Beaverton","14278 SW Allen Blvd","97005",45.476238,-122.823872
"97005","Beaverton","OR","ZOOM+Care","2695 SW Cedar Hills Blvd., #180","97005",45.50039276625381,-122.80693126198867
