"zip","city","state","name","address","postalCode","lat","lon"
"57002","Aurora","SD","Brookings Ambulatory Surgery","3405 6th Street","57006",44.3122071,-96.7471411
"57004","Beresford","SD","Sanford Jackson Emergency Services","606 West Cedar Street","57004",43.0843544,-96.7827789
"57004","Beresford","SD","Bethesda Nursing Home","606 W Cedar St","57004",43.08427429199219,-96.78246307373047
"57005","Brandon","SD","Dawley Farm Urgent Care","not_available","57110",43.538673400878906,-96.65318298339844
"57005","Brandon","SD","Sanford 26th & Sycamore Acute Care and Orthopedic Fast Track Clinic","4405 E 26th St","57103",43.5284164,-96.672578
"57006","Brookings","SD","Brookings Health System","300 22nd Ave","57006",44.307977490121466,-96.76745118630625
"57006","Brookings","SD","BHS Operating Room","not_available","not_available",44.307702,-96.767487
"57006","Brookings","SD","Sanford Health Acute Care Clinic","922 22nd Ave S","57006",44.29537641171836,-96.77006297916796
"57013","Canton","SD","Sanford Health Canton-Inwood Medical Center","440 N Hiawatha Dr","57013",43.30414167848436,-96.5572740588608
"57022","Dell Rapids","SD","Avera Dells Area Hospital","909 N Iowa Ave","57022",43.82850646972656,-96.7164077758789
"57025","Elk Point","SD","New Start Centre","Union St","68770",42.564391,-96.705508
"57025","Elk Point","SD","Dakota Dunes surgery center","not_available","57025",42.659951,-96.649912
"57028","Flandreau","SD","Avera Flandreau Hospital","214 N Prairie St","57028",44.05120442952939,-96.59155167754699
"57029","Freeman","SD","Freeman Regional Health Services","not_available","57029",43.34709614013708,-97.43137267486102
"57032","Harrisburg","SD","Sanford Radiology","not_available","57105",43.46894519240489,-96.76997456457397
"57042","Madison","SD","Madison Community Hospital","217 Washington Ave N","57042",44.014589,-97.110378
"57042","Madison","SD","New Madison Community Hospital","By-pass","57042",43.99658369583843,-97.11872742962791
"57053","Parker","SD","Angela's Babydoll Hospital","not_available","57053",43.398377,-97.132474
"57059","Scotland","SD","Landmann-Jungman Memorial Hospital Avera","600 Billars St","57059",43.14914321899414,-97.72915649414062
"57066","Tyndall","SD","St. Michael's Hospital Avera","410 W 16th Ave","57066",42.991503051131424,-97.86745545749102
"57069","Vermillion","SD","Sanford Vermillion Hospital","20 S Plum St","57069",42.77898711747544,-96.91943076931152
"57069","Vermillion","SD","Sanford Medical Clinic","1285-1399 Roosevelt St","57069",42.785016160879195,-96.92019804842731
"57078","Yankton","SD","Human Service Center","not_available","57078",42.91646096734332,-97.39908098069489
"57078","Yankton","SD","South Dakota Human Services Center","3515 Broadway Ave","57078",42.91520309448242,-97.39934539794922
"57078","Yankton","SD","Avera Sacred Heart Hospital","501 Summit St","57078",42.87309026263375,-97.40820088350182
"57103","Sioux Falls","SD","Avera McKennan Emergency Department & Trauma Care","1325 S Cliff Ave","57105",43.5345013182148,-96.71532293363713
"57103","Sioux Falls","SD","Avera Cancer Institute","not_available","57103",43.55601323333333,-96.72273808333334
"57103","Sioux Falls","SD","Sioux Falls Specialty Hospital","910 E 20th St","57105",43.53512381661229,-96.71420174473903
"57103","Sioux Falls","SD","Avera Womens Center","not_available","57104",43.533460092337975,-96.71428920590638
"57103","Sioux Falls","SD","Avera Prince Of Peace Retirement Community","4513 S Prince of Peace Place, Suite 1","57103",43.50459546305909,-96.68453665698877
"57103","Sioux Falls","SD","Apex Medical Corporation","921 E Amidon St","57104",43.574824,-96.71426
"57103","Sioux Falls","SD","Avera Urgent Care","3400 S Southeastern Ave","57103",43.512386322021484,-96.68775939941406
"57104","Sioux Falls","SD","Sanford Sports Complex Acute Care and Orthopedic Fast Track Clinic","4000 N Hercules Ave","57107",43.5901412,-96.7578506
"57104","Sioux Falls","SD","Sanford Emergency Department","1305 W 18th St","57117",43.53574655,-96.74308937
"57104","Sioux Falls","SD","Sanford Heart Hospital","1301 W 18th St","57105",43.53581520311798,-96.7439866246033
"57104","Sioux Falls","SD","Sanford Trauma 5","1305 W 18th St","57105",43.53598129254064,-96.74305014345775
"57104","Sioux Falls","SD","Sanford Health Downtown Clinic","136 S Phillips Ave #102","57104",43.54614785605942,-96.72642990921003
"57104","Sioux Falls","SD","Sanford Radiology Clinic","1210 West 18th Street","57104",43.53731811,-96.74295292
"57104","Sioux Falls","SD","Drug & Alcohol Rehab Sioux Falls","1821 W 12th St #2","57104",43.54368209838867,-96.75092315673828
"57104","Sioux Falls","SD","Sanford Poison Control","1305 W 18th St","57106",43.53561438,-96.74332477
"57104","Sioux Falls","SD","Good Sam Village","3931-4099 S Marion Rd","57106",43.5502453962553,-96.75374155241177
"57104","Sioux Falls","SD","Center for Health and Well Being","Sanford Hospital","57105",43.536423280307496,-96.74205271529569
"57105","Sioux Falls","SD","VA Medical Center","2501 W 22nd St","57105",43.53143573018577,-96.7551103394355
"57105","Sioux Falls","SD","Sanford Transplant Center","1205 S Grange Ave","57105",43.53424835205078,-96.7430191040039
"57105","Sioux Falls","SD","Children's Care Hospital & School Rehabilitation Center","1100 W 41st St","57105",43.5153694152832,-96.73992156982422
"57106","Sioux Falls","SD","Avera Heart Hospital of South Dakota","4500 W 69th St","57108",43.490911569456316,-96.78064852451172
"57106","Sioux Falls","SD","Avera Behavioral Health","4400 W 69th St","57108",43.49096579432915,-96.77863541694198
"57106","Sioux Falls","SD","Avera Urgent Care","5900-6026 W 41st St","57106",43.51495988,-96.79942748
"57106","Sioux Falls","SD","Sanford 32nd & Ellis Acute Care and Orthopedic Fast Track Clinic","2601 S Ellis Rd","57106",43.51936219426229,-96.83193033002472
"57106","Sioux Falls","SD","QuickHealth","not_available","57108",43.476014,-96.76636
"57106","Sioux Falls","SD","Encompass Health Rehabilitation Hospital of Sioux Falls","4700 W 69th St","57108",43.49101263662278,-96.78511011165675
"57106","Sioux Falls","SD","edgewood vista memory care Work","3401 W Ralph Rogers Rd","57108",43.492439,-96.763176
"57106","Sioux Falls","SD","QuickHealth Urgent Care","7600 S Louise Ave #150","57108",43.475860595703125,-96.7663345336914
