"zip","city","state","name","address","postalCode","lat","lon"
"75001","Addison","TX","Ambulatory Surgical Institute of Dallas","17051 Dallas Pkwy Ste 100","75001",32.98384533134217,-96.82930853208347
"75001","Addison","TX","Texas Health Hospital Plano","not_available","75074",32.96251753905,-96.84196493885489
"75001","Addison","TX","Revivify Cranial Prosthesis Billing","14800 Quorum Drive #282","75254",32.9490057,-96.8249673
"75001","Addison","TX","Methodist Hopital For Surgery","17101 Dallas Pkwy","75001",32.98466143072271,-96.82944973103797
"75001","Addison","TX","texas scotish rite hospital  room 323","not_available","75219",32.94452009581734,-96.84455095875802
"75001","Addison","TX","Dr. Jerry Allison, MD, MSH, FAAFP, CPE","14361 Olympic Dr","75234",32.939789,-96.858765
"75001","Addison","TX","Medic One Medical Response","14286 Gillis Rd","75244",32.941145597126834,-96.83371025410504
"75001","Addison","TX","Valiant Anesthesia Associates","14850 Quorum Drive Suite 440","75254",32.9496974,-96.8251348
"75001","Addison","TX","Kevin R. Hanz, M.D. Aesthetic Plastic Surgery","17110 Dallas Pkwy Ste 100","75248",32.9826729,-96.8276468
"75001","Addison","TX","MINT dentistry | Addison","4021 Belt Line Rd Suite 102","75001",32.95530394792304,-96.8445404925971
"75002","Allen","TX","Texas Health Presbyterian MOB 2","not_available","75013",33.11640548706055,-96.67422485351562
"75002","Allen","TX","Texas Health Presbyterian Hospital Allen","1105 Central Expy N","75013",33.11619760012285,-96.67329208053798
"75002","Allen","TX","minute clinic CVS","not_available","75002",33.085048,-96.600966
"75002","Allen","TX","Envision Imaging of Allen","1111 Raintree Cir #100","75013",33.114270040703346,-96.67589760879719
"75002","Allen","TX","Acute Kids Urgent Care","W. McDermott","75013",33.10358555815882,-96.6800386009969
"75002","Allen","TX","1st Class Urgent Care Center","1811 E Bethany Dr","75002",33.086193,-96.621567
"75002","Allen","TX","Medical City Children's Urgent Care Allen Clinic","109 Central Expy N Ste 509","75013",33.1034978,-96.6799478
"75002","Allen","TX","Urgent Care For Kids - Allen","919 Medical Dr","75013",33.112521,-96.680245
"75002","Allen","TX","AFC Urgent Care Allen","325 Central Expy S","75013",33.10020446777344,-96.6775131225586
"75002","Allen","TX","Texas Center for Joint Replacement","1120 Raintree Cir","75013",33.1139849,-96.67372799999998
"75002","Allen","TX","DFW Center for Fertility & IVF","980 Raintree Circle","75013",33.110558000000005,-96.6796
"75006","Carrollton","TX","Texas Health Hospital","1401 E Trinity Mills Rd","75006",32.985559,-96.89850600000001
"75006","Carrollton","TX","Walmart Care Clinic","1213 E Trinity Mills Rd","75006",32.9840879411765,-96.9052388235294
"75006","Carrollton","TX","Denton Heart Group - BS&W Medical Center- Carrollton","333 Josey Ln , Plaza 2, Suite 100","75010",32.94079946661901,-96.8908953666687
"75006","Carrollton","TX","medical sonography services, inc","not_available","not_available",32.94681,-96.90422
"75006","Carrollton","TX","UT Southwestern Medical Center","not_available","75220",32.93089136009347,-96.89615665949394
"75006","Carrollton","TX","CareNow Urgent Care - Dallas Midway","12801 Midway Rd #503","75244",32.9234278,-96.8385896
"75007","Carrollton","TX","CareNow","1017 W Hebron Pkwy","75010",33.02005305646656,-96.9171729683876
"75007","Carrollton","TX","Baylor Carrollton ER","not_available","75007",33.02495607416045,-96.88497667703936
"75007","Carrollton","TX","Texas Health Presbyterian Hospital","not_available","75093",33.02392844667339,-96.88356308020064
"75007","Carrollton","TX","Medspring Urgent Care - North Dallas","3410 Texas 190 Access Road","75287",32.998688,-96.85675
"75007","Carrollton","TX","Frankfort Pet Hospital","1126-1298 Frankford Rd E","75007",32.99639608902051,-96.89931607032968
"75007","Carrollton","TX","Code 3 ER & Urgent Care at Carrollton","4228 N Josey Ln","75010",33.026628,-96.884051
"75007","Carrollton","TX","Baylor Emer","Hebron Pkwy","not_available",33.02490060762641,-96.90409437326281
"75007","Carrollton","TX","FastPass Urgent Care - Carrollton","4228 N. Josey Lane, Suite 150","75010",33.02661190000001,-96.88406649999999
"75007","Carrollton","TX","Denton Heart Group - Carrollton","1428 W Hebron Pkwy Ste 110","75010",33.0217399597168,-96.93050384521484
"75007","Carrollton","TX","MINT dentistry | Carrollton","3940 Rosemeade Pkwy Suite 150","75287",33.00996291431615,-96.84543374356997
"75007","Carrollton","TX","Tricity Pain Associates","4325 N Josey Ln Plaza III, Suite 206","75010",33.02774,-96.886408
"75010","Carrollton","TX","Envision Imaging of Plano","6957 W Plano Parkway, Suite 1100","75093",33.03301167885588,-96.85028293092182
"75010","Carrollton","TX","Cook Children's Pediatric Surgery Center","7000 W Plano Pkwy","75093",33.0329704284668,-96.85308074951172
"75010","Carrollton","TX","Faith Surgical Center","not_available","75056",33.06284713745117,-96.90099334716797
"75010","Carrollton","TX","Brookhaven Nursing Home","not_available","75010",33.030266,-96.88638399999999
"75010","Carrollton","TX","Plano Surgical Hospital","2301 Marsh Ln","75093",33.031541,-96.853959
"75010","Carrollton","TX","Regency Hospital North Dallas","2525 W. Parker Road","not_available",33.04578854324296,-96.86575076338389
"75010","Carrollton","TX","Pediatric Surgery Center","7000 W Plano Pkwy #100","75093",33.032755678243376,-96.85315361391292
"75010","Carrollton","TX","Victory Medical Center","2301 Marsh Lane","75010",33.03155517578125,-96.85414123535156
"75010","Carrollton","TX","trinity medical center building 1","4343 N Josey Ln","75010",33.02873229980469,-96.88526916503906
