"zip","city","state","name","address","postalCode","lat","lon"
"20105","Aldie","VA","StoneSprings Hospital Center","24440 Stone Springs Blvd","20166",38.9402348597176,-77.54346783568508
"20105","Aldie","VA","Dulles Urgent Care Center","42010 Village Center Plz Ste 100","20105",38.94039679999999,-77.55005369999999
"20105","Aldie","VA","HealthSouth Rehabilitation Hospital of Northern Virginia","24430 Millstream Dr","20105",38.939166626160976,-77.55268335342407
"20105","Aldie","VA","Inova Urgent Care - Dulles South","24801 Pinebrook Rd, #110","20152",38.93617449597666,-77.53713993576234
"20105","Aldie","VA","StoneSpring Emergency Center","24570 Gum Spring Rd","20166",38.93860935089376,-77.54027511983905
"20105","Aldie","VA","StoneSprings Hospital Center","not_available","not_available",38.93931016156489,-77.54558234144037
"20109","Manassas","VA","Prince William Medical Center","8700 Sudley Rd","20110",38.76738764807329,-77.48809962578864
"20109","Manassas","VA","prince william infusion center","not_available","20110",38.76724567947334,-77.4866347858498
"20109","Manassas","VA","INOVA Blood Mobile","9500 Innovation Dr","20110",38.75004577636719,-77.52384948730469
"20109","Manassas","VA","Prince William NICU","8680 Hospital Way","20110",38.766304999999996,-77.488764
"20109","Manassas","VA","Emergicare","not_available","20109",38.76704963472194,-77.48413666777714
"20109","Manassas","VA","Urgent Care | Kaiser Permanente Manassas Medical Center (Urgent Care | Manassas Medical Center | Kaiser Permanente)","10701 Rosemary Dr","20109",38.7907915,-77.5170797
"20109","Manassas","VA","Prince William County Hospital","8200 Sudley Rd","20109",38.77507019042969,-77.50587463378906
"20109","Manassas","VA","ExpressCare Urgent Care Center Manassas","10076 Dumfries Road, #80A","20110",38.738812,-77.47435899999999
"20109","Manassas","VA","Prince William Hospital Emergency","8700 Dudley Rd","not_available",38.76410132215259,-77.47786872787225
"20110","Manassas","VA","Patient First - Manassas","9715 Liberia Avenue","20110",38.7455433,-77.4498217
"20110","Manassas","VA","Its All About Work!","not_available","20111",38.7456,-77.449407
"20112","Manassas","VA","Easy Care Primary & Urgent Care","5808 Mapledale Plz","22193",38.660821999999996,-77.368204
"20112","Manassas","VA","NextCare Urgent Care","12581 Milstead Way Ste 103","22192",38.680995324771374,-77.36021654136668
"20112","Manassas","VA","Millennium Medical Care Manassas","6356 Hoadly Rd","20112",38.6734518,-77.3955332
"20115","Marshall","VA","Fauquier Hospital","550 Hospital Dr","20186",38.71200834774491,-77.80875350040047
"20115","Marshall","VA","Fauquier Counseling Center","54 E Lee St","20186",38.711808000000005,-77.794742
"20115","Marshall","VA","Drs. Yung & Jelinek D.D.S: Comprehensive Family Dentistry","60 Rock Pointe Ln","20186",38.7239002,-77.7915229
"20115","Marshall","VA","Fauquier Health","500 Hospital Dr","20186",38.712295631199524,-77.80879810918987
"20115","Marshall","VA","Piedmont Urgent Care","not_available","20186",38.725433,-77.790034
"20115","Marshall","VA","Emergicare","75 W Lee Hwy","20186",38.729008,-77.79312900000001
"20115","Marshall","VA","Piedmont Pediatrics","20 Rock Pointe","20186",38.722654999999996,-77.79185799999999
"20115","Marshall","VA","Oak Springs Nursing Facility","614 Hastings Ln","20186",38.73358673344726,-77.79804813626494
"20117","Middleburg","VA","PRIVATE ROOM'S","Sampul street","20118",38.9542055,-77.758797
"20120","Centreville","VA","Inova Urgent Care - Centreville","6201 Centreville Rd, #200","20121",38.829238000000004,-77.434141
"20120","Centreville","VA","Centreville Urgent Care","14001 St Germain Dr","20121",38.836628000000005,-77.43539
"20120","Centreville","VA","CareNow Urgent Care - Centreville","4995 Westone Plz","20151",38.870545,-77.444923
"20120","Centreville","VA","Home Care","not_available","20121",38.836447,-77.44124
"20120","Centreville","VA","Walk In Clinic","Astrid cove","not_available",38.835315,-77.463773
"20120","Centreville","VA","Centreville Foot & Ankle Clinic","5729 Centre Square Drive","20120",38.8397594,-77.4300872
"20124","Clifton","VA","Sentara Potomac Hospital","Opitz Blvd","22191",38.789556448980846,-77.35025678063597
"20132","Purcellville","VA","Inova Urgent Care","305 Hirst Rd","not_available",39.142860180177735,-77.71155891101778
"20136","Bristow","VA","Bristow Urgent Care","10390 Bristow Center Dr","20136",38.732339,-77.549988
"20147","Ashburn","VA","Nova Medical & Urgent Care Center","21785 Filigree Ct","20147",39.01263165625684,-77.45761686277557
"20147","Ashburn","VA","Reston Pediatric Associates Ltd","44160 Scholar Plaza Suite 450","20176",39.0692749,-77.4735135
"20147","Ashburn","VA","Inova Loudoun Hospital Emergency Room","44045 Riverside Parkway,","20176",39.07468661209607,-77.47866615572146
"20147","Ashburn","VA","Tamara Sheridan, LPC, RPT","not_available","20176",39.08508762164369,-77.48350381851195
"20147","Ashburn","VA","NOVA Urgent Care Inc.","not_available","20165",39.044021375716056,-77.47363949500591
"20147","Ashburn","VA","Act Fast Urgent Care","43150 Broadlands Center Plz Ste 184","20148",39.02646,-77.50851
"20147","Ashburn","VA","Virginia Infusion Therapies","19500 Sandridge Way Ste 170","20176",39.07620620727539,-77.4803466796875
"20147","Ashburn","VA","Visual Health Doctors of Optometry - Ashburn","19825 Belmont Chase Dr #165","20147",39.06705093383789,-77.4847412109375
"20147","Ashburn","VA","Inova Emergency Care Center - Leesburg","224 Cornwall St NW","20176",39.07469326900743,-77.47871474883246
"20147","Ashburn","VA","Inova Loudoun Hospital Radiation Oncology","44035 Riverside Pkwy","20176",39.074055,-77.47784899999999
"20147","Ashburn","VA","ExpressCare Urgent Care Center Ashburn","20070 Ashbrook Commons Plz","20147",39.060448,-77.4704661
"20147","Ashburn","VA","Inova Emergency Room - Ashburn HealthPlex","22505 Landmark Ct, # 210","20148",38.9951133728027,-77.4808807373047
"20147","Ashburn","VA","Lansdowne Podiatry","44135 Woodridge Parkway Ste 180","20176",39.0766692,-77.47146479999999
"20147","Ashburn","VA","PM Pediatrics","19800 Belmont Chase Dr Ste 110","20147",39.06856060850303,-77.48431016870897
"20147","Ashburn","VA","Innova","not_available","20147",39.04192226174278,-77.50406408144505
"20147","Ashburn","VA","Inova Loudoun Hospital Natural Birth Center","44055 Riverside Parkway, #110","20176",39.07631,-77.47641
"20147","Ashburn","VA","Inova Heart and Vascular Institute - Inova Loudoun Hospital","44035 Riverside Parkway, #120","20176",39.0756783613886,-77.475651852972
"20147","Ashburn","VA","Aesthetica Cosmetic Surgery & Laser Center","19500 Sandridge Way Suite 350","20176",39.0761058,-77.480325
"20148","Ashburn","VA","ABZ Performance","not_available","20148",38.97302060857797,-77.5255098938942
"20151","Chantilly","VA","Eye Street Optical","3910 Centreville Rd Ste 100","20151",38.896471000000005,-77.430413
"20151","Chantilly","VA","CareNow Urgent Care - Chantilly","3456 Historic Sully Way","20151",38.9142976,-77.4271033
"20151","Chantilly","VA","InfoQuest Systems, Inc.","25495 Feltre Ter","20152",38.91175079345703,-77.48464965820312
"20151","Chantilly","VA","Patient First - Chantilly","3918 Centreville Road","20151",38.8955952,-77.4311593
"20151","Chantilly","VA","Jeanie Schmidt Free Clinic","13525 Dulles Technology Dr","20171",38.95338439941406,-77.41191101074219
"20155","Gainesville","VA","Heathcote Health Center","15195 Heathcote Blvd","20169",38.82071120708908,-77.64147893173892
"20155","Gainesville","VA","Patient First - Gainesville","14800 Lee Highway","20155",38.791561,-77.63166899999999
"20155","Gainesville","VA","Advanced Urgent Care","7200 Heritage Village Plz","20155",38.803447,-77.603635
"20155","Gainesville","VA","Gainesville Urgent Care","7588 Gardner Park Dr","20155",38.794202,-77.621914
"20155","Gainesville","VA","VA Gateway Urgent Care Center","7516 Iron Bar Ln","20155",38.795331,-77.610745
"20155","Gainesville","VA","Archbold-Brooks Specialty Clinic","1309 W Screven St","31643",38.76564187472078,-77.6342225074768
"20155","Gainesville","VA","Atlas Walk Dental & Orthodontics","7502 Iron Bar Lane","20155",38.7955296,-77.6107977
"20164","Sterling","VA","Patient First - Sterling","47100 Community Plaza","20164",39.01500163275289,-77.37331592651539
"20164","Sterling","VA","CareNow Urgent Care - Sterling at Cascades","46200 Potomac Run Plz","20164",39.026223,-77.4017
"20164","Sterling","VA","CareNow Urgent Care - Sterling Park","101 Enterprise St","20164",38.99888356557392,-77.40313410758972
"20164","Sterling","VA","Dr. Matthew Han OD","8019L Tysons Corner Center","22102",39.015574278825866,-77.37493872642517
"20164","Sterling","VA","Urgent Care","not_available","20166",39.03345143976799,-77.40729578077205
"20164","Sterling","VA","Reston ER","not_available","20190",39.01096253569899,-77.425998044756
"20164","Sterling","VA","NOVA Urgent Care","21036 Triple Seven Rd.","20165",39.03361761497828,-77.40669370126345
"20170","Herndon","VA","Reston Hospital Center","1850 Town Center Pkwy","20190",38.9625842,-77.3647605
"20170","Herndon","VA","reston urgent care center","1800 Town Center Dr","20190",38.96371078491211,-77.36480712890625
"20170","Herndon","VA","AFC URGENT CARE and FAMILY CARE","334 Elden St","20170",38.968329,-77.373769
"20170","Herndon","VA","Urgent Health Care - Herndon","201 Elden St","20170",38.96604919433594,-77.36961364746094
"20170","Herndon","VA","Millennium Medical Care Herndon","1043 Sterling Rd Suite 104","20170",38.96869969999999,-77.3963852
"20170","Herndon","VA","Virginia Bariatric Surgery Center","1850A Town Center Pkwy Ste 301","20190",38.962880665034646,-77.36443785928357
"20170","Herndon","VA","1850 Town Center Drive, Reston","not_available","20170",38.96297558605858,-77.36480231653897
"20170","Herndon","VA","Inova Emergency Room - Reston/Herndon","11901 Baron Cameron Ave,","20190",38.96641,-77.35666
"20170","Herndon","VA","Urgent Care Reston","Dammit","not_available",38.959988360549175,-77.3543727800578
"20170","Herndon","VA","Inova Urgent Care - Reston","1488 Northpoint Village Center,","20194",38.979113,-77.35030400000001
"20171","Herndon","VA","Inova Fair Oaks Hospital","3600 Joseph Siewick Dr,","22033",38.88516633072033,-77.37992831712089
"20171","Herndon","VA","INOVA Fair Oaks Hospital Cardiac Diagnostic Services","3580 Joseph Siewick Dr Ste 301","22033",38.886204,-77.380435
"20171","Herndon","VA","Fair Oaks ER","3600 Joseph Siewick Dr","22033",38.88446548744757,-77.37962769906768
"20171","Herndon","VA","Insight Coaching & Counseling","12020 Sunrise Valley Dr Ste 100","20191",38.94888687133789,-77.3632583618164
"20171","Herndon","VA","Inova Fair Oaks Hospital Loading Dock","3600 Joseph Siewick Dr, Loading Dock","22033",38.88457107543945,-77.37989807128906
