"zip","city","state","name","address","postalCode","lat","lon"
"53005","Brookfield","WI","Bluemound Pediatrics-Children's Wisconsin","12635 W Bluemound Rd","53005",43.034079999999996,-88.069906
"53005","Brookfield","WI","Work","not_available","not_available",43.10241758823395,-88.06880414485931
"53005","Brookfield","WI","Ziering Medical","200 S Executive Dr Ste 101","53005",43.03142746523331,-88.11672449111938
"53005","Brookfield","WI","Wheaton Franciscan Healthcare Urgent Care","17000 W North Ave","53005",43.061547,-88.12353900000001
"53005","Brookfield","WI","Aurora Clinic at Walgreens","2205 N Calhoun Rd","53005",43.0589172,-88.1288766
"53005","Brookfield","WI","MATRIX MEDICAL","200 S Executive Dr #101","53005",43.03083142783297,-88.11357021331787
"53005","Brookfield","WI","Westbrook Pediatrics-Children's Wisconsin","13950 W Capitol Dr Ste 200","53005",43.0904067,-88.0853054
"53005","Brookfield","WI","Oilled","12605 W. North Ave. Suite 293","53005",43.0594612,-88.0694019
"53010","Campbellsport","WI","Urban Family Health lodge, Camp Long Lake","not_available","53010",43.69520378449309,-88.16401630962905
"53012","Cedarburg","WI","Ascension Columbia St. Mary's Ozaukee - Cedarburg","W62 N179 Washington Ave","53012",43.28269,-87.988
"53012","Cedarburg","WI","Rubber Room","not_available","53012",43.28056335449219,-87.989501953125
"53012","Cedarburg","WI","Aurora Urgent Care","215 Washington St","53024",43.319740295410156,-87.9627685546875
"53014","Chilton","WI","Calumet Medical Center","not_available","53014",44.025815479446905,-88.15317714890246
"53014","Chilton","WI","Ascension Calumet Hospital at Chilton","618 Memorial Dr","53014",44.02539673,-88.15364839
"53014","Chilton","WI","Emergency - Ascension Calumet Hospital (Ascension Calumet Hospital - Emergency Room)","614 Memorial Dr","53014",44.02527,-88.15365
"53018","Delafield","WI","Delafield Pediatrics-Children's Hospital of Wisconsin","3195 Hillside Dr","53018",43.04949855027633,-88.36737519452151
"53022","Germantown","WI","Virginia Highlands Health and Rehabilitation Center","W173N10915 Bernies Way","53022",43.215778,-88.125457
