"zip","city","state","name","address","postalCode","lat","lon"
"99501","Anchorage","AK","Margaret Eagan Sullivan Park (Westchester Lagoon) and Waterfowl Sanctuary","1824 W 15th Ave","99501",61.20797923501377,-149.91452583396537
"99501","Anchorage","AK","Chester Creek Trail","not_available","not_available",61.20305864094945,-149.87950812811712
"99501","Anchorage","AK","Valley of the Moon Park","610 W 17th Ave","99501",61.20496471567767,-149.8918682540652
"99501","Anchorage","AK","Resolution Park","320 L St","not_available",61.21931,-149.904057
"99501","Anchorage","AK","The Polar Bear park","801 Pine Street","not_available",61.21500015258789,-149.7930450439453
"99501","Anchorage","AK","Elderberry Park","5th Ave Mall","99501",61.217709997360735,-149.90685939788818
"99501","Anchorage","AK","Delaney Park Strip","9th Ave","99501",61.21329942938868,-149.90351466434046
"99501","Anchorage","AK","Russian Jack Springs Park","5200 DeBarr","not_available",61.19989149855495,-149.78976871982314
"99501","Anchorage","AK","Hostetler Park","not_available","99501",61.219357,-149.90298
"99501","Anchorage","AK","Midnight Sun Park","Arctic Warrior Dr","99505",61.2402440161959,-149.80686345431087
"99501","Anchorage","AK","Sunset Park","600 Vine Ave","99501",61.228876,-149.87298
"99501","Anchorage","AK","Quyana Park","1st Street","99501",61.221495,-149.892235
"99501","Anchorage","AK","Anchorage Museum Park","121 W 7th Ave","99501",61.21621322631836,-149.88436889648438
"99501","Anchorage","AK","Dave Rose Park","201 Lane St","99508",61.220858,-149.795859
"99501","Anchorage","AK","Fairview Park","12th","not_available",61.2103271484375,-149.86016845703125
"99501","Anchorage","AK","Kanchee Park","Klevin","99508",61.21972843814524,-149.80454076939876
"99501","Anchorage","AK","Buttress Park","West 2nd Avenue","99501",61.220499378691215,-149.88836288452148
"99501","Anchorage","AK","Town Square Park","560 W 5th Ave","not_available",61.21706943785726,-149.89256858825684
"99501","Anchorage","AK","delaney park anchorage","Delaney St","99501",61.211355,-149.904479
"99502","Anchorage","AK","Point Woronzof","Point Woronzof","not_available",61.2022619770091,-150.02084559236135
"99502","Anchorage","AK","Earthquake Park","4306 W Northern Lights Blvd","99517",61.196446967569074,-149.9776363766918
"99502","Anchorage","AK","Michael J. Shibe Park","Ticonderoga","99502",61.15102195471781,-149.9269437789917
"99502","Anchorage","AK","Kincaid Park","6998 Raspberry Rd","99502",61.15413417132723,-150.04837438577488
